answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,sentiment_tb
50.0,75.0,57.0,0.0,negative,"@adfichter Aus Verbindung Mann/Mann kann kein Kind entstehen: 2mal 100% Erwerbstätigkeit, kein Mutterschaftsurlaub, Kinderbetreuung usw.",verbindung mann mann kind entstehen 2mal erwerbstätigkeit mutterschaftsurlaub kinderbetreuung usw,"{'Aus': 0, 'Verbindung': 0.1, 'Mann': 0, 'kann': 0.15, 'kein': 1.0, 'Kind': 0, 'entstehen': 0, '2mal': 0, 'Erwerbstätigkeit': 0.27, 'Mutterschaftsurlaub': 0.155, 'Kinderbetreuung': 0.57, 'usw.': 0}",neutral,"[0.56393194, 0.39433992, 0.04172818]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Steuerabzüge für Kinderbetreuung sollen wieder gestrichen werden http://t.co/CSMrwoxDXF,steuerabzüge kinderbetreuung sollen streichen,"{'Steuerabzüge': 0.5900000000000001, 'für': 0.21, 'Kinderbetreuung': 0.75, 'sollen': 0, 'wieder': 0.42, 'gestrichen': 0, 'werden': 0}",negative,"[0.32540032, 0.62113833, 0.053461317]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @peterbrud: @SandroBrotz @srfnews Warum sich Frau Stamm wohl so leidenschaftlichen für Väter und den Vaterschaftsurlaub eingesetzt hat?…,warum frau stamm wohl leidenschaftlich väter vaterschaftsurlaub einsetzen,,,,"{'Warum': 1.0, 'sich': 0, 'Frau': 0, 'Stamm': 0, 'wohl': 0, 'so': 0.59, 'leidenschaftlichen': 0.91, 'für': 0, 'Väter': 0.07, 'und': 0.1, 'den': 0, 'Vaterschaftsurlaub': 0.33, 'eingesetzt': 0, 'hat': 0, '…': 0}",positive,"[0.08052777, 0.03894352, 0.88052875]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Nationalrat beschliesst #Vaterschaftsurlaub von 2 Wochen (Gegenentwurf) mit 129:62 Bravo!,nationalrat beschliesst vaterschaftsurlaub wochen gegenentwurf bravo,,,,"{'Nationalrat': 0.245, 'beschliesst': 1.0, 'Vaterschaftsurlaub': 0.53, 'von': 0, 'Wochen': 0.11, 'Gegenentwurf': 0, 'mit': 0.25, '129:62': 0, 'Bravo': 0.31}",neutral,"[0.6986329, 0.019501895, 0.28186524]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.7999999999999999,neutral,"@mjmoser Was ich befürworte, ist erleichterte Einbürgerung und Gütergemeinschaft dem Partnerschafts-Gesetz hinzuzufügen. Eine Neudefinition von Ehe ist unnötig und nicht sinnvoll.",befürworten erleichtern einbürgerung gütergemeinschaft partnerschafts gesetz hinzufügen neudefinition ehe unnötig sinnvoll,,,,,,,"{'Was': 0, 'ich': 0.08, 'befürworte': 0.55, 'ist': 0.05, 'erleichterte': 0, 'Einbürgerung': 1.0, 'und': 0.05, 'Gütergemeinschaft': 0.1575, 'dem': 0.16999999999999998, 'Partnerschafts-Gesetz': 0.09, 'hinzuzufügen': 0.375, 'Eine': 0, 'Neudefinition': 0, 'von': 0, 'Ehe': 0.09, 'unnötig': 0.14, 'nicht': 0, 'sinnvoll': 0}",positive,"[0.0017364463, 0.0013585985, 0.9969049]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,De Schepper kannte keine Tabus @TeleBaernTV: Heute im Wahl-Talk: Herausforderer @marcjost &amp; Barbara Mühlheim zu Lohn u Einbürgerung #be14,de schepper kennen tabus heute wahl talk herausforderer amp barbara mühlheim lohn u einbürgerung be14,,,,,,,"{'De': 0, 'Schepper': 0, 'kannte': 0.04, 'keine': 0, 'Tabus': 0.1, 'Heute': 0.03, 'im': 0, 'Wahl-Talk': 0.09, 'Herausforderer': 0.05, 'amp': 0.03, 'Barbara': 0.07, 'Mühlheim': 0, 'zu': 0, 'Lohn': 0, 'u': 0, 'Einbürgerung': 0.91, 'be14': 0.17}",neutral,"[0.8854726, 0.0054437164, 0.10908359]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @DominikBalmer: Belgien lässt Sterbehilfe bei 17-Jährigem zu. 
https://t.co/WB3JXsyIlj",belgien lässt sterbehilfe jährig,,,,,,,,,,"{'Belgien': 0.48, 'lässt': 0, 'Sterbehilfe': 1.0, 'bei': 0, '17-Jährigem': 0.09, 'zu': 0}",positive,"[0.18636385, 0.0072332066, 0.8064029]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,@gratiama @EllenCHSG @evppev Hier der offizielle Beitrag: https://t.co/VED27xibIz Ich teile hier die Meinung unseres Parteivorstandes nicht. Diese Steuersenkung für wohlhabende (Familien) finde ich unnötig.,offizielle beitrag teile meinung parteivorstandes steuersenkung wohlhabende familien finden unnötig,,,,,,,,,,,,,"{'Hier': 0.06, 'der': 0.05, 'offizielle': 0.08, 'Beitrag': 0, 'Ich': 0.1, 'teile': 0.09, 'hier': 0.06, 'die': 0.05, 'Meinung': 0.09, 'unseres': 0, 'Parteivorstandes': 0.065, 'nicht': 0.06, 'Diese': 0.63, 'Steuersenkung': 0.63, 'für': 0.22, 'wohlhabende': 0.16, 'Familien': 0, 'finde': 0, 'ich': 0.1, 'unnötig': 1.0}",negative,"[0.0018599755, 0.9900538, 0.008086249]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @Hans_Kipfer: «Die EVP will die Steuersenkungen so weit mittragen, wie sie finanziert sind.» https://t.co/CUQfY6WC7P via @derbund https:…",evp steuersenkungen weit mittragen finanzieren via https,,,,,,,,,,,,,"{'«': 0, 'Die': 0, 'EVP': 0, 'will': 0, 'die': 0, 'Steuersenkungen': 0, 'so': 0, 'weit': 0, 'mittragen': 0, 'wie': 0, 'sie': 0, 'finanziert': 0, 'sind': 0, '»': 0, 'via': 0, 'https': 0, '…': 0}",positive,"[0.029438626, 0.0038771995, 0.9666842]",,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,RT @ClaudeChatelai1: Wie Ausländer im #Gastgewerbe den #GAV umgehen und den #Mindestlohn missachten. http://t.co/cqgoIBwJL3,ausländer gastgewerbe gav umgehen mindestlohn missachten,,,,,,,,,,,,,,,,"{'Wie': 0, 'Ausländer': 0.34, 'im': 0, 'Gastgewerbe': 0.25, 'den': 0.61, 'GAV': 0.29, 'umgehen': 0.82, 'und': 0.71, 'Mindestlohn': 0.615, 'missachten': 1.0}",negative,"[0.13571131, 0.8153291, 0.048959553]",,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,@srfnews Hatte heute Gelegenheit den Leiter des Estnischen Wahlbüros zu diesem Thema zu Treffen. Sie haben über 10 Jahre Erfahrung mit E-Election. Habe jetzt differenziertes Bild und mehr Vertrauen in #E-Voting erhalten! #Estland #evoting https://t.co/ivWe2oBMdQ,heute gelegenheit leiter estnischen wahlbüros thema treffen jahre erfahrung e election differenziert bild mehr vertrauen e voting erhalten estland evoting,,,,,,,,,,,,,,,,,,,"{'Hatte': 0.01, 'heute': 0.05, 'Gelegenheit': 0.02, 'den': 0.03, 'Leiter': 0, 'des': 0, 'Estnischen': 0.11, 'Wahlbüros': 0.07, 'zu': 0.02, 'diesem': 0.02, 'Thema': 0, 'Treffen': 0.025, 'Sie': 0, 'haben': 0.04, 'über': 0.03, 'Jahre': 0.04, 'Erfahrung': 0.05, 'mit': 0.04, 'E-Election': 0, 'Habe': 0.06, 'jetzt': 0.06, 'differenziertes': 0.08, 'Bild': 0, 'und': 0.07, 'mehr': 0.07, 'Vertrauen': 0, 'in': 0.09, 'E-Voting': 0, 'erhalten': 0, 'Estland': 0.69, 'evoting': 0}",positive,"[0.2304466, 0.017951375, 0.75160205]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,RT @ruediloeffel: Die @evppev ist schockiert über Parlamentsmehrheit die ethische + humanitäre Prinzipien missachtet. #Kriegsmaterial http:…,schockiert parlamentsmehrheit ethische humanitär prinzipien missachtet kriegsmaterial http,,,,,,,,,,,,,,,,,,,,,,"{'Die': 0.08, 'ist': 0.05, 'schockiert': 0.1, 'über': 0, 'Parlamentsmehrheit': 0.055, 'die': 0.08, 'ethische': 0.03, 'humanitäre': 0.07, 'Prinzipien': 0.12, 'missachtet': 0, 'Kriegsmaterial': 0.5349999999999999, 'http': 1.0, '…': 0}",positive,"[0.33075547, 0.005724825, 0.66351974]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @konzern_vi: Rudolf Strahm bringt es auf den Punkt: 
«Die Haftungsfrage ist die selbstverständliche Anstandsregel des marktwirtschaftlic…",rudolf strahm bringen punkt haftungsfrage selbstverständliche anstandsregel marktwirtschaftlic,,,,,,,,,,,,,,,,,,,,,,,,,"{'Rudolf': 0.11, 'Strahm': 0.15, 'bringt': 0, 'es': 0.41, 'auf': 0, 'den': 0.21, 'Punkt': 0, '«': 0, 'Die': 0, 'Haftungsfrage': 0, 'ist': 0, 'die': 0, 'selbstverständliche': 0, 'Anstandsregel': 0, 'des': 0, 'marktwirtschaftlic': 0, '…': 0}",positive,"[0.053984545, 0.005633973, 0.94038147]",,,,,,,neutral
