answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3416,absa_sentiment_3416,absa_scores_3416,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3446,absa_sentiment_3446,absa_scores_3446,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,14.0,-0.7,neutral,"Und - was @FabianMolinaNR bewusst vergisst: die #Unionsbürgerrichtlinie auszuschliessen oder so zu entschärfen, dass nur Personen, die länger bei uns gearbeitet haben, Sozialhilfeleistungen beziehen können und die Ausweisung von EU-BürgerInnen nicht erschwert wird. https://t.co/mgEjje4Jm3",bewusst vergisst unionsbürgerrichtlinie auszuschliessen entschärfen personen lang arbeiten sozialhilfeleistungen beziehen ausweisung eu bürgerinnen erschweren,"{'Und': 0.35, 'was': 0, 'bewusst': 0, 'vergisst': 0.09, 'die': 0.21, 'Unionsbürgerrichtlinie': 0, 'auszuschliessen': 0.09, 'oder': 0.06, 'so': 0, 'zu': 0.07, 'entschärfen': 0.09, 'dass': 0.14, 'nur': 0.23, 'Personen': 0, 'länger': 0.12, 'bei': 0, 'uns': 0.09, 'gearbeitet': 0.11, 'haben': 0.060000000000000005, 'Sozialhilfeleistungen': 0.955, 'beziehen': 0, 'können': 0, 'und': 0.35, 'Ausweisung': 0.27, 'von': 0, 'EU-BürgerInnen': 0.15500000000000003, 'nicht': 0.07, 'erschwert': 0.08, 'wird': 0}",positive,"[0.07009243, 0.0426292, 0.8872783]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
25.0,0.0,14.0,-0.5,neutral,"@PGrasarevic Vielleicht, weil Menschen Individuen sind und keinen verstaatlichten Wohnungsbau wollen? Extreme Rezepte funktionieren nie, Gleichmacherei auch nicht. Die Räume unterscheiden sich massiv. Machen wir aus Brienz, Guarda, Ascona, Montreux, Bremgarten, Alllschwil Hochhaussiedlungen?",vielleicht menschen individuen verstaatlichen wohnungsbau extreme rezepte funktionieren nie gleichmacherei räume unterscheiden massiv brienz guarda ascona montreux bremgarten alllschwil hochhaussiedlungen,,,,"{'Vielleicht': 0, 'weil': 0.11, 'Menschen': 0.04, 'Individuen': 0.04, 'sind': 1.0, 'und': 0.02, 'keinen': 0, 'verstaatlichten': 0, 'Wohnungsbau': 0.07, 'wollen': 0.06, 'Extreme': 0.05, 'Rezepte': 0.05, 'funktionieren': 0, 'nie': 0, 'Gleichmacherei': 0.06, 'auch': 0, 'nicht': 0, 'Die': 0.08, 'Räume': 0, 'unterscheiden': 0, 'sich': 0, 'massiv': 0, 'Machen': 0, 'wir': 0, 'aus': 0, 'Brienz': 0.05, 'Guarda': 0, 'Ascona': 0.06, 'Montreux': 0.07, 'Bremgarten': 0.12, 'Alllschwil': 0.25, 'Hochhaussiedlungen': 0.29}",neutral,"[0.6221134, 0.30369654, 0.07419006]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
75.0,100.0,86.0,0.5666666666666667,negative,"@feldkorn @fdp @FDP_Liberalen Nein, gar nicht. Das ist doch eine persönliche Sache, wer Sterbehilfe in Anspruch nehmen will. Die @FDP_Liberalen respektiert den freien Entscheid der einzelnen Person, Sterbehilfe in Anspruch zu nehmen oder auch nicht. Der Staat hat sich da rauszuhalten.",nein gar persönlich sache wer sterbehilfe anspruch nehmen respektieren frei entscheid einzeln person sterbehilfe anspruch nehmen staat rauszuhalten,,,,,,,"{'Nein': 0.09, 'gar': 0.035, 'nicht': 0.02, 'Das': 0.09, 'ist': 0.06, 'doch': 0, 'eine': 0, 'persönliche': 0.08, 'Sache': 0.15, 'wer': 0.12, 'Sterbehilfe': 0.1, 'in': 0, 'Anspruch': 0, 'nehmen': 0.03, 'will': 0, 'Die': 0.09, 'respektiert': 0, 'den': 0.09, 'freien': 0.25, 'Entscheid': 0.2, 'der': 0.09, 'einzelnen': 0.07, 'Person': 0.07, 'zu': 0.03, 'oder': 0.02, 'auch': 0, 'Der': 0.09, 'Staat': 0.18, 'hat': 0, 'sich': 0, 'da': 0, 'rauszuhalten': 0.025}",neutral,"[0.4906059, 0.020991063, 0.48840305]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @cwasi: Nationalrat stimmt für 5G! 📱💻
Das Parlament fordert raschen Aufbau des 5G-Mobilfunknetzes:
✅ bessere Rahmenbedingungen für hochw…",nationalrat stimmen g parlament fordern rasch aufbau g mobilfunknetzes gut rahmenbedingungen hochw,,,,,,,,,,"{'Nationalrat': 0.085, 'stimmt': 0, 'für': 0.39, 'G': 0, 'Das': 0.09, 'Parlament': 0.15, 'fordert': 0.2, 'raschen': 0, 'Aufbau': 0, 'des': 0, '5G-Mobilfunknetzes': 0.235, 'bessere': 1.0, 'Rahmenbedingungen': 0.62, 'hochw': 0, '…': 0}",positive,"[0.018265283, 0.0071931886, 0.97454154]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@johnlswiss @FDP_Liberalen 1/ Erstens: Die FDP ist für die Ablösung von fossiler durch erneuerbare Energie. Unsere Leute sind voll dabei, wenn es zB um den Ausbau der Wasserkraft, der E-Mobilität und die Entwicklung der Wasserstofftechnologie geht. Einsprachen gegen Staumauererhöhungen kommen von links.",erstens fdp ablösung fossil erneuerbare energie leute voll dabei zb ausbau wasserkraft e mobilität entwicklung wasserstofftechnologie gehen einsprechen staumauererhöhungen kommen links,,,,,,,,,,,,,"{'Erstens': 0.08, 'Die': 0.04, 'FDP': 0.19, 'ist': 0.13, 'für': 0.02, 'die': 0.04, 'Ablösung': 0, 'von': 0.04, 'fossiler': 0.3, 'durch': 0, 'erneuerbare': 1.0, 'Energie': 0, 'Unsere': 0.06, 'Leute': 0.06, 'sind': 0.03, 'voll': 0.07, 'dabei': 0, 'wenn': 0, 'es': 0.13, 'zB': 0, 'um': 0, 'den': 0.04, 'Ausbau': 0, 'der': 0.04, 'Wasserkraft': 0.17, 'E-Mobilität': 0, 'und': 0.05, 'Entwicklung': 0.08, 'Wasserstofftechnologie': 0.085, 'geht': 0, 'Einsprachen': 0.07, 'gegen': 0, 'Staumauererhöhungen': 0.085, 'kommen': 0.04, 'links': 0}",neutral,"[0.4609606, 0.11067415, 0.42836526]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"@EmmanuelUllmann Was ich immer falsch gefunden habe. Man kann nicht ständig Solidarität predigen und dann meinen, andere holten im Krisenfall die Kartoffeln aus dem Feuer. There is no free lunch. Und über Kampfflugzeuge Ja oder Nein haben wir abgestimmt.",immer falsch finden ständig solidarität predigen holen krisenfall kartoffeln feuer there is no free lunch kampfflugzeuge ja nein abstimmen,,,,,,,,,,,,,,,,"{'Was': 0, 'ich': 0.03, 'immer': 0.04, 'falsch': 0, 'gefunden': 0.03, 'habe': 0, 'Man': 0, 'kann': 0, 'nicht': 0, 'ständig': 0, 'Solidarität': 0.06, 'predigen': 0, 'und': 0.06, 'dann': 0.01, 'meinen': 0.02, 'andere': 0.04, 'holten': 0, 'im': 0, 'Krisenfall': 0.09, 'die': 0.02, 'Kartoffeln': 0.1, 'aus': 0.03, 'dem': 0.02, 'Feuer': 0.09, 'There': 0.04, 'is': 0.04, 'no': 0.11, 'free': 0.11, 'lunch': 0.16, 'Und': 0.06, 'über': 0, 'Kampfflugzeuge': 0, 'Ja': 0.06, 'oder': 0.07, 'Nein': 0.11, 'haben': 0, 'wir': 0, 'abgestimmt': 0.2}",neutral,"[0.5276654, 0.02133647, 0.4509982]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,@MarcBuergi Kennst Du den Entscheid des Bundesrats schon und auch gleich noch die Kriterien des Evaluationsteams? Nach COVID-Experte nun auch noch Kampfflugzeug-Spezialist?,kennen entscheid bundesrats schon gleichen kriterien evaluationsteams covid experte kampfflugzeug spezialist,,,,,,,,,,,,,,,,"{'Kennst': 0.125, 'Du': 0, 'den': 0.27, 'Entscheid': 0.11, 'des': 0, 'Bundesrats': 0.06, 'schon': 0, 'und': 0.06, 'auch': 0.54, 'gleich': 0, 'noch': 0, 'die': 0.27, 'Kriterien': 0.17, 'Evaluationsteams': 0, 'Nach': 0, 'COVID-Experte': 0.265, 'nun': 0, 'Kampfflugzeug-Spezialist': 0.385}",neutral,"[0.9579097, 0.03295796, 0.009132225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Genau. Gegnern geht es nicht um den Typ und schon gar nicht um eine objektive Evaluation, sondern nur um Verhinderung der Kampfflugzeug-Beschaffung. Jetzt wird aufgrund von Indiskretionen schon Stimmung gemacht, obwohl der Bundesrat noch gar nicht entschieden hat. Topseriös 🙈 https://t.co/W3TOmH2bbw",genau gegnern gehen typ schon gar objektive evaluation verhinderung kampfflugzeug beschaffung aufgrund indiskretionen schon stimmung obwohl bundesrat gar entscheiden topseriös,,,,,,,,,,,,,,,,"{'Genau': 0.05500000000000001, 'Gegnern': 0.07, 'geht': 0, 'es': 0.03, 'nicht': 0.05, 'um': 0.07, 'den': 0.04, 'Typ': 0.03, 'und': 0.02, 'schon': 0, 'gar': 0, 'eine': 0, 'objektive': 0.05, 'Evaluation': 0.08, 'sondern': 0.03, 'nur': 0.03, 'Verhinderung': 0, 'der': 0.04, 'Kampfflugzeug-Beschaffung': 0.065, 'Jetzt': 0.03, 'wird': 0, 'aufgrund': 0.03, 'von': 0, 'Indiskretionen': 0.09, 'Stimmung': 0.05, 'gemacht': 0, 'obwohl': 0.06, 'Bundesrat': 0.07, 'noch': 0, 'entschieden': 0, 'hat': 0, 'Topseriös': 1.0}",negative,"[0.30590016, 0.5175717, 0.1765282]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,@cinnamonredeye @rolandsweg Nee. Freie Marktwirtschaft geht anders. Nicht zuletzt deshalb sage ich getrost nein.,nee freie marktwirtschaft gehen zuletzt deshalb sage getrost nein,,,,,,,,,,,,,,,,,,,"{'Nee': 0, 'Freie': 1.0, 'Marktwirtschaft': 0.745, 'geht': 0, 'anders': 0, 'Nicht': 0.03, 'zuletzt': 0, 'deshalb': 0.06, 'sage': 0, 'ich': 0.06, 'getrost': 0.11, 'nein': 0.08}",positive,"[0.03745808, 0.0041917395, 0.9583502]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,57.0,-0.1,neutral,"@reginajaekel Doch, sicher. Aber ich darf in der freien Marktwirtschaft auch die Entscheide derer, die sie treffen, kritisieren. Die Entwicklung geht in eine falsche Richtung. Weil Entscheide an Gesinnungen geknüpft werden. Wer demokratische Rechte wahrnimmt, sollte nicht sanktioniert werden.",sichern dürfen frei marktwirtschaft entscheide treffen kritisieren entwicklung gehen falsch richtung entscheide gesinnungen knüpfen wer demokratische rechte wahrnehmen sollen sanktionieren,,,,,,,,,,,,,,,,,,,"{'Doch': 0.07, 'sicher': 0, 'Aber': 0.07, 'ich': 0.06, 'darf': 0, 'in': 0.01, 'der': 0.02, 'freien': 1.0, 'Marktwirtschaft': 0.76, 'auch': 0.05, 'die': 0.02, 'Entscheide': 0, 'derer': 0.02, 'sie': 0, 'treffen': 0, 'kritisieren': 0.13, 'Die': 0.02, 'Entwicklung': 0.1, 'geht': 0, 'eine': 0, 'falsche': 0.07, 'Richtung': 0.02, 'Weil': 0.02, 'an': 0, 'Gesinnungen': 0, 'geknüpft': 0, 'werden': 0, 'Wer': 0.01, 'demokratische': 0.07, 'Rechte': 0, 'wahrnimmt': 0, 'sollte': 0.01, 'nicht': 0.02, 'sanktioniert': 0.05}",positive,"[0.012412279, 0.00333634, 0.9842514]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,28.0,-0.325,negative,"@JVergeat Verstehe das, wer will. Es gibt übrigens Abhilfevorschläge. Den Kapitalismus - der bei uns eine soziale Marktwirtschaft ist - abschaffen braucht man deswegen nicht. Im Sozialismus fror und friert man mehr. https://t.co/Dd34ewylyO",verstehen wer geben übrigens abhilfevorschläge kapitalismus soziale marktwirtschaft abschaffen brauchen deswegen sozialismus frieren frieren mehr,,,,,,,,,,,,,,,,,,,"{'Verstehe': 0.04, 'das': 0.03, 'wer': 0.04, 'will': 0, 'Es': 0.18, 'gibt': 0.02, 'übrigens': 0.0275, 'Abhilfevorschläge': 0.12, 'Den': 0.03, 'Kapitalismus': 0.39, 'der': 0.03, 'bei': 0, 'uns': 0.13, 'eine': 0.07, 'soziale': 1.0, 'Marktwirtschaft': 0.855, 'ist': 0.18, 'abschaffen': 0.21, 'braucht': 0, 'man': 0, 'deswegen': 0, 'nicht': 0, 'Im': 0, 'Sozialismus': 0.17, 'fror': 0, 'und': 0.07, 'friert': 0.18, 'mehr': 0.06}",positive,"[0.03928897, 0.012802104, 0.9479089]",,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.85,neutral,"@Goi93_Chaos @narimoldi @RaGl @Twitter @SVPch @KoeppelRoger Sehen Sie, wie rasch man Klischees aufsitzt. Diese Debatte hat mit der Wirtschaftsordnung nichts zu tun. Ich setze mich genauso für das Recht von Linksaussen-Leuten ein, das zu sagen, was sie sagen wollen. Und ich bin für die soziale Marktwirtschaft, nicht eine libertäre Ordnung.",sehen rasch klischees aufsitzen debatte wirtschaftsordnung tun setzen genauso recht linksaussen leuten sagen sagen soziale marktwirtschaft libertäre ordnung,,,,,,,,,,,,,,,,,,,"{'Sehen': 0.15, 'Sie': 0, 'wie': 0.12, 'rasch': 0, 'man': 0, 'Klischees': 0, 'aufsitzt': 0, 'Diese': 0.28, 'Debatte': 0.69, 'hat': 0, 'mit': 0.25, 'der': 0.03, 'Wirtschaftsordnung': 0.12, 'nichts': 1.0, 'zu': 0.02, 'tun': 0.51, 'Ich': 0.03, 'setze': 0, 'mich': 0, 'genauso': 0, 'für': 0.07, 'das': 0, 'Recht': 0, 'von': 0, 'Linksaussen-Leuten': 0.025, 'ein': 0, 'sagen': 0.02, 'was': 0, 'sie': 0, 'wollen': 0.02, 'Und': 0.02, 'ich': 0.03, 'bin': 0, 'die': 0.03, 'soziale': 0.03, 'Marktwirtschaft': 0.060000000000000005, 'nicht': 0.08, 'eine': 0, 'libertäre': 0.1, 'Ordnung': 0.02}",positive,"[0.3826348, 0.041422788, 0.5759424]",,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,"Die @spschweiz , die noch nie einen Vorschlag brachte und beim #InstA seit Jahren alle Vorschläge blockiert, weil sie beim Lohnschutz wie bei #COVID-Bekämpfung auf Fax und Velokurier statt auf Digitalisierung setzt, basht @ignaziocassis . BTW: #SP ist die Partei, die in #EU will. https://t.co/g1YGt2FYEG",nie vorschlag bringen beim insta seit jahren all vorschläge blockieren beim lohnschutz covid bekämpfung fax velokurier statt digitalisierung setzen basht btw sp partei eu,,,,,,,,,,,,,,,,,,,,,,"{'Die': 0.04, 'die': 0.04, 'noch': 0, 'nie': 0, 'einen': 0.02, 'Vorschlag': 0.09, 'brachte': 0, 'und': 0.08, 'beim': 0.035, 'InstA': 0.08, 'seit': 0, 'Jahren': 0.03, 'alle': 0, 'Vorschläge': 0.11, 'blockiert': 0, 'weil': 0.08, 'sie': 0.09, 'Lohnschutz': 0.11499999999999999, 'wie': 0, 'bei': 0.03, 'COVID-Bekämpfung': 0.095, 'auf': 0.06, 'Fax': 0, 'Velokurier': 0, 'statt': 0.19, 'Digitalisierung': 0, 'setzt': 0, 'basht': 0, 'BTW': 0.06, 'SP': 0.03, 'ist': 0.04, 'Partei': 0.08, 'in': 0.06, 'EU': 0, 'will': 0}",neutral,"[0.54282033, 0.40064043, 0.056539252]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,25.0,28.0,-0.15,negative,🤔 Nüchterne Güterabwägung: Lukas #Bärfuss wäre nach einem #EU -Beitritt immer noch gleich unzufrieden und griesgrämig wie heute. Also machen wir es nicht …  https://t.co/zQyDFqydk2,nüchterne güterabwägung lukas bärfuss eu beitreten immer gleichen unzufrieden griesgrämig heute,,,,,,,,,,,,,,,,,,,,,,,,,"{'🤔': 0, 'Nüchterne': 0, 'Güterabwägung': 0, 'Lukas': 0, 'Bärfuss': 0, 'wäre': 0, 'nach': 0, 'einem': 0, 'EU': 0, '-Beitritt': 0, 'immer': 0, 'noch': 0, 'gleich': 0, 'unzufrieden': 0, 'und': 0, 'griesgrämig': 0, 'wie': 0, 'heute': 0, 'Also': 0, 'machen': 0, 'wir': 0, 'es': 0, 'nicht': 0, '…': 0}",neutral,"[0.57912916, 0.36936828, 0.051502574]",,,,,,,,,,,,,,,,,,,neutral
