answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3458,absa_sentiment_3458,absa_scores_3458,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
75.0,100.0,86.0,0.5666666666666667,neutral,"Vor wenigen Jahren bekämpften Gemeinderat, SP und GB die von der glp geforderten #Betreuungsgutscheine. Die Bevölkerung stimmte ihnen aber zweimal zu. Nun verkündet der Gemeinderat stolz, dass das Berner Kinderbetreuungsangebot am besten bewertet wird. https://t.co/DfP0V2XSnp",wenig jahren bekämpfen gemeinderat sp gb glp gefordert betreuungsgutscheine bevölkerung stimmen zweimal verkünden gemeinderat stolz berner kinderbetreuungsangebot gut bewerten,"{'Vor': 0.32, 'wenigen': 0.01, 'Jahren': 0.02, 'bekämpften': 0.19, 'Gemeinderat': 0.08499999999999999, 'SP': 0.01, 'und': 0.02, 'GB': 0.02, 'die': 0.08, 'von': 0, 'der': 0.08, 'glp': 0.04, 'geforderten': 0.07, 'Betreuungsgutscheine': 0.08, 'Die': 0.08, 'Bevölkerung': 0.06, 'stimmte': 0, 'ihnen': 0, 'aber': 0.03, 'zweimal': 0.04, 'zu': 0.04, 'Nun': 0, 'verkündet': 0, 'stolz': 0, 'dass': 0.15, 'das': 0.15, 'Berner': 0, 'Kinderbetreuungsangebot': 1.0, 'am': 0, 'besten': 0.27, 'bewertet': 0, 'wird': 0}",positive,"[0.003301399, 0.0020073834, 0.9946912]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,positive,"Wie viel ist uns gute Kinderbetreuung wert? Während man sich in der Vergangenheit vor allem um die Quantität an Kitaplätzen sorgte, wird zukünftig die Qualität im Zentrum stehen. Und der Zugang zu Kinderbetreuung in ländlichen Gebieten des Kantons. https://t.co/9Cob856Ihe",gut kinderbetreuung wert vergangenheit quantität kitaplätzen sorgen zukünftig qualität zentrum stehen zugang kinderbetreuung ländlich gebieten kantons,"{'Wie': 0, 'viel': 0, 'ist': 0.3, 'uns': 0.08, 'gute': 0.08, 'Kinderbetreuung': 0.04, 'wert': 0.37, 'Während': 0.03, 'man': 0, 'sich': 0, 'in': 0.01, 'der': 0.01, 'Vergangenheit': 0.07, 'vor': 0, 'allem': 0, 'um': 0, 'die': 0.01, 'Quantität': 0.03, 'an': 0, 'Kitaplätzen': 0, 'sorgte': 0, 'wird': 0.03, 'zukünftig': 0.03, 'Qualität': 0.08, 'im': 0, 'Zentrum': 0, 'stehen': 0, 'Und': 0.03, 'Zugang': 0.02, 'zu': 0.01, 'ländlichen': 0.02, 'Gebieten': 0.01, 'des': 0, 'Kantons': 0}",positive,"[0.0033143372, 0.0043136836, 0.99237204]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"@MichuBurkard @derbund @RepublikMagazin Der Wettbewerb ist nicht das Problem. Es ist das Care-Arbeit Problem: Zu meinen, dass gute Kinderbetreuung von ausgebildeten Mitarbeitenden mit guten Arbeitsbedingungen, mit hochwertigem Spielzeug, Essen und Aussenraum nur 110.- pro Tag und Kind koste resp. wert sei.",wettbewerb problem care arbeit problem gut kinderbetreuung ausgebildet mitarbeitend gut arbeitsbedingungen hochwertig spielzeug essen aussenraum pro tag kind kosten resp wert,"{'Der': 0.03, 'Wettbewerb': 0, 'ist': 0.01, 'nicht': 0.02, 'das': 0.23, 'Problem': 0.2, 'Es': 0.01, 'Care-Arbeit': 0.025, 'Zu': 0.07, 'meinen': 0.27, 'dass': 0.23, 'gute': 0.09, 'Kinderbetreuung': 1.0, 'von': 0, 'ausgebildeten': 0.07, 'Mitarbeitenden': 0.06, 'mit': 0.04, 'guten': 0.12, 'Arbeitsbedingungen': 0.05, 'hochwertigem': 0.06, 'Spielzeug': 0, 'Essen': 0, 'und': 0.01, 'Aussenraum': 0.02, 'nur': 0.04, '110.-': 0, 'pro': 0, 'Tag': 0, 'Kind': 0, 'koste': 0, 'resp': 0, 'wert': 0.05, 'sei': 0}",positive,"[0.0019990813, 0.0048843115, 0.9931166]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @fteuscher: Ordnungsbussen sind nicht der Weisheit letzter Schluss. Bringen wir die Cannabis-Regulierung gemeinsam weiter. Neue wissensc…,ordnungsbussen weisheit letzt schluss bringen cannabis regulierung gemeinsam weit neue wissensc,,,,"{'Ordnungsbussen': 0.12, 'sind': 0.12, 'nicht': 0.09, 'der': 0.04, 'Weisheit': 0.1, 'letzter': 0.04, 'Schluss': 0, 'Bringen': 0, 'wir': 0, 'die': 0.04, 'Cannabis-Regulierung': 0.125, 'gemeinsam': 0.09, 'weiter': 0, 'Neue': 0.34, 'wissensc': 0.97, '…': 0}",positive,"[0.04690557, 0.0050384877, 0.948056]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,positive,"@srfnews @wahlch15 Sehr cool, aber nicht wirklich eine Premiere. Vier Wochen Vaterschaftsurlaub sind bei uns @liip bereits Normalität. Vermutlich gibt es auch noch ein paar andere Beispiele.",cool wirklich premiere vier wochen vaterschaftsurlaub bereits normalität vermutlich geben paar beispiele,,,,,,,"{'Sehr': 0.05, 'cool': 0.14, 'aber': 0.06, 'nicht': 0.09, 'wirklich': 0.06, 'eine': 0, 'Premiere': 0, 'Vier': 0.19, 'Wochen': 0.34, 'Vaterschaftsurlaub': 0.635, 'sind': 0.14, 'bei': 0, 'uns': 0.37, 'bereits': 0.93, 'Normalität': 0, 'Vermutlich': 0, 'gibt': 0.14, 'es': 1.0, 'auch': 0, 'noch': 0, 'ein': 0, 'paar': 0, 'andere': 0, 'Beispiele': 0.18}",neutral,"[0.79885656, 0.1097788, 0.09136463]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Meine Mitteilung an die Angehörigen im Spenderegister ist so: „Falls meine Todesursache klar und deshalb keine Obduktion nötig ist, bitte alles Wertvolle an mir spenden für Transplantation und Forschung. Wir sehen uns auf der anderen Seite“
Und eure? #organspende @Swisstransplant https://t.co/3HnnDQlUKr",mitteilung angehörig spenderegister falls todesursache klaren deshalb obduktion nötigen bitte wertvolle spenden transplantation forschung sehen seite organspende,,,,,,,,,,"{'Meine': 0.02, 'Mitteilung': 0.08, 'an': 0, 'die': 0.04, 'Angehörigen': 0.05, 'im': 0, 'Spenderegister': 0.27, 'ist': 0, 'so': 0, '„': 0, 'Falls': 0, 'meine': 0, 'Todesursache': 0, 'klar': 0, 'und': 0, 'deshalb': 0, 'keine': 0, 'Obduktion': 0, 'nötig': 0, 'bitte': 0, 'alles': 0, 'Wertvolle': 0, 'mir': 0, 'spenden': 0, 'für': 0, 'Transplantation': 0, 'Forschung': 0, 'Wir': 0, 'sehen': 0, 'uns': 0, 'auf': 0, 'der': 0, 'anderen': 0, 'Seite': 0, '“': 0, 'Und': 0, 'eure': 0, 'organspende': 0}",neutral,"[0.74834055, 0.011043904, 0.2406155]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,@MoeLindgren @so_chandru @TeleBaernTV Ich kann deine Kritik teilweise gelten lassen @so_chandru. Die 5 Mio Mindereinnahmen durch die gewünschte moderate Steuersenkung wären im Fonds als Reserve gut aufgehoben gewesen. Was wir aber feststellen: Geldsegen führt bei RGM-Dominanz zu einer unnachhaltigen Ausgabefreude,kritik teilweise gelten lassen mio mindereinnahmen gewünscht moderate steuersenkung fonds reserve gut aufheben feststellen geldsegen führen rgm dominanz unnachhaltigen ausgabefreude,,,,,,,,,,,,,"{'Ich': 0.05, 'kann': 0.05, 'deine': 0.08, 'Kritik': 0.1, 'teilweise': 0, 'gelten': 0, 'lassen': 0, 'Die': 0.04, 'Mio': 0, 'Mindereinnahmen': 0.11, 'durch': 0, 'die': 0.04, 'gewünschte': 1.0, 'moderate': 1.0, 'Steuersenkung': 0.54, 'wären': 0.45, 'im': 0, 'Fonds': 0, 'als': 0.06, 'Reserve': 0.09, 'gut': 0, 'aufgehoben': 0, 'gewesen': 0.15, 'Was': 0, 'wir': 0, 'aber': 0, 'feststellen': 0, 'Geldsegen': 0, 'führt': 0.08, 'bei': 0, 'RGM-Dominanz': 0.07500000000000001, 'zu': 0.03, 'einer': 0, 'unnachhaltigen': 0.11, 'Ausgabefreude': 0.03}",negative,"[0.169456, 0.56899154, 0.26155236]",,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5,neutral,"RT @glp_bern: Mehr Transparenz bei der Finanzierung von Parteien und Kampagnen - wir freuen uns über die Annahme unseres Antrags, dass auch…",mehr transparenz finanzierung parteien kampagnen freuen annahme antrags,,,,,,,,,,,,,,,,"{'Mehr': 1.0, 'Transparenz': 1.0, 'bei': 0, 'der': 0.2, 'Finanzierung': 0.77, 'von': 0, 'Parteien': 0.21, 'und': 0.16, 'Kampagnen': 0.26, 'wir': 0, 'freuen': 0, 'uns': 0, 'über': 0, 'die': 0.2, 'Annahme': 0, 'unseres': 0, 'Antrags': 0.18, 'dass': 0.08, 'auch': 0.08, '…': 0}",positive,"[0.016779328, 0.006536351, 0.97668433]",,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,"Für diejenigen, die sich ebenfalls wundern, wohin die zusätzliche Produktivität aus  30 Jahren Digitalisierung verpufft ist. Wie oft hatte ich in meinem Berufsleben schon das Gefühl, wir trampeln uns gegenseitig auf die Füsse... https://t.co/OjjeeolVYd",derjenige ebenfalls wundern wohin zusätzliche produktivität jahren digitalisierung verpuffen oft berufsleben schon gefühl trampeln gegenseitig füsse,,,,,,,,,,,,,,,,,,,"{'Für': 0.05, 'diejenigen': 0.05, 'die': 0.04, 'sich': 0, 'ebenfalls': 0, 'wundern': 0, 'wohin': 0.06, 'zusätzliche': 0.07, 'Produktivität': 0.23, 'aus': 0, 'Jahren': 0.2, 'Digitalisierung': 0, 'verpufft': 0, 'ist': 0, 'Wie': 0, 'oft': 0, 'hatte': 0.02, 'ich': 0.02, 'in': 0.03, 'meinem': 0.02, 'Berufsleben': 0.04, 'schon': 0, 'das': 0.03, 'Gefühl': 0.04, 'wir': 0, 'trampeln': 0.11, 'uns': 0, 'gegenseitig': 0, 'auf': 0, 'Füsse': 0.11, '...': 0}",negative,"[0.4086158, 0.5570233, 0.034360953]",,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"@coop_ch Kunde wollte solidarisch sein und bashte an der bedienten Kasse das SelfCheckout. ""Die #Digitalisierung ist eine Chance"" kam zurück",kunde solidarisch bashte bedienen kasse selfcheckout digitalisierung chance kommen zurück,,,,,,,,,,,,,,,,,,,"{'Kunde': 0, 'wollte': 0.01, 'solidarisch': 0, 'sein': 0, 'und': 0.03, 'bashte': 0, 'an': 0.12, 'der': 0.05, 'bedienten': 0, 'Kasse': 0, 'das': 0, 'SelfCheckout': 0, 'Die': 0.05, 'Digitalisierung': 0, 'ist': 0.37, 'eine': 0, 'Chance': 0, 'kam': 0.11, 'zurück': 0.1}",neutral,"[0.662214, 0.23315766, 0.104628384]",,,,,,,neutral
