answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3439,absa_sentiment_3439,absa_scores_3439,absa_token_weights_3446,absa_sentiment_3446,absa_scores_3446,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,neutral,"@LeonorePorchet @GrueneCH zur Änderung des Betäubungsmittelgesetzes (Cannabis-Versuche) @ParlCH: ""Die Antwort der Politik auf die Situation mit Cannabis ist ein Verbot, das von der Gesellschaft nicht angenommen wird. Wir sollten über eine neue Antwort nachdenken.""",änderung betäubungsmittelgesetzes cannabis versuche antwort politik situation cannabis verbieten gesellschaft annehmen sollen neue antwort nachdenken,"{'zur': 0.065, 'Änderung': 0, 'des': 0, 'Betäubungsmittelgesetzes': 0.335, 'Cannabis-Versuche': 0.24, 'Die': 0.08, 'Antwort': 0, 'der': 0.08, 'Politik': 0.15, 'auf': 0.1, 'die': 0.08, 'Situation': 0.12, 'mit': 0.07, 'Cannabis': 0.24, 'ist': 0.04, 'ein': 0, 'Verbot': 0.14, 'das': 0.03, 'von': 0, 'Gesellschaft': 0.13, 'nicht': 0.03, 'angenommen': 0, 'wird': 0.04, 'Wir': 0.03, 'sollten': 0.03, 'über': 0, 'eine': 0, 'neue': 0.05, 'nachdenken': 0.05}",neutral,"[0.7983794, 0.059208456, 0.14241205]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"@sergegnos @operationlibero @GrueneZuerich @spzuerich @bglaettli @minlimarti @JayBadran Und eine Flexibilisierung muss so ausgestaltet sein, dass es nicht nur Freiheiten schafft für diejenigen, die Geld haben. Sonst ist es faktisch eine Rentenaltererhöhung.",flexibilisierung ausgestalten freiheiten schaffen derjenige geld faktisch rentenaltererhöhung,,,,"{'Und': 0.05, 'eine': 0, 'Flexibilisierung': 0.16, 'muss': 0, 'so': 0, 'ausgestaltet': 0.2, 'sein': 0, 'dass': 0.04, 'es': 0.26, 'nicht': 0.04, 'nur': 0.04, 'Freiheiten': 0, 'schafft': 0.15, 'für': 0.13, 'diejenigen': 0.06, 'die': 0.33, 'Geld': 0.15, 'haben': 0.05, 'Sonst': 0.27, 'ist': 0.26, 'faktisch': 0.375, 'Rentenaltererhöhung': 0.8725}",negative,"[0.21587883, 0.46762562, 0.31649557]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"@sergegnos @operationlibero @GrueneZuerich @spzuerich @bglaettli @minlimarti @JayBadran Nein. Eine Erhöhung des Frauenrentenalters kommt für mich nur mit Fortschritten bei Lohngleichheit, Vereinbarkeit und Anerkennung der unbezahlten Care-Arbeit in Frage.",nein erhöhung frauenrentenalters kommen fortschritten lohngleichheit vereinbarkeit anerkennung unbezahlt care arbeit fragen,,,,"{'Nein': 0.16, 'Eine': 0, 'Erhöhung': 0, 'des': 0, 'Frauenrentenalters': 0.645, 'kommt': 0, 'für': 0.22, 'mich': 0.12, 'nur': 0.66, 'mit': 0, 'Fortschritten': 0.17, 'bei': 0, 'Lohngleichheit': 0.095, 'Vereinbarkeit': 0.05, 'und': 0.06, 'Anerkennung': 0.15, 'der': 0.45, 'unbezahlten': 0.13, 'Care-Arbeit': 0.095, 'in': 0.04, 'Frage': 0}",neutral,"[0.5162604, 0.18683459, 0.29690504]",,,,"{'Nein': 0.06, 'Eine': 0, 'Erhöhung': 0, 'des': 0, 'Frauenrentenalters': 0.09, 'kommt': 0, 'für': 0.05, 'mich': 0.05, 'nur': 0.05, 'mit': 0, 'Fortschritten': 0.24, 'bei': 0, 'Lohngleichheit': 1.0, 'Vereinbarkeit': 0.13, 'und': 0.24, 'Anerkennung': 0.29, 'der': 0.05, 'unbezahlten': 0.2, 'Care-Arbeit': 0.12, 'in': 0.08, 'Frage': 0}",neutral,"[0.39768782, 0.28388143, 0.3184308]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"@sergegnos @operationlibero @GrueneZuerich @spzuerich @bglaettli @minlimarti @JayBadran Ich bin für die Flexibilisierung des Rentenalters, die das Berufseintrittsalter und die Gesundheitsbelastung im Erwerbsleben berücksichtigt.",flexibilisierung rentenalters berufseintrittsalter gesundheitsbelastung erwerbsleben berücksichtigen,,,,"{'Ich': 0.06, 'bin': 0, 'für': 0, 'die': 0.05, 'Flexibilisierung': 0, 'des': 0, 'Rentenalters': 0.64, 'das': 0, 'Berufseintrittsalter': 0.17, 'und': 0.06, 'Gesundheitsbelastung': 0.08, 'im': 0, 'Erwerbsleben': 0.05, 'berücksichtigt': 0.095}",positive,"[0.11207291, 0.019398533, 0.86852854]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@EbnotherStephan @migrantsrights @GrueneParlament @ParlCH Nein, das heisst es nicht. Es heisst lediglich, dass wir @ParlCH nicht mehr bereit sind, unter dem Vorwand des Nachvollzugs von EU-Recht das Asylrecht derart zu verschärfen, wie in Vergangenheit zu oft der Fall war.",nein heisst heisst lediglich mehr bereiten vorwand nachvollzugs eu recht asylrecht derart verschärfen vergangenheit oft fall,,,,,,,"{'Nein': 0.26, 'das': 0.06, 'heisst': 0.065, 'es': 0.04, 'nicht': 0.03, 'Es': 0.04, 'lediglich': 0, 'dass': 0.06, 'wir': 0, 'mehr': 0, 'bereit': 0.37, 'sind': 0.08, 'unter': 0.62, 'dem': 0.28500000000000003, 'Vorwand': 0.52, 'des': 0, 'Nachvollzugs': 0, 'von': 0, 'EU-Recht': 0.115, 'Asylrecht': 0.315, 'derart': 0.06, 'zu': 0.53, 'verschärfen': 1.0, 'wie': 0, 'in': 0.03, 'Vergangenheit': 0.06, 'oft': 0, 'der': 0.04, 'Fall': 0, 'war': 0}",neutral,"[0.6774444, 0.2824195, 0.040136084]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"@sergegnos @operationlibero @GrueneZuerich @spzuerich @bglaettli @minlimarti @JayBadran Nein. Eine Erhöhung des Frauenrentenalters kommt für mich nur mit Fortschritten bei Lohngleichheit, Vereinbarkeit und Anerkennung der unbezahlten Care-Arbeit in Frage.",nein erhöhung frauenrentenalters kommen fortschritten lohngleichheit vereinbarkeit anerkennung unbezahlt care arbeit fragen,,,,"{'Nein': 0.16, 'Eine': 0, 'Erhöhung': 0, 'des': 0, 'Frauenrentenalters': 0.645, 'kommt': 0, 'für': 0.22, 'mich': 0.12, 'nur': 0.66, 'mit': 0, 'Fortschritten': 0.17, 'bei': 0, 'Lohngleichheit': 0.095, 'Vereinbarkeit': 0.05, 'und': 0.06, 'Anerkennung': 0.15, 'der': 0.45, 'unbezahlten': 0.13, 'Care-Arbeit': 0.095, 'in': 0.04, 'Frage': 0}",neutral,"[0.5162604, 0.18683459, 0.29690504]",,,,"{'Nein': 0.06, 'Eine': 0, 'Erhöhung': 0, 'des': 0, 'Frauenrentenalters': 0.09, 'kommt': 0, 'für': 0.05, 'mich': 0.05, 'nur': 0.05, 'mit': 0, 'Fortschritten': 0.24, 'bei': 0, 'Lohngleichheit': 1.0, 'Vereinbarkeit': 0.13, 'und': 0.24, 'Anerkennung': 0.29, 'der': 0.05, 'unbezahlten': 0.2, 'Care-Arbeit': 0.12, 'in': 0.08, 'Frage': 0}",neutral,"[0.39768782, 0.28388143, 0.3184308]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @GrueneCH: NEIN zur STAF-Abbauspirale! 📉 Die neue Unternehmenssteuerreform verstärkt den schädlichen Wettbewerb zwischen Kantonen und St…,nein staf abbauspirale neue unternehmenssteuerreform verstärken schädlich wettbewerb kantonen st,,,,,,,,,,,,,"{'NEIN': 0.03, 'zur': 0.22, 'STAF-Abbauspirale': 0.0475, 'Die': 0.42, 'neue': 0.06, 'Unternehmenssteuerreform': 0.10250000000000001, 'verstärkt': 0, 'den': 0.42, 'schädlichen': 1.0, 'Wettbewerb': 0, 'zwischen': 0.22, 'Kantonen': 0.11, 'und': 0.05, 'St': 0.04, '…': 0}",negative,"[0.001353559, 0.9920379, 0.006608472]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,28.0,-0.325,negative,"@_PG_1999 @joergmaeder @CHANCE_5G Natürlich braucht es auch ein Mobilfunknetz, das habe ich nicht in Frage gestellt. Es geht mir mehr um die Tatsache, dass zugunsten des Ausbaus des Mobilfunknetzes der kabelgebundene vernachlässigt wird, weil teurer und aufwendiger.",natürlich brauchen mobilfunknetz fragen stellen gehen mehr tatsache zugunsten ausbaus mobilfunknetzes kabelgebundene vernachlässigen teuer aufwendig,,,,,,,,,,,,,,,,"{'Natürlich': 0, 'braucht': 0, 'es': 0.02, 'auch': 0.53, 'ein': 0, 'Mobilfunknetz': 0.04, 'das': 0.04, 'habe': 0, 'ich': 0.03, 'nicht': 0, 'in': 0.02, 'Frage': 0, 'gestellt': 0, 'Es': 0.02, 'geht': 0, 'mir': 0, 'mehr': 0.02, 'um': 0.42, 'die': 0.03, 'Tatsache': 0.04, 'dass': 0.04, 'zugunsten': 0.0325, 'des': 0, 'Ausbaus': 0, 'Mobilfunknetzes': 0.04, 'der': 0.03, 'kabelgebundene': 0, 'vernachlässigt': 0.09, 'wird': 0, 'weil': 0.03, 'teurer': 0.035, 'und': 0.02, 'aufwendiger': 0.02}",positive,"[0.23253806, 0.12367762, 0.6437843]",,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"RT @GrueneZuerich: #Erneuerbare Anlagen rein, Erdöl- und Gasheizungen raus!😎Mit dem neuen kantonalen Energiegesetz werden die Weichen auf #…",erneuerbare anlagen rein erdöl gasheizungen raus neu kantonalen energiegesetz weich,,,,,,,,,,,,,,,,,,,"{'Erneuerbare': 0.41, 'Anlagen': 0, 'rein': 0, 'Erdöl-': 0, 'und': 0.47, 'Gasheizungen': 0.14, 'raus': 0.58, 'Mit': 0.08, 'dem': 0.04, 'neuen': 0.04, 'kantonalen': 0.05, 'Energiegesetz': 0.055, 'werden': 0, 'die': 0.04, 'Weichen': 0, 'auf': 0, '…': 0}",positive,"[0.0063166013, 0.00934866, 0.98433477]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Das @ParlCH verschärfte das Kriegsmaterialgesetz – gegen den Willen der Rüstungslobby, die den Bundesrat auf ihrer Seite wusste. Rekonstruktion einer friedenspolitischen Erfolgsgeschichte von @jan_jirat @Wochenzeitung. @Korrektur_I https://t.co/AkfWJrE0KF",verschärfen kriegsmaterialgesetz willen rüstungslobby bundesrat seite wusste rekonstruktion friedenspolitischen erfolgsgeschichte,,,,,,,,,,,,,,,,,,,,,,"{'Das': 0.07, 'verschärfte': 1.0, 'das': 1.0, 'Kriegsmaterialgesetz': 0.37, '–': 0, 'gegen': 0, 'den': 0, 'Willen': 0, 'der': 0, 'Rüstungslobby': 0, 'die': 0, 'Bundesrat': 0, 'auf': 0, 'ihrer': 0, 'Seite': 0, 'wusste': 0, 'Rekonstruktion': 0, 'einer': 0, 'friedenspolitischen': 0, 'Erfolgsgeschichte': 0, 'von': 0}",neutral,"[0.5764273, 0.15818925, 0.2653835]",,,,,,,,,,,,,,,,,,,neutral
