answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3446,absa_sentiment_3446,absa_scores_3446,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @AGmur: Jetzt müssen Gymnasiasten und Studierende anstelle der Grosseltern bei der Kinderbetreuung einspringen! #EDK ⁦@silviasteiner⁩ ⁦@…,müssen gymnasiasten studierend anstellen grosseltern kinderbetreuung einspringen edk,"{'Jetzt': 0.08, 'müssen': 0.12, 'Gymnasiasten': 0, 'und': 0.04, 'Studierende': 0.05, 'anstelle': 0.145, 'der': 0, 'Grosseltern': 0.16, 'bei': 0, 'Kinderbetreuung': 1.0, 'einspringen': 0.20500000000000002, 'EDK': 0.03, '\u2066\u2069': 0, '\u2066': 0, '…': 0}",neutral,"[0.774961, 0.11020284, 0.1148361]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @CVP_PDC: Mit der Erhöhung der Steuerabzüge für die externe Kinderbetreuung kommt der BR einer wichtigen Grundsatz nach: Arbeit muss sic…,erhöhung steuerabzüge externe kinderbetreuung kommen br wichtig grundsatz arbeit sic,"{'Mit': 0.04, 'der': 0.11, 'Erhöhung': 0, 'Steuerabzüge': 0.22000000000000003, 'für': 0.37, 'die': 0.11, 'externe': 1.0, 'Kinderbetreuung': 1.0, 'kommt': 0, 'BR': 0.13, 'einer': 0, 'wichtigen': 0.05, 'Grundsatz': 0.11, 'nach': 0, 'Arbeit': 0.08, 'muss': 0, 'sic': 0, '…': 0}",neutral,"[0.79174477, 0.0408661, 0.16738908]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @CVP_PDC: Wichtige Anschubfinanzierung für familienergänzende Kinderbetreuung vom Nationalrat angenommen: https://t.co/ms3OPHhkV5 #Verei…,wichtig anschubfinanzierung familienergänzende kinderbetreuung nationalrat annehmen verei,"{'Wichtige': 0.11, 'Anschubfinanzierung': 0.35, 'für': 0.24, 'familienergänzende': 0, 'Kinderbetreuung': 1.0, 'vom': 0.11, 'Nationalrat': 0.19, 'angenommen': 0.47, 'Verei': 0, '…': 0}",positive,"[0.103960484, 0.032329574, 0.8637099]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @SchmidFederer: Ja zur #familienergänzenden #Kinderbetreuung https://t.co/cMcFH6od4D 👏Herzliche Gratulation an den #Ständerat @CVPFrauen,ja familienergänzenden kinderbetreuung herzlich gratulation ständerat,"{'Ja': 0, 'zur': 0.115, 'familienergänzenden': 0.14, 'Kinderbetreuung': 1.0, 'Herzliche': 0, 'Gratulation': 0.4, 'an': 0, 'den': 0.1, 'Ständerat': 0.14}",positive,"[0.0008674679, 0.0016723623, 0.9974602]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @CVP_PDC: Vereinbarkeit von Familie &amp; Beruf: SR unterstützt Bundesfinanzierung von familienergänzender Kinderbetreuung. https://t.co/U8r…,vereinbarkeit familie amp beruf sr unterstützen bundesfinanzierung familienergänzender kinderbetreuung,"{'Vereinbarkeit': 0, 'von': 0, 'Familie': 0.13, 'amp': 0.07, 'Beruf': 0, 'SR': 0.43, 'unterstützt': 1.0, 'Bundesfinanzierung': 0.595, 'familienergänzender': 0.115, 'Kinderbetreuung': 0.54}",positive,"[0.040331203, 0.016814243, 0.9428545]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,RT @CVP_PDC: 100 Millionen Franken für die familienergänzende Kinderbetreuung sind gut investiertes Geld: https://t.co/K0njVsy1mq https://t…,millionen franken familienergänzende kinderbetreuung gut investiert geld,"{'Millionen': 0, 'Franken': 0, 'für': 0.33, 'die': 0.05, 'familienergänzende': 0.16, 'Kinderbetreuung': 1.0, 'sind': 0, 'gut': 0, 'investiertes': 0, 'Geld': 0.09}",positive,"[0.001434721, 0.0025223098, 0.99604297]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @Blickch: Porchet vs Candinas: Rentenalter 66 – Lösung oder Albtraum? https://t.co/7Vloh9EWnE,porchet vs candinas rentenalter lösung albtraum,,,,"{'Porchet': 0.15, 'vs': 0.32, 'Candinas': 0.18, 'Rentenalter': 0.36, '–': 0, 'Lösung': 0, 'oder': 0, 'Albtraum': 0}",positive,"[0.3017784, 0.026041245, 0.6721803]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CVP_PDC: Ständerat stützt #CVP-Konzept bei #AV2020: kein #Rentenalter67, Einbussen kompensieren, #Heiratsstrafe bekämpfen. https://t.co…",ständerat stützen cvp konzept av2020 rentenalter67 einbussen kompensieren heiratsstrafe bekämpfen,,,,"{'Ständerat': 0.0525, 'stützt': 0.24, 'CVP-Konzept': 0.1, 'bei': 0.13, 'AV2020': 0.2, 'kein': 1.0, 'Rentenalter67': 0.605, 'Einbussen': 0.12, 'kompensieren': 0.2, 'Heiratsstrafe': 0.19, 'bekämpfen': 0.13}",neutral,"[0.66707724, 0.20859313, 0.12432957]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @PetBlun: Mein Kommentar zu #ahvplus: Das Nein zur Initiative ist kein Ja zu Rentenalter 67 - https://t.co/h3anHacuRt via @watson_news #…,kommentar ahvplus nein initiative ja rentenalter via,,,,"{'Mein': 0.04, 'Kommentar': 0.1, 'zu': 0.4, 'ahvplus': 0.1, 'Das': 0.08, 'Nein': 0.57, 'zur': 0.24000000000000002, 'Initiative': 0.2, 'ist': 0.49, 'kein': 0.57, 'Ja': 0, 'Rentenalter': 0.295, 'via': 0.11, '…': 0}",neutral,"[0.61944973, 0.062207643, 0.31834266]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,RT @CVP_PDC: Heute vertritt @AGmur den Vaterschaftsurlaub in der #srfarena - nicht verpassen! Zur Vorbereitung noch in den Worten vom Vater…,heute vertreten vaterschaftsurlaub srfarena verpassen vorbereitung worten vater,,,,,,,"{'Heute': 1.0, 'vertritt': 1.0, 'den': 0.05, 'Vaterschaftsurlaub': 0.885, 'in': 0.07, 'der': 0.05, 'srfarena': 0.24, 'nicht': 0, 'verpassen': 0.39, 'Zur': 0.05, 'Vorbereitung': 0.14, 'noch': 0, 'Worten': 0.15, 'vom': 0.05, 'Vater': 0.15, '…': 0}",positive,"[0.23344985, 0.013758349, 0.7527918]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
