answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,sentiment_tb
0.0,0.0,0.0,-1.0,neutral,@LeaKusano @alinetrede @BFrauchiger @cesseiva @esseivav @TomCBerger @bwg_bern Solange ein Elternteil nur arbeiten geht um die Kinderbetreuung zu bezahlen ist das ein falscher Anreiz. Das ist leider mit den heutigen Tarifen zu oft der Fall. Es gibt noch viel zu tun für die #Vereinbarkeit.,solange elternteil arbeiten gehen kinderbetreuung bezahlen falsch anreiz leider heutig tarifen oft fall geben tun vereinbarkeit,"{'Solange': 0, 'ein': 0.08, 'Elternteil': 0.11, 'nur': 0.3, 'arbeiten': 0.22, 'geht': 0.1, 'um': 0.01, 'die': 0.02, 'Kinderbetreuung': 1.0, 'zu': 0.02, 'bezahlen': 1.0, 'ist': 0.02, 'das': 0, 'falscher': 0, 'Anreiz': 0, 'Das': 0.02, 'leider': 0.02, 'mit': 0.02, 'den': 0.02, 'heutigen': 0.02, 'Tarifen': 0.03, 'oft': 0, 'der': 0.02, 'Fall': 0, 'Es': 0.02, 'gibt': 0, 'noch': 0.02, 'viel': 0.030000000000000002, 'tun': 0.02, 'für': 0.03, 'Vereinbarkeit': 0.04}",neutral,"[0.6713974, 0.28278717, 0.045815483]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,negative,"Und was sagen die Politiker? Oder ist Kinderbetreuung einfach nur Politikerinnen-, das heisst Frauensache? @sa_fluck @derbund #elternurlaub #familienzeit  https://t.co/eSjkmZjsa6",sagen politiker kinderbetreuung einfach politikerinnen heisst frauensache elternurlaub familienzeit,"{'Und': 0.08, 'was': 0, 'sagen': 0.17, 'die': 0.07, 'Politiker': 0, 'Oder': 0.5, 'ist': 0.12, 'Kinderbetreuung': 1.0, 'einfach': 0, 'nur': 0, 'Politikerinnen-': 0, 'das': 0.07, 'heisst': 0.12, 'Frauensache': 0, 'elternurlaub': 0.055, 'familienzeit': 0.035}",neutral,"[0.62472296, 0.3672034, 0.0080736475]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @corinagredig: Wir wollen Gleichstellung! Heute sind wir das einzige Land in Europa, das weder Vaterschaftsurlaub noch Elternzeit kennt…",gleichstellung heute einzig land europa weder vaterschaftsurlaub elternzeit kennen,,,,"{'Wir': 0.05, 'wollen': 0.04, 'Gleichstellung': 0.07, 'Heute': 0.05, 'sind': 0.06, 'wir': 0, 'das': 0.27, 'einzige': 0.23, 'Land': 0, 'in': 0.04, 'Europa': 0.06, 'weder': 1.0, 'Vaterschaftsurlaub': 0.725, 'noch': 0, 'Elternzeit': 0.535, 'kennt': 0, '…': 0}",neutral,"[0.5035865, 0.02005452, 0.47635907]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @4Senna: Ich bin ja schon lange für eine #Elternzeit statt #Vaterschaftsurlaub - dafür gibt es auch viele liberale Gründe! Wie lange wer…,ja schon lang elternzeit statt vaterschaftsurlaub dafür geben liberale gründe lang wer,,,,"{'Ich': 0.04, 'bin': 0, 'ja': 0, 'schon': 0, 'lange': 0.12, 'für': 0.03, 'eine': 0, 'Elternzeit': 0.14, 'statt': 0.81, 'Vaterschaftsurlaub': 0.18, 'dafür': 0, 'gibt': 0.05, 'es': 0, 'auch': 0.13, 'viele': 0, 'liberale': 0.08, 'Gründe': 0.07, 'Wie': 0, 'wer': 0.08, '…': 0}",neutral,"[0.48864034, 0.19111994, 0.32023972]",,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,negative,"RT @jglp_be: Ein Vater hat Anspruch auf einen einzige Tag Vaterschaftsurlaub.
Familie und Beruf sollen sich nicht ausschliessen. Deshalb wo…",vater anspruch einzig tag vaterschaftsurlaub familie beruf sollen ausschliessen deshalb,,,,"{'Ein': 0.16, 'Vater': 0.76, 'hat': 0, 'Anspruch': 0, 'auf': 0, 'einen': 0.16, 'einzige': 0, 'Tag': 0, 'Vaterschaftsurlaub': 0.665, 'Familie': 0.13, 'und': 0.11, 'Beruf': 0, 'sollen': 0.12, 'sich': 0, 'nicht': 0.07, 'ausschliessen': 0, 'Deshalb': 0, 'wo': 0.1, '…': 0}",neutral,"[0.8099834, 0.013007994, 0.17700861]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,#Vaterschaftsurlaub und #Elternzeit: Schweiz ist diesbzgl. ein Entwicklungsland. Zum Glück sind 80% dafür http://t.co/mysUZSUcVG @papizeit,vaterschaftsurlaub elternzeit schweiz diesbzgl entwicklungsland glück dafür,,,,"{'Vaterschaftsurlaub': 0.18, 'und': 0.53, 'Elternzeit': 0.16499999999999998, 'Schweiz': 0.13, 'ist': 0.07, 'diesbzgl': 0, 'ein': 0, 'Entwicklungsland': 0.14, 'Zum': 0, 'Glück': 0, 'sind': 0.07, 'dafür': 0}",positive,"[0.37834656, 0.058853734, 0.5627997]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Die Stadt sollte den Wohnungsbau auch im preisgünstigen Sektor Privaten überlassen. https://t.co/eDkTsRWwej,stadt sollen wohnungsbau preisgünstig sektor privat überlassen,,,,,,,"{'Die': 0.07, 'Stadt': 0.45, 'sollte': 1.0, 'den': 0.07, 'Wohnungsbau': 0.82, 'auch': 0, 'im': 0, 'preisgünstigen': 0, 'Sektor': 0.16, 'Privaten': 0.4, 'überlassen': 0}",neutral,"[0.5973447, 0.23424077, 0.1684146]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,Die Bevölkerung in der Stadt Bern schrumpft wieder. Fehlen uns die Wohnungen? Sind die Hürden für den Wohnungsbau in der Stadt zu gross? #Verdichten @BernerZeitung @Ott_Bernhard https://t.co/mL66SWIUPz,bevölkerung stadt bern schrumpfen fehlen wohnungen hürden wohnungsbau stadt gross verdichten,,,,,,,"{'Die': 0.03, 'Bevölkerung': 0.21, 'in': 0.08, 'der': 0.03, 'Stadt': 0.05, 'Bern': 0.08, 'schrumpft': 0, 'wieder': 0.2, 'Fehlen': 0, 'uns': 0, 'die': 0.03, 'Wohnungen': 1.0, 'Sind': 0.16, 'Hürden': 0, 'für': 0, 'den': 0.03, 'Wohnungsbau': 0.21, 'zu': 0.22, 'gross': 0, 'Verdichten': 0.08}",negative,"[0.10822529, 0.8666815, 0.025093159]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Es ist nicht Aufgabe der Stadt Wohnungsbau zu betreiben - Stadt soll viel mehr #Wohnungsbau durch #Wohnbaugenossenschaften und private ermöglichen @MA_Aebersold @glp_bern  https://t.co/rq8Kk0Oy5M,aufgabe stadt wohnungsbau betreiben stadt mehr wohnungsbau wohnbaugenossenschaften privat ermöglichen,,,,,,,"{'Es': 0.3, 'ist': 0.3, 'nicht': 1.0, 'Aufgabe': 0, 'der': 0.04, 'Stadt': 0.03, 'Wohnungsbau': 0.03, 'zu': 0.26, 'betreiben': 0, 'soll': 0, 'viel': 0, 'mehr': 0.06, 'durch': 0.04, 'Wohnbaugenossenschaften': 0.03, 'und': 0.06, 'private': 0.03, 'ermöglichen': 0.07}",neutral,"[0.91302717, 0.068716705, 0.018256072]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Endlich Transparenz für die Entwicklung des Gaswerkareals. Aber die Stadt soll die Rahmenbedingungen für die Arealentwicklung setzen und keinen eigenen Wohnungsbau mit GüWR betreiben.  https://t.co/YZhlnG6Ykx @hae_mann @glp_bern,endlich transparenz entwicklung gaswerkareals stadt rahmenbedingungen arealentwicklung setzen eigen wohnungsbau güwr betreiben,,,,,,,"{'Endlich': 0.09, 'Transparenz': 0.1, 'für': 0.37, 'die': 0.18, 'Entwicklung': 0.43, 'des': 0, 'Gaswerkareals': 0, 'Aber': 0.41, 'Stadt': 0.16, 'soll': 0, 'Rahmenbedingungen': 0.24, 'Arealentwicklung': 0.295, 'setzen': 0.32, 'und': 1.0, 'keinen': 0, 'eigenen': 0.53, 'Wohnungsbau': 0, 'mit': 0.3, 'GüWR': 0.22, 'betreiben': 0.85}",neutral,"[0.75610995, 0.102433465, 0.1414566]",,,,,,,,,,,,,,,,,,,,,,neutral
