answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,sentiment_tb
50.0,25.0,28.0,-0.15,neutral,"RT @Handelszeitung: Die Rente mit 65 sei ein negativer Fixpunkt. Es brauche ein höheres Rentenalter, sagt eine Vorsorgeexpertin (Interview:…",rente negativ fixpunkt brauche hoch rentenalter sagen vorsorgeexpertin interview,"{'Die': 0.3, 'Rente': 0, 'mit': 0, 'sei': 0, 'ein': 0, 'negativer': 1.0, 'Fixpunkt': 0.855, 'Es': 0.78, 'brauche': 0, 'höheres': 0.31, 'Rentenalter': 0.6, 'sagt': 0.35, 'eine': 0, 'Vorsorgeexpertin': 0.195, 'Interview': 0.2, '…': 0}",negative,"[0.076102555, 0.8545672, 0.06933026]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Die Angleichung vom #Rentenalter ist ein Schritt in die richtige Richtung. Um die #AHV nachhaltig zu sanieren braucht es eine Anbindung an die Lebenserwartung. So wie es die #Renteninitiative der @Jungfreisinnige vorsieht. @jfluzern
https://t.co/deqU61tS3S",angleichung rentenalter schritt richtige richtung ahv nachhaltig sanieren brauchen anbindung lebenserwartung renteninitiative vorsehen,"{'Die': 0.04, 'Angleichung': 0.38, 'vom': 0.04, 'Rentenalter': 0.9, 'ist': 0.37, 'ein': 0, 'Schritt': 0.16, 'in': 0.04, 'die': 0.04, 'richtige': 0.14, 'Richtung': 0.12, 'Um': 0, 'AHV': 0.18, 'nachhaltig': 0, 'zu': 0.04, 'sanieren': 0.14, 'braucht': 0.04, 'es': 0.37, 'eine': 0, 'Anbindung': 0.06, 'an': 0, 'Lebenserwartung': 0.08499999999999999, 'So': 0, 'wie': 0, 'Renteninitiative': 0, 'der': 0.04, 'vorsieht': 0}",positive,"[0.03225986, 0.021259587, 0.9464806]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @Luk98Lukas: Mein Leserbrief zum Thema #AHV und #Rentenalter in der @LuzernerZeitung! @renten_sichern @Jungfreisinnige @FDP_Liberalen @j…,leserbrief thema ahv rentenalter,"{'Mein': 0.77, 'Leserbrief': 0.6875, 'zum': 0.595, 'Thema': 0, 'AHV': 0.21, 'und': 0.17, 'Rentenalter': 0, 'in': 0.14, 'der': 0.19, '…': 0}",neutral,"[0.6482161, 0.26278314, 0.08900074]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @jfluzern: Die @Jungfreisinnige lancieren eine #Renteninitiative. Die Mitglieder beschliessen Rentenalter 66/66 mit Anbindung an die Leb…,lancieren renteninitiative mitglieder beschliessen rentenalter anbindung leb,"{'Die': 0.1, 'lancieren': 0, 'eine': 0, 'Renteninitiative': 0.195, 'Mitglieder': 0.6, 'beschliessen': 0.9650000000000001, 'Rentenalter': 0.645, 'mit': 0.35, 'Anbindung': 0.26, 'an': 0, 'die': 0.1, 'Leb': 0.13, '…': 0}",neutral,"[0.94110954, 0.0034485552, 0.05544194]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"@fri_velo @jfluzern @sicherheit_ja @FDP_Liberalen @FDP_Luzern Das ist nicht vergleichbar. Die neuen #Kampfflugzeuge werden aus dem #Armeebudget bezahlt. Beim #Vaterschaftsurlaub wird der #Sozialstaat weiter ausgebaut. Bekanntlich wächst dieser Bereich seit Jahren, während die Ausgaben für die #Landesverteidigung stagnieren. https://t.co/94HsXujADS",vergleichbar neu kampfflugzeuge armeebudget bezahlen beim vaterschaftsurlaub sozialstaat weit ausbauen bekanntlich wachsen bereich seit jahren ausgaben landesverteidigung stagnieren,,,,"{'Das': 0.1, 'ist': 0.05, 'nicht': 0.16, 'vergleichbar': 0.07, 'Die': 0.1, 'neuen': 0.04, 'Kampfflugzeuge': 0, 'werden': 0, 'aus': 0, 'dem': 0.1, 'Armeebudget': 0.07, 'bezahlt': 0.05, 'Beim': 0.1, 'Vaterschaftsurlaub': 0.92, 'wird': 0, 'der': 0.1, 'Sozialstaat': 0.11, 'weiter': 0.15, 'ausgebaut': 0.2, 'Bekanntlich': 0.09375, 'wächst': 0, 'dieser': 0.04, 'Bereich': 0.09, 'seit': 0, 'Jahren': 0.03, 'während': 0.05, 'die': 0.1, 'Ausgaben': 0, 'für': 0.04, 'Landesverteidigung': 0.07, 'stagnieren': 0}",positive,"[0.31474632, 0.07946809, 0.6057856]",,,,"{'Das': 0.03, 'ist': 0.01, 'nicht': 0.1, 'vergleichbar': 0.09, 'Die': 0.03, 'neuen': 1.0, 'Kampfflugzeuge': 0, 'werden': 0, 'aus': 0, 'dem': 0.03, 'Armeebudget': 0.06, 'bezahlt': 0.14, 'Beim': 0.03, 'Vaterschaftsurlaub': 0.03, 'wird': 0, 'der': 0.03, 'Sozialstaat': 0.04, 'weiter': 0.02, 'ausgebaut': 0.15, 'Bekanntlich': 0.02375, 'wächst': 0, 'dieser': 0.02, 'Bereich': 0.03, 'seit': 0, 'Jahren': 0.02, 'während': 0.02, 'die': 0.03, 'Ausgaben': 0, 'für': 0.01, 'Landesverteidigung': 0.03, 'stagnieren': 0}",negative,"[0.31753865, 0.5776113, 0.10485003]",,,,,,,"{'Das': 0.08, 'ist': 0.03, 'nicht': 0.06, 'vergleichbar': 0.05, 'Die': 0.08, 'neuen': 0.05, 'Kampfflugzeuge': 0, 'werden': 0, 'aus': 0, 'dem': 0.08, 'Armeebudget': 0.055, 'bezahlt': 0.02, 'Beim': 0.08, 'Vaterschaftsurlaub': 0.05, 'wird': 0, 'der': 0.08, 'Sozialstaat': 0.11499999999999999, 'weiter': 0.04, 'ausgebaut': 0.05, 'Bekanntlich': 0.04625, 'wächst': 0, 'dieser': 0.05, 'Bereich': 0.1, 'seit': 0, 'Jahren': 0.05, 'während': 0.24, 'die': 0.08, 'Ausgaben': 0, 'für': 0.03, 'Landesverteidigung': 1.0, 'stagnieren': 0}",negative,"[0.31860152, 0.6384833, 0.042915214]",negative
50.0,75.0,57.0,0.0,neutral,RT @themattmueller_: GastroSuisse lehnt teuren Vaterschaftsurlaub ab - so wie @Jungfreisinnige. Sozialpolit. Ausbauwünsche bzw. Mehrkosten…,gastrosuisse lehnen teuer vaterschaftsurlaub ab sozialpolit ausbauwünsche bzw mehrkosten,,,,"{'GastroSuisse': 0, 'lehnt': 0.49, 'teuren': 1.0, 'Vaterschaftsurlaub': 0.64, 'ab': 0, 'so': 0, 'wie': 0, 'Sozialpolit': 0.14500000000000002, 'Ausbauwünsche': 0.165, 'bzw.': 0, 'Mehrkosten': 0.16, '…': 0}",positive,"[0.027084755, 0.30380017, 0.66911507]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @jfluzern: Am #jfaok20 der @jungfreisinnige in #Bern 💪 
Unsere beschlossenen Parolen:
❌ NEIN #Vaterschaftsurlaub (@lohnabzuegeNein )
✅JA…",jfaok20 bern beschlossen parolen nein vaterschaftsurlaub ja,,,,"{'Am': 0, 'jfaok20': 0.16, 'der': 0, 'in': 0.05, 'Bern': 0.06, 'Unsere': 0.07, 'beschlossenen': 0, 'Parolen': 0.63, 'NEIN': 1.0, 'Vaterschaftsurlaub': 0.61, 'JA': 0, '…': 0}",positive,"[0.4107451, 0.06364822, 0.52560663]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @jfluzern: Diesen Samstag 25. Mai 2019 Sammelaktionen fürs E-Voting Moratorium in Luzern bei der Mathäuskirche. Sei dabei und setze dich…,samstag mai sammelaktionen fürs e voting moratorium luzern mathäuskirche dabei setzen,,,,,,,"{'Diesen': 0.02, 'Samstag': 0.02, '25.': 0, 'Mai': 0.02, 'Sammelaktionen': 0.04, 'fürs': 0.03, 'E-Voting': 0, 'Moratorium': 0.03, 'in': 0.03, 'Luzern': 0, 'bei': 0.03, 'der': 0.02, 'Mathäuskirche': 0, 'Sei': 0.51, 'dabei': 0, 'und': 1.0, 'setze': 0, 'dich': 0, '…': 0}",neutral,"[0.96615666, 0.009131097, 0.024712246]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @wecollectCH: @eVoteMoratorium Sammelstart E-Voting Moratorium in Luzern. #eVoting. ▶️ PDF https://t.co/alAJ3BxlxN ▶️ Online unterschrei…,sammelstart e voting moratorium luzern evoting pdf online unterschrei,,,,,,,"{'Sammelstart': 0.105, 'E-Voting': 0, 'Moratorium': 0.2, 'in': 0.06, 'Luzern': 0, 'eVoting': 0.27, '▶': 0, '️': 0, 'PDF': 0, 'Online': 0, 'unterschrei': 0, '…': 0}",neutral,"[0.9508009, 0.026500676, 0.0226985]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"RT @jfluzern: Der Luzerner Regierungsrat will an E-Voting festhalten. Vier Luzerner Jungparteien akzeptieren
diesen Entscheid nicht und ver…",luzerner regierungsrat e voting festhalten vier luzerner jungparteien akzeptieren entscheid ver,,,,,,,"{'Der': 0.05, 'Luzerner': 0.18, 'Regierungsrat': 0.05, 'will': 0, 'an': 0, 'E-Voting': 0, 'festhalten': 0, 'Vier': 0.79, 'Jungparteien': 0.41000000000000003, 'akzeptieren': 1.0, 'diesen': 0.78, 'Entscheid': 0.57, 'nicht': 1.0, 'und': 0.61, 'ver': 0, '…': 0}",neutral,"[0.6387742, 0.058917925, 0.30230778]",,,,,,,,,,,,,positive
