answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,sentiment_tb
100.0,100.0,100.0,0.85,neutral,RT @jfsolothurn: Ein erfolgreicher Tag für die Freiheit 💪🏼 Solothurner Standesinitiative zur #Cannabis-Legalisierung in Sicht ❤️ ein grosse…,erfolgreich tag freiheit solothurner standesinitiative cannabis legalisierung sicht grosse,"{'Ein': 0.37, 'erfolgreicher': 0.22, 'Tag': 0, 'für': 0.12, 'die': 0, 'Freiheit': 0.08, 'Solothurner': 0.14, 'Standesinitiative': 0.14500000000000002, 'zur': 0, 'Cannabis-Legalisierung': 0.10500000000000001, 'in': 0.06, 'Sicht': 0, '️': 0, 'ein': 0, 'grosse': 0, '…': 0}",positive,"[0.04371253, 0.005927591, 0.9503599]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @jfsolothurn: Kommen wir auch gesellschaftspolitisch endlich im 21. Jahrhundert an und regeln den Umgang mit #Cannabis analog zum Alkoho…,kommen gesellschaftspolitisch endlich jahrhundert regeln umgang cannabis analog alkoho,"{'Kommen': 0, 'wir': 0, 'auch': 0, 'gesellschaftspolitisch': 0, 'endlich': 0, 'im': 0, '21.': 0, 'Jahrhundert': 0.05, 'an': 0, 'und': 0.03, 'regeln': 0, 'den': 0.04, 'Umgang': 0, 'mit': 0, 'Cannabis': 1.0, 'analog': 0, 'zum': 0.04, 'Alkoho': 0.17, '…': 0}",neutral,"[0.8808273, 0.050086588, 0.06908614]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Unterschriften sammeln für die #Cannabis Legalisierung. https://t.co/9rJU1lE8ya,unterschriften sammeln cannabis legalisierung,"{'Unterschriften': 0.33, 'sammeln': 0.18, 'für': 0.22, 'die': 0, 'Cannabis': 0.57, 'Legalisierung': 1.0}",neutral,"[0.83947664, 0.006073611, 0.15444973]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @TomCBerger: Die Legalisierung von #Cannabis ist längst überfällig!
- Kein Mehrkonsum gegenüber dem status quo
- Steuereinnahmen für gez…",legalisierung cannabis längst überfällig mehrkonsum gegenüber status quo steuereinnahmen gez,"{'Die': 0.06, 'Legalisierung': 0.45, 'von': 0, 'Cannabis': 1.0, 'ist': 0.17, 'längst': 0.07, 'überfällig': 0.18, 'Kein': 0.04, 'Mehrkonsum': 0.13, 'gegenüber': 0.04, 'dem': 0.05, 'status': 0.05, 'quo': 0.12, 'Steuereinnahmen': 0.1, 'für': 0.03, 'gez': 0, '…': 0}",neutral,"[0.8153107, 0.0234523, 0.161237]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @cwasi: 50 Jahre nach dem #Frauenstimmrecht ist ein gleiches Rentenalter für Frau &amp; Mann eigentlich selbstverständlich. Darum jetzt #Ren…,jahre frauenstimmrecht gleich rentenalter frau amp mann eigentlich selbstverständlich darum ren,,,,"{'Jahre': 0.1, 'nach': 0.1, 'dem': 0.065, 'Frauenstimmrecht': 0, 'ist': 0.35, 'ein': 0, 'gleiches': 0, 'Rentenalter': 0.9, 'für': 0.38, 'Frau': 0, 'amp': 0.08, 'Mann': 0, 'eigentlich': 0.16, 'selbstverständlich': 0.1, 'Darum': 0, 'jetzt': 0.04, 'Ren': 0.05, '…': 0}",positive,"[0.014240692, 0.0022435172, 0.9835158]",,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @RentenVI: Die Schweiz gehört zu den letzten 5 OECD-Ländern, die das #Rentenalter von Frau und Mann noch nicht angeglichen hat. Wir enga…",schweiz hören letzt oecd ländern rentenalter frau mann angleichen enga,,,,"{'Die': 0.57, 'Schweiz': 0.1, 'gehört': 0, 'zu': 0, 'den': 0.57, 'letzten': 0.04, 'OECD-Ländern': 0.115, 'die': 0.57, 'das': 0.04, 'Rentenalter': 0.64, 'von': 0, 'Frau': 0, 'und': 0.13, 'Mann': 0, 'noch': 0, 'nicht': 0.15, 'angeglichen': 0, 'hat': 0, 'Wir': 0.11, 'enga': 0, '…': 0}",positive,"[0.07606647, 0.019687999, 0.90424556]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @RentenVI: Wissenschaftler stellen fest: Schweiz ist bereit für ein höheres Rentenalter: https://t.co/dyiTl5EgBy

#Renteninitiative unte…",wissenschaftler stellen fest schweiz bereiten hoch rentenalter renteninitiative unte,,,,"{'Wissenschaftler': 0, 'stellen': 0, 'fest': 0, 'Schweiz': 0.15, 'ist': 0.09, 'bereit': 0.35, 'für': 0.49, 'ein': 0, 'höheres': 1.0, 'Rentenalter': 1.0, 'Renteninitiative': 0.135, 'unte': 0, '…': 0}",positive,"[0.18086688, 0.019494535, 0.7996385]",,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Spannende Gespräche beim Unterschriften sammeln für die #Renteninitiative!💯
 @renten_sichern #AHV #Altersvorsorge #Rentenaltererhöhung https://t.co/pP7hOo5Oj1",spannend gespräche beim unterschriften sammeln renteninitiative ahv altersvorsorge rentenaltererhöhung,,,,"{'Spannende': 0.31, 'Gespräche': 0, 'beim': 0.15, 'Unterschriften': 0.2, 'sammeln': 0, 'für': 0.13, 'die': 0.15, 'Renteninitiative': 0, 'AHV': 0.22, 'Altersvorsorge': 0.585, 'Rentenaltererhöhung': 0.905}",positive,"[0.028664213, 0.00859905, 0.9627367]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @jfsolothurn: Unsere nationale #Renteninitiative ist lanciert.
Rentenalter 66 für beide Geschlechter und Bindung desselben an die Lebens…",national renteninitiative lanciert rentenalter beid geschlechter bindung lebens,,,,"{'Unsere': 0.04, 'nationale': 0.03, 'Renteninitiative': 0.055, 'ist': 0, 'lanciert': 0.09, 'Rentenalter': 0.215, 'für': 0.68, 'beide': 0.3, 'Geschlechter': 0, 'und': 1.0, 'Bindung': 0, 'desselben': 0, 'an': 0, 'die': 0, 'Lebens': 0.27, '…': 0}",positive,"[0.020231243, 0.002597546, 0.9771712]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @andrisilbi_: Wieso Rentenalter 66/66 und Anbindung an die Lebenserwartungen? Antworten in der #srfarena:  https://t.co/7bu6oPQ44V #AHV2…,wieso rentenalter anbindung lebenserwartungen antworten srfarena ahv2,,,,"{'Wieso': 0, 'Rentenalter': 0.33999999999999997, 'und': 0.35, 'Anbindung': 0.16, 'an': 0, 'die': 0.05, 'Lebenserwartungen': 0.03, 'Antworten': 0, 'in': 0.05, 'der': 0.05, 'srfarena': 0.07, 'AHV2': 0.06, '…': 0}",neutral,"[0.6699385, 0.2302304, 0.09983108]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@WillTellerrand @guelshaaa 14 oder max. 16 Wochen, kann man aus meiner Sicht diskutieren. Aber auf jeden Fall nicht das starre Modell mit einem Vaterschaftsurlaub.",max wochen sicht diskutieren jed fall starren modell vaterschaftsurlaub,,,,,,,"{'oder': 0.02, 'max.': 0, 'Wochen': 0.04, 'kann': 0.03, 'man': 0, 'aus': 0, 'meiner': 0, 'Sicht': 0.03, 'diskutieren': 0, 'Aber': 0.07, 'auf': 0, 'jeden': 0, 'Fall': 0, 'nicht': 0.21, 'das': 0, 'starre': 0, 'Modell': 0.7, 'mit': 1.0, 'einem': 0.04, 'Vaterschaftsurlaub': 0.8400000000000001}",neutral,"[0.58131486, 0.08337286, 0.3353123]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @LucioSansano: Gehen wir mit der Zeit und sagen JA zum Fortschritt, JA zur Digitalisierung und JA zu einem raschen Ausbau von #5G. @CHAN…",gehen zeit sagen ja fortschritt ja digitalisierung ja rasch ausbau g,,,,,,,,,,"{'Gehen': 0, 'wir': 0, 'mit': 0.04, 'der': 0.1, 'Zeit': 0, 'und': 0.33, 'sagen': 0.16, 'JA': 0.33, 'zum': 0.165, 'Fortschritt': 0.33, 'zur': 0.165, 'Digitalisierung': 0, 'zu': 0.23, 'einem': 0, 'raschen': 0, 'Ausbau': 0.11, 'von': 0, '5G.': 0, '…': 0}",positive,"[0.0033623076, 0.002283986, 0.9943538]",neutral
50.0,75.0,57.0,0.0,neutral,"Wir #Jungfreisinnige fordern, dass es beim #5G-Ausbau endlich vorwärts geht! https://t.co/TkVuAY31V8

#5G ist eine zentrale Grundlage für die #Digitalisierung und die #Innovationsstärke unseres Landes. Diese Chance müssen wir packen! 🚀 https://t.co/cyyJnXR5Ly",jungfreisinnige fordern beim g ausbau endlich vorwärts gehen g zentrale grundlage digitalisierung innovationsstärke landes chance müssen packen,,,,,,,,,,"{'Wir': 0.03, 'Jungfreisinnige': 0, 'fordern': 0.02, 'dass': 0.02, 'es': 0.06, 'beim': 0.21, '5G-Ausbau': 0.07, 'endlich': 0, 'vorwärts': 0.02, 'geht': 0, 'G': 0, 'ist': 0.06, 'eine': 0, 'zentrale': 0.09, 'Grundlage': 0.19, 'für': 0.22, 'die': 0.21, 'Digitalisierung': 0, 'und': 0.42, 'Innovationsstärke': 0.16999999999999998, 'unseres': 0, 'Landes': 0.12, 'Diese': 0.02, 'Chance': 0, 'müssen': 0.03, 'wir': 0, 'packen': 0}",positive,"[0.00071613886, 0.0011182703, 0.99816567]",neutral
100.0,100.0,100.0,1.0,negative,"Ich freue mich sehr, dass ich schweizweit unter den Top 10 bin der „neuen Parlamentarier“ im Digitalisierungsmonitor der @swicoDEU. 

#Wahlen19 #jungewählen #digitalnative

https://t.co/T8K7O4qVPL",freuen schweizweit top neu parlamentarier digitalisierungsmonitor wahlen19 jungewählen digitalnative,,,,,,,,,,"{'Ich': 0.03, 'freue': 0.04, 'mich': 0, 'sehr': 0.03, 'dass': 0.04, 'ich': 0.03, 'schweizweit': 0.22, 'unter': 0, 'den': 0.05, 'Top': 0.12, 'bin': 0, 'der': 0, '„': 0, 'neuen': 0, 'Parlamentarier': 0, '“': 0, 'im': 0, 'Digitalisierungsmonitor': 0, 'Wahlen19': 0, 'jungewählen': 0, 'digitalnative': 0}",positive,"[0.053437628, 0.0069998037, 0.93956256]",positive
100.0,100.0,86.0,0.7,neutral,"@AbhijitMirco @jfsolothurn Um ein paar Punkte zu nennen: Innovationen fördern (z.B. 5G), Sharing Economy fördern (Airbnb, Uber), Geschäftsprozesse digitalisieren, Digitalisierung in Schulen vorantreiben.",paar punkte nennen innovationen fördern z b g sharing economy fördern airbnb uber geschäftsprozesse digitalisieren digitalisierung schulen vorantreiben,,,,,,,,,,"{'Um': 0, 'ein': 0, 'paar': 0, 'Punkte': 0.39, 'zu': 0.04, 'nennen': 0.04, 'Innovationen': 0, 'fördern': 0, 'z.B.': 0, 'G': 0.02, 'Sharing': 0.08, 'Economy': 0.13, 'Airbnb': 0.09, 'Uber': 0.05, 'Geschäftsprozesse': 0.15, 'digitalisieren': 0.34, 'Digitalisierung': 0, 'in': 0.24, 'Schulen': 0.31, 'vorantreiben': 0}",positive,"[0.0028918625, 0.0027982928, 0.9943098]",positive
