answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3429,absa_sentiment_3429,absa_scores_3429,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3439,absa_sentiment_3439,absa_scores_3439,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,sentiment_tb
50.0,75.0,57.0,0.0,negative,"RT @Tamarafuniciell: 650 millionen für Profisport.
65 Millionen für Profikinderbetreuung.
Finde den Fehler.

@EKdM20 @FemmesSPFrauen",millionen profisport millionen profikinderbetreuung finden fehler,"{'millionen': 0, 'für': 0.21, 'Profisport': 0.56, 'Millionen': 0, 'Profikinderbetreuung': 0, 'Finde': 0.11, 'den': 0.04, 'Fehler': 0}",positive,"[0.0013281972, 0.009137516, 0.9895343]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"Ich habe mich bewusst entschieden, neben dem Nationalratsamt und Kinderbetreuung nicht noch einen bezahlten Job auszuüben (was nicht heisst, dass zB das SAH-Präsidium nicht auch herausfordernd ist.) 2/3",bewusst entscheiden neben nationalratsamt kinderbetreuung bezahlen job ausüben heisst zb sehen präsidium herausfordernd,"{'Ich': 0.04, 'habe': 0.08, 'mich': 0, 'bewusst': 0, 'entschieden': 0, 'neben': 0, 'dem': 0.11499999999999999, 'Nationalratsamt': 0, 'und': 1.0, 'Kinderbetreuung': 1.0, 'nicht': 0.03, 'noch': 0, 'einen': 0.04, 'bezahlten': 0.06, 'Job': 0.11, 'auszuüben': 0, 'was': 0, 'heisst': 0.05, 'dass': 0.04, 'zB': 0, 'das': 0.04, 'SAH-Präsidium': 0.05500000000000001, 'auch': 0.02, 'herausfordernd': 0.05, 'ist': 0.05}",neutral,"[0.7033558, 0.017513467, 0.27913076]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
25.0,25.0,14.0,-0.425,neutral,"@Blickch Gute Ansätze @PirminBischof. Wie wäre es mit minimalem Steuersatz für Unternehmen? Das würde gefährlicher Steuerwettbewerb eindämmen und Vaterschaftsurlaub, Prämienverbilligung, bezahlbare Kinderbetreuung  etc. auf lange Frist finanzieren.",gut ansätze minimal steuersatz unternehmen gefährlich steuerwettbewerb eindämmen vaterschaftsurlaub prämienverbilligung bezahlbare kinderbetreuung etc lang frist finanzieren,"{'Gute': 0, 'Ansätze': 0.03, 'Wie': 0, 'wäre': 0.12, 'es': 0, 'mit': 0, 'minimalem': 0, 'Steuersatz': 0.045, 'für': 0, 'Unternehmen': 0, 'Das': 0.03, 'würde': 0.12, 'gefährlicher': 0.07, 'Steuerwettbewerb': 0.05, 'eindämmen': 0, 'und': 0.08, 'Vaterschaftsurlaub': 0.08, 'Prämienverbilligung': 0.09, 'bezahlbare': 0, 'Kinderbetreuung': 1.0, 'etc.': 0, 'auf': 0, 'lange': 0.02, 'Frist': 0, 'finanzieren': 0.1}",positive,"[0.00077983557, 0.0011724315, 0.9980477]",,,,,,,"{'Gute': 0, 'Ansätze': 0.03, 'Wie': 0, 'wäre': 0.03, 'es': 0, 'mit': 0, 'minimalem': 0, 'Steuersatz': 0.065, 'für': 0, 'Unternehmen': 0, 'Das': 0.03, 'würde': 0.03, 'gefährlicher': 0.16, 'Steuerwettbewerb': 0.095, 'eindämmen': 0, 'und': 0.09, 'Vaterschaftsurlaub': 0.665, 'Prämienverbilligung': 0.07, 'bezahlbare': 0, 'Kinderbetreuung': 0.14, 'etc.': 0, 'auf': 0, 'lange': 0.02, 'Frist': 0, 'finanzieren': 0.38}",positive,"[0.15404364, 0.36541197, 0.48054442]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,RT @alliance_F: Wichtiger Entscheid: NR stimmt mit 113:80 Stimmen der Vorlage über die Finanzhilfen für familienergänzende Kinderbetreuung…,wichtig entscheid nr stimmen stimmen vorlage finanzhilfen familienergänzende kinderbetreuung,"{'Wichtiger': 0.05, 'Entscheid': 0.07, 'NR': 0, 'stimmt': 0, 'mit': 0, '113:80': 0, 'Stimmen': 0, 'der': 0.14, 'Vorlage': 0, 'über': 0, 'die': 0.14, 'Finanzhilfen': 0, 'für': 1.0, 'familienergänzende': 0.16, 'Kinderbetreuung': 0.95, '…': 0}",neutral,"[0.73629427, 0.04285193, 0.22085379]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @BaGysi: Wichtiger Schritt für Cannabis als Arzneimittel gemacht; zudem Stärkung von ambulanten Pauschalen beschlossen und Überprüfung d…,wichtig schritt cannabis arzneimittel zudem stärkung ambulant pauschal beschließen überprüfung d,,,,"{'Wichtiger': 0.44, 'Schritt': 0.38, 'für': 1.0, 'Cannabis': 1.0, 'als': 0.56, 'Arzneimittel': 0, 'gemacht': 0, 'zudem': 0.08, 'Stärkung': 0, 'von': 0, 'ambulanten': 0.11, 'Pauschalen': 0.045, 'beschlossen': 0.23, 'und': 0.03, 'Überprüfung': 0, 'd': 0, '…': 0}",positive,"[0.11615207, 0.026687799, 0.85716015]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Willkür und Bürokratie bei Busse für Cannabis-Konsum? https://t.co/2vCG9qQqYe,willkür bürokratie busse cannabis konsum,,,,"{'Willkür': 0.5, 'und': 0.3, 'Bürokratie': 0.17, 'bei': 0, 'Busse': 0, 'für': 0.23, 'Cannabis-Konsum': 0.24}",neutral,"[0.961685, 0.011209298, 0.02710573]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,negative,"RT @FWasserfallen: Der Vorschlag der Kommissionsmehrheit des Ständerats zur #AHV21 ist inakzeptabel. Frauenrentenalter erhöhen (+1,5 Mrd.),…",vorschlag kommissionsmehrheit ständerats ahv21 inakzeptabel frauenrentenalter erhöhen mrd,,,,,,,"{'Der': 0.03, 'Vorschlag': 0.32, 'der': 0.03, 'Kommissionsmehrheit': 0.08499999999999999, 'des': 0, 'Ständerats': 0.0875, 'zur': 0.03, 'AHV21': 0.22, 'ist': 0.17, 'inakzeptabel': 0.78, 'Frauenrentenalter': 0.6425000000000001, 'erhöhen': 0, '+1,5': 0, 'Mrd.': 0.23, '…': 0}",negative,"[0.06610817, 0.6454211, 0.28847077]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @spschweiz: Der Vorschlag der SGK-S zur Erhöhung des Frauenrentenalters ist ein Affront. Frauen erhalten im Schnitt 40 Prozent weniger R…,vorschlag sgk s erhöhung frauenrentenalters affront frauen erhalten schneiden prozent wenig r,,,,,,,"{'Der': 0.45, 'Vorschlag': 0.71, 'der': 0.45, 'SGK-S': 0, 'zur': 0.51, 'Erhöhung': 0, 'des': 0, 'Frauenrentenalters': 0.885, 'ist': 0.29, 'ein': 0, 'Affront': 0.3, 'Frauen': 0.14, 'erhalten': 0.09, 'im': 0, 'Schnitt': 0, 'Prozent': 0.09, 'weniger': 0, 'R': 0.06, '…': 0}",neutral,"[0.58687824, 0.18206671, 0.23105508]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.5666666666666667,negative,"RT @SamiraMarti: Lieber @SandroBrotz / #srfarena: Bei SIEBEN Gästen lediglich EINE Frau einzuladen, geht gar nicht. Wenn‘s ums Rentenalter…",lieb srfarena sieben gästen lediglich frau einladen gehen gar s ums rentenalter,,,,,,,"{'Lieber': 0.05, 'srfarena': 0.09, 'Bei': 0, 'SIEBEN': 0.06, 'Gästen': 0.13, 'lediglich': 0.04, 'EINE': 0.05, 'Frau': 0, 'einzuladen': 0.24, 'geht': 0, 'gar': 0, 'nicht': 0.07, 'Wenn': 0.21, '‘': 0, 's': 0, 'ums': 0, 'Rentenalter': 0, '…': 0}",neutral,"[0.7704656, 0.0058003035, 0.2237341]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"RT @JayBadran: Nominiert als Quote des Tages: Rentenaltererhöhung ist vom Tisch, ""alles andere wäre respektlos gegenüber den Gewinnern"" @Gr…",nominieren quote tages rentenaltererhöhung tisch respektlos gegenüber gewinnern,,,,,,,"{'Nominiert': 0.09, 'als': 0.13, 'Quote': 0, 'des': 0, 'Tages': 0.09, 'Rentenaltererhöhung': 0.9299999999999999, 'ist': 0.78, 'vom': 0.07, 'Tisch': 0.15, 'alles': 0, 'andere': 0, 'wäre': 0.06, 'respektlos': 0.25, 'gegenüber': 0.04, 'den': 0.07, 'Gewinnern': 0.14, '…': 0}",negative,"[0.08060048, 0.8757447, 0.04365483]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
