answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
75.0,100.0,86.0,0.5,neutral,"23/26 Erfolgreiche Integration
Laut dem Bundesamt für Statistik hat mehr als jede Dritte Schweizer/In einen Migrationshintergrund. Ausländerfeindlichkeit und Rassismus haben für mich in der Schweiz keinen Platz.

#26klugePositionen #EsistZeit #nrzh19 #wahlen19 #MichaelnachBern https://t.co/k9JmuB5bfi",erfolgreich integration laut bundesamt statistik mehr jed dritt schweizer migrationshintergrund ausländerfeindlichkeit rassismus schweiz platz 26klugepositionen esistzeit nrzh19 wahlen19 michaelnachbern,"{'Erfolgreiche': 0.08, 'Integration': 0.08, 'Laut': 0.05500000000000001, 'dem': 0.045, 'Bundesamt': 0.03, 'für': 0.1, 'Statistik': 0, 'hat': 0, 'mehr': 0.04, 'als': 0, 'jede': 0.04, 'Dritte': 0.03, 'Schweizer': 0.05, 'In': 0.26, 'einen': 0.04, 'Migrationshintergrund': 0.07, 'Ausländerfeindlichkeit': 0.27, 'und': 0.11, 'Rassismus': 0.17, 'haben': 0.235, 'mich': 0.19, 'in': 0.26, 'der': 0.05, 'Schweiz': 0.31, 'keinen': 0, 'Platz': 0.09, '26klugePositionen': 0.17, 'EsistZeit': 0.26, 'nrzh19': 0.3, 'wahlen19': 0, 'MichaelnachBern': 0.23}",neutral,"[0.7904956, 0.06054172, 0.1489626]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Der Kantonsrat wird wenn’s um die Einbürgerung geht farbenfroh 😎 https://t.co/mwiP871o9T,kantonsrat s einbürgerung gehen farbenfroh,,,,"{'Der': 0.21, 'Kantonsrat': 0.14500000000000002, 'wird': 0, 'wenn': 0, '’s': 0, 'um': 0, 'die': 0.21, 'Einbürgerung': 1.0, 'geht': 0, 'farbenfroh': 0.72}",positive,"[0.0020591337, 0.00093977747, 0.9970011]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Auch deshalb setzen wir uns seit Jahr und Tag für erneuerbare Energie ein. #EsistZeit @grunliberale https://t.co/cnWTnllzzl,deshalb setzen seit jahr tag erneuerbare energie esistzeit,,,,,,,"{'Auch': 0, 'deshalb': 0.12, 'setzen': 0, 'wir': 0, 'uns': 0, 'seit': 0, 'Jahr': 0, 'und': 0, 'Tag': 0, 'für': 0.12, 'erneuerbare': 0.23, 'Energie': 0.31, 'ein': 0.12, 'EsistZeit': 0}",positive,"[0.0013225036, 0.0011896449, 0.9974878]",,,,,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.15,negative,"Ja, mit den Erdölimporten geht uns sehr viel Geld verloren. Besser wären erneuerbare Energien. https://t.co/zwLGI22Yhw",ja erdölimporten gehen geld verlieren gut erneuerbare energien,,,,,,,"{'Ja': 0, 'mit': 0.04, 'den': 0.05, 'Erdölimporten': 0.060000000000000005, 'geht': 0, 'uns': 0, 'sehr': 0, 'viel': 0.045, 'Geld': 0.14, 'verloren': 0, 'Besser': 1.0, 'wären': 0.72, 'erneuerbare': 0.2, 'Energien': 0.29}",positive,"[0.034643866, 0.12729701, 0.8380591]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Flyer BlueTech 15.-17.9.11, Plattform& Marktplatz erneuerbare Energien& effiziente Energielösungen http://t.co/KfdXJlW #fb @follow_bluetech",flyer bluetech plattform marktplatz erneuerbare energien effiziente energielösungen fb,,,,,,,"{'Flyer': 0.14, 'BlueTech': 0.16, '15.-17.9.11': 0, 'Plattform': 0.1, 'Marktplatz': 0.14, 'erneuerbare': 1.0, 'Energien': 0.49, 'effiziente': 1.0, 'Energielösungen': 0.6, 'fb': 0.1}",positive,"[0.0019045703, 0.001303763, 0.99679166]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,Neuer Twitter-Kanal Empfehlen: @follow_bluetech. BlueTech ist eine Plattform für erneuerbare Energien und effiziente Energielösungen. #fb,neu twitter kanal empfehlen bluetech plattform erneuerbare energien effiziente energielösungen fb,,,,,,,"{'Neuer': 0, 'Twitter-Kanal': 0, 'Empfehlen': 0.07, 'BlueTech': 0.14, 'ist': 0.1, 'eine': 0, 'Plattform': 0.22, 'für': 0.19, 'erneuerbare': 1.0, 'Energien': 0.3, 'und': 0.41, 'effiziente': 1.0, 'Energielösungen': 0.45999999999999996, 'fb': 0.07}",positive,"[0.0014515417, 0.0011624227, 0.99738604]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,News von der HSG: «Jetzt zählen nur noch erneuerbare Energien» - News Wissen: Technik - tagesanzeiger.ch: http://bit.ly/fea9hU #fb,news hsg zählen erneuerbare energien news wissen technik tagesanzeiger ch fb,,,,,,,"{'News': 0, 'von': 0.14, 'der': 0.11, 'HSG': 0.12, '«': 0, 'Jetzt': 0, 'zählen': 0, 'nur': 0, 'noch': 0, 'erneuerbare': 0, 'Energien': 0, '»': 0, 'Wissen': 0, 'Technik': 0, 'tagesanzeiger.ch': 0, 'fb': 0}",neutral,"[0.5789205, 0.27472308, 0.14635633]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@jammingsource @Martin_Baeumle Nice try. Deshalb ist ja der Branchenverband für Digitalisierung @dgt_switzerland für E-ID.,nice try deshalb ja branchenverband digitalisierung e id,,,,,,,,,,"{'Nice': 0.15, 'try': 0.14, 'Deshalb': 0, 'ist': 0.48, 'ja': 0, 'der': 0.18, 'Branchenverband': 0.375, 'für': 0.28, 'Digitalisierung': 0, 'E-ID': 0}",positive,"[0.19170257, 0.018705752, 0.78959167]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@furkan_s_oguz @m_frick @Martin_Baeumle Ich bitte präzis zu bleiben. Meine Formulierung war Hackaton. &amp; Chief Nerd ist keine Formulierung von mir, sondern eine Selbstbezeichnung. Wir haben ganz viele Herausforderungen im Zusammenhang mit der Digitalisierung. Die E-ID bringt uns JETZT einen Schritt weiter.",bitte präzis bleiben formulierung hackaton amp chief nerd formulierung selbstbezeichnung ganz herausforderungen zusammenhang digitalisierung e id bringen schritt weit,,,,,,,,,,"{'Ich': 0.03, 'bitte': 0, 'präzis': 0.07, 'zu': 0, 'bleiben': 0, 'Meine': 0.04, 'Formulierung': 0.11, 'war': 0, 'Hackaton': 0.16, 'amp': 0.07, 'Chief': 0.11, 'Nerd': 0.13, 'ist': 0.04, 'keine': 0, 'von': 0, 'mir': 0, 'sondern': 0.07, 'eine': 0.04, 'Selbstbezeichnung': 0, 'Wir': 0.18, 'haben': 0.62, 'ganz': 0, 'viele': 0, 'Herausforderungen': 1.0, 'im': 0, 'Zusammenhang': 0, 'mit': 0.33, 'der': 0.09, 'Digitalisierung': 0, 'Die': 0.09, 'E-ID': 0, 'bringt': 0, 'uns': 0.07, 'JETZT': 0.12, 'einen': 0.16, 'Schritt': 0.1, 'weiter': 0.08}",negative,"[0.051312357, 0.7971875, 0.1515002]",,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,"@Martin_Baeumle Und die glp kämpft an vorderster Front gegen E-ID. Und blockieren damit die ganze Digitalisierung. Oh man, 🤦",glp kämpfen vorder front e id blockieren ganze digitalisierung oh,,,,,,,,,,"{'Und': 0.19, 'die': 0.05, 'glp': 0.18, 'kämpft': 0, 'an': 0, 'vorderster': 0, 'Front': 0.07, 'gegen': 0.17, 'E-ID': 0, 'blockieren': 1.0, 'damit': 0, 'ganze': 0, 'Digitalisierung': 0, 'Oh': 0.1, 'man': 0.05, '🤦': 0}",negative,"[0.17101116, 0.7871998, 0.041789062]",,,,,,,,,,,,,negative
