answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @lohnabzuegeNein: Heute und morgen Dienstag noch brieflich NEIN stimmen zum staatlichen #Vaterschaftsurlaub! https://t.co/87QhS59kfW,heute morgen dienstag brieflich nein stimmen staatlich vaterschaftsurlaub,"{'Heute': 0.07, 'und': 0.08, 'morgen': 0.06, 'Dienstag': 0.08, 'noch': 0, 'brieflich': 0.145, 'NEIN': 0.22, 'stimmen': 0, 'zum': 0.16, 'staatlichen': 0.37, 'Vaterschaftsurlaub': 0.69}",positive,"[0.16786283, 0.01825764, 0.8138796]",,,,neutral
0.0,0.0,14.0,-0.7,neutral,RT @lohnabzuegeNein: FDP-Gemeinderätin Yasmine Bourgeois kämpft gegen den staatlichen #Vaterschaftsurlaub: Ein zusätzlicher Vaterschaftsurl…,fdp gemeinderätin yasmine bourgeois kämpfen staatlich vaterschaftsurlaub zusätzlich vaterschaftsurl,"{'FDP-Gemeinderätin': 0.15000000000000002, 'Yasmine': 0.14, 'Bourgeois': 0.06, 'kämpft': 0, 'gegen': 0.27, 'den': 0.16, 'staatlichen': 0.49, 'Vaterschaftsurlaub': 0.37, 'Ein': 0, 'zusätzlicher': 0.13, 'Vaterschaftsurl': 0.15, '…': 0}",neutral,"[0.90617406, 0.013304127, 0.08052175]",,,,negative
50.0,75.0,57.0,0.0,neutral,RT @lohnabzuegeNein: Nicolas A. Rimoldi  sagt NEIN zum staatlichen #Vaterschaftsurlaub. Denn: https://t.co/gyDvYEotCk,nicolas a rimoldi sagen nein staatlich vaterschaftsurlaub,"{'Nicolas': 0.08, 'A.': 0, 'Rimoldi': 0.22, 'sagt': 0.22, 'NEIN': 0.17, 'zum': 0.2, 'staatlichen': 0.53, 'Vaterschaftsurlaub': 0.91, 'Denn': 0.13}",neutral,"[0.8260484, 0.021400006, 0.15255164]",,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @lohnabzuegeNein: Cédric Schmid sagt NEIN zum staatlichen #Vaterschaftsurlaub. Denn: https://t.co/KeB3dzpz3r,cédric schmid sagen nein staatlich vaterschaftsurlaub,"{'Cédric': 0, 'Schmid': 0.17, 'sagt': 0.19, 'NEIN': 0.19, 'zum': 0.185, 'staatlichen': 0.46, 'Vaterschaftsurlaub': 0.77, 'Denn': 0.14}",neutral,"[0.79997545, 0.020579228, 0.17944537]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @lohnabzuegeNein: Stimmen auch Sie NEIN zu staatlichen #Vaterschaftsurlaub, wenn Sie Ende Monat mehr von Ihrem Lohn im Portemonnaie woll…",stimmen nein staatlich vaterschaftsurlaub ende monat mehr lohn portemonnaie woll,"{'Stimmen': 0, 'auch': 0, 'Sie': 0, 'NEIN': 0.19, 'zu': 0.36, 'staatlichen': 0.53, 'Vaterschaftsurlaub': 0.34, 'wenn': 0.17, 'Ende': 0.03, 'Monat': 0.09, 'mehr': 0.07, 'von': 0, 'Ihrem': 0.07, 'Lohn': 0, 'im': 0, 'Portemonnaie': 0.07, 'woll': 0, '…': 0}",positive,"[0.23815711, 0.039633475, 0.7222094]",,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @lohnabzuegeNein: Wir vermelden weitere NEIN-Parolen zum staatlichen #Vaterschaftsurlaub vom Kantonal-Solothurnischen Gewerbeverband und…,vermelden weit nein parolen staatlich vaterschaftsurlaub kantonal solothurnischen gewerbeverband,"{'Wir': 0.08, 'vermelden': 0.21000000000000002, 'weitere': 0.1, 'NEIN-Parolen': 0.415, 'zum': 0.175, 'staatlichen': 0.49, 'Vaterschaftsurlaub': 0.76, 'vom': 0.20500000000000002, 'Kantonal-Solothurnischen': 0, 'Gewerbeverband': 0.12000000000000001, 'und': 0.13, '…': 0}",neutral,"[0.5988115, 0.16815588, 0.23303254]",,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @lohnabzuegeNein: Gewerkschafter behaupten immer wieder, KMU würden mit dem staatlichen #Vaterschaftsurlaub ""unterstützt"". 
Wahr ist: KM…",gewerkschafter behaupten immer kmu staatlich vaterschaftsurlaub unterstützen wahren km,"{'Gewerkschafter': 0.08499999999999999, 'behaupten': 0, 'immer': 0, 'wieder': 0, 'KMU': 0, 'würden': 0, 'mit': 0.18, 'dem': 0.13, 'staatlichen': 0.41, 'Vaterschaftsurlaub': 0.53, 'unterstützt': 0, 'Wahr': 0.07, 'ist': 0.05, 'KM': 0.15, '…': 0}",positive,"[0.44034398, 0.03118835, 0.52846766]",,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @lohnabzuegeNein: Yasmine Bourgeois, FDP-Gemeinderätin Stadt Zürich,  sagt NEIN zum staatlichen #Vaterschaftsurlaub. Denn: https://t.co/…",yasmine bourgeois fdp gemeinderätin stadt zürich sagen nein staatlich vaterschaftsurlaub,"{'Yasmine': 0.12, 'Bourgeois': 0.06, 'FDP-Gemeinderätin': 0.07500000000000001, 'Stadt': 0.04, 'Zürich': 0, 'sagt': 0.06, 'NEIN': 0.05, 'zum': 0.055, 'staatlichen': 0.11, 'Vaterschaftsurlaub': 0.4, 'Denn': 0.07}",neutral,"[0.84764785, 0.027641192, 0.12471085]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @lohnabzuegeNein: Barbara Gutzwiller, Direktorin von @arbeitgeberbasl, sagt NEIN zum staatlichen #Vaterschaftsurlaub. Denn: https://t.co…",barbara gutzwiller direktorin sagen nein staatlich vaterschaftsurlaub,"{'Barbara': 0.05, 'Gutzwiller': 0, 'Direktorin': 0.1, 'von': 0, 'sagt': 0.14, 'NEIN': 0.15, 'zum': 0.15, 'staatlichen': 0.53, 'Vaterschaftsurlaub': 0.51, 'Denn': 0.09}",neutral,"[0.7896002, 0.026126267, 0.18427357]",,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @lohnabzuegeNein: Viele Unternehmen und ganze Branchen bieten bereits #Vaterschaftsurlaub an. Das Beste daran: Sie zahlen den Vaterschaf…,unternehmen ganze branchen bieten bereits vaterschaftsurlaub gut daran zahlen vaterschaf,"{'Viele': 0, 'Unternehmen': 0, 'und': 0.14, 'ganze': 0, 'Branchen': 0, 'bieten': 0.73, 'bereits': 0.25, 'Vaterschaftsurlaub': 0.64, 'an': 0, 'Das': 0.05, 'Beste': 0.44, 'daran': 0.11, 'Sie': 0, 'zahlen': 0, 'den': 0.05, 'Vaterschaf': 0.065, '…': 0}",positive,"[0.009682688, 0.0021913345, 0.98812604]",,,,positive
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Die #CVP setzt auf einheimische erneuerbare Energie und denkt auch an künftige Generationen. Das ist Umweltpolitik mit Köpfche…,cvp setzen einheimisch erneuerbare energie denken künftig generationen umweltpolitik köpfche,,,,"{'Die': 0.07, 'CVP': 0.12, 'setzt': 0, 'auf': 0.24, 'einheimische': 1.0, 'erneuerbare': 1.0, 'Energie': 0.43, 'und': 0.19, 'denkt': 0.16, 'auch': 0.21, 'an': 0, 'künftige': 0.13, 'Generationen': 0.17, 'Das': 0.07, 'ist': 0.03, 'Umweltpolitik': 0.09, 'mit': 0.04, 'Köpfche': 0, '…': 0}",positive,"[0.0045238836, 0.001803144, 0.99367297]",neutral
