answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
75.0,100.0,86.0,0.5,positive,"Eine gute Kinderbetreuung ist viel wert. Dem Bund und den Kantonen leider noch viel zu wenig. Es braucht Investitionen in die Qualität und eine massgebliche Senkung der Elternbeiträge (gerade auch für kleinere Einkommen).
https://t.co/meIqDnzTcy",gut kinderbetreuung wert bund kantonen leider wenig brauchen investitionen qualität massgebliche senkung elternbeiträge gerade klein einkommen,"{'Eine': 0, 'gute': 0.02, 'Kinderbetreuung': 1.0, 'ist': 0.23, 'viel': 0.11, 'wert': 0.34, 'Dem': 0.01, 'Bund': 0, 'und': 0.02, 'den': 0.01, 'Kantonen': 0.02, 'leider': 0.1, 'noch': 0, 'zu': 0, 'wenig': 0.04, 'Es': 0.23, 'braucht': 0, 'Investitionen': 0.03, 'in': 0.01, 'die': 0.01, 'Qualität': 0.02, 'eine': 0, 'massgebliche': 0, 'Senkung': 0, 'der': 0.01, 'Elternbeiträge': 0.015, 'gerade': 0, 'auch': 0, 'für': 0.01, 'kleinere': 0, 'Einkommen': 0}",positive,"[0.0008220171, 0.0010921127, 0.99808586]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@enairam15 @BarbaraLuethi @SRF Es ist eine Illusion, dass die Nichtbereitstellung von Kinderbetreuung und Sorgearbeit nichts kostet...",illusion nichtbereitstellung kinderbetreuung sorgearbeit kosten,"{'Es': 0.33, 'ist': 0.33, 'eine': 0, 'Illusion': 0.48, 'dass': 0.66, 'die': 0, 'Nichtbereitstellung': 0, 'von': 0, 'Kinderbetreuung': 1.0, 'und': 0.19, 'Sorgearbeit': 0.28, 'nichts': 0, 'kostet': 0, '...': 0}",negative,"[0.34815437, 0.44294778, 0.20889787]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Good News! Der Bund soll vorwärts machen bei der Kinderbetreuung, für #Vereinbarkeit von Beruf und Familie, zahlbare Kitaplätze und für eine bessere frühkindliche Bildung. Jetzt ist die WBK-N am Zug. @kathrinbertschy @PhilippKutter @M_Aebischer @MathiasReynard @Valerie_Piller https://t.co/qI8I2eo7qz",good news bund vorwärts kinderbetreuung vereinbarkeit beruf familie zahlbare kitaplätze gut frühkindliche bildung wbk n zug,"{'Good': 0.05, 'News': 0.09, 'Der': 0.02, 'Bund': 0, 'soll': 0, 'vorwärts': 0.11, 'machen': 0, 'bei': 0, 'der': 0.02, 'Kinderbetreuung': 1.0, 'für': 0.02, 'Vereinbarkeit': 0.06, 'von': 0, 'Beruf': 0, 'und': 0.02, 'Familie': 0.09, 'zahlbare': 0, 'Kitaplätze': 0, 'eine': 0, 'bessere': 0.02, 'frühkindliche': 0.055, 'Bildung': 0.06, 'Jetzt': 0.01, 'ist': 0.01, 'die': 0.02, 'WBK-N': 0, 'am': 0, 'Zug': 0}",positive,"[0.0026410306, 0.0028756573, 0.9944833]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @MonikaBuetler: Mütter übernehmen Kinderbetreuung, weil sie vorher weniger verdienen? (Spezialisierung nach Becker)

Zahlen aus UK bestä…",mütter übernehmen kinderbetreuung vorher wenig verdienen spezialisierung becker zahlen uk bestä,"{'Mütter': 0.31, 'übernehmen': 0.22, 'Kinderbetreuung': 0, 'weil': 0.12, 'sie': 0, 'vorher': 0, 'weniger': 0, 'verdienen': 0.09, 'Spezialisierung': 0.1, 'nach': 0, 'Becker': 0.09, 'Zahlen': 0.21, 'aus': 0, 'UK': 0.11, 'bestä': 0, '…': 0}",neutral,"[0.88031703, 0.08583808, 0.033844847]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.5,neutral,"@marguerite_jay Ich weiss auch nicht, ob das für D so stimmt. Ich fand es interessant, weil ich mal auf Twitter eine Kontroverse hatte zum Thema zu Beginn der Pandemie, ob sie  zu einer Veränderung der Rollen führen würde (Männer machen mehr Kinderbetreuung) oder zu einer Retraditionalisierung.",weiss d stimmen finden interessant mal twitter kontroverse thema beginn pandemie veränderung rollen fahren männer mehr kinderbetreuung retraditionalisierung,"{'Ich': 0.01, 'weiss': 0, 'auch': 0, 'nicht': 0, 'ob': 0, 'das': 0.02, 'für': 0.02, 'D': 0.02, 'so': 0, 'stimmt': 0, 'fand': 0.01, 'es': 0, 'interessant': 0.02, 'weil': 0.03, 'ich': 0.01, 'mal': 0, 'auf': 0.02, 'Twitter': 0.03, 'eine': 0, 'Kontroverse': 0.11, 'hatte': 0.01, 'zum': 0.07, 'Thema': 0, 'zu': 0.11, 'Beginn': 0.03, 'der': 0.03, 'Pandemie': 0.06, 'sie': 0, 'einer': 0, 'Veränderung': 0.21, 'Rollen': 0, 'führen': 0.1, 'würde': 0.06, 'Männer': 0.34, 'machen': 0.81, 'mehr': 1.0, 'Kinderbetreuung': 1.0, 'oder': 0.29, 'Retraditionalisierung': 0}",neutral,"[0.9496042, 0.029599864, 0.020795908]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @Tamarafuniciell: 650 millionen für Profisport.
65 Millionen für Profikinderbetreuung.
Finde den Fehler.

@EKdM20 @FemmesSPFrauen",millionen profisport millionen profikinderbetreuung finden fehler,"{'millionen': 0, 'für': 0.21, 'Profisport': 0.56, 'Millionen': 0, 'Profikinderbetreuung': 0, 'Finde': 0.11, 'den': 0.04, 'Fehler': 0}",positive,"[0.0013281972, 0.009137516, 0.9895343]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@luk_joos Zu a) Die Eltern. Zu b) M.E. ist Kinderbetreuung eine Aufgabe im öffentlichen Interesse und sollte daher mindestens teilweise öffentlich finanziert werden.,a eltern b m e kinderbetreuung aufgabe öffentlich interesse sollen daher mindestens teilweise öffentlich finanzieren,"{'Zu': 0.05, 'a': 0.12, 'Die': 0.04, 'Eltern': 0.12, 'b': 0.04, 'M.E.': 0, 'ist': 0.27, 'Kinderbetreuung': 1.0, 'eine': 0, 'Aufgabe': 0.16, 'im': 0, 'öffentlichen': 0.06, 'Interesse': 0.08, 'und': 0.05, 'sollte': 0.04, 'daher': 0, 'mindestens': 0.02, 'teilweise': 0, 'öffentlich': 0.06, 'finanziert': 0.12, 'werden': 0}",negative,"[0.39894265, 0.5243361, 0.07672129]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"Die Corona-Krise hat gezeigt, wie wichtig die Kinderbetreuung für viele Familien ist und wie schwierig es ist, wenn sie plötzlich ausfällt. Für mich ist klar: Jedes Kind, das einen Betreuungsplatz braucht, sollte den Anspruch darauf haben. https://t.co/jcqtbZcty4",corona krise zeigen wichtig kinderbetreuung familien schwierig plötzlich ausfällen klaren jed kind betreuungsplatz brauchen sollen anspruch darauf,"{'Die': 0.09, 'Corona-Krise': 0, 'hat': 0, 'gezeigt': 0.17, 'wie': 0.75, 'wichtig': 0.13, 'die': 0.09, 'Kinderbetreuung': 0.1, 'für': 0.13, 'viele': 0, 'Familien': 0, 'ist': 0.05, 'und': 0.48, 'schwierig': 1.0, 'es': 0.05, 'wenn': 0.48, 'sie': 0, 'plötzlich': 0.1, 'ausfällt': 0.21, 'Für': 0.13, 'mich': 0.03, 'klar': 0.05, 'Jedes': 0, 'Kind': 0, 'das': 0, 'einen': 0.02, 'Betreuungsplatz': 0.04, 'braucht': 0.09, 'sollte': 0.03, 'den': 0.09, 'Anspruch': 0, 'darauf': 0, 'haben': 0.07}",negative,"[0.009934635, 0.827223, 0.16284232]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@HaemmerliT @LaeriPatrizia Die These wäre ja, dass während Corona viele Frauenberufe verlangt sind (Gesundheitswesen, Kinderbetreuung, Lebensmittelverkauf) und die Frauen daher arbeiten müssen, die Männer also die Kinderbetreuung übernehmen. Aber vielleicht ist das einfach ein Züri-West-Bubble-Ding.",these ja corona frauenberufe verlangen gesundheitswesen kinderbetreuung lebensmittelverkauf frauen daher arbeiten müssen männer kinderbetreuung übernehmen vielleicht einfach züri west bubble ding,"{'Die': 0.04, 'These': 0, 'wäre': 0.64, 'ja': 0.36, 'dass': 0.05, 'während': 0, 'Corona': 0.18, 'viele': 0, 'Frauenberufe': 0.1, 'verlangt': 0.29, 'sind': 0.27, 'Gesundheitswesen': 0, 'Kinderbetreuung': 0, 'Lebensmittelverkauf': 0.035, 'und': 0.36, 'die': 0.04, 'Frauen': 0.1, 'daher': 0, 'arbeiten': 0.05, 'müssen': 0.06, 'Männer': 0.04, 'also': 0, 'übernehmen': 0.04, 'Aber': 0.4, 'vielleicht': 0, 'ist': 0, 'das': 0.05, 'einfach': 0, 'ein': 0, 'Züri-West-Bubble-Ding': 0}",negative,"[0.21376534, 0.7582314, 0.028003307]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @VPOD_Schweiz: #RespektFürKinderbetreuerInnen. Löhne? Obwohl es sich bei der Kinderbetreuung um eine verantwortungsvolle Arbeit 
handelt…",respektfürkinderbetreuerinnen löhnen obwohl kinderbetreuung verantwortungsvoll arbeit handeln,"{'RespektFürKinderbetreuerInnen': 0.89, 'Löhne': 0.11, 'Obwohl': 0, 'es': 0.08, 'sich': 0, 'bei': 0, 'der': 0, 'Kinderbetreuung': 0.14, 'um': 0.07, 'eine': 0, 'verantwortungsvolle': 0.11, 'Arbeit': 0, 'handelt': 0.13, '…': 0}",positive,"[0.26356193, 0.06364352, 0.6727945]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,RT @spschweiz: Ausgesteuerte Arbeitslose sollen laut WAK-N erst ab 62 und nur bis zum Erreichen des vorzeitigen Rentenalters Überbrückungsl…,ausgesteuert arbeitslos sollen laut wak n erst ab erreichen vorzeitigen rentenalters überbrückungsl,,,,"{'Ausgesteuerte': 0, 'Arbeitslose': 0.08, 'sollen': 0.04, 'laut': 0.045, 'WAK-N': 0, 'erst': 0, 'ab': 0, 'und': 0.07, 'nur': 0.11, 'bis': 0.4, 'zum': 0.04, 'Erreichen': 0.46, 'des': 0.08, 'vorzeitigen': 0, 'Rentenalters': 0.7849999999999999, 'Überbrückungsl': 0, '…': 0}",neutral,"[0.51471794, 0.029107478, 0.4561746]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,Kann mir jemand die Symbolik dieser Aktion erklären? Warum tragen die Jungfreisnnigen Christa Markwalder auf einer Sänfte? Und was hat das mit dem Rentenalter zu tun? https://t.co/DgeeFFUlh5,jemand symbolik aktion erklären warum tragen jungfreisnnigen christa markwalder sänfte rentenalter tun,,,,"{'Kann': 0.21, 'mir': 0.04, 'jemand': 0.05, 'die': 0.05, 'Symbolik': 0.05, 'dieser': 0.04, 'Aktion': 0.06, 'erklären': 0.09, 'Warum': 0.37, 'tragen': 0.11, 'Jungfreisnnigen': 0.05, 'Christa': 0.08, 'Markwalder': 0.13, 'auf': 0.06, 'einer': 0, 'Sänfte': 0, 'Und': 0.24, 'was': 0, 'hat': 0, 'das': 0.14, 'mit': 0.31, 'dem': 0.07500000000000001, 'Rentenalter': 0.49, 'zu': 0.1, 'tun': 0.16999999999999998}",neutral,"[0.9565052, 0.014692387, 0.028802438]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@sergegnos @stefanrueegger @operationlibero @marionnasch @GrueneZuerich @spzuerich @bglaettli @JayBadran Interessanterweise denken alle bei ""Wir müssen die Sozialsysteme zukunftstauglich und generationengerecht machen: Dafür dürfen die Flexibilisierung des Rentenalters genauso wenig tabu sein, wie die Anpassung von Beiträgen."" an eine Kürzung der AHV und Erhöhung des Rentenalters /1",interessanterweise denken all müssen sozialsysteme zukunftstauglich generationengerecht dafür dürfen flexibilisierung rentenalters genauso wenig tabu anpassung beiträgen kürzung ahv erhöhung rentenalters,,,,"{'Interessanterweise': 0.055, 'denken': 0.22, 'alle': 0.05, 'bei': 0, 'Wir': 0.06, 'müssen': 0.135, 'die': 0.07, 'Sozialsysteme': 0.05500000000000001, 'zukunftstauglich': 0, 'und': 0.06, 'generationengerecht': 0, 'machen': 0, 'Dafür': 0, 'dürfen': 0, 'Flexibilisierung': 0, 'des': 0, 'Rentenalters': 0.11, 'genauso': 0, 'wenig': 0, 'tabu': 0, 'sein': 0, 'wie': 0, 'Anpassung': 0, 'von': 0, 'Beiträgen': 0.11, 'an': 0.07, 'eine': 0, 'Kürzung': 0.12, 'der': 0.07, 'AHV': 0.06, 'Erhöhung': 0.15, '/1': 0}",positive,"[0.08517191, 0.023226066, 0.891602]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Paternalistisches Überbleibsel oder feministische Pfand? Lesenswertes Streitgespräch zwischen @BatzMonika und Mascha Madörin zum Frauenrentenalter. https://t.co/uMJyeTOsnD,paternalistisches überbleibsel feministische pfand lesenswert streitgespräch mascha madörin frauenrentenalter,,,,"{'Paternalistisches': 0, 'Überbleibsel': 0.15, 'oder': 0.07, 'feministische': 0.24, 'Pfand': 0, 'Lesenswertes': 0.68, 'Streitgespräch': 0.39, 'zwischen': 0.08, 'und': 0.09, 'Mascha': 0.13, 'Madörin': 0, 'zum': 0.39, 'Frauenrentenalter': 0.8775}",neutral,"[0.5235652, 0.011493262, 0.46494165]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
