answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
100.0,100.0,86.0,0.7,positive,"RT @dasNils: Gebührenfreie Kinderbetreuung für ALLE Familien. 
https://t.co/WRLYRhPAM1",gebührenfrei kinderbetreuung all familien,"{'Gebührenfreie': 1.0, 'Kinderbetreuung': 1.0, 'für': 0.15, 'ALLE': 0, 'Familien': 0}",positive,"[0.0011338748, 0.0008967242, 0.9979693]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @sp_bl: Die bisherige Laufbahn unserer Initiative für eine gebührenfreie Kinderbetreuung:

- Dienstag, 25. Mai: Initiative lanciert ▶️
-…",bisherig laufbahn initiative gebührenfrei kinderbetreuung dienstag mai initiative lanciert,"{'Die': 0.05, 'bisherige': 0, 'Laufbahn': 0, 'unserer': 0.07, 'Initiative': 0.06, 'für': 0.42, 'eine': 0, 'gebührenfreie': 0, 'Kinderbetreuung': 1.0, 'Dienstag': 0.05, '25.': 0, 'Mai': 0.02, 'lanciert': 0.07, '▶': 0, '️': 0, '…': 0}",positive,"[0.004343276, 0.0015022563, 0.9941545]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @jeggmann: 3'285 Unterschriften für eine gebührenfreie Kinderbetreuung an einem Tag – was für eine Leistung!💪🌹

Danke an die über hunder…",unterschriften gebührenfrei kinderbetreuung tag leistung danke hunder,"{""3'285"": 0, 'Unterschriften': 0.14, 'für': 0, 'eine': 0, 'gebührenfreie': 0, 'Kinderbetreuung': 1.0, 'an': 0, 'einem': 0.07, 'Tag': 0, '–': 0, 'was': 0, 'Leistung': 0, 'Danke': 0, 'die': 0, 'über': 0, 'hunder': 0, '…': 0}",positive,"[0.0009020811, 0.0011357546, 0.9979621]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @sp_bl: 3285 Unterschriften an einem Tag: Die SP Initiative «Gebührenfreie Kinderbetreuung für alle Familien» findet grossen Anklang bei…,unterschriften tag sp initiative gebührenfrei kinderbetreuung all familien finden grossen anklingen,"{'Unterschriften': 0.07, 'an': 0, 'einem': 0.02, 'Tag': 0, 'Die': 0.1, 'SP': 0.05, 'Initiative': 0.14, '«': 0, 'Gebührenfreie': 0, 'Kinderbetreuung': 0, 'für': 0, 'alle': 0, 'Familien': 0, '»': 0, 'findet': 0, 'grossen': 0, 'Anklang': 0, 'bei': 0, '…': 0}",positive,"[0.0013603858, 0.0010866357, 0.99755305]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.7999999999999999,positive,"Wow! Wir haben unsere Initiative für gebührenfreie Kinderbetreuung gesammelt - über 3200 Unterschriften - in einem Tag! Das zeigt: Unser Anliegen ist dringlich, das haben die heutigen Gespräche deutlich gezeigt.
Herzliches Danke an alle Sammler*innen - stolz auf meine Partei! ❤️ https://t.co/c6bSewC588",wow initiative gebührenfrei kinderbetreuung sammeln unterschriften tag zeigen anliegen dringlich heutig gespräche deutlich zeigen herzlich danke all sammler innen stolz partei,"{'Wow': 0.11, 'Wir': 0.04, 'haben': 0.01, 'unsere': 0.02, 'Initiative': 0.25, 'für': 0, 'gebührenfreie': 0, 'Kinderbetreuung': 1.0, 'gesammelt': 0.25, 'über': 0.06, 'Unterschriften': 0.15, 'in': 0.04, 'einem': 0.03, 'Tag': 0, 'Das': 0, 'zeigt': 0, 'Unser': 0.02, 'Anliegen': 0, 'ist': 0.01, 'dringlich': 0.04, 'das': 0.03, 'die': 0, 'heutigen': 0.02, 'Gespräche': 0, 'deutlich': 0, 'gezeigt': 0.02, 'Herzliches': 0, 'Danke': 0, 'an': 0, 'alle': 0, 'Sammler*innen': 0.04, 'stolz': 0, 'auf': 0, 'meine': 0.01, 'Partei': 0.05, '️': 0}",positive,"[0.0016547902, 0.0014688984, 0.99687624]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @jeggmann: 👨‍👧‍👦 Für eine gebührenfreie Kinderbetreuung für alle!
✍🏻 Jetzt unterschreiben: https://t.co/mn12fmPwwC https://t.co/10czhXtE…",gebührenfrei kinderbetreuung all unterschreiben,"{'\u200d\u200d': 0, 'Für': 0, 'eine': 0, 'gebührenfreie': 0, 'Kinderbetreuung': 0, 'für': 0, 'alle': 0, 'Jetzt': 0, 'unterschreiben': 0}",positive,"[0.001557418, 0.001004091, 0.99743843]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @sp_bl: Heute haben wir an unserer MK in Liestal unsere Initiative 'Gebührenfreie Kinderbetreuung für alle Familien' lanciert! Die famil…,heute mk liestal initiative gebührenfrei kinderbetreuung all familien lanciert famil,"{'Heute': 0.06, 'haben': 0, 'wir': 0, 'an': 0, 'unserer': 0.03, 'MK': 0.07, 'in': 0.04, 'Liestal': 0.07, 'unsere': 0.03, 'Initiative': 0.23, 'Gebührenfreie': 1.0, 'Kinderbetreuung': 1.0, 'für': 0.16, 'alle': 0, 'Familien': 0, 'lanciert': 0.17, 'Die': 0.06, 'famil': 0.07, '…': 0}",positive,"[0.0012315203, 0.0010319032, 0.9977366]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"Nun haben wir es schriftlich (danke fürs Anstossen des Familienberichts @funkytown63): Baselland belegt den miesen 23. Platz von 26 im schweizweiten Ranking um Familienfreundlichkeit. Der Handlungsbedarf ist klar! Unsere  Initiative ""Kinderbetreuung für alle"" kommt im Frühjahr! https://t.co/uwM7P1btak",schriftlich danke fürs anstossen familienberichts baselland belegen mies platz schweizweiten ranking familienfreundlichkeit handlungsbedarf klaren initiative kinderbetreuung all kommen frühjahr,"{'Nun': 0, 'haben': 0.02, 'wir': 0, 'es': 0.06, 'schriftlich': 0, 'danke': 0, 'fürs': 0.08, 'Anstossen': 0, 'des': 0, 'Familienberichts': 0.035, '):': 0, 'Baselland': 0.08, 'belegt': 0, 'den': 0.06, 'miesen': 0, '23.': 0, 'Platz': 0, 'von': 0, 'im': 0, 'schweizweiten': 0, 'Ranking': 0.12, 'um': 0, 'Familienfreundlichkeit': 0.05, 'Der': 0.06, 'Handlungsbedarf': 0.09, 'ist': 0.06, 'klar': 0.08, 'Unsere': 0.22, 'Initiative': 0.57, 'Kinderbetreuung': 0.47, 'für': 0.08, 'alle': 0, 'kommt': 0.56, 'Frühjahr': 0.84}",positive,"[0.008226924, 0.004211578, 0.98756146]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Spannende Studie zur frühen Kindheit, die klar aufzeigt, dass sich Investitionen in die frühe Förderung und in Betreuung auszahlen. #KinderbetreuungFürAlle 
https://t.co/euiycAh62F",spannend studie früh kindheit klaren aufzeigen investitionen frühe förderung betreuung auszahlen kinderbetreuungfüralle,"{'Spannende': 0.06, 'Studie': 0.06, 'zur': 0, 'frühen': 0.02, 'Kindheit': 0.03, 'die': 0, 'klar': 0, 'aufzeigt': 0.04, 'dass': 0.03, 'sich': 0, 'Investitionen': 0, 'in': 0.02, 'frühe': 0.02, 'Förderung': 0, 'und': 0.03, 'Betreuung': 0, 'auszahlen': 0.02, 'KinderbetreuungFürAlle': 0}",positive,"[0.0040945606, 0.0066300104, 0.9892754]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Die Entscheidung über unser Initiativprojekt ist gefallen. Ich freue mich auf die Lancierung, denn die @sp_bl setzt sich seit je her für Chancengerechtigkeit und Gleichstellungsanliegen ein – Kinderbetreuung für alle setzt genau dort an. 😊💪
https://t.co/g34n37Gb2P",entscheidung initiativprojekt fallen freuen lancierung setzen seit je her chancengerechtigkeit gleichstellungsanliegen kinderbetreuung all setzen genau,"{'Die': 0.03, 'Entscheidung': 0.02, 'über': 0, 'unser': 0.01, 'Initiativprojekt': 0, 'ist': 0.19, 'gefallen': 0, 'Ich': 0.02, 'freue': 0, 'mich': 0, 'auf': 0, 'die': 0.03, 'Lancierung': 0.04, 'denn': 0, 'setzt': 0, 'sich': 0, 'seit': 0, 'je': 0.19, 'her': 0, 'für': 0, 'Chancengerechtigkeit': 0, 'und': 0.05, 'Gleichstellungsanliegen': 0.04, 'ein': 0, '–': 0, 'Kinderbetreuung': 0, 'alle': 0, 'genau': 0, 'dort': 0, 'an': 0}",positive,"[0.00073735224, 0.0009483703, 0.99831426]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
