answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,sentiment_tb
0.0,0.0,14.0,-0.7,neutral,"RT @gernot_ruzicka: «Kinder in Kinderbetreuungseinrichtungen infizierten sich nicht nur mit COVID-19, sondern sie verbreiteten das Virus au…",kinder kinderbetreuungseinrichtungen infizieren covid verbreiten virus au,"{'«': 0, 'Kinder': 0, 'in': 0, 'Kinderbetreuungseinrichtungen': 0, 'infizierten': 0, 'sich': 0, 'nicht': 0, 'nur': 0, 'mit': 0, 'COVID-19': 0, 'sondern': 0, 'sie': 0, 'verbreiteten': 0, 'das': 0, 'Virus': 0, 'au': 0, '…': 0}",negative,"[0.053870462, 0.93131244, 0.0148170935]",,,,,,,negative
50.0,75.0,57.0,0.0,negative,RT @dbrgn: Dieser Thread zeigt die Probleme von E-Voting. Wurde hier das E-Voting-System von Oregon und Washington geknackt? Ich weiss es n…,thread zeigen probleme e voting e voting system oregon washington knacken weiss n,,,,"{'Dieser': 0.24, 'Thread': 0.29, 'zeigt': 0, 'die': 0.08, 'Probleme': 1.0, 'von': 0, 'E-Voting': 0, 'Wurde': 0, 'hier': 0.06, 'das': 0, 'E-Voting-System': 0, 'Oregon': 0.08, 'und': 0.08, 'Washington': 0.05, 'geknackt': 0.29, 'Ich': 0.09, 'weiss': 0, 'es': 0, 'n': 0.08, '…': 0}",negative,"[0.043439277, 0.9494141, 0.007146644]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @JorgoA: Mit E-Voting zur Entertainment-Demokratie, der Artikel ist ab heute online: https://t.co/DVnNxvUnsY
19:45 Uhr gibt es den passe…",e voting entertainment demokratie artikel ab heute online uhr geben passe,,,,"{'Mit': 0.13, 'E-Voting': 0, 'zur': 0.91, 'Entertainment-Demokratie': 0.35, 'der': 0.91, 'Artikel': 0.44, 'ist': 0.79, 'ab': 0, 'heute': 0.19, 'online': 0.38, '19:45': 0, 'Uhr': 0, 'gibt': 0, 'es': 0.79, 'den': 0.91, 'passe': 0, '…': 0}",negative,"[0.29276252, 0.6795361, 0.027701389]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: Cybervoting - Folien zum #CCCCH-Vortrag vom 13. Mai @GrundrechteCH zum umstrittenen E-Voting. https://t.co/KpILwSIhcM (PDF)

Ke…",cybervoting folien cccch vortrag mai umstritten e voting pdf ke,,,,"{'Cybervoting': 0.24, 'Folien': 0, 'zum': 0.23, 'CCCCH-Vortrag': 0.655, 'vom': 0.23, '13.': 0, 'Mai': 0.75, 'umstrittenen': 0.67, 'E-Voting': 0, 'PDF': 0.16, 'Ke': 0.07, '…': 0}",neutral,"[0.6297773, 0.13593702, 0.23428561]",,,,neutral
50.0,75.0,57.0,0.0,positive,"RT @dbrgn: ""E-Voting ist zwar riskant und teuer, aber die Millioneninvestition ist es wert, weil die Stimmbeteiligung/Partizipation steigt""…",e voting riskant teuer millioneninvestition wert stimmbeteiligung partizipation steigen,,,,"{'E-Voting': 0, 'ist': 0.12, 'zwar': 0.12, 'riskant': 0.14, 'und': 0.07, 'teuer': 0.18, 'aber': 0.08, 'die': 0.6, 'Millioneninvestition': 0.155, 'es': 0.12, 'wert': 0.2, 'weil': 0.41, 'Stimmbeteiligung': 0.495, 'Partizipation': 0.76, 'steigt': 1.0, '…': 0}",negative,"[0.1149006, 0.8576901, 0.027409293]",,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @CCC_CH: E-Voting - @glocalreporting in @SPIEGELONLINE zum #EVoting-Wahn in der Schweiz; mit Aussagen @adfichter/@RepublikMagazin &amp; @vec…,e voting evoting wahn schweiz aussagen amp,,,,"{'E-Voting': 0, 'in': 0.07, 'zum': 0.10500000000000001, 'EVoting-Wahn': 0, 'der': 0.1, 'Schweiz': 0.15, 'mit': 0.29, 'Aussagen': 0, 'amp': 0.34, '…': 0}",neutral,"[0.509812, 0.15058543, 0.3396026]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: E-Voting - der @postschweiz-Test als Farce; @narimoldi von @eVoteMoratorium in @nau_live mit Klartext:
«Die Post gibt endlich o…",e voting test farce klartext post geben endlich o,,,,"{'E-Voting': 0, 'der': 0.15, '-Test': 0, 'als': 0.08, 'Farce': 0.25, 'von': 0.12, 'in': 0.09, 'mit': 0.08, 'Klartext': 0.305, '«': 0, 'Die': 0, 'Post': 0, 'gibt': 0, 'endlich': 0, 'o': 0, '…': 0}",neutral,"[0.72829425, 0.083165504, 0.18854026]",,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @CCC_CH: E-Voting - @heiseonline zur lauter werdenden Kritik am Schweizer #EVoting  und mit Hinweis aufs @eVoteMoratorium:
https://t.co/…",e voting laut werdenden kritik schweizer evoting hinweis aufs,,,,"{'E-Voting': 0, 'zur': 0.17, 'lauter': 0, 'werdenden': 0, 'Kritik': 1.0, 'am': 0, 'Schweizer': 0.23, 'EVoting': 0.39, 'und': 0.22, 'mit': 0.15, 'Hinweis': 0, 'aufs': 0}",positive,"[0.08662256, 0.037742216, 0.8756352]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: E-Voting - @adfichter/@RepublikMagazin on @scytl, a company ""powering democracy"" (~slogan) in 42 countries including Switzerlan…",e voting on a company powering democracy slogan countries including switzerlan,,,,"{'E-Voting': 0, 'on': 0.05, 'a': 0.16, 'company': 0.1, 'powering': 0.12, 'democracy': 0.16, '~slogan': 0, 'in': 0.52, 'countries': 0.76, 'including': 1.0, 'Switzerlan': 1.0, '…': 0}",neutral,"[0.6494439, 0.07492363, 0.27563244]",,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @CCC_CH: E-Voting - @jan_jirat in der @Wochenzeitung mit Kommentar ""Pioniergeist über alles"":
https://t.co/s67jTGSnrN
Kritisert wird die…",e voting kommentar pioniergeist kritisert,,,,"{'E-Voting': 0, 'in': 0.06, 'der': 0.85, 'mit': 0.09, 'Kommentar': 0.3, 'Pioniergeist': 0.10500000000000001, 'über': 0, 'alles': 0.06, 'Kritisert': 0, 'wird': 0, 'die': 0.85, '…': 0}",positive,"[0.04920907, 0.030852666, 0.91993827]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CCC_CH: E-Voting - VR-Präsident Urs Schwaller @postschweiz:

""Wir haben E-Voting in 13 oder 14 Kantonen und 200 Abstimmungen bei einem…",e voting vr präsident urs schwaller e voting kantonen abstimmungen,,,,"{'E-Voting': 0, 'VR-Präsident': 0.06, 'Urs': 0.36, 'Schwaller': 0.24, 'Wir': 0.29, 'haben': 0.27, 'in': 0.02, 'oder': 0.1, 'Kantonen': 0.08, 'und': 0.09, 'Abstimmungen': 0.14, 'bei': 0, 'einem': 0.03, '…': 0}",neutral,"[0.8933399, 0.03977653, 0.066883616]",,,,neutral
0.0,0.0,14.0,-0.7,negative,"RT @CCC_CH: E-Voting - @postschweiz in @nau_live:
«Es ist aus unserer Sicht sehr schwierig, das hochsichere E-Voting-System zu hacken. Das…",e voting sicht schwierig hochsichere e voting system hacken,,,,"{'E-Voting': 0, 'in': 0.13, '«': 0, 'Es': 0, 'ist': 0, 'aus': 0, 'unserer': 0, 'Sicht': 0, 'sehr': 0, 'schwierig': 0, 'das': 0, 'hochsichere': 0, 'E-Voting-System': 0, 'zu': 0, 'hacken': 0, 'Das': 0, '…': 0}",negative,"[0.22973613, 0.59494555, 0.17531826]",,,,negative
0.0,0.0,14.0,-0.7,negative,RT @CCC_CH: E-Voting - die laufenden Abstimmungen #Abst19 bleiben auf dem E-Voting-Kanal für DNS-Spoofing anfällig: man nimmt Warnungen wed…,e voting laufend abstimmungen abst19 bleiben e voting kanal dns spoofing anfällig nehmen warnungen wed,,,,"{'E-Voting': 0, 'die': 0.1, 'laufenden': 0.07, 'Abstimmungen': 0.06, 'Abst19': 0.16, 'bleiben': 0, 'auf': 0.05, 'dem': 0.095, 'E-Voting-Kanal': 0.15, 'für': 0, 'DNS-Spoofing': 0, 'anfällig': 0, 'man': 0, 'nimmt': 0, 'Warnungen': 0.56, 'wed': 0, '…': 0}",neutral,"[0.63205063, 0.21282472, 0.15512462]",,,,negative
