answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @caschod: Nur so aus Neugier: Schreiben Väter auch ""Kinderbetreuung ist organisiert"" in ihre Bewerbungen oder ist das exklusiv Frauen vo…",neugier schreiben väter kinderbetreuung organisieren bewerbungen exklusiv frauen vo,"{'Nur': 0.1, 'so': 0, 'aus': 0.05, 'Neugier': 0.21, 'Schreiben': 0.36, 'Väter': 0.13, 'auch': 0.18, 'Kinderbetreuung': 0.97, 'ist': 0.07, 'organisiert': 1.0, 'in': 0.28, 'ihre': 0.2, 'Bewerbungen': 0.43, 'oder': 0.19, 'das': 0, 'exklusiv': 0, 'Frauen': 0.29, 'vo': 0, '…': 0}",neutral,"[0.69741744, 0.07999, 0.22259253]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,positive,dazu noch interaktiv: https://t.co/RP8QBy32DA #immerjazumehrkinderbetreuung,interaktiv immerjazumehrkinderbetreuung,"{'dazu': 0, 'noch': 0, 'interaktiv': 0.06, 'immerjazumehrkinderbetreuung': 0}",positive,"[0.2862427, 0.11175817, 0.60199916]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @FabianMolinaNR: Philipp Müller fordert die Abschaffung des Rentenalters. Das wäre die grösste Rentenkürzung in der Geschichte der Schwe…,philipp müller fordern abschaffung rentenalters grösste rentenkürzung geschichte schwe,,,,"{'Philipp': 0.15, 'Müller': 0, 'fordert': 0.45, 'die': 0.05, 'Abschaffung': 0, 'des': 0, 'Rentenalters': 0.62, 'Das': 0.05, 'wäre': 0.08, 'grösste': 0, 'Rentenkürzung': 0.245, 'in': 0.09, 'der': 0.05, 'Geschichte': 0, 'Schwe': 0, '…': 0}",negative,"[0.12973154, 0.8423406, 0.02792788]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"Hey @GrueneZuerich, eure Ständeratskandidatin @marionnasch bekennt sich also per vertraulicher Unterschrift zum Rentenalter 67 für Wahlkampfgelder – wie ist das vertretbar? 
https://t.co/zbQJVBPgDc https://t.co/hvY0OmVsvS",hey ständeratskandidatin bekennen per vertraulich unterschrift rentenalter wahlkampfgelder vertretbar,,,,"{'Hey': 0.43, 'eure': 0.24, 'Ständeratskandidatin': 0.25, 'bekennt': 0.41, 'sich': 0, 'also': 0, 'per': 0, 'vertraulicher': 0.23, 'Unterschrift': 0.11, 'zum': 0.745, 'Rentenalter': 0.9099999999999999, 'für': 0.23, 'Wahlkampfgelder': 0.125, '–': 0, 'wie': 0, 'ist': 0, 'das': 0, 'vertretbar': 0}",neutral,"[0.7086685, 0.09920986, 0.19212168]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @sacovo: Während die Junge FDP das Rentenalter für Büezer*innen erhöhen will, hat Maudet ab heute Anspruch auf 7k/Monat. Rentenalter 66…",junge fdp rentenalter büezer innen erhöhen maudet ab heute anspruch 7k monat rentenalter,,,,"{'Während': 0.38, 'die': 0.43, 'Junge': 0, 'FDP': 0.25, 'das': 0, 'Rentenalter': 0.08, 'für': 0.32, 'Büezer*innen': 0, 'erhöhen': 0, 'will': 0, 'hat': 0, 'Maudet': 0.15, 'ab': 0, 'heute': 0.08, 'Anspruch': 0, 'auf': 0, '7k': 0.1, 'Monat': 0.08, '…': 0}",positive,"[0.21040244, 0.121384725, 0.6682129]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5666666666666667,negative,"RT @SamiraMarti: Lieber @SandroBrotz / #srfarena: Bei SIEBEN Gästen lediglich EINE Frau einzuladen, geht gar nicht. Wenn‘s ums Rentenalter…",lieb srfarena sieben gästen lediglich frau einladen gehen gar s ums rentenalter,,,,"{'Lieber': 0.05, 'srfarena': 0.09, 'Bei': 0, 'SIEBEN': 0.06, 'Gästen': 0.13, 'lediglich': 0.04, 'EINE': 0.05, 'Frau': 0, 'einzuladen': 0.24, 'geht': 0, 'gar': 0, 'nicht': 0.07, 'Wenn': 0.21, '‘': 0, 's': 0, 'ums': 0, 'Rentenalter': 0, '…': 0}",neutral,"[0.7704656, 0.0058003035, 0.2237341]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @molinafab: Mit Verlaub, aber es gibt viele Alternativen zu Rentenalter-Erhöhungen. Nur weil #SVP, #FDP und #GLP #Rentenalter67 wollen,…",verlaub geben alternativ rentenalter erhöhungen svp fdp glp rentenalter67,,,,"{'Mit': 0.07, 'Verlaub': 0, 'aber': 0, 'es': 0, 'gibt': 0.11, 'viele': 0, 'Alternativen': 0.85, 'zu': 0.43, 'Rentenalter-Erhöhungen': 0.655, 'Nur': 0.06, 'weil': 0.1, 'SVP': 0, 'FDP': 0.07, 'und': 0.05, 'GLP': 0.05, 'Rentenalter67': 0.31, 'wollen': 0.04, '…': 0}",positive,"[0.21454456, 0.1328036, 0.6526518]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,28.0,-0.3333333333333333,neutral,"merkt’s: die glp ist nicht sozial. 
«Bei Gesundheitsfragen, beim Arbeitnehmerschutz oder bei der Altersvorsorge positioniert sich die GLP teils sogar rechts der FDP. So hielt sie bis am Schluss stur an einer 500-Franken-Franchise fest. Und die GLP will Rentenalter 67 für alle.» https://t.co/LZdDNUMHkQ",merken s glp sozial gesundheitsfragen beim arbeitnehmerschutz altersvorsorge positionieren glp teils sogar rechts fdp halten schluss stur franken franchise fest glp rentenalter all,,,,"{'merkt': 0.04, '’s': 0, 'die': 0, 'glp': 0.57, 'ist': 0.06, 'nicht': 0.05, 'sozial': 0.03, '«': 0, 'Bei': 0, 'Gesundheitsfragen': 0, 'beim': 0, 'Arbeitnehmerschutz': 0, 'oder': 0, 'bei': 0, 'der': 0, 'Altersvorsorge': 0, 'positioniert': 0, 'sich': 0, 'GLP': 0, 'teils': 0, 'sogar': 0, 'rechts': 0, 'FDP': 0, 'So': 0, 'hielt': 0, 'sie': 0, 'bis': 0, 'am': 0, 'Schluss': 0, 'stur': 0, 'an': 0, 'einer': 0, '500-Franken-Franchise': 0, 'fest': 0, 'Und': 0, 'will': 0, 'Rentenalter': 0, 'für': 0, 'alle': 0, '»': 0}",neutral,"[0.59167165, 0.03370417, 0.37462416]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,#srfarena ihr wollt höhere rentenalter? wenn dann stellt auch gefälligst die im höheren alter auch mit unbefristeten verträgen an!,srfarena hoch rentenalter stellen gefälligst hoch altern unbefristet verträgen,,,,"{'srfarena': 0.32, 'ihr': 0, 'wollt': 0.91, 'höhere': 1.0, 'rentenalter': 0.89, 'wenn': 0.2, 'dann': 0.1, 'stellt': 0, 'auch': 0.11, 'gefälligst': 0, 'die': 0.11, 'im': 0, 'höheren': 1.0, 'alter': 0, 'mit': 0.07, 'unbefristeten': 0, 'verträgen': 0.13, 'an': 0}",positive,"[0.4452215, 0.046629976, 0.50814855]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @stoepsomat: Rentenalter 67 wird Ihnen präsentiert von denjenigen bürgerlichen Unternehmern, die in ihren Firmen niemanden ü50 anstellen…",rentenalter präsentieren derjenige bürgerlich unternehmern firmen niemand ü50 anstellen,,,,"{'Rentenalter': 0.79, 'wird': 0, 'Ihnen': 0.47, 'präsentiert': 0, 'von': 0, 'denjenigen': 0.21, 'bürgerlichen': 0, 'Unternehmern': 0.29, 'die': 0, 'in': 0.07, 'ihren': 0, 'Firmen': 0.29, 'niemanden': 0, 'ü50': 0, 'anstellen': 0, '…': 0}",neutral,"[0.95833313, 0.0056087463, 0.036058113]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
