answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3458,absa_sentiment_3458,absa_scores_3458,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"@BaSchaffner Great minds think alike 
#nein zur  #Kuendigungsinitiative, #nein zur  Mogelpackung Steuererlass für Einkommen über be 100'000, #nein zum Abschussgesetz, #ja zum Vaterschaftsurlaub",great minds think alike nein kuendigungsinitiative nein mogelpackung steuererlass einkommen be nein abschussgesetz ja vaterschaftsurlaub,"{'Great': 0.08, 'minds': 0.03, 'think': 0.03, 'alike': 0.05, 'nein': 0.23, 'zur': 0.525, 'Kuendigungsinitiative': 0, 'Mogelpackung': 0.04, 'Steuererlass': 0.04, 'für': 0.08, 'Einkommen': 0, 'über': 0.05, 'be': 0, ""100'000"": 0, 'zum': 0.525, 'Abschussgesetz': 0.11, 'ja': 0, 'Vaterschaftsurlaub': 0.7849999999999999}",positive,"[0.0016856064, 0.0012646492, 0.9970497]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @hannesgassert: @spschweiz @papizeit Als Mitgründer eines Unternehmens, das seit über zehn Jahren vier Wochen #Vaterschaftsurlaub gibt,…",mitgründer unternehmens seit zehn jahren vier wochen vaterschaftsurlaub geben,"{'Als': 0, 'Mitgründer': 0, 'eines': 0, 'Unternehmens': 0.17, 'das': 0.07, 'seit': 0, 'über': 0.06, 'zehn': 0.09, 'Jahren': 0.13, 'vier': 0.19, 'Wochen': 0.3, 'Vaterschaftsurlaub': 0.38, 'gibt': 0, '…': 0}",neutral,"[0.96364826, 0.014576299, 0.021775516]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@morvjn @operationlibero @grunliberale Die UK zeigt mit Brexit, dass man es auch kompliziert machen kann. Die Konsequenzen sind ein Disaster. Das mit den Sozialsystemen ist ein Urban Myth. Wer in der Schweiz arbeitet und in die AHV/ Pensionskasse einzahlt, soll auch eine Rente kriegen.",uk zeigen brexit komplizieren konsequenzen disaster sozialsystemen urban myth wer schweiz arbeiten ahv pensionskasse einzahlen rente kriegen,,,,"{'Die': 0.07, 'UK': 0.04, 'zeigt': 0, 'mit': 0.05, 'Brexit': 0.07, 'dass': 0.09, 'man': 0, 'es': 0.06, 'auch': 1.0, 'kompliziert': 0.04, 'machen': 0, 'kann': 0.03, 'Konsequenzen': 0.12, 'sind': 0.05, 'ein': 0, 'Disaster': 0.73, 'Das': 0.07, 'den': 0.07, 'Sozialsystemen': 0.04, 'ist': 0.06, 'Urban': 0.05, 'Myth': 0.19, 'Wer': 0.16, 'in': 0.05, 'der': 0.07, 'Schweiz': 0.08, 'arbeitet': 0.06, 'und': 0.07, 'die': 0.07, 'AHV': 0.08, 'Pensionskasse': 0.31, 'einzahlt': 0.18, 'soll': 0, 'eine': 0, 'Rente': 0, 'kriegen': 0}",negative,"[0.13378705, 0.83251876, 0.03369424]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"@rodochri90 @particleist @alliance_F @StojanovicNenad @operationlibero @laura_zme @KleinerFlavia @AOC Well you might want to check the results on the following
where @operationlibero beat the UDC
Durchsetzungsinitiative
Erleichterte Einbürgerung
NoBillag
Selbstbestimmungsinitiative
Kündigungsinitiative",well you might want to check the results on the following where beat the udc durchsetzungsinitiative erleichtern einbürgerung nobillag selbstbestimmungsinitiative kündigungsinitiative,,,,,,,"{'Well': 0.07, 'you': 0.06, 'might': 0.05, 'want': 0.04, 'to': 0.04, 'check': 0.09, 'the': 0.23, 'results': 0.09, 'on': 0.04, 'following': 0.08, 'where': 0.25, 'beat': 0.26, 'UDC': 0.15, 'Durchsetzungsinitiative': 0.26, 'Erleichterte': 0, 'Einbürgerung': 1.0, 'NoBillag': 0.5, 'Selbstbestimmungsinitiative': 0.34, 'Kündigungsinitiative': 0.25}",positive,"[0.028941257, 0.0071741357, 0.96388465]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @PKoppenburgCH: ⬅️ #Doppelbürger durch erleichterte Einbürgerung https://t.co/zkWpyilVbW,doppelbürger erleichtern einbürgerung,,,,,,,"{'⬅': 0, '️': 0, 'Doppelbürger': 0, 'durch': 0, 'erleichterte': 0, 'Einbürgerung': 0}",positive,"[0.35463205, 0.013714063, 0.6316539]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"@BaSchaffner @grunliberale @tagesanzeiger #Lenkungsabgaben funktionieren jetzt schon. 25 Rappen/Liter auf Heizöl und 6 von 10 Heizungssanierungen oder Neubau installieren erneuerbare Energie. Das ist noch nicht genügend, aber das wäre ein Anfang auch beim Treibstoff. #EsistZeit @grunliberale",lenkungsabgaben funktionieren schon rappen liter heizöl heizungssanierungen neubau installieren erneuerbare energie genügen anfang beim treibstoff esistzeit,,,,,,,,,,"{'Lenkungsabgaben': 0.13, 'funktionieren': 0, 'jetzt': 0, 'schon': 0, 'Rappen': 0, 'Liter': 0.1, 'auf': 0.13, 'Heizöl': 0.1, 'und': 0.25, 'von': 0, 'Heizungssanierungen': 0.135, 'oder': 0.26, 'Neubau': 0.16, 'installieren': 1.0, 'erneuerbare': 0.91, 'Energie': 0.52, 'Das': 0, 'ist': 0.11, 'noch': 0.12, 'nicht': 0.41, 'genügend': 0.11, 'aber': 0.05, 'das': 0.07, 'wäre': 0.07, 'ein': 0, 'Anfang': 0, 'auch': 0, 'beim': 0, 'Treibstoff': 0.15, 'EsistZeit': 0}",neutral,"[0.7174256, 0.26532048, 0.017253883]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Franz und Pietro - Physiker und Arzt im Gespräch.

Energie sparen reicht nicht! Um auf erneuerbare Energien umzusteigen, müssen wir die grossen Treibhausgas Beiträge CO2 neutral machen. 
https://t.co/95bx36bVId
@pietrovernazza @glpzh @glp_sg  #EsistZeit

Heute #Klimademo in Bern! https://t.co/2xCHoiCl0V",franz pietro physiker arzt gespräch energie sparen reichen erneuerbare energien umsteigen müssen grossen treibhausgas beiträge co2 neutral esistzeit heute klimademo bern,,,,,,,,,,"{'Franz': 0.03, 'und': 0.03, 'Pietro': 0.03, 'Physiker': 0, 'Arzt': 0.05, 'im': 0, 'Gespräch': 0.08, 'Energie': 0.1, 'sparen': 0, 'reicht': 0, 'nicht': 0.03, 'Um': 0, 'auf': 0, 'erneuerbare': 0.71, 'Energien': 0.41, 'umzusteigen': 0.535, 'müssen': 0.1, 'wir': 0, 'die': 0.07, 'grossen': 0, 'Treibhausgas': 0.095, 'Beiträge': 0.06, 'CO2': 0.1, 'neutral': 0.09, 'machen': 0, 'EsistZeit': 0, 'Heute': 0.09, 'Klimademo': 0.22, 'in': 0.12, 'Bern': 0.12}",neutral,"[0.46207982, 0.10968096, 0.4282393]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"""Barbara Schaffner weiss als Physikerin, was es braucht um ganz von fossilen Brennstoffen auf erneuerbare Energien umzusteigen. Sie ist zielorientiert und man will sie im Team haben."" https://t.co/u8CGGbi1GL",barbara schaffner weiss physikerin brauchen ganz fossil brennstoffen erneuerbare energien umsteigen zielorientiert team,,,,,,,,,,"{'Barbara': 0.04, 'Schaffner': 0.05, 'weiss': 0, 'als': 0.02, 'Physikerin': 0.03, 'was': 0, 'es': 0.07, 'braucht': 0, 'um': 0.02, 'ganz': 0, 'von': 0.41, 'fossilen': 0.13, 'Brennstoffen': 0.36, 'auf': 0.07, 'erneuerbare': 1.0, 'Energien': 0.36, 'umzusteigen': 0.8400000000000001, 'Sie': 0.1, 'ist': 0.07, 'zielorientiert': 0, 'und': 0.05, 'man': 0, 'will': 0, 'sie': 0.1, 'im': 0, 'Team': 0.08, 'haben': 1.0}",neutral,"[0.6149155, 0.029881243, 0.3552033]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Gratulation an @ChristophSchaer, mein 400 Follower. Christoph produziert erneuerbare Energie auf dem eigenen Dach. Wenn dies alle 1.7 Millionen Wohngebäude in der 🇨🇭 machen würden, ergäbe dies 7 TWh oder 10% des Strombedarfs. Zum Vergleich KKW Gösgen ist 8 TWh. @glpzh #EsistZeit",gratulation follower christoph produzieren erneuerbare energie eigen dach all millionen wohngebäude ergeben twh strombedarfs vergleich kkw gösgen twh esistzeit,,,,,,,,,,"{'Gratulation': 0.21, 'an': 0, 'mein': 0.04, 'Follower': 0, 'Christoph': 0.3, 'produziert': 0, 'erneuerbare': 1.0, 'Energie': 0.42, 'auf': 0.12, 'dem': 0.02, 'eigenen': 0.19, 'Dach': 0.13, 'Wenn': 0, 'dies': 0, 'alle': 0, '1.7': 0, 'Millionen': 0, 'Wohngebäude': 0.035, 'in': 0.03, 'der': 0.02, '🇨': 0, '🇭': 0, 'machen': 0, 'würden': 0, 'ergäbe': 0, 'TWh': 0, 'oder': 0, 'des': 0, 'Strombedarfs': 0, 'Zum': 0, 'Vergleich': 0, 'KKW': 0, 'Gösgen': 0, 'ist': 0, 'EsistZeit': 0}",positive,"[0.002877928, 0.002327058, 0.994795]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@grunliberale @glpzh Vorname: Aletsch, Nachnahme: Gletscher, Lebenserwartung: ohne Apollo Programm fürs Klima &lt; 81 Jahre, mit voller Umstellung auf erneuerbare Energien &gt; 1000 Jahre. Werde ich überleben? Es hängt von Dir ab
https://t.co/1p8kjw720q
#EsistZeit @grunliberale @glpzh @Knutti_ETH",vorname aletsch nachnahme gletscher lebenserwartung apollo programm fürs klima lt jahre voll umstellung erneuerbare energien gt jahre überleben hängen ab esistzeit,,,,,,,,,,"{'Vorname': 0.02, 'Aletsch': 0.06, 'Nachnahme': 0.0275, 'Gletscher': 0.02, 'Lebenserwartung': 0.035, 'ohne': 0.06, 'Apollo': 0.04, 'Programm': 0.08, 'fürs': 0.03, 'Klima': 0.07, 'lt': 0.04, 'Jahre': 0.11, 'mit': 0.1, 'voller': 0.2, 'Umstellung': 0, 'auf': 0.02, 'erneuerbare': 1.0, 'Energien': 0, 'gt': 0.41, 'Werde': 0, 'ich': 0.03, 'überleben': 0.05, 'Es': 0, 'hängt': 0, 'von': 0, 'Dir': 0.2, 'ab': 0, 'EsistZeit': 0}",positive,"[0.010216439, 0.00451352, 0.9852701]",,,,,,,,,,,,,,,,,,,,,,neutral
