answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @glpzh: ""...von der Stärkung der ausserfamiliären Kinderbetreuung bis zum Naturschutz. Sie haben sich auch die finanzpolitische Nachhalt…",stärkung ausserfamiliären kinderbetreuung naturschutz finanzpolitische nachhalt,"{'...': 0, 'von': 0.45, 'der': 0.1, 'Stärkung': 1.0, 'ausserfamiliären': 0, 'Kinderbetreuung': 1.0, 'bis': 0, 'zum': 0.14, 'Naturschutz': 0, 'Sie': 0, 'haben': 0.11499999999999999, 'sich': 0, 'auch': 0.05, 'die': 0.1, 'finanzpolitische': 0, 'Nachhalt': 0.12, '…': 0}",positive,"[0.0006691018, 0.0012605594, 0.9980704]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @RepublikMagazin: Was ist die Krux der helvetischen Kinderbetreuung? Sie kostet zu viel, lautet die gängige Analyse. Lösung? Der Abbau v…",krux helvetischen kinderbetreuung kosten lauten gängige analyse lösung abbau v,"{'Was': 0, 'ist': 0.08, 'die': 0.28, 'Krux': 0, 'der': 0.28, 'helvetischen': 0, 'Kinderbetreuung': 0.16, 'Sie': 0, 'kostet': 0.09, 'zu': 0, 'viel': 0, 'lautet': 0, 'gängige': 0.07, 'Analyse': 0, 'Lösung': 0.72, 'Der': 0.28, 'Abbau': 0.39, 'v': 0, '…': 0}",positive,"[0.43393758, 0.06219004, 0.50387233]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@grunliberale @kathrinbertschy Dann muss die Berufstätigkeit beider Elternteile aber auch finanzierbar sein. z.B.  Zahlbare Kinderbetreuung.,berufstätigkeit beid elternteile finanzierbar z b zahlbare kinderbetreuung,"{'Dann': 0, 'muss': 0, 'die': 0.04, 'Berufstätigkeit': 0.06, 'beider': 0.03, 'Elternteile': 0.05, 'aber': 0, 'auch': 0.05, 'finanzierbar': 0.18, 'sein': 0, 'z.B.': 0, 'Zahlbare': 1.0, 'Kinderbetreuung': 0.71}",positive,"[0.0009982282, 0.0009354508, 0.99806637]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.35,neutral,"RT @tagesanzeiger: Der Bundesrat will mehr für die Kinderbetreuung ausgeben, um die Vereinbarkeit von Beruf und Familie zu fördern. https:/…",bundesrat mehr kinderbetreuung ausgeben vereinbarkeit beruf familie fördern https,"{'Der': 0.05, 'Bundesrat': 0.09, 'will': 0, 'mehr': 0.48, 'für': 0, 'die': 0.05, 'Kinderbetreuung': 1.0, 'ausgeben': 0, 'um': 0, 'Vereinbarkeit': 0.04, 'von': 0, 'Beruf': 0, 'und': 0.02, 'Familie': 0.04, 'zu': 0.09, 'fördern': 0, 'https': 0.06, ':/': 0, '…': 0}",neutral,"[0.784778, 0.10430727, 0.11091469]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @tagesanzeiger: #TAWochenrückblick: Die Kosten für Kinderbetreuung müssen sinken, fordert @claudia_blumer. https://t.co/DRgsw3AApi",tawochenrückblick kosten kinderbetreuung müssen sinken fordern,"{'TAWochenrückblick': 0, 'Die': 0.3, 'Kosten': 0.27, 'für': 0.11, 'Kinderbetreuung': 0.37, 'müssen': 0.33, 'sinken': 0, 'fordert': 0}",negative,"[0.12402711, 0.806212, 0.06976085]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,@MahlerAndreas Da gebe ich dir grundsätzlich recht. Aber VU und spätere Kinderbetreuung/Teilzeit sind verschiedene Dinge.,geben grundsätzlich recht vu spät kinderbetreuung teilzeit verschieden dinge,"{'Da': 0, 'gebe': 0, 'ich': 0.05, 'dir': 0.09, 'grundsätzlich': 0.14, 'recht': 0, 'Aber': 0.53, 'VU': 0, 'und': 1.0, 'spätere': 0.36, 'Kinderbetreuung': 0.36, 'Teilzeit': 0.2, 'sind': 0.95, 'verschiedene': 1.0, 'Dinge': 0.79}",neutral,"[0.9062453, 0.012421245, 0.08133342]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @Gianvonplanta: Mehr Geld für Rentner statt für junge Väter. Rentenalter 67? Zusatzleistungen? http://t.co/ADKLjR2KpI via @tagesanzeiger,mehr geld rentner statt junge väter rentenalter zusatzleistungen via,,,,"{'Mehr': 0.17, 'Geld': 0.09, 'für': 0.11, 'Rentner': 0, 'statt': 0.13, 'junge': 0, 'Väter': 0.06, 'Rentenalter': 0.41000000000000003, 'Zusatzleistungen': 0.65, 'via': 0.37}",neutral,"[0.78254014, 0.022082964, 0.19537695]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,28.0,-0.35,neutral,"Meine persönliche Stimmempfehlung für den 27.9.2020:
NEIN zur BGI, NEIN zum Jagdgesetz, NEIN zu den Kampfjets, NEIN zu höheren Kinderabzügen, JA zum Vaterschaftsurlaub #abst20",persönlich stimmempfehlung nein bgi nein jagdgesetz nein kampfjets nein hoch kinderabzügen ja vaterschaftsurlaub abst20,,,,,,,"{'Meine': 0.04, 'persönliche': 0.02, 'Stimmempfehlung': 0.325, 'für': 0.06, 'den': 0.07, '27.9.2020': 0, 'NEIN': 0.27, 'zur': 0.535, 'BGI': 0.03, 'zum': 0.535, 'Jagdgesetz': 0.055, 'zu': 1.0, 'Kampfjets': 0.03, 'höheren': 0.11, 'Kinderabzügen': 0, 'JA': 0, 'Vaterschaftsurlaub': 0.7, 'abst20': 0.18}",positive,"[0.029682266, 0.0035501346, 0.96676767]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Die Parolen der glp CH sind gefasst: 
#dvglpch
Kampfjets Ja
Kündigungsinitiative Nein
Jagdgesetz Nein
Kinderabzüge Nein
Vaterschaftsurlaub Ja",parolen glp ch gefasst dvglpch kampfjets ja kündigungsinitiative nein jagdgesetz nein kinderabzüge nein vaterschaftsurlaub ja,,,,,,,"{'Die': 0.03, 'Parolen': 0.13, 'der': 0.03, 'glp': 0.03, 'CH': 0.02, 'sind': 0.05, 'gefasst': 0, 'dvglpch': 0.11, 'Kampfjets': 0.04, 'Ja': 0, 'Kündigungsinitiative': 0.06, 'Nein': 0.14, 'Jagdgesetz': 0.05500000000000001, 'Kinderabzüge': 0, 'Vaterschaftsurlaub': 0.705}",positive,"[0.28282154, 0.014462067, 0.7027164]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @philipp_kaestli: Also, liebe Gegner des #Vaterschaftsurlaub, vergesst nicht, am 2. Weihnachtstag den Josef aus der Krippe zu holen. Der…",lieb gegner vaterschaftsurlaub vergesst weihnachtstag josef krippe holen,,,,,,,"{'Also': 0, 'liebe': 0, 'Gegner': 0, 'des': 0, 'Vaterschaftsurlaub': 0.56, 'vergesst': 0.08, 'nicht': 0, 'am': 0, '2.': 0, 'Weihnachtstag': 0.060000000000000005, 'den': 0.09, 'Josef': 0.06, 'aus': 0.03, 'der': 0.09, 'Krippe': 0.12, 'zu': 0.03, 'holen': 0, 'Der': 0.09, '…': 0}",positive,"[0.046690904, 0.022529494, 0.9307796]",,,,,,,,,,,,,,,,,,,,,,,,,positive
