answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,sentiment_tb
0.0,0.0,0.0,-1.0,negative,"RT @LewinLempert: Es ist schon etwas absurd: Die gleichen Kreise, die einen minimalen Vaterschaftsurlaub von zwei Wochen verteufeln, stimme…",schon absurd gleich kreise minimal vaterschaftsurlaub zwei wochen verteufeln stimme,"{'Es': 0, 'ist': 0, 'schon': 0, 'etwas': 0, 'absurd': 0.26, 'Die': 0.09, 'gleichen': 0.18, 'Kreise': 0.1, 'die': 0.09, 'einen': 0.67, 'minimalen': 0, 'Vaterschaftsurlaub': 0.895, 'von': 0, 'zwei': 0.14, 'Wochen': 0.24, 'verteufeln': 0.56, 'stimme': 0, '…': 0}",negative,"[0.4249294, 0.5374227, 0.03764788]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @ConnyBruegger: Wisst ihr noch, damals, als wir darüber diskutierten, ob die Schweizer Wirtschaft einen zweiwöchigen Vaterschaftsurlaub…",wisst damals darüber diskutieren schweizer wirtschaft zweiwöchigen vaterschaftsurlaub,"{'Wisst': 0, 'ihr': 0, 'noch': 0, 'damals': 0, 'als': 0, 'wir': 0, 'darüber': 0, 'diskutierten': 0, 'ob': 0, 'die': 0.39, 'Schweizer': 0.18, 'Wirtschaft': 0, 'einen': 0.13, 'zweiwöchigen': 0, 'Vaterschaftsurlaub': 0.32999999999999996, '…': 0}",neutral,"[0.9563736, 0.037944525, 0.005681888]",,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,RT @Tamarafuniciell: Der #Ständerat lebt im letzten Jahrtausend und lehnt #Lohngleichheit ab. Schämt euch!,ständerat leben letzt jahrtausend lehnen lohngleichheit ab schämen,,,,"{'Der': 0.09, 'Ständerat': 0.3425, 'lebt': 0.36, 'im': 0, 'letzten': 0.09, 'Jahrtausend': 0.19, 'und': 0.94, 'lehnt': 1.0, 'Lohngleichheit': 0, 'ab': 0, 'Schämt': 0, 'euch': 0.17}",negative,"[0.07630311, 0.5877802, 0.33591676]",,,,,,,,,,,,,,,,,,,negative
75.0,100.0,86.0,0.5,negative,"RT @JayBadran: Unternehmens-Steuersenkungen führen zu mehr Gewinnen, nicht zu mehr Investitionen ( und das seit 20 Jahren) - könnte man ja…",unternehmens steuersenkungen fahren mehr gewinnen mehr investitionen seit jahren ja,,,,,,,"{'Unternehmens-Steuersenkungen': 0.9175, 'führen': 0.305, 'zu': 0.15, 'mehr': 0.04, 'Gewinnen': 0, 'nicht': 0.12, 'Investitionen': 0.15, 'und': 0.06, 'das': 0, 'seit': 0, 'Jahren': 0.1, 'könnte': 0.15, 'man': 0, 'ja': 0.06, '…': 0}",negative,"[0.20544581, 0.5370165, 0.25753766]",,,,,,,,,,,,,,,,positive
25.0,0.0,14.0,-0.5,neutral,"Der neue #SGB-Präsident sorgte für massive Steuersenkungen, meint, er als Mann* würde benachteiligt und hält eine 35-h-Woche für utopisch. Das kann ja heiter werden. https://t.co/7QxdhgMn5x",neue sgb präsident sorgen massiv steuersenkungen mann benachteiligen halten h woche utopisch ja heitern,,,,,,,"{'Der': 0.1, 'neue': 0.11, 'SGB-Präsident': 0.13, 'sorgte': 0, 'für': 0, 'massive': 1.0, 'Steuersenkungen': 0.905, 'meint': 0, 'er': 0.05, 'als': 0.07, 'Mann': 0, 'würde': 0, 'benachteiligt': 0.08, 'und': 0.06, 'hält': 0, 'eine': 0, '35-h-Woche': 0.06, 'utopisch': 0.11, 'Das': 0.1, 'kann': 0.05, 'ja': 0.06, 'heiter': 0, 'werden': 0}",positive,"[0.0011426822, 0.0013777681, 0.9974796]",,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,negative,"RT @FlavienGousset: Elternzeit? Nicht finanzierbar!

Umweltschutz? Wer soll denn das bezahlen?

1:12? Mindestlohn? KoVI? Ihr habt noch nie…",elternzeit finanzierbar umweltschutz wer bezahlen mindestlohn kovi nie,,,,,,,,,,"{'Elternzeit': 0.05, 'Nicht': 0.09, 'finanzierbar': 0.06, 'Umweltschutz': 0.085, 'Wer': 0.53, 'soll': 0, 'denn': 0, 'das': 0.09, 'bezahlen': 0.12, '1:12': 0, 'Mindestlohn': 0.87, 'KoVI': 0.2, 'Ihr': 0, 'habt': 0.1, 'noch': 0, 'nie': 0, '…': 0}",neutral,"[0.95336205, 0.04185676, 0.0047811107]",,,,,,,,,,"{'Elternzeit': 0.13, 'Nicht': 0.19, 'finanzierbar': 0.19, 'Umweltschutz': 1.0, 'Wer': 0.19, 'soll': 0, 'denn': 0, 'das': 0.23, 'bezahlen': 0.27, '1:12': 0, 'Mindestlohn': 0.09, 'KoVI': 0.08, 'Ihr': 0, 'habt': 0.02, 'noch': 0, 'nie': 0, '…': 0}",negative,"[0.3017606, 0.5591417, 0.13909769]",negative
50.0,75.0,57.0,0.0,neutral,"RT @Nico_Siegrist: Heute Nachmittag gibts im Kantonsrat 3 JUSO-Vorstösse :
- kantonaler Mindestlohn
- mehr Mitbestimmung für Schüler*innen…",heute nachmittag gibts kantonsrat juso vorstösse kantonaler mindestlohn mehr mitbestimmung schüler innen,,,,,,,,,,"{'Heute': 0, 'Nachmittag': 0.07, 'gibts': 0.05, 'im': 0, 'Kantonsrat': 0.255, 'JUSO-Vorstösse': 0.04, 'kantonaler': 0.4, 'Mindestlohn': 0.215, 'mehr': 0.1, 'Mitbestimmung': 0, 'für': 0.07, 'Schüler*innen': 0.04, '…': 0}",neutral,"[0.7831516, 0.030633872, 0.18621454]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Stell dir vor, deine Regierung erwähnt einen Flughafen als Vorbild im Bereich Klimaschutz - weil er auf E-Autos setzt. Oder einen Finanzdienstleister, weil der seine Rechenzentren mit erneuerbaren Energien betreibt. Das Klima ist gerettet!",stell regierung erwähnen flughafen vorbild bereich klimaschutz e autos setzen finanzdienstleister rechenzentren erneuerbaren energien betreiben klima retten,,,,,,,,,,,,,"{'Stell': 0, 'dir': 0, 'vor': 0, 'deine': 0.02, 'Regierung': 0.03, 'erwähnt': 0, 'einen': 0.05, 'Flughafen': 0.03, 'als': 0.02, 'Vorbild': 0, 'im': 0, 'Bereich': 0, 'Klimaschutz': 0.045, 'weil': 0.11, 'er': 0.06, 'auf': 0.07, 'E-Autos': 0, 'setzt': 0, 'Oder': 0.06, 'Finanzdienstleister': 0.045, 'der': 0.07, 'seine': 0, 'Rechenzentren': 0.29, 'mit': 1.0, 'erneuerbaren': 1.0, 'Energien': 0.43, 'betreibt': 0.59, 'Das': 0.07, 'Klima': 0.06, 'ist': 0.06, 'gerettet': 0.11}",neutral,"[0.505257, 0.022841351, 0.47190168]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @seilergraf: Doppelte Freude: Trotz Rückkommensantrag von SVP-Glarner erhält meine Motion ""Stopp aller Kriegsmaterialexporte an die Jeme…",doppeln freude trotzen rückkommensantrag svp glarner erhalten motion stopp all kriegsmaterialexporte jeme,,,,,,,,,,,,,,,,"{'Doppelte': 0.07, 'Freude': 0.08, 'Trotz': 0, 'Rückkommensantrag': 0.12, 'von': 0.05, 'SVP-Glarner': 0, 'erhält': 0, 'meine': 0.23, 'Motion': 0.73, 'Stopp': 1.0, 'aller': 0, 'Kriegsmaterialexporte': 0.5449999999999999, 'an': 0, 'die': 0.14, 'Jeme': 0.2, '…': 0}",neutral,"[0.80796176, 0.13651918, 0.055519067]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @LewinLempert: Bundesrat und Seco sagen immer, sie hätten gar keine exakten Zahlen zur Anzahl Kriegsmaterialptoduzenten in der Schweiz.…",bundesrat seco sagen immer gar exakt zahlen anzahl kriegsmaterialptoduzenten schweiz,,,,,,,,,,,,,,,,"{'Bundesrat': 0.1, 'und': 0.06, 'Seco': 0, 'sagen': 0.07, 'immer': 0.07, 'sie': 0, 'hätten': 0.09, 'gar': 0, 'keine': 0, 'exakten': 0.08, 'Zahlen': 0, 'zur': 0.09, 'Anzahl': 0, 'Kriegsmaterialptoduzenten': 0.8, 'in': 0.17, 'der': 0.09, 'Schweiz': 0.29, '…': 0}",neutral,"[0.9453146, 0.029386474, 0.025298912]",,,,,,,neutral
