answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3421,absa_sentiment_3421,absa_scores_3421,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3439,absa_sentiment_3439,absa_scores_3439,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @RegulaBuehlmann: Wer sagt denn, dass der Bund nicht mehr für die Familienergänzende Kinderbetreuung tun kann? Er kann und er soll, wie…",wer sagen bund mehr familienergänzende kinderbetreuung tun,"{'Wer': 0.05, 'sagt': 0.05, 'denn': 0, 'dass': 0.08, 'der': 0.06, 'Bund': 0, 'nicht': 0, 'mehr': 0, 'für': 0, 'die': 0.06, 'Familienergänzende': 0, 'Kinderbetreuung': 1.0, 'tun': 0, 'kann': 0.08, 'Er': 0, 'und': 0.05, 'er': 0, 'soll': 0, 'wie': 0.08, '…': 0}",neutral,"[0.85461056, 0.099335365, 0.046054024]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Gesamtarbeitsverträge schaffen gleich lange Spiesse unter den KITAs und damit sollen die Löhne und Arbeitsbedingungen verbessert werden! Qualität in der Kinderbetreuung nützt allen! @VPOD_Schweiz @vpodbern @netzwerk_kibe https://t.co/tVqm6ME4FR,gesamtarbeitsverträge schaffen gleichen lang spiesse kitas sollen löhnen arbeitsbedingungen verbessern qualität kinderbetreuung nützen,"{'Gesamtarbeitsverträge': 0.1, 'schaffen': 0.06, 'gleich': 0, 'lange': 0.11, 'Spiesse': 0, 'unter': 0, 'den': 0.04, 'KITAs': 0, 'und': 0.04, 'damit': 0.14, 'sollen': 0, 'die': 0.04, 'Löhne': 0.13, 'Arbeitsbedingungen': 0.08, 'verbessert': 0.1, 'werden': 0, 'Qualität': 0.45, 'in': 0.22, 'der': 0.04, 'Kinderbetreuung': 1.0, 'nützt': 0, 'allen': 0}",positive,"[0.0053707403, 0.0028256802, 0.9918035]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Kinderbetreuung ist kein Kinderspiel! 🐙🦑 Es braucht Spielregeln und geregelte Anstellungsbedingungen auch in den KITAs und #GAV-Pflicht im Gesetz im März 2021 ⁦@netzwerk_kibe⁩ ⁦@vpodbern⁩ ⁦@VPOD_Schweiz⁩ Die tiefen Löhne der Tagesmütter
https://t.co/XHSbCwjWga",kinderbetreuung kinderspiel brauchen spielregeln geregelt anstellungsbedingungen kitas gav pflicht gesetz märz tief löhnen tagesmütter,"{'Kinderbetreuung': 0, 'ist': 1.0, 'kein': 0, 'Kinderspiel': 0.71, '🦑': 0, 'Es': 0, 'braucht': 0, 'Spielregeln': 0, 'und': 0, 'geregelte': 0, 'Anstellungsbedingungen': 0, 'auch': 0, 'in': 0, 'den': 0, 'KITAs': 0, 'GAV-Pflicht': 0, 'im': 0, 'Gesetz': 0, 'März': 0, '\u2066\u2069': 0, 'Die': 0, 'tiefen': 0, 'Löhne': 0, 'der': 0, 'Tagesmütter': 0}",negative,"[0.42067686, 0.5623208, 0.017002303]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Hilfserzieher/in? Was für ein Berufsbild ist das? Was sagt das über das professionelle Berufsbild in der Kinderbetreuung aus? @netzwerk_kibe https://t.co/Plqo9DMbic,hilfserzieher berufsbild sagen professionell berufsbild kinderbetreuung,"{'Hilfserzieher': 0.11, 'in': 0.25, 'Was': 0, 'für': 0, 'ein': 0, 'Berufsbild': 0.57, 'ist': 0.05, 'das': 0.08, 'sagt': 0, 'über': 0, 'professionelle': 1.0, 'der': 0.48, 'Kinderbetreuung': 1.0, 'aus': 0}",positive,"[0.32608977, 0.040112946, 0.6337973]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,RT @VPOD_Schweiz: Trotz Regen und Kälte rund 1'000 Menschen an der ersten Demo für #Kinderbetreuung in der Schweiz. Bessere Arbeitsbedingun…,trotzen regen kälte rund menschen erst demo kinderbetreuung schweiz gut arbeitsbedingun,"{'Trotz': 0.24, 'Regen': 0, 'und': 0.04, 'Kälte': 0.05, 'rund': 0.04, ""1'000"": 0, 'Menschen': 0.06, 'an': 0, 'der': 0.08, 'ersten': 0.08, 'Demo': 0.18, 'für': 0.32, 'Kinderbetreuung': 1.0, 'in': 0.24, 'Schweiz': 0.15, 'Bessere': 0.1, 'Arbeitsbedingun': 0.055, '…': 0}",positive,"[0.008819718, 0.008155443, 0.98302484]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @VPOD_Schweiz: In der Corona-Pandemie wurde breiten Teilen der Gesellschaft plötzlich bewusst, dass die professionelle #Kinderbetreuung…",corona pandemie breit teilen gesellschaft plötzlich bewusst professionell kinderbetreuung,"{'In': 0.04, 'der': 0.04, 'Corona-Pandemie': 0, 'wurde': 0, 'breiten': 0.06, 'Teilen': 0, 'Gesellschaft': 0.1, 'plötzlich': 0.12, 'bewusst': 0, 'dass': 0.64, 'die': 0.04, 'professionelle': 1.0, 'Kinderbetreuung': 1.0, '…': 0}",positive,"[0.0004932748, 0.0011036469, 0.99840313]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Grün = klare Unterstützung für die Notverordnung für die familienergänzende Kinderbetreuung! @netzwerk_kibe @vpodbern @VPOD_Schweiz https://t.co/9sOx9t9OtJ,grün klaren unterstützung notverordnung familienergänzende kinderbetreuung,"{'Grün': 0.06, 'klare': 0, 'Unterstützung': 0.3, 'für': 1.0, 'die': 0.11, 'Notverordnung': 0, 'familienergänzende': 0.11, 'Kinderbetreuung': 1.0}",positive,"[0.0013954403, 0.0037586165, 0.994846]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @VPOD_Schweiz: ⏰HEUTE IST DER TAG DER #KINDERBETREUUNG⏰
Es braucht nicht nur Beifall, sondern Geld und eine klare, langfristige Unterstü…",heute tag kinderbetreuung brauchen beifall geld klaren langfristig unterstü,"{'⏰': 0, 'HEUTE': 0, 'IST': 0, 'DER': 0, 'TAG': 0, 'KINDERBETREUUNG': 0, 'Es': 0, 'braucht': 0, 'nicht': 0, 'nur': 0, 'Beifall': 0, 'sondern': 0, 'Geld': 0, 'und': 0, 'eine': 0, 'klare': 0, 'langfristige': 0, 'Unterstü': 0, '…': 0}",positive,"[0.14311089, 0.055085503, 0.8018036]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Urgent! 🆘 Die Corona-Krise zeigt, dass die familienergänzende Kinderbetreuung systemrelevant ist. Das zeigt sich leider nicht in den Anstellungsbedingungen.… #Kita https://t.co/Ahk0pypv49 #",urgent corona krise zeigen familienergänzende kinderbetreuung systemrelevant zeigen leider anstellungsbedingungen kita,"{'Urgent': 0.17, '🆘': 0, 'Die': 0, 'Corona-Krise': 0, 'zeigt': 0, 'dass': 0, 'die': 0, 'familienergänzende': 0, 'Kinderbetreuung': 0, 'systemrelevant': 0, 'ist': 0, 'Das': 0, 'sich': 0, 'leider': 0, 'nicht': 0, 'in': 0, 'den': 0, 'Anstellungsbedingungen': 0, '…': 0, 'Kita': 0}",positive,"[0.06357807, 0.15196694, 0.78445494]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @ParlCH: WBK-N: Corona-Krise: WBK-N will Kitas und weitere Institutionen der familienergänzenden Kinderbetreuung... https://t.co/shAxgTe…,wbk n corona krise wbk n kitas weit institutionen familienergänzenden kinderbetreuung,"{'WBK-N': 0, 'Corona-Krise': 0, 'will': 0, 'Kitas': 0, 'und': 0.16, 'weitere': 0, 'Institutionen': 0.17, 'der': 0, 'familienergänzenden': 0, 'Kinderbetreuung': 1.0, '...': 0}",positive,"[0.039518997, 0.018374093, 0.94210696]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
