answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3460,absa_sentiment_3460,absa_scores_3460,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"@Hersiczky @glpzh @glp_ag @Hersiczky Et voilà: Senkung des Mindestumwandlungssatzes, eine Angleichung und Flexibilisierung des Rentenalters sowie die Senkung des Koordinationsabzugs. Schönen Sonntag!",et voilà senkung mindestumwandlungssatzes angleichung flexibilisierung rentenalters sowie senkung koordinationsabzugs schön sonntag,"{'Et': 0.22, 'voilà': 0, 'Senkung': 0.21, 'des': 0, 'Mindestumwandlungssatzes': 0.1, 'eine': 0, 'Angleichung': 0, 'und': 0.22, 'Flexibilisierung': 0, 'Rentenalters': 0.51, 'sowie': 0, 'die': 0.08, 'Koordinationsabzugs': 0.115, 'Schönen': 0.11, 'Sonntag': 0.07}",positive,"[0.008754274, 0.004877445, 0.98636824]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,RT @IKEA_CH: Wir haben gestern eine Kampagne in Aussicht gestellt. #Vaterschaftsurlaub https://t.co/GaUZ8vOcLZ,gestern kampagne aussicht stellen vaterschaftsurlaub,,,,"{'Wir': 0.08, 'haben': 0, 'gestern': 0.13, 'eine': 0, 'Kampagne': 0.14, 'in': 0, 'Aussicht': 0, 'gestellt': 0, 'Vaterschaftsurlaub': 0.51}",positive,"[0.20010115, 0.0060958136, 0.79380304]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @KatrinCometta: Der #Vaterschaftsurlaub ist ein erster Schritt in Richtung einer längst fälligen #Elternzeit. Die Eltern sollen sich die…,vaterschaftsurlaub erst schritt richtung längst fällig elternzeit eltern sollen,,,,"{'Der': 0.37, 'Vaterschaftsurlaub': 0.08, 'ist': 0.21, 'ein': 0, 'erster': 0.05, 'Schritt': 0.09, 'in': 0, 'Richtung': 0, 'einer': 0, 'längst': 0.055, 'fälligen': 0, 'Elternzeit': 0.08499999999999999, 'Die': 0.37, 'Eltern': 0.07, 'sollen': 0.07, 'sich': 0, 'die': 0.37, '…': 0}",positive,"[0.41923767, 0.049003053, 0.5317592]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @KatrinCometta: Wie bringen wir die #Gleichstellung und die #Vereinbarkeit von Familie &amp; Beruf voran? Ist mit dem #Vaterschaftsurlaub al…,bringen gleichstellung vereinbarkeit familie amp beruf voran vaterschaftsurlaub al,,,,"{'Wie': 0, 'bringen': 0.04, 'wir': 0, 'die': 0.55, 'Gleichstellung': 0.08, 'und': 0.07, 'Vereinbarkeit': 0.1, 'von': 0, 'Familie': 0.09, 'amp': 0.1, 'Beruf': 0, 'voran': 0, 'Ist': 0.25, 'mit': 0.39, 'dem': 0.55, 'Vaterschaftsurlaub': 0.6, 'al': 0.26, '…': 0}",positive,"[0.004825428, 0.0047885384, 0.990386]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"RT @suigeneris_ch: 1. Ausgabe von http://t.co/RSXDjeTRKJ mit den Themen: Vaterschaftsurlaub, Snowden, Recht auf Vergessen, EGMR-Kritik, Gur…",ausgabe themen vaterschaftsurlaub snowden recht vergessen egmr kritik gur,,,,"{'1.': 0, 'Ausgabe': 0, 'von': 0, 'mit': 0.06, 'den': 0.05, 'Themen': 0, 'Vaterschaftsurlaub': 0.71, 'Snowden': 0.53, 'Recht': 0, 'auf': 0, 'Vergessen': 0, 'EGMR-Kritik': 0, 'Gur': 0.14, '…': 0}",positive,"[0.030203354, 0.009142442, 0.96065414]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @FelixZRH: Heute konnte ich eine Parlamentarische Initiative für die Errichtung eines Klimafonds zur Förderung erneuerbarer Energie auf…,heute parlamentarische initiative errichtung klimafonds förderung erneuerbarer energie,,,,,,,"{'Heute': 0.04, 'konnte': 0, 'ich': 0.04, 'eine': 0, 'Parlamentarische': 0.16, 'Initiative': 0.16, 'für': 0.08, 'die': 0.05, 'Errichtung': 0.11, 'eines': 0, 'Klimafonds': 0.29000000000000004, 'zur': 0.22, 'Förderung': 0, 'erneuerbarer': 1.0, 'Energie': 0.3, 'auf': 0.31, '…': 0}",positive,"[0.024798403, 0.0068339263, 0.9683677]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @NZZ: Noch vor wenigen Jahren fiel die Senkung des Stimmrechtsalters im Parlament durch. Nun zeigt sich sogar die Kommission des Ständer…,wenig jahren fallen senkung stimmrechtsalters parlament zeigen sogar kommission ständer,,,,,,,,,,"{'Noch': 0, 'vor': 0, 'wenigen': 0.04, 'Jahren': 0.08, 'fiel': 0.61, 'die': 0.06, 'Senkung': 1.0, 'des': 0, 'Stimmrechtsalters': 0.65, 'im': 0, 'Parlament': 0.21, 'durch': 0.42, 'Nun': 0, 'zeigt': 0, 'sich': 0, 'sogar': 0.07, 'Kommission': 0.13, 'Ständer': 0.09, '…': 0}",negative,"[0.1797802, 0.70573545, 0.11448429]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @foraus: Können die Interessen einer marktwirtschaftlichen Wirtschaft mit dem Anspruch der Umweltbewegung verbunden werden? Solche Frage…,interessen marktwirtschaftlichen wirtschaft anspruch umweltbewegung verbinden fragen,,,,,,,,,,,,,"{'Können': 0.07, 'die': 0.04, 'Interessen': 0.11, 'einer': 0, 'marktwirtschaftlichen': 0.065, 'Wirtschaft': 0, 'mit': 0.05, 'dem': 0.04, 'Anspruch': 0, 'der': 0.04, 'Umweltbewegung': 0.095, 'verbunden': 0, 'werden': 0, 'Solche': 1.0, 'Frage': 0, '…': 0}",neutral,"[0.53762704, 0.048152905, 0.41422006]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"4000 Unterschriften für einen wissenschaftl. Pilotversuch für ein #Grundeinkommen ! 🚀 Ich bin als Privatperson im Initiativkomitee, um eine offene Zukunftsdebatte über Sozialpolitik in Zeiten von #Corona, #Digitalisierung &amp; #Automatisierung anzustossen. https://t.co/VvaFYcTot6",unterschriften wissenschaftl pilotversuch grundeinkommen privatperson initiativkomitee offen zukunftsdebatte sozialpolitik zeiten corona digitalisierung amp automatisierung anzustossen,,,,,,,,,,,,,,,,"{'Unterschriften': 0.05, 'für': 0.02, 'einen': 0.01, 'wissenschaftl': 0.02, 'Pilotversuch': 0.03, 'ein': 0, 'Grundeinkommen': 0.02, 'Ich': 0.02, 'bin': 0, 'als': 0.01, 'Privatperson': 0.025, 'im': 0, 'Initiativkomitee': 0, 'um': 0.01, 'eine': 0, 'offene': 0.04, 'Zukunftsdebatte': 0.075, 'über': 0, 'Sozialpolitik': 0.060000000000000005, 'in': 0.06, 'Zeiten': 0.08, 'von': 0, 'Corona': 0.14, 'Digitalisierung': 1.0, 'amp': 0.17, 'Automatisierung': 0.11, 'anzustossen': 0.06}",neutral,"[0.73510003, 0.06274066, 0.20215933]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @andreashauri: #Digitalisierung &amp; #Innovation: Das Gesundheits- &amp; Umweltdepartement hat beim #smartcity Pilot «Stadtbox» seine Mitarbeit…,digitalisierung amp innovation gesundheits amp umweltdepartement beim smartcity pilot stadtbox mitarbeit,,,,,,,,,,,,,,,,"{'Digitalisierung': 0, 'amp': 0.16, 'Innovation': 0.1, 'Das': 0.02, 'Gesundheits-': 0.06, 'Umweltdepartement': 0.03, 'hat': 0, 'beim': 0.02, 'smartcity': 0.04, 'Pilot': 0.02, '«': 0, 'Stadtbox': 0, '»': 0, 'seine': 0, 'Mitarbeit': 0, '…': 0}",positive,"[0.04908579, 0.0052170823, 0.9456971]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @staatslabor: ""Im Bereich der Digitalisierung von Verwaltung und Politik gibt es in der Schweiz noch enormes Potential"" - @nicolaforster…",bereich digitalisierung verwaltung politik geben schweiz enorm potential,,,,,,,,,,,,,,,,"{'Im': 0, 'Bereich': 0.22, 'der': 0.1, 'Digitalisierung': 0, 'von': 0, 'Verwaltung': 0.24, 'und': 0.11, 'Politik': 0, 'gibt': 0, 'es': 0.05, 'in': 0.09, 'Schweiz': 0.12, 'noch': 0.06, 'enormes': 0, 'Potential': 0.11, '…': 0}",positive,"[0.11645667, 0.05159585, 0.8319475]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"""Digital Shaper 2019"": Tolle Auszeichnung, die ich mit inspirierenden Menschen teilen darf... Für eine Digitalisierung, die der Gesellschaft nützt! Da engagiere ich mich: @foraus , @operationlibero , @staatslabor &amp; @grunliberale. #DigitalShapers2019 #WahlCH19 #Mitmachpolitik https://t.co/RYx4xVw5lZ",digital shaper toll auszeichnung inspirierend menschen teilen dürfen digitalisierung gesellschaft nützen engagieren amp digitalshapers2019 wahlch19 mitmachpolitik,,,,,,,,,,,,,,,,"{'Digital': 0.04, 'Shaper': 0.03, 'Tolle': 0.08, 'Auszeichnung': 0.41, 'die': 0, 'ich': 0.05, 'mit': 0.05, 'inspirierenden': 0.08, 'Menschen': 0.04, 'teilen': 0, 'darf': 0, '...': 0, 'Für': 1.0, 'eine': 0, 'Digitalisierung': 0, 'der': 0, 'Gesellschaft': 0.09, 'nützt': 0, 'Da': 0, 'engagiere': 0, 'mich': 0, 'amp': 0.02, 'DigitalShapers2019': 0.06, 'WahlCH19': 0, 'Mitmachpolitik': 0.06}",positive,"[0.0016806271, 0.0014932292, 0.9968262]",,,,,,,,,,,,,positive
100.0,100.0,100.0,0.7749999999999999,negative,"@adfichter @huberfe @swicoDEU Naja, als Kandidat wird man überschwemmt mit Umfragen und schafft es einfach nicht, alle auszufüllen. Die Quote ist wohl sogar besser ist als bei vielen anderen... Aber finde natürlich auch, dass die Digitalisierung ein wichtiger Politikbereich ist! :-)",naja kandidat überschwemmen umfragen schaffen einfach all ausfüllen quote wohl sogar gut finden natürlich digitalisierung wichtig politikbereich,,,,,,,,,,,,,,,,"{'Naja': 0.04, 'als': 0.02, 'Kandidat': 0.04, 'wird': 0, 'man': 0, 'überschwemmt': 0, 'mit': 0.03, 'Umfragen': 0, 'und': 0.02, 'schafft': 0, 'es': 0.43, 'einfach': 0, 'nicht': 0, 'alle': 0, 'auszufüllen': 0.015, 'Die': 0.05, 'Quote': 0, 'ist': 0.43, 'wohl': 0.04, 'sogar': 0.07, 'besser': 0.05, 'bei': 0, 'vielen': 0.04, 'anderen': 0.03, '...': 0, 'Aber': 0.32, 'finde': 0, 'natürlich': 0, 'auch': 0.33, 'dass': 1.0, 'die': 0.05, 'Digitalisierung': 0, 'ein': 0, 'wichtiger': 0.5, 'Politikbereich': 0.22}",positive,"[0.09720884, 0.08341514, 0.81937605]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @pirminmeyer: #EsistZeit für eine #Mutmacherkultur, um die Herausforderungen Klimawandel, Digitalisierung und internationale Beziehungen…",esistzeit mutmacherkultur herausforderungen klimawandel digitalisierung internationale beziehungen,,,,,,,,,,,,,,,,"{'EsistZeit': 0, 'für': 0.08, 'eine': 0, 'Mutmacherkultur': 0.27, 'um': 0.1, 'die': 0.72, 'Herausforderungen': 1.0, 'Klimawandel': 0.405, 'Digitalisierung': 0, 'und': 0.17, 'internationale': 0.34, 'Beziehungen': 0, '…': 0}",positive,"[0.03728798, 0.15013778, 0.81257427]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @foraus: Unsere Sister Think Tanks @polis180 und @PontoThinkTank haben via #PolicyKitchen die zukünftige europäische Digitalisierungspol…,sister think tanks via policykitchen zukünftig europäische digitalisierungspol,,,,,,,,,,,,,,,,"{'Unsere': 0.05, 'Sister': 0.07, 'Think': 0.07, 'Tanks': 0.13, 'und': 0.08, 'haben': 0.13, 'via': 0.15, 'PolicyKitchen': 0.31, 'die': 0.14, 'zukünftige': 0.16, 'europäische': 0.31, 'Digitalisierungspol': 0.685, '…': 0}",positive,"[0.25741348, 0.01797071, 0.7246158]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @judithbellaiche: Wie entwickeln wir die Demokratie weiter? Kann uns die Digitalisierung dabei helfen? Wir wollen es wissen und haben ei…,entwickeln demokratie weit digitalisierung dabei helfen wissen ei,,,,,,,,,,,,,,,,"{'Wie': 0, 'entwickeln': 0.13, 'wir': 0, 'die': 0, 'Demokratie': 0.14, 'weiter': 0.14, 'Kann': 0.29, 'uns': 0.14, 'Digitalisierung': 0, 'dabei': 0, 'helfen': 0.38, 'Wir': 0.03, 'wollen': 0.03, 'es': 0, 'wissen': 0.05500000000000001, 'und': 0.05, 'haben': 0.045, 'ei': 0, '…': 0}",positive,"[0.21413794, 0.015126085, 0.770736]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"#Klimawandel, #Migration und #Digitalisierung: Stiftungen müssen sich um die wichtigsten Zukunftsthemen kümmern! #NoMoreNabelschau @BeateEckhardt #sfsymp #Stiftungssymposium https://t.co/2bmSZGFOsG",klimawandel migration digitalisierung stiftungen müssen wichtig zukunftsthemen kümmern nomorenabelschau sfsymp stiftungssymposium,,,,,,,,,,,,,,,,"{'Klimawandel': 0.08499999999999999, 'Migration': 0.27, 'und': 0.69, 'Digitalisierung': 0, 'Stiftungen': 0.1, 'müssen': 0.075, 'sich': 0, 'um': 0, 'die': 0.04, 'wichtigsten': 0.06, 'Zukunftsthemen': 0.060000000000000005, 'kümmern': 0.035, 'NoMoreNabelschau': 0.15, 'sfsymp': 0.09, 'Stiftungssymposium': 0}",neutral,"[0.7825484, 0.020979116, 0.19647235]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @PontoThinkTank: Im Rahmen unseres Digitalisierungs- #PolicyKitchen Projekts haben wir gemeinsam mit @polis180 Ideen zur Gestaltung der…,rahmen digitalisierungs policykitchen projekts gemeinsam ideen gestaltung,,,,,,,,,,,,,,,,"{'Im': 0, 'Rahmen': 0, 'unseres': 0, 'Digitalisierungs-': 0.35, 'PolicyKitchen': 0.19, 'Projekts': 0.13, 'haben': 0, 'wir': 0, 'gemeinsam': 0.33, 'mit': 0.16, 'Ideen': 0.23, 'zur': 0.1, 'Gestaltung': 0, 'der': 0.1, '…': 0}",neutral,"[0.7750765, 0.0070080315, 0.2179154]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @leonieclaude: Was bedeutet die Digitalisierung für die Bildung? Wie sieht die Schule der Zukunft aus? Und wie werden Schüler*innen auf…,bedeuten digitalisierung bildung sehen schule zukunft schüler innen,,,,,,,,,,,,,,,,"{'Was': 0, 'bedeutet': 0, 'die': 0.04, 'Digitalisierung': 0, 'für': 0.12, 'Bildung': 0.22, 'Wie': 0, 'sieht': 0, 'Schule': 0.1, 'der': 0.04, 'Zukunft': 0.07, 'aus': 0, 'Und': 0.04, 'wie': 0.03, 'werden': 0, 'Schüler*innen': 0.07, 'auf': 0.04, '…': 0}",neutral,"[0.94021165, 0.040440697, 0.019347578]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @foraus: Digitalisierung und Mitsprache, das ist #policykitchen und das ist unsere Idee für #wunschschloss! https://t.co/NKNoH20CRw",digitalisierung mitsprache policykitchen idee wunschschloss,,,,,,,,,,,,,,,,"{'Digitalisierung': 0, 'und': 0.11, 'Mitsprache': 0, 'das': 0.08, 'ist': 0, 'policykitchen': 0.12, 'unsere': 0.06, 'Idee': 0, 'für': 0.06, 'wunschschloss': 0}",positive,"[0.13961422, 0.012022768, 0.848363]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @foraus: Mehr Beteiligung im Netz? BürgerInnen können dank der Digitalisierung noch mitreden. @nicolaforster im Interview mit dem @tagbl…,mehr beteiligung netz bürgerinnen danken digitalisierung mitreden interview,,,,,,,,,,,,,,,,"{'Mehr': 0.11, 'Beteiligung': 0.09, 'im': 0, 'Netz': 0.05, 'BürgerInnen': 0.05, 'können': 0, 'dank': 1.0, 'der': 0.04, 'Digitalisierung': 0, 'noch': 0.29, 'mitreden': 0.052500000000000005, 'Interview': 0.1, 'mit': 0.03, 'dem': 0.52, '…': 0}",positive,"[0.0737826, 0.005611045, 0.9206063]",,,,,,,,,,,,,neutral
