answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3448,absa_sentiment_3448,absa_scores_3448,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3451,absa_sentiment_3451,absa_scores_3451,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
0.0,0.0,0.0,-0.85,neutral,"Es ist einfach grob fahrlässig, wenn man den ausgeweiteten Härtefallgelder für betroffene Unternehmen und den Geldern, die zusätzlich für Kinderbetreuungs- und Kulturinstitutionen gesprochen wurden, die rechtliche Grundlage entzieht. JA zum #Covid-Gesetz!
https://t.co/p7gvHjWEgW",einfach grob fahrlässig ausgeweitet härtefallgelder betroffen unternehmen geldern zusätzlich kinderbetreuungs kulturinstitutionen sprechen rechtliche grundlage entziehen ja covid gesetz,"{'Es': 0.21, 'ist': 0.21, 'einfach': 0, 'grob': 0, 'fahrlässig': 0, 'wenn': 0, 'man': 0, 'den': 0.03, 'ausgeweiteten': 0.06, 'Härtefallgelder': 0.07500000000000001, 'für': 0.04, 'betroffene': 0, 'Unternehmen': 0, 'und': 0.05, 'Geldern': 0, 'die': 0.03, 'zusätzlich': 0, 'Kinderbetreuungs-': 0.19, 'Kulturinstitutionen': 0.04, 'gesprochen': 0, 'wurden': 0, 'rechtliche': 0.12, 'Grundlage': 0.1, 'entzieht': 0, 'JA': 0.05, 'zum': 0.035, 'Covid-Gesetz': 0.055}",neutral,"[0.56565934, 0.20523418, 0.22910638]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @IZMartinez86: Meine Kolumne diese Woche in der @Handelszeitung zur steuerlichen Berücksichtigung von #Kinderbetreuungskosten über die w…,kolumne woche steuerlich berücksichtigung kinderbetreuungskosten w,"{'Meine': 0.11, 'Kolumne': 0.15, 'diese': 0.06, 'Woche': 0.09, 'in': 0.07, 'der': 0.16, 'zur': 0.16, 'steuerlichen': 0.3, 'Berücksichtigung': 0.3, 'von': 0, 'Kinderbetreuungskosten': 0.96, 'über': 0.31, 'die': 0.16, 'w': 0.23, '…': 0}",neutral,"[0.7499491, 0.042722438, 0.20732844]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,Nationalrätin schiesst in Parteizeitung gegen externe Kinderbetreuung: SVP verhöhnt Verdingkinder und beleidigt Krippen https://t.co/XjVzzB10yz,nationalrätin schiesst parteizeitung externe kinderbetreuung svp verhöhnen verdingkinder beleidigen krippen,"{'Nationalrätin': 0.2, 'schiesst': 0.14, 'in': 0.08, 'Parteizeitung': 0.2, 'gegen': 0.73, 'externe': 1.0, 'Kinderbetreuung': 1.0, 'SVP': 0, 'verhöhnt': 0, 'Verdingkinder': 0, 'und': 0.07, 'beleidigt': 0, 'Krippen': 0.17}",neutral,"[0.6998657, 0.25792217, 0.04221207]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
25.0,25.0,28.0,-0.3333333333333333,neutral,"RT @sacovo: Allein die Kinderbetreuung, die Rentner*innen jedes Jahr leisten, ist ca. 2 Mia Wert. Dazu kommen Pflege von kranken Angehörige…",allein kinderbetreuung rentner innen jed jahr leisten ca mia wert kommen pflegen krank angehörig,"{'Allein': 0, 'die': 0.3, 'Kinderbetreuung': 0, 'Rentner*innen': 0, 'jedes': 0, 'Jahr': 0.27, 'leisten': 0, 'ist': 0.12, 'ca.': 0, 'Mia': 0, 'Wert': 0.29, 'Dazu': 0, 'kommen': 0, 'Pflege': 0, 'von': 0, 'kranken': 0, 'Angehörige': 0.06, '…': 0}",positive,"[0.042101983, 0.013487604, 0.9444104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,RT @BolligerXaver: @thluethi Genau deshalb sollte man sie legalisieren! Mit einem legalen Verkauf von Cannabis könnte man den Verkauf besse…,genau deshalb sollen legalisieren legal verkauf cannabis verkauf besse,,,,"{'Genau': 0, 'deshalb': 0, 'sollte': 0.06, 'man': 0, 'sie': 0, 'legalisieren': 0.37, 'Mit': 0, 'einem': 0, 'legalen': 0, 'Verkauf': 0.33, 'von': 0, 'Cannabis': 1.0, 'könnte': 0.41, 'den': 0.11, 'besse': 0, '…': 0}",positive,"[0.45075977, 0.029340204, 0.51989996]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Keine Rentenaltererhöhung auf dem Buckel der Frauen! Danke für deinen Einsatz, @Sarah_Wyss ! https://t.co/PtqdpsrRBC",rentenaltererhöhung buckel frauen danke einsatz,,,,,,,"{'Keine': 0, 'Rentenaltererhöhung': 0.54, 'auf': 0, 'dem': 0.06, 'Buckel': 0, 'der': 0.06, 'Frauen': 0.12, 'Danke': 0.095, 'für': 0.1, 'deinen': 0, 'Einsatz': 0}",positive,"[0.004043369, 0.002465903, 0.9934908]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Wenn die #Rezession kommt, werden die Rechten wieder behaupten, man müsse das #Rentenalter erhöhen. 
Nein und nochmals nein! 
Die Produktivitätsgewinne gehören rückverteilt! Die Bruchlinie liegt nicht zwischen Senior*innen und Jungen, sondern zwischen den Superreichen &amp; dem Rest.",rezession kommen recht behaupten müssen rentenalter erhöhen nein nochmals nein produktivitätsgewinne gehören rückverteilt bruchlinie liegen senior innen jung superreichen amp rest,,,,,,,"{'Wenn': 0.07, 'die': 0.04, 'Rezession': 0.15, 'kommt': 0.07, 'werden': 0.1, 'Rechten': 0, 'wieder': 0.11, 'behaupten': 0, 'man': 0, 'müsse': 0.71, 'das': 0.37, 'Rentenalter': 0.935, 'erhöhen': 0, 'Nein': 0.07, 'und': 0.08, 'nochmals': 0.11, 'nein': 0.07, 'Die': 0.04, 'Produktivitätsgewinne': 0.1, 'gehören': 0, 'rückverteilt': 0.2, 'Bruchlinie': 0.10500000000000001, 'liegt': 0, 'nicht': 0.03, 'zwischen': 0.05, 'Senior*innen': 0, 'Jungen': 0.09, 'sondern': 0.04, 'den': 0.04, 'Superreichen': 0.045, 'amp': 0.07, 'dem': 0.04, 'Rest': 0.04}",negative,"[0.31036204, 0.58924055, 0.10039743]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,"@seiler_daniel @sanibrecht @PascalPfister @GewerkschaftSGB Rückverteilung von immensem Produktivitätswachstum an die Bevölkerung blenden Bürgerliche immer gekonnt aus... 

Rentenalter muss nicht erhöht werden!",rückverteilung immensem produktivitätswachstum bevölkerung blenden bürgerliche immer rentenalter erhöhen,,,,,,,"{'Rückverteilung': 0.05, 'von': 0, 'immensem': 0, 'Produktivitätswachstum': 0.025, 'an': 0, 'die': 0.02, 'Bevölkerung': 0.01, 'blenden': 0, 'Bürgerliche': 0, 'immer': 0.06, 'gekonnt': 0, 'aus': 0, '...': 0, 'Rentenalter': 0.345, 'muss': 0.15, 'nicht': 1.0, 'erhöht': 0, 'werden': 0}",positive,"[0.09695978, 0.0139512755, 0.889089]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.1333333333333333,neutral,"Die Erhöhung des Rentenalters ist volkswirtschaftlich sinnlos, da wir immer produktiver werden. Produktivitätsgewinne gehören in Form von Arbeitszeitreduktion oder höheren Löhnen rückverteilt an jene, die sie erarbeitet haben! @jonasluethy @hell_titus @RentenVI",erhöhung rentenalters volkswirtschaftlich sinnlos immer produktiv produktivitätsgewinne gehören form arbeitszeitreduktion hoch löhnen rückverteilt jen erarbeiten,,,,,,,"{'Die': 0.04, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.62, 'ist': 0.61, 'volkswirtschaftlich': 0.85, 'sinnlos': 1.0, 'da': 0, 'wir': 0, 'immer': 0, 'produktiver': 0.14, 'werden': 0, 'Produktivitätsgewinne': 0.14500000000000002, 'gehören': 0.07, 'in': 0.04, 'Form': 0.05, 'von': 0, 'Arbeitszeitreduktion': 0.045, 'oder': 0.03, 'höheren': 0.04, 'Löhnen': 0.08, 'rückverteilt': 0, 'an': 0, 'jene': 0.03, 'die': 0.04, 'sie': 0, 'erarbeitet': 0, 'haben': 0.04}",negative,"[0.014636458, 0.962337, 0.023026524]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"@Dede71Mueller @mika_kaufmann Leicht asozial, wenn wir die Frauen* später in Rente schicken und sie keine gleichwertige Rente erhalten wegen der Lohnungleichheit...
Keine Erhöhung des Frauen*rentenalters ohne Lohngleichheit! 😉💸",leicht asozial frauen spät rente schick gleichwertige rente erhalten wegen lohnungleichheit erhöhung frauen rentenalters lohngleichheit,,,,,,,"{'Leicht': 0, 'asozial': 0, 'wenn': 0.05, 'wir': 0, 'die': 0.2, 'Frauen': 0.09, 'später': 0.03, 'in': 0.25, 'Rente': 0, 'schicken': 0, 'und': 0.05, 'sie': 0, 'keine': 0, 'gleichwertige': 0.06, 'erhalten': 0.05, 'wegen': 0.09, 'der': 0.2, 'Lohnungleichheit': 0.155, '...': 0, 'Keine': 0, 'Erhöhung': 1.0, 'des': 0, 'Frauen*rentenalters': 0.39437500000000003, 'ohne': 0.14, 'Lohngleichheit': 0.08499999999999999}",negative,"[0.058729935, 0.81743914, 0.123830944]",,,,,,,,,,,,,"{'Leicht': 0, 'asozial': 0, 'wenn': 0.04, 'wir': 0, 'die': 0.07, 'Frauen': 0.1, 'später': 0.06, 'in': 0.06, 'Rente': 0, 'schicken': 0, 'und': 0.04, 'sie': 0, 'keine': 0, 'gleichwertige': 0.07, 'erhalten': 0.06, 'wegen': 0.06, 'der': 0.07, 'Lohnungleichheit': 0.15000000000000002, '...': 0, 'Keine': 0, 'Erhöhung': 0.16, 'des': 0, 'Frauen*rentenalters': 0.22625, 'ohne': 1.0, 'Lohngleichheit': 1.0}",negative,"[0.06708131, 0.8367592, 0.09615951]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
