answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3458,absa_sentiment_3458,absa_scores_3458,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
75.0,75.0,71.0,0.35,neutral,"„Sind Väter stärker in die Familie und die Kinderbetreuung eingebunden und reduzieren ihr Pensum, dann kehren die Mütter eher und mit mehr Stellenprozenten zurück», sagt Kornblum.“ https://t.co/n3f5U9hBYM Nationalrat hat es in der Hand: https://t.co/cUka8YfeGG #Vereinbarkeit",väter stark familie kinderbetreuung einbinden reduzieren pensum kehren mütter eher mehr stellenprozenten zurück sagen kornblum nationalrat hand vereinbarkeit,"{'„': 0, 'Sind': 0, 'Väter': 0, 'stärker': 0, 'in': 0, 'die': 0, 'Familie': 0, 'und': 0, 'Kinderbetreuung': 0, 'eingebunden': 0, 'reduzieren': 0, 'ihr': 0, 'Pensum': 0, 'dann': 0, 'kehren': 0, 'Mütter': 0, 'eher': 0, 'mit': 0, 'mehr': 0, 'Stellenprozenten': 0, 'zurück': 0, '»': 0, 'sagt': 0, 'Kornblum': 0, '“': 0, 'Nationalrat': 0, 'hat': 0, 'es': 0, 'der': 0, 'Hand': 0, 'Vereinbarkeit': 0}",neutral,"[0.86999613, 0.086038515, 0.043965373]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"Erfreuliches aus dem Kanton Bern: Der Regierungsrat beschloss endlich Massnahmen, um Kitas und Eltern zu unterstützen. #Kinderbetreuung #ServicePublic #Covid19 https://t.co/e6yKrg4yiM",erfreulich kanton bern regierungsrat beschloss endlich massnahmen kitas eltern unterstützen kinderbetreuung servicepublic covid19,"{'Erfreuliches': 0.06, 'aus': 0, 'dem': 0.045, 'Kanton': 0.04, 'Bern': 0.04, 'Der': 0.04, 'Regierungsrat': 0.04, 'beschloss': 0.06, 'endlich': 0, 'Massnahmen': 0.07, 'um': 0, 'Kitas': 0, 'und': 0.06, 'Eltern': 0.05, 'zu': 0.05, 'unterstützen': 0.14, 'Kinderbetreuung': 1.0, 'ServicePublic': 0.57, 'Covid19': 0.29}",positive,"[0.20610647, 0.015952311, 0.7779412]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5,neutral,"RT @papizeit: Trend: Immer mehr Männer möchten #Teilzeit arbeiten, auch wegen Kinderbetreuung #SRFarena #Vaterschaftsurlaub http://t.co/nv6…",trend immer mehr männer mögen teilzeit arbeiten wegen kinderbetreuung srfarena vaterschaftsurlaub,"{'Trend': 0.09, 'Immer': 0, 'mehr': 0.06, 'Männer': 0.11, 'möchten': 0, 'Teilzeit': 0.03, 'arbeiten': 0.07, 'auch': 0.2, 'wegen': 0.76, 'Kinderbetreuung': 1.0, 'SRFarena': 0.16, 'Vaterschaftsurlaub': 0.28}",positive,"[0.017585112, 0.013163879, 0.96925104]",,,,"{'Trend': 0.09, 'Immer': 0, 'mehr': 0.04, 'Männer': 0.09, 'möchten': 0, 'Teilzeit': 0.045, 'arbeiten': 0.09, 'auch': 0.06, 'wegen': 0.15, 'Kinderbetreuung': 0.35, 'SRFarena': 0.32, 'Vaterschaftsurlaub': 1.0}",neutral,"[0.66655815, 0.23543146, 0.09801042]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @michsorg: Zur Erinnerung: Köppels Partei ist für Rentenalter 67, gegen die Überbrückungsrente und gegen einen stärkeren Kündigungsschut…",erinnerung köppels partei rentenalter überbrückungsrente stark kündigungsschut,,,,"{'Zur': 0.12, 'Erinnerung': 0.33, 'Köppels': 0, 'Partei': 1.0, 'ist': 0.61, 'für': 0, 'Rentenalter': 0.435, 'gegen': 0.35, 'die': 0.12, 'Überbrückungsrente': 0.2, 'und': 0.12, 'einen': 0.07, 'stärkeren': 0.09, 'Kündigungsschut': 0.215, '…': 0}",positive,"[0.4383871, 0.11836327, 0.44324967]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,86.0,0.4666666666666666,neutral,"RT @spschweiz: Während die Rechten von GLP bis SVP das Rentenalter erhöhen wollen, sorgen wir uns dafür, dass Menschen über 55 überhaupt no…",recht glp svp rentenalter erhöhen sorgen dafür menschen überhaupt no,,,,"{'Während': 0.27, 'die': 0.49, 'Rechten': 0.32, 'von': 0.11, 'GLP': 0.13, 'bis': 0, 'SVP': 0, 'das': 0.07, 'Rentenalter': 0.705, 'erhöhen': 0, 'wollen': 0.53, 'sorgen': 0.41, 'wir': 0, 'uns': 0, 'dafür': 0, 'dass': 0.07, 'Menschen': 0.07, 'über': 0.07, 'überhaupt': 0, 'no': 0, '…': 0}",positive,"[0.36134055, 0.117445685, 0.52121377]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @Sonntags_Blick: Eine Umfrage zeigt: Der vom Parlament beschlossene zweiwöchige Vaterschaftsurlaub ist den Stimmbürgern zu wenig. Sie wo…,umfrage zeigen parlament beschlossen zweiwöchige vaterschaftsurlaub stimmbürgern wenig,,,,,,,"{'Eine': 0, 'Umfrage': 0, 'zeigt': 0, 'Der': 0.1, 'vom': 0.1, 'Parlament': 0.11, 'beschlossene': 0.57, 'zweiwöchige': 0, 'Vaterschaftsurlaub': 0.63, 'ist': 0.55, 'den': 0.1, 'Stimmbürgern': 0.15, 'zu': 0, 'wenig': 0, 'Sie': 0, 'wo': 0.19, '…': 0}",negative,"[0.03614037, 0.95747524, 0.006384416]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"Heute startet letzte Session vor den Wahlen. Wir brauchen neue Mehrheiten, damit fortschrittliche Lösungen wieder möglich sind. Bis dann müssen wir mit der aktuellen Zusammensetzung gegen #Kündigungsinitiative, für #Vaterschaftsurlaub &amp; mehr #politischeBildung kämpfen #wahltipp19",heute starten letzte session wahlen brauchen neue mehrheiten fortschrittliche lösungen möglich müssen aktuell zusammensetzung kündigungsinitiative vaterschaftsurlaub amp mehr politischebildung kämpfen wahltipp19,,,,,,,"{'Heute': 0.02, 'startet': 0, 'letzte': 0.03, 'Session': 0.04, 'vor': 0.02, 'den': 0.14, 'Wahlen': 0, 'Wir': 0.09, 'brauchen': 0.135, 'neue': 0.06, 'Mehrheiten': 0.06, 'damit': 0.17, 'fortschrittliche': 0.05, 'Lösungen': 0.06, 'wieder': 0.04, 'möglich': 0.06, 'sind': 0.04, 'Bis': 0.17, 'dann': 0.07, 'müssen': 0.19, 'wir': 0, 'mit': 0, 'der': 0.14, 'aktuellen': 0.13, 'Zusammensetzung': 0.1, 'gegen': 0.44, 'Kündigungsinitiative': 0.23, 'für': 1.0, 'Vaterschaftsurlaub': 1.0, 'amp': 0.18, 'mehr': 0.35, 'politischeBildung': 0, 'kämpfen': 0, 'wahltipp19': 0}",neutral,"[0.69266826, 0.078487836, 0.22884396]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Indirekte Kosten von Militärangehörigen? Interessiert niemanden. Indirekte Kosten des Vaterschaftsurlaubs? Fürs KMU-Forum ein Argument gegen @papizeit - egal wie lang. Der durchsichtige Schachzug der Gewerbe-Lobby ist mein #WahlhelferDerWoche #wahltipp19 https://t.co/xyZmsSNwsx,indirekte kosten militärangehörigen interessieren niemand indirekte kosten vaterschaftsurlaubs fürs kmu forum argument egal langen durchsichtige schachzug gewerbe lobby wahlhelferderwoche wahltipp19,,,,,,,"{'Indirekte': 0, 'Kosten': 1.0, 'von': 0, 'Militärangehörigen': 0.2, 'Interessiert': 0, 'niemanden': 0.12, 'des': 0, 'Vaterschaftsurlaubs': 0.5549999999999999, 'Fürs': 0.05, 'KMU-Forum': 0, 'ein': 0, 'Argument': 0.11, 'gegen': 0.12, 'egal': 0.04, 'wie': 0.04, 'lang': 0, 'Der': 0.06, 'durchsichtige': 0.09, 'Schachzug': 0.08, 'der': 0.06, 'Gewerbe-Lobby': 0.11, 'ist': 0.1, 'mein': 0.07, 'WahlhelferDerWoche': 0.055, 'wahltipp19': 0}",neutral,"[0.8250834, 0.1122334, 0.06268317]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.6,negative,"#Frauenstreik in Ehren 😉: Heute feiern wir den #Vatertag! Damit #Vereinbarkeit von Familie &amp; Beruf verbessert wird, braucht es neben einer #Elternzeit speziell für Väter mehr Teilzeitstellen. Doch der Bundesrat will nicht mal einen #Vaterschaftsurlaub. #darumstarkeSP #wahltipp19",frauenstreik ehren heute feiern vatertag vereinbarkeit familie amp beruf verbessern brauchen neben elternzeit speziell väter mehr teilzeitstellen bundesrat mal vaterschaftsurlaub darumstarkesp wahltipp19,,,,,,,"{'Frauenstreik': 0.02, 'in': 0.02, 'Ehren': 0.045, 'Heute': 0.02, 'feiern': 0.02, 'wir': 0, 'den': 0.1, 'Vatertag': 0.015, 'Damit': 0.04, 'Vereinbarkeit': 0.03, 'von': 0, 'Familie': 0.03, 'amp': 0.03, 'Beruf': 0, 'verbessert': 0, 'wird': 0, 'braucht': 0, 'es': 0, 'neben': 0, 'einer': 0, 'Elternzeit': 0.44, 'speziell': 0, 'für': 0.03, 'Väter': 0.02, 'mehr': 0.03, 'Teilzeitstellen': 0, 'Doch': 0.17, 'der': 0.1, 'Bundesrat': 0.08, 'will': 0, 'nicht': 0, 'mal': 0, 'einen': 0, 'Vaterschaftsurlaub': 0.79, 'darumstarkeSP': 0, 'wahltipp19': 0}",negative,"[0.3315701, 0.548497, 0.11993291]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,RT @kasparsutter: Der Bundesrat mit @SVPch @FDP_Liberalen -Mehrheit lehnt sogar 2 Wochen Vaterschaftsurlaub ab. Neue Mehrheiten braucht die…,bundesrat mehrheit lehnen sogar wochen vaterschaftsurlaub ab neue mehrheiten brauchen,,,,,,,"{'Der': 0.12, 'Bundesrat': 0.3, 'mit': 0.28, '-Mehrheit': 0, 'lehnt': 1.0, 'sogar': 1.0, 'Wochen': 0.51, 'Vaterschaftsurlaub': 0.49, 'ab': 0, 'Neue': 0, 'Mehrheiten': 0, 'braucht': 0, 'die': 0.12, '…': 0}",neutral,"[0.5105165, 0.2807375, 0.2087461]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
