answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"https://t.co/fL4l3hFsSg #Wettingen ist bzgl. Vereinbarkeit von Familie &amp; Beruf zu konservativ! Nur eine lückenlose Kinderbetreuung ermöglicht es Müttern, wieder oder weiterhin im Berufsleben aktiv zu sein! Frauen sind eine enorme Ressource für die Wirtschaft. @glpWettingen kämpft",wettingen bzgl vereinbarkeit familie amp beruf konservativ lückenlose kinderbetreuung ermöglichen müttern weiterhin berufsleben aktiv frauen enorme ressource wirtschaft kämpfen,"{'Wettingen': 0.07, 'ist': 0.04, 'bzgl.': 0, 'Vereinbarkeit': 0.04, 'von': 0, 'Familie': 0.03, 'amp': 0.02, 'Beruf': 0, 'zu': 0.02, 'konservativ': 0.07, 'Nur': 0, 'eine': 0, 'lückenlose': 0, 'Kinderbetreuung': 1.0, 'ermöglicht': 0.41, 'es': 0.04, 'Müttern': 0.09, 'wieder': 0.04, 'oder': 0.06, 'weiterhin': 0, 'im': 0, 'Berufsleben': 0.07, 'aktiv': 0.03, 'sein': 0, 'Frauen': 0.06, 'sind': 0.04, 'enorme': 0, 'Ressource': 0.09, 'für': 0.02, 'die': 0.03, 'Wirtschaft': 0, 'kämpft': 0.09}",positive,"[0.004577952, 0.0497513, 0.9456707]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.7999999999999999,neutral,"Gemeinde #Wettingen, als wichtige Gemeinde des Kt. #Aargau, als kinderfreundliche Gemeinde (erhielt vor kurzem das #UNICEF Label dafür), sollte in Sachen Kinderbetreuung eine Vorreiterrolle übernehmen, so dass Vereinbarkeit von #Familie und #Beruf auch tatsächlich verbessert wird https://t.co/YiaJ2X9X9K",gemeinden wettingen wichtig gemeinden kt aargau kinderfreundliche gemeinden erhalten kurz unicef label dafür sollen sachen kinderbetreuung vorreiterrolle übernehmen vereinbarkeit familie beruf tatsächlich verbessern,"{'Gemeinde': 0.07, 'Wettingen': 0.05, 'als': 0.05, 'wichtige': 0.03, 'des': 0, 'Kt': 0, 'Aargau': 0.05, 'kinderfreundliche': 0, 'erhielt': 0.06, 'vor': 0, 'kurzem': 0.03, 'das': 0.1, 'UNICEF': 0.06, 'Label': 0.07, 'dafür': 0, 'sollte': 0.28, 'in': 1.0, 'Sachen': 0, 'Kinderbetreuung': 0.99, 'eine': 0, 'Vorreiterrolle': 0.825, 'übernehmen': 0, 'so': 0.62, 'dass': 0.1, 'Vereinbarkeit': 0.08, 'von': 0, 'Familie': 0.04, 'und': 0.06, 'Beruf': 0, 'auch': 0, 'tatsächlich': 0, 'verbessert': 0.13, 'wird': 0}",positive,"[0.32715863, 0.062780306, 0.61006105]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.9,negative,"Bitte unterschreiben und weiterverbreiten! Für eine bessere Vereinbarkeit von Familie und Beruf in #Wettingen. #Kinderbetreuung verbessern, vor allem auf Kindergartenstufe! https://t.co/LXMGOG2Z4e @AargauerZeitung",bitte unterschreiben weiterverbreiten gut vereinbarkeit familie beruf wettingen kinderbetreuung verbessern kindergartenstufe,"{'Bitte': 0, 'unterschreiben': 0.08, 'und': 0.04, 'weiterverbreiten': 0, 'Für': 0.07, 'eine': 0, 'bessere': 0.06, 'Vereinbarkeit': 0, 'von': 0, 'Familie': 0, 'Beruf': 0, 'in': 0.04, 'Wettingen': 0.21, 'Kinderbetreuung': 1.0, 'verbessern': 1.0, 'vor': 0, 'allem': 0, 'auf': 0, 'Kindergartenstufe': 0.09}",positive,"[0.00052710716, 0.0011257421, 0.99834716]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @susannehochuli: Der Aargau weiss, wie man zu mehr inländischen Fachkräften kommt: Er sagt ja zum Kinderbetreuungsgesetz! #fb",aargau weiss mehr inländisch fachkräften kommen sagen ja kinderbetreuungsgesetz fb,"{'Der': 0.36, 'Aargau': 0.14, 'weiss': 0, 'wie': 0.04, 'man': 0, 'zu': 0.19, 'mehr': 0.05, 'inländischen': 0.14, 'Fachkräften': 0.095, 'kommt': 0, 'Er': 0, 'sagt': 0.15, 'ja': 0, 'zum': 0.275, 'Kinderbetreuungsgesetz': 1.0, 'fb': 0.09}",positive,"[0.0016280721, 0.0015716566, 0.9968003]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"Ja-Trend bei erleichterter Einbürgerung ! Freut mich sehr, dass die Wettinger Bevölkerung mit 60.56% dafür war!

https://t.co/waXiwQIw8m",ja trend erleichtert einbürgerung freuen wettinger bevölkerung dafür,,,,"{'Ja-Trend': 0, 'bei': 0, 'erleichterter': 0, 'Einbürgerung': 1.0, 'Freut': 0.11, 'mich': 0, 'sehr': 0.07, 'dass': 0.06, 'die': 0.04, 'Wettinger': 0.12, 'Bevölkerung': 0, 'mit': 0.3, '60.56': 0, 'dafür': 0, 'war': 0}",positive,"[0.0009499049, 0.0010624935, 0.9979876]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @Mark_Balsiger: #ErleichterteEinbürgerung: #Ständemehr ist ne Knacknuss. Mögliche ""Swing""-Kantone: AG, BE, BL, GR, LU, SO, TI. 
#abst17",erleichterteeinbürgerung ständemehr ne knacknuss möglich swing kantone ag be bl gr lu ti abst17,,,,"{'ErleichterteEinbürgerung': 0.66, 'Ständemehr': 0.34, 'ist': 0.3, 'ne': 0, 'Knacknuss': 0, 'Mögliche': 0.08, 'Swing""-Kantone': 0, 'AG': 0.02, 'BE': 0.02, 'BL': 0.03, 'GR': 0.01, 'LU': 0.01, 'SO': 0.02, 'TI': 0.02, 'abst17': 0.13}",positive,"[0.23956627, 0.20903857, 0.5513952]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Erleichterte Einbürgerung der 3. Generation: Einstimmig Ja gestern an der MV der @glp_ag @AargauerZeitung @operationlibero @watson_news https://t.co/Z3I657BD1E,erleichtern einbürgerung generation einstimmig ja gestern mv,,,,"{'Erleichterte': 0, 'Einbürgerung': 1.0, 'der': 0.09, '3.': 0, 'Generation': 0.12, 'Einstimmig': 0.17, 'Ja': 0, 'gestern': 0.17, 'an': 0, 'MV': 0}",positive,"[0.017816598, 0.0020021892, 0.98018116]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @grunliberale: Unsere Delegierten sagen mit 130 zu 0 einstimmig Ja zur erleichterten Einbürgerung von Personen der dritten Ausländergene…,delegieren sagen einstimmig ja erleichtern einbürgerung personen dritt ausländergene,,,,"{'Unsere': 0.06, 'Delegierten': 0.13, 'sagen': 0.175, 'mit': 0.07, 'zu': 0.2, 'einstimmig': 0.17, 'Ja': 0, 'zur': 0.14, 'erleichterten': 0, 'Einbürgerung': 1.0, 'von': 0, 'Personen': 0, 'der': 0.08, 'dritten': 0.11, 'Ausländergene': 0, '…': 0}",positive,"[0.0015394705, 0.0012030866, 0.9972574]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,#srfarena @jonasprojer Frau Vogel von der Einbürgerungskommission ist wahrscheinlich in Basel sehr einsam. #Objektivität visavis #Politik,srfarena frau vogel einbürgerungskommission wahrscheinlich basel einsam objektivität visavis politik,,,,"{'srfarena': 0.21, 'Frau': 0, 'Vogel': 0.11, 'von': 0.51, 'der': 0.18, 'Einbürgerungskommission': 1.0, 'ist': 0.25, 'wahrscheinlich': 0.14, 'in': 0.06, 'Basel': 0.12, 'sehr': 0.06, 'einsam': 0.38, 'Objektivität': 0.14, 'visavis': 0, 'Politik': 0}",positive,"[0.2900151, 0.08497773, 0.6250071]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"War die #DSI für #SVP langfristig sinnvoll? Weniger Ausländer durch Einbürgerung, die nicht SVP wählen werden? https://t.co/J1gzubmIS3",dsi svp langfristig sinnvoll wenig ausländer einbürgerung svp wählen,,,,"{'War': 0, 'die': 0.04, 'DSI': 0.03, 'für': 0.08, 'SVP': 0, 'langfristig': 0.035, 'sinnvoll': 0, 'Weniger': 0.34, 'Ausländer': 0.28, 'durch': 1.0, 'Einbürgerung': 1.0, 'nicht': 0.08, 'wählen': 0, 'werden': 0.06}",neutral,"[0.95081943, 0.014831171, 0.03434948]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
