answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @GrueneCH: Solidarität ist kein Verbrechen! Unterschreibe jetzt die Petition zur Anpassung des Ausländer- und Integrationsgesetzes: ➡ ht…,solidarität verbrechen unterschreiben petition anpassung ausländer integrationsgesetzes ht,"{'Solidarität': 0.09, 'ist': 0.09, 'kein': 0, 'Verbrechen': 0.08, 'Unterschreibe': 0.08, 'jetzt': 0.13, 'die': 0.1, 'Petition': 0.1, 'zur': 0.07500000000000001, 'Anpassung': 0, 'des': 0, 'Ausländer-': 0, 'und': 0.06, 'Integrationsgesetzes': 0, 'ht': 1.0, '…': 0}",neutral,"[0.6560087, 0.03299786, 0.3109934]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @BaselStadt: Alkohol-, Cannabis- und Kokainkonsum häufigste Gründe für eine Suchtberatung, Verhaltenssüchte nehmen zu https://t.co/diIwt…",alkohol cannabis kokainkonsum häufigste gründe suchtberatung verhaltenssüchte nehmen,,,,"{'Alkohol-': 0, 'Cannabis-': 0, 'und': 0.14, 'Kokainkonsum': 0.085, 'häufigste': 0.125, 'Gründe': 0.15, 'für': 0.05, 'eine': 0, 'Suchtberatung': 0.065, 'Verhaltenssüchte': 0.07500000000000001, 'nehmen': 0, 'zu': 0}",positive,"[0.20070356, 0.023469524, 0.7758269]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @GrueneCH: Auf diesen Tag haben wir lange genug gewartet! 😍 Der Vaterschaftsurlaub tritt am 1. Januar 2021 in der 🇨🇭 in Kraft! 🥳

https:…",tag lang genug warten vaterschaftsurlaub tritt januar kraft https,,,,,,,"{'Auf': 0.2, 'diesen': 0.03, 'Tag': 0, 'haben': 0.04, 'wir': 0, 'lange': 0.02, 'genug': 0.02, 'gewartet': 0.08, 'Der': 0.03, 'Vaterschaftsurlaub': 0.395, 'tritt': 0, 'am': 0, '1.': 0, 'Januar': 0.07, 'in': 0, 'der': 0.03, '🇨': 0, '🇭': 0, 'Kraft': 0, '🥳': 0, 'https': 0, '…': 0}",neutral,"[0.8681864, 0.064365596, 0.06744799]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,negative,"🌻 Alles überdeutlich verworfen in @BaselStadt, ausser der #Vaterschaftsurlaub https://t.co/6DSW5WOiWp",überdeutlich verwerfen ausser vaterschaftsurlaub,,,,,,,"{'Alles': 0.1, 'überdeutlich': 0, 'verworfen': 0.1, 'in': 0.06, 'ausser': 0, 'der': 0.36, 'Vaterschaftsurlaub': 0.65}",positive,"[0.13873933, 0.052747574, 0.8085131]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"RT @GrueneCH: Vergiss nicht, dieses Wochenende abstimmen zu gehen! 🗳 

✅ Ja zum Vaterschaftsurlaub
❌ Nein zu den Kampfjet-Milliarden
❌ Nein…",vergiss wochenende abstimmen gehen ja vaterschaftsurlaub nein kampfjet milliarden nein,,,,,,,"{'Vergiss': 0.17, 'nicht': 0, 'dieses': 0.15, 'Wochenende': 0.16, 'abstimmen': 0.63, 'zu': 0.36, 'gehen': 0, 'Ja': 0, 'zum': 0.245, 'Vaterschaftsurlaub': 0.5549999999999999, 'Nein': 0.35, 'den': 0.13, 'Kampfjet-Milliarden': 0.155, '…': 0}",positive,"[0.004508316, 0.0030782346, 0.99241346]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @b_vanvulpen: #Vaterschaftsurlaub https://t.co/KndfdwNjOS,vaterschaftsurlaub,,,,,,,{'Vaterschaftsurlaub': 0.82},positive,"[0.04310964, 0.008074764, 0.94881564]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,positive,"@SVPch @wahlch15 Falls ihr noch einen #hashtag für die Kampagne sucht, schlage ich euch vor: #okboomer.
#Vaterschaftsurlaub https://t.co/v9NV9Y1e0l",falls hashtag kampagne suchen schlage okboomer vaterschaftsurlaub,,,,,,,"{'Falls': 0, 'ihr': 0, 'noch': 0.02, 'einen': 0.02, 'hashtag': 0.14, 'für': 0.02, 'die': 0.02, 'Kampagne': 0.06, 'sucht': 0, 'schlage': 0, 'ich': 0.05, 'euch': 0.06, 'vor': 0, 'okboomer': 0.24, 'Vaterschaftsurlaub': 0.73}",positive,"[0.038107134, 0.007088778, 0.9548041]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Zwei Wochen #Vaterschaftsurlaub, ein erster Schritt! Nächste Station: #Elternzeit. Mit der richtigen Zusammensetzung des Parlaments braucht’s vielleicht nicht mal eine Initiative. #WahlCH19 https://t.co/e2bAKZJ08e",zwei wochen vaterschaftsurlaub erst schritt nächst station elternzeit richtig zusammensetzung parlaments brauchen s vielleicht mal initiative wahlch19,,,,,,,"{'Zwei': 0.2, 'Wochen': 0.31, 'Vaterschaftsurlaub': 0.06, 'ein': 0, 'erster': 0.06, 'Schritt': 0.15, 'Nächste': 0.05, 'Station': 0.17, 'Elternzeit': 0.075, 'Mit': 0.02, 'der': 0.03, 'richtigen': 0.03, 'Zusammensetzung': 0.05, 'des': 0, 'Parlaments': 0.06, 'braucht': 0, '’s': 0, 'vielleicht': 0, 'nicht': 0.01, 'mal': 0, 'eine': 0, 'Initiative': 0.05, 'WahlCH19': 0}",positive,"[0.023404365, 0.008708645, 0.967887]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Kurz vor #WahlCH19 scheint vieles möglich. Wenigstens nun mal zwei Wochen #Vaterschaftsurlaub!
Bravo @papizeit!
#gleichstellung https://t.co/Keq73mksIA",kurz wahlch19 scheinen möglich wenigstens mal zwei wochen vaterschaftsurlaub bravo gleichstellung,,,,,,,"{'Kurz': 0, 'vor': 0.05, 'WahlCH19': 0, 'scheint': 0.05, 'vieles': 0.05, 'möglich': 0.05, 'Wenigstens': 0.095, 'nun': 0, 'mal': 0, 'zwei': 0.1, 'Wochen': 0.22, 'Vaterschaftsurlaub': 0.8, 'Bravo': 0.41, 'gleichstellung': 0.1}",positive,"[0.0020544168, 0.0026514689, 0.99529415]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,RT @GrueneCH: Heute berät das Parlament den #Vaterschaftsurlaub. Wir GRÜNE sagen: 2 Wochen sind nicht genug! Es ist Zeit für eine echte Elt…,heute beraten parlament vaterschaftsurlaub grüne sagen wochen genug zeit echte elt,,,,,,,"{'Heute': 0.29, 'berät': 0, 'das': 0, 'Parlament': 0.2, 'den': 0, 'Vaterschaftsurlaub': 1.0, 'Wir': 0.07, 'GRÜNE': 0.05, 'sagen': 0.12, 'Wochen': 0.07, 'sind': 0, 'nicht': 0.06, 'genug': 0.08, 'Es': 0.06, 'ist': 0.06, 'Zeit': 0.04, 'für': 0.03, 'eine': 0, 'echte': 0.03, 'Elt': 0, '…': 0}",neutral,"[0.9555024, 0.01904366, 0.025453959]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @papizeit: Die repräsentativen Umfrageresultate zum #Vaterschaftsurlaub sind da. Eine überwältigende Mehrheit von fast 85% will einen be…,repräsentativ umfrageresultate vaterschaftsurlaub überwältigend mehrheit fast be,,,,,,,"{'Die': 0.11, 'repräsentativen': 0.17, 'Umfrageresultate': 0.23500000000000001, 'zum': 0.065, 'Vaterschaftsurlaub': 0.53, 'sind': 0.15, 'da': 0, 'Eine': 0, 'überwältigende': 0.1, 'Mehrheit': 0.06, 'von': 0, 'fast': 0, 'will': 0, 'einen': 0, 'be': 0.05, '…': 0}",neutral,"[0.525929, 0.038128924, 0.43594217]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @GrueneCH: Heute befasst sich die Kommission für Wissenschaft, Bildung und Kultur des Nationalrats mit dem #Vaterschaftsurlaub.  Wir GRÜ…",heute befasst kommission wissenschaft bildung kultur nationalrats vaterschaftsurlaub grü,,,,,,,"{'Heute': 0.09, 'befasst': 0.24, 'sich': 0, 'die': 0.06, 'Kommission': 0.13, 'für': 0.04, 'Wissenschaft': 0.06, 'Bildung': 0.06, 'und': 0.06, 'Kultur': 0.04, 'des': 0, 'Nationalrats': 0.11, 'mit': 0.42, 'dem': 0.06, 'Vaterschaftsurlaub': 0.78, 'Wir': 0.09, 'GRÜ': 0, '…': 0}",positive,"[0.108717695, 0.013751529, 0.87753075]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @dani_graf: ✊ Zeit für Gleichstellung! Beim Vaterschaftsurlaub haben wir viel zu lange auf Bundesrat und Parlament gewartet, bei der…",zeit gleichstellung beim vaterschaftsurlaub lang bundesrat parlament warten,,,,,,,"{'Zeit': 0.16, 'für': 0.05, 'Gleichstellung': 0.29, 'Beim': 0.06, 'Vaterschaftsurlaub': 0.76, 'haben': 0.06, 'wir': 0, 'viel': 0, 'zu': 0.06, 'lange': 0.05, 'auf': 0, 'Bundesrat': 0.045, 'und': 0.04, 'Parlament': 0.09, 'gewartet': 0.11, 'bei': 0, 'der': 0.06, '…': 0}",neutral,"[0.8775541, 0.048876755, 0.07356911]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @dani_graf: 😳4 Wochen Vaterschaftsurlaub ist kein Kompromiss, sondern ein Minimum. 👉 Wir müssten längst über #Elternzeit reden!  https:/…",wochen vaterschaftsurlaub kompromiss minimum müssten längst elternzeit reden https,,,,,,,"{'Wochen': 0.09, 'Vaterschaftsurlaub': 0.055, 'ist': 0.19, 'kein': 0, 'Kompromiss': 1.0, 'sondern': 0.25, 'ein': 0, 'Minimum': 0.18, 'Wir': 0.02, 'müssten': 0.03, 'längst': 0.01, 'über': 0, 'Elternzeit': 0.01, 'reden': 0, 'https': 0.03, ':/': 0, '…': 0}",neutral,"[0.7018286, 0.029779444, 0.26839194]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @GrueneCH: Jetzt muss der Ständerat die Zeichen der Zeit erkennen! Eine Elternzeit oder zumindest ein anständiger Vaterschaftsurlaub ver…,ständerat zeichen zeit erkennen elternzeit zumindest anständig vaterschaftsurlaub ver,,,,,,,"{'Jetzt': 0.07, 'muss': 0.05, 'der': 0.04, 'Ständerat': 0.05500000000000001, 'die': 0.04, 'Zeichen': 0, 'Zeit': 0, 'erkennen': 0.16, 'Eine': 0, 'Elternzeit': 0.555, 'oder': 0.2, 'zumindest': 0.265, 'ein': 0, 'anständiger': 0.43, 'Vaterschaftsurlaub': 0.815, 'ver': 0, '…': 0}",negative,"[0.113225244, 0.7765483, 0.11022643]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
