answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @AGmur: Jetzt müssen Gymnasiasten und Studierende anstelle der Grosseltern bei der Kinderbetreuung einspringen! #EDK ⁦@silviasteiner⁩ ⁦@…,müssen gymnasiasten studierend anstellen grosseltern kinderbetreuung einspringen edk,"{'Jetzt': 0.08, 'müssen': 0.12, 'Gymnasiasten': 0, 'und': 0.04, 'Studierende': 0.05, 'anstelle': 0.145, 'der': 0, 'Grosseltern': 0.16, 'bei': 0, 'Kinderbetreuung': 1.0, 'einspringen': 0.20500000000000002, 'EDK': 0.03, '\u2066\u2069': 0, '\u2066': 0, '…': 0}",neutral,"[0.774961, 0.11020284, 0.1148361]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @th_ammann: Steuerliche Berücksichtigung der Kinderbetreuungskosten - Dank der CVP werden alle Familie steuerlich entlastet - Bravo @Phi…,steuerlich berücksichtigung kinderbetreuungskosten danken cvp all familie steuerlich entlasten bravo,"{'Steuerliche': 0.14, 'Berücksichtigung': 0.4, 'der': 0.11, 'Kinderbetreuungskosten': 1.0, 'Dank': 0.16, 'CVP': 0.1, 'werden': 0, 'alle': 0, 'Familie': 0, 'steuerlich': 0.14, 'entlastet': 0.16, 'Bravo': 0.28, '…': 0}",positive,"[0.19045953, 0.05162769, 0.75791276]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Lernfähigkeit oder Angst vor der „Entmachung“ i. S. Kriegsmaterialexport? Auf jeden Fall ein guter Entscheid! Bundesrat verzichtet auf Lockerung
 https://t.co/VIH3r8rCQ2",lernfähigkeit angst entmachung i s kriegsmaterialexport jed fall gut entscheid bundesrat verzichten lockerung,,,,"{'Lernfähigkeit': 0.1125, 'oder': 0.06, 'Angst': 0, 'vor': 0, 'der': 0, '„': 0, 'Entmachung': 0, '“': 0, 'i.': 0, 'S.': 0, 'Kriegsmaterialexport': 0, 'Auf': 0, 'jeden': 0, 'Fall': 0, 'ein': 0, 'guter': 0, 'Entscheid': 0, 'Bundesrat': 0, 'verzichtet': 0, 'auf': 0, 'Lockerung': 0}",positive,"[0.233649, 0.02408801, 0.742263]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,CVP-Sicherheitspolitiker lehnen eine Lockerung der Kriegsmaterialverordnung ab https://t.co/lToHvsvQUh via @nzz,cvp sicherheitspolitiker lehnen lockerung kriegsmaterialverordnung ab via,,,,"{'CVP-Sicherheitspolitiker': 0.33999999999999997, 'lehnen': 0, 'eine': 0, 'Lockerung': 0, 'der': 0.18, 'Kriegsmaterialverordnung': 0.325, 'ab': 0, 'via': 0.38}",neutral,"[0.4963536, 0.04219433, 0.461452]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Medienkonferenz BR Parmelin zu den Anforderungen an das Neue #Kampfflugzeug #NKF und an #Bodluv: Macht Sinn; aber woher weiss man im voraus, dass es 8 Mia. kosten wird?",medienkonferenz br parmelin anforderungen neue kampfflugzeug nkf bodluv sinn woher weiss voraus mia kosten,,,,,,,"{'Medienkonferenz': 0.19, 'BR': 0.06, 'Parmelin': 0.16, 'zu': 0, 'den': 0.47, 'Anforderungen': 0, 'an': 0, 'das': 0.04, 'Neue': 1.0, 'Kampfflugzeug': 0.73, 'NKF': 0.16, 'und': 0.11, 'Bodluv': 0.15, 'Macht': 0, 'Sinn': 0, 'aber': 0.03, 'woher': 0, 'weiss': 0, 'man': 0, 'im': 0, 'voraus': 0.075, 'dass': 0.04, 'es': 0, 'Mia': 0, 'kosten': 0, 'wird': 0.07}",neutral,"[0.69411886, 0.10037592, 0.20550527]",,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.35,neutral,"„Doch immerhin haben Marktwirtschaft und Privateigentum viele hundert Millionen Menschen aus der Armut befreit, die Lebenserwartung erhöht und Innovationen begünstigt (...). Das ist nicht wenig. Vom Sozialismus lässt sich Ähnliches (...) nicht sagen.“

https://t.co/immpCMzOeZ",immerhin marktwirtschaft privateigentum hundert millionen menschen armut befreien lebenserwartung erhöhen innovationen begünstigen wenig sozialismus lässt ähnlich sagen,,,,,,,,,,"{'„': 0, 'Doch': 0, 'immerhin': 0, 'haben': 0, 'Marktwirtschaft': 0, 'und': 0, 'Privateigentum': 0, 'viele': 0, 'hundert': 0, 'Millionen': 0, 'Menschen': 0, 'aus': 0, 'der': 0, 'Armut': 0, 'befreit': 0, 'die': 0, 'Lebenserwartung': 0, 'erhöht': 0, 'Innovationen': 0, 'begünstigt': 0, '...': 0, 'Das': 0, 'ist': 0, 'nicht': 0, 'wenig': 0, 'Vom': 0, 'Sozialismus': 0, 'lässt': 0, 'sich': 0, 'Ähnliches': 0, 'sagen': 0, '“': 0}",positive,"[0.02808894, 0.03810011, 0.933811]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Keine Absage an Menschenrechte und Umweltschutz: Jetzt tritt der Gegenvorschlag in Kraft und die Schweiz verzichtet auf Experimente, die Arbeitsplätze kosten. #Abstimmungssonntag Kriegsgeschäfte-Initiative und «Konzernverantwortung» scheitern an Ständemehr https://t.co/hxBrmPRwMb",absagen menschenrechte umweltschutz tritt gegenvorschlag kraft schweiz verzichten experimente arbeitsplätze kosten abstimmungssonntag kriegsgeschäfte initiative konzernverantwortung scheitern ständemehr,,,,,,,,,,,,,"{'Keine': 0, 'Absage': 0, 'an': 0, 'Menschenrechte': 0.29500000000000004, 'und': 0.07, 'Umweltschutz': 0.69, 'Jetzt': 0.09, 'tritt': 0, 'der': 0.01, 'Gegenvorschlag': 0.025, 'in': 0, 'Kraft': 0, 'die': 0.01, 'Schweiz': 0.03, 'verzichtet': 0, 'auf': 0, 'Experimente': 0, 'Arbeitsplätze': 0.02, 'kosten': 0, 'Abstimmungssonntag': 0.015, 'Kriegsgeschäfte-Initiative': 0.02, '«': 0, 'Konzernverantwortung': 0, '»': 0, 'scheitern': 0, 'Ständemehr': 0}",positive,"[0.13434638, 0.040331002, 0.8253226]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Gilt auch für solche aus der eigenen Partei: Alt-Bundesräte dienen dem Land an meisten, wenn sie sich aus der aktuellen Politik raushalten. Die CVP will keinen EU-Beitritt der Schweiz! undefined: https://t.co/mgole0SDwr",gelten eigen partei alt bundesräte dienen land meist aktuell politik raushalten cvp eu beitreten schweiz undefined,,,,,,,,,,,,,,,,"{'Gilt': 0, 'auch': 0.04, 'für': 0, 'solche': 0, 'aus': 0.02, 'der': 0.05, 'eigenen': 0.02, 'Partei': 0.03, 'Alt-Bundesräte': 0.045, 'dienen': 0.03, 'dem': 0.045, 'Land': 0, 'an': 0, 'meisten': 0.05, 'wenn': 0.03, 'sie': 0, 'sich': 0, 'aktuellen': 0.03, 'Politik': 0, 'raushalten': 0, 'Die': 0.05, 'CVP': 0.06, 'will': 0, 'keinen': 0, 'EU-Beitritt': 0.15, 'Schweiz': 0.08, 'undefined': 1.0}",negative,"[0.30600408, 0.65440273, 0.03959316]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Für mich ist klar: Die #Kündigungsinitiative steht für einen Alleingang der Schweiz in Bildung, Wirtschaft &amp; Forschung. Durch die Annahme der Initiative isolieren wir die Schweiz. Das müssen wir verhindern! @kuendigung_nein #abst20
https://t.co/bm4gnLnRog",klaren kündigungsinitiative stehen alleingang schweiz bildung wirtschaft amp forschung annahme initiative isolieren schweiz müssen verhindern abst20,,,,,,,,,,,,,,,,,,,"{'Für': 0.14, 'mich': 0.02, 'ist': 0.02, 'klar': 0.05, 'Die': 0.06, 'Kündigungsinitiative': 0.13, 'steht': 0.13, 'für': 0.14, 'einen': 0, 'Alleingang': 0.345, 'der': 0.06, 'Schweiz': 0.09, 'in': 0.62, 'Bildung': 1.0, 'Wirtschaft': 0.57, 'amp': 0.2, 'Forschung': 0.52, 'Durch': 0, 'die': 0.06, 'Annahme': 0, 'Initiative': 0.13, 'isolieren': 0, 'wir': 0, 'Das': 0.06, 'müssen': 0.08499999999999999, 'verhindern': 0, 'abst20': 0.09}",neutral,"[0.82315445, 0.011853677, 0.16499184]",,,,neutral
100.0,100.0,86.0,0.7,neutral,Als ehemaliger Olma-Direktor bin ich mit Stadt und Land vertraut. Unsere Landwirtschaft braucht zwei Nein zu den Agrarinitiativen und ein JA zum CO2-Gesetz - denn der Klimawandel trifft ihre Produktionsgrundlagen ganz direkt! #Co2GesetzJa #Klimawandel #extreme_nein,ehemalig olma direktor stadt land vertrauen landwirtschaft brauchen zwei nein agrarinitiativen ja co2 gesetz klimawandel treffen produktionsgrundlagen ganz direkt co2gesetzja klimawandel extreme_nein,,,,,,,,,,,,,,,,,,,,,,"{'Als': 0, 'ehemaliger': 0.05, 'Olma-Direktor': 0, 'bin': 0, 'ich': 0.07, 'mit': 0.03, 'Stadt': 0.05, 'und': 0.14, 'Land': 0, 'vertraut': 0, 'Unsere': 0.63, 'Landwirtschaft': 1.0, 'braucht': 1.0, 'zwei': 0.65, 'Nein': 0.07, 'zu': 0.1, 'den': 0.03, 'Agrarinitiativen': 0, 'ein': 0.14, 'JA': 0.14, 'zum': 0.065, 'CO2-Gesetz': 0.12, 'denn': 0, 'der': 0.03, 'Klimawandel': 0.035, 'trifft': 0, 'ihre': 0, 'Produktionsgrundlagen': 0.045, 'ganz': 0, 'direkt': 0, 'Co2GesetzJa': 0, 'extreme_nein': 0}",positive,"[0.013281568, 0.010985681, 0.9757328]",positive
