answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3464,absa_sentiment_3464,absa_scores_3464,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"@AlDavoodi Ich weiss aber nicht, ob wir damit in der Liga ""Digitalisierung first, Bedenken second"" oder ""Cannabis ist kein Brokkoli"" mitspielen dürfen.",weiss liga digitalisierung first bedenken second cannabis brokkoli mitspielen dürfen,"{'Ich': 0.27, 'weiss': 0, 'aber': 0.49, 'nicht': 0.12, 'ob': 0, 'wir': 0, 'damit': 0.08, 'in': 0.08, 'der': 0.04, 'Liga': 0.15, 'Digitalisierung': 0, 'first': 0.17, 'Bedenken': 0, 'second': 0.06, 'oder': 0.13, 'Cannabis': 0.55, 'ist': 0.07, 'kein': 0, 'Brokkoli': 0.06, 'mitspielen': 0.2, 'dürfen': 0}",neutral,"[0.64723, 0.34974542, 0.0030246056]",,,,,,,,,,"{'Ich': 0.04, 'weiss': 0, 'aber': 0.11, 'nicht': 0.04, 'ob': 0, 'wir': 0, 'damit': 0.16, 'in': 0.16, 'der': 0.13, 'Liga': 0.5, 'Digitalisierung': 0, 'first': 0.32, 'Bedenken': 0, 'second': 0.06, 'oder': 0.17, 'Cannabis': 0.06, 'ist': 0.04, 'kein': 0, 'Brokkoli': 0.06, 'mitspielen': 0.44, 'dürfen': 0}",neutral,"[0.80164015, 0.18233112, 0.016028685]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @DinuGautier: Ich verfüge im Fall über ""konkrete Hinweise"", dass im Polizeiposten Waisenhaus grössere Mengen Cannabis und anderer Dro ...",verfügen fall konkrete hinweise polizeiposten waisenhaus grössere mengen cannabis dro,"{'Ich': 0.09, 'verfüge': 0.1, 'im': 0, 'Fall': 0, 'über': 0, 'konkrete': 0.15, 'Hinweise': 0, 'dass': 0.29, 'Polizeiposten': 0, 'Waisenhaus': 0.29, 'grössere': 0, 'Mengen': 0, 'Cannabis': 1.0, 'und': 1.0, 'anderer': 0, 'Dro': 0, '...': 0}",neutral,"[0.83155507, 0.12417435, 0.044270538]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"wer die Debatte zur Cannabisstraffreiheit nachlesen möchte: http://t.co/pP953DaO Achtung #fazialpalmierung möglich, #schweiz",wer debatte cannabisstraffreiheit nachlesen mögen achtung fazialpalmierung möglich schweiz,"{'wer': 0, 'die': 0.21, 'Debatte': 0.36, 'zur': 0.15, 'Cannabisstraffreiheit': 1.0, 'nachlesen': 0.27, 'möchte': 0, 'Achtung': 0, 'fazialpalmierung': 0.54, 'möglich': 0.09, 'schweiz': 0}",neutral,"[0.6517396, 0.014970873, 0.33328953]",,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,RT @bglaettli: 98:84 für schweizweit einheitliche straffreie geringfügige Menge von 10g #Cannabis #ParlCH,schweizweit einheitliche straffrei geringfügig menge g cannabis parlch,"{'98:84': 0, 'für': 0.16, 'schweizweit': 0.15, 'einheitliche': 0, 'straffreie': 0, 'geringfügige': 0, 'Menge': 0, 'von': 0, 'g': 0, 'Cannabis': 1.0, 'ParlCH': 0.49}",neutral,"[0.57697386, 0.018749189, 0.40427694]",,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,Ordnungsbussen bei #Cannabis soll nur für Erwachsene gelten. Freigrenze soll landesweit auf 10g festgelegt werden http://t.co/GfvRxcf,ordnungsbussen cannabis erwachsen gelten freigrenze landesweit g festlegen,"{'Ordnungsbussen': 0.26, 'bei': 0.03, 'Cannabis': 1.0, 'soll': 0, 'nur': 0.12, 'für': 0.41, 'Erwachsene': 0.13, 'gelten': 0.02, 'Freigrenze': 0.14, 'landesweit': 0, 'auf': 0, 'g': 0, 'festgelegt': 0.06, 'werden': 0}",neutral,"[0.8107915, 0.105383754, 0.083824754]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,heut abgestimmt: Zweitwohnungsbau: Ja Bausparen: Nein 6 Wochen Ferien: Ja Geldspiele: Ja. Buchpreisbindung: Nein Erhöhung Stausee: Nein,heut abstimmen zweitwohnungsbau ja bausparen nein wochen ferien ja geldspiele ja buchpreisbindung nein erhöhung stausee nein,,,,"{'heut': 0.07, 'abgestimmt': 0.09, 'Zweitwohnungsbau': 0.05500000000000001, 'Ja': 0, 'Bausparen': 0.075, 'Nein': 1.0, 'Wochen': 0.04, 'Ferien': 0, 'Geldspiele': 0.07, 'Buchpreisbindung': 0.12, 'Erhöhung': 0.51, 'Stausee': 0.34}",neutral,"[0.765126, 0.10783379, 0.12704016]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @dbrgn: Dieser Thread zeigt die Probleme von E-Voting. Wurde hier das E-Voting-System von Oregon und Washington geknackt? Ich weiss es n…,thread zeigen probleme e voting e voting system oregon washington knacken weiss n,,,,,,,"{'Dieser': 0.24, 'Thread': 0.29, 'zeigt': 0, 'die': 0.08, 'Probleme': 1.0, 'von': 0, 'E-Voting': 0, 'Wurde': 0, 'hier': 0.06, 'das': 0, 'E-Voting-System': 0, 'Oregon': 0.08, 'und': 0.08, 'Washington': 0.05, 'geknackt': 0.29, 'Ich': 0.09, 'weiss': 0, 'es': 0, 'n': 0.08, '…': 0}",negative,"[0.043439277, 0.9494141, 0.007146644]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @LangstrumpfPipo: Aber E-Voting von der Post ist natürlich sicher! #cybervoting https://t.co/hjK0MwvC5J,e voting post natürlich sichern cybervoting,,,,,,,"{'Aber': 0.12, 'E-Voting': 0, 'von': 0, 'der': 0, 'Post': 0.12, 'ist': 0.1, 'natürlich': 0, 'sicher': 0, 'cybervoting': 1.0}",positive,"[0.32162738, 0.07893662, 0.59943604]",,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"RT @LangstrumpfPipo: Weil wir in der Schweiz leider kein Verfassungsgericht haben, kann E-Voting nur durch eine Volksabstimmung verhindert…",schweiz leider verfassungsgericht e voting volksabstimmung verhindern,,,,,,,"{'Weil': 0.04, 'wir': 0, 'in': 0.02, 'der': 0, 'Schweiz': 0.03, 'leider': 0.02, 'kein': 0, 'Verfassungsgericht': 0.05, 'haben': 0.04, 'kann': 0.16, 'E-Voting': 0, 'nur': 0.26, 'durch': 0, 'eine': 0, 'Volksabstimmung': 1.0, 'verhindert': 0.87, '…': 0}",negative,"[0.3771285, 0.5954296, 0.027441915]",,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,RT @LangstrumpfPipo: Die Post wenn die Firma die das E-Voting entwickelt hat pleite geht: https://t.co/e96JyOFvu6,post firma e voting entwickeln pleite gehen,,,,,,,"{'Die': 0.12, 'Post': 1.0, 'wenn': 0, 'die': 0.12, 'Firma': 0.29, 'das': 0.25, 'E-Voting': 0, 'entwickelt': 0.29, 'hat': 0, 'pleite': 0, 'geht': 0.35}",negative,"[0.35940832, 0.6155469, 0.025044853]",,,,,,,,,,,,,neutral
