answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,sentiment_tb
50.0,75.0,57.0,0.0,neutral,90 Prozent der unter 30-Jährigen wünschen sich E-Voting https://t.co/0gdBRoTyCb,prozent jährig wünschen e voting,"{'Prozent': 0.88, 'der': 0, 'unter': 0.24, '30-Jährigen': 0.71, 'wünschen': 0, 'sich': 0, 'E-Voting': 0}",neutral,"[0.8090325, 0.07892104, 0.11204642]",,,,neutral
50.0,75.0,57.0,0.0,neutral,Brain Coiffeur no. 4 - Wettbewerbsvorteile durch Digitalisierung https://t.co/cUIiFkepUB,brain coiffeur no wettbewerbsvorteile digitalisierung,,,,"{'Brain': 0.09, 'Coiffeur': 0, 'no': 0.09, 'Wettbewerbsvorteile': 0.7, 'durch': 1.0, 'Digitalisierung': 0}",positive,"[0.004664372, 0.0018810868, 0.9934546]",neutral
0.0,0.0,14.0,-0.7,neutral,"Insight 1/2019

Das Insight vom Januar 2019 widmen wir der Softwarebranche. Meldet Euch, wenn wir das eine oder andere vertiefen können.

#sieberpartners #digitalisierung #softwaremarkt https://t.co/nuuTjrAufG",insight insight januar widmen softwarebranche melden vertiefen sieberpartners digitalisierung softwaremarkt,,,,"{'Insight': 0.04, 'Das': 0.04, 'vom': 0.04, 'Januar': 0.04, 'widmen': 0.06, 'wir': 0, 'der': 0.04, 'Softwarebranche': 0, 'Meldet': 0, 'Euch': 0, 'wenn': 0.06, 'das': 0, 'eine': 0.03, 'oder': 0.06, 'andere': 0, 'vertiefen': 0.06, 'können': 0, 'sieberpartners': 0.62, 'digitalisierung': 1.0, 'softwaremarkt': 0.49}",neutral,"[0.8428423, 0.028125845, 0.12903179]",negative
50.0,75.0,57.0,0.0,neutral,"Digitalisierung ist zwar in aller Munde, aber die Taten hinter den Worten sind vielerorts zögerlich. Wie @@sosicles der #Netzwoche berichtet findet sogar aktive Verhinderung statt. Er spricht vom ""unsäglichen D-Wort"" und ich teile…https://t.co/v1kkMSHZEP https://t.co/nqpBOSFRZh",digitalisierung all munde taten worten vielerorts zögerlich netzwoche berichten finden sogar aktive verhinderung statt sprechen unsäglichen d wort teile,,,,"{'Digitalisierung': 1.0, 'ist': 0.02, 'zwar': 0.02, 'in': 0.02, 'aller': 0, 'Munde': 0, 'aber': 0.14, 'die': 0.02, 'Taten': 0.07, 'hinter': 0.05, 'den': 0.02, 'Worten': 0.1, 'sind': 0.03, 'vielerorts': 0.025, 'zögerlich': 0.06, 'Wie': 0.01, 'der': 0.02, 'Netzwoche': 0.11, 'berichtet': 0.04, 'findet': 0, 'sogar': 0.02, 'aktive': 0.05, 'Verhinderung': 0.06, 'statt': 0.02, 'Er': 0.02, 'spricht': 0.03, 'vom': 0.02, 'unsäglichen': 0.07, 'D-Wort': 0, 'und': 0.02, 'ich': 0.01, 'teile': 0.03, '…': 0}",positive,"[0.0031782335, 0.001449465, 0.99537235]",neutral
50.0,75.0,57.0,0.0,neutral,"RT @bbvch: #Digitalisierung für #KMU: @bbvch entwickelte für die Egli Mühlen AG ein neues #Webportal, mit dem Kunden alle Informationen auf…",digitalisierung kmu entwickeln egli mühlen ag neu webportal kunden all informationen,,,,"{'Digitalisierung': 1.0, 'für': 0.04, 'KMU': 0, 'entwickelte': 0.13, 'die': 0, 'Egli': 0, 'Mühlen': 0, 'AG': 0.03, 'ein': 0, 'neues': 0.05, 'Webportal': 0.16, 'mit': 0.04, 'dem': 0, 'Kunden': 0.05, 'alle': 0, 'Informationen': 0.08, 'auf': 0.04, '…': 0}",neutral,"[0.7903226, 0.01985345, 0.18982393]",neutral
50.0,75.0,57.0,0.0,neutral,"#cnopanel beitrag der sw industrie zur digitalisierung von Thomas Hurni, Uni Bern. https://t.co/JGLzLnANOe",cnopanel beitrag sw industrie digitalisierung thomas hurni uni bern,,,,"{'cnopanel': 0.18, 'beitrag': 0.98, 'der': 0, 'sw': 0.12, 'industrie': 0.37, 'zur': 1.0, 'digitalisierung': 0, 'von': 0, 'Thomas': 0.07, 'Hurni': 0.07, 'Uni': 0, 'Bern': 0.03}",neutral,"[0.51352644, 0.015964532, 0.47050914]",neutral
50.0,75.0,57.0,0.0,neutral,RT @DigicompCH: Ist die rasend schnell voranschreitende Digitalisierung Fluch oder Segen? Lesen Sie den Beitrag von @pascalsieber: https://…,rasen schnellen voranschreitende digitalisierung fluch segen lesen beitrag,,,,"{'Ist': 0.51, 'die': 0.06, 'rasend': 0, 'schnell': 0, 'voranschreitende': 0.83, 'Digitalisierung': 0, 'Fluch': 0.93, 'oder': 0.09, 'Segen': 0.89, 'Lesen': 0.1, 'Sie': 0, 'den': 0.06, 'Beitrag': 0, 'von': 0}",negative,"[0.058009323, 0.8327917, 0.109198965]",neutral
50.0,75.0,57.0,0.0,neutral,Systemintegration und Digitalisierung -  https://t.co/TC5H73m5lc,systemintegration digitalisierung,,,,"{'Systemintegration': 0.615, 'und': 1.0, 'Digitalisierung': 0}",positive,"[0.2895988, 0.005708984, 0.70469224]",neutral
50.0,75.0,57.0,0.0,neutral,Digitalisierung an Schweizer Schulen https://t.co/dQySax0gPV,digitalisierung schweizer schulen,,,,"{'Digitalisierung': 0, 'an': 0, 'Schweizer': 0.22, 'Schulen': 0.29}",positive,"[0.15767865, 0.01529003, 0.8270314]",neutral
50.0,75.0,57.0,0.0,neutral,RT @topsoft_ch: #topsoftNews ist online - heute u.a. mit Beiträgen zu #Digitalisierung von @pascalsieber und #swisscloudcomputing https://t…,topsoftnews online heute u a beiträgen digitalisierung swisscloudcomputing,,,,"{'topsoftNews': 0.14, 'ist': 0.04, 'online': 0.07, 'heute': 0.04, 'u.a.': 0, 'mit': 0.08, 'Beiträgen': 0, 'zu': 0, 'Digitalisierung': 0, 'von': 0, 'und': 0.24, 'swisscloudcomputing': 0.41}",neutral,"[0.76091945, 0.016863737, 0.2222168]",neutral
