answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3470,absa_sentiment_3470,absa_scores_3470,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
25.0,25.0,14.0,-0.4333333333333333,negative,"@morvjn Wäre ja schlimm, wenn Private günstigere Kinderbetreuung anbieten würden und dazu keine spezielle Ausbildung benötigen, wodurch es sich auch ärmere Familien leisten könnten - und das dann noch online. Und ohne Subventionen... Stellen wir uns mal diese Katastrophe vor...",ja schlimm privat günstig kinderbetreuung anbieten spezielle ausbildung benötigen wodurch arm familien leisten online subventionen stellen mal katastrophe,"{'Wäre': 0.03, 'ja': 0.07, 'schlimm': 0, 'wenn': 0.07, 'Private': 0.05, 'günstigere': 0.09, 'Kinderbetreuung': 0.2, 'anbieten': 0, 'würden': 0.03, 'und': 0.07, 'dazu': 0, 'keine': 0, 'spezielle': 0, 'Ausbildung': 0.13, 'benötigen': 0.07, 'wodurch': 0.05, 'es': 0, 'sich': 0, 'auch': 0.06, 'ärmere': 0.06, 'Familien': 0, 'leisten': 0.07, 'könnten': 0.04, 'das': 0.06, 'dann': 0, 'noch': 0, 'online': 0.1, 'Und': 0.07, 'ohne': 0.11, 'Subventionen': 0.15, '...': 0, 'Stellen': 0, 'wir': 0, 'uns': 0, 'mal': 0, 'diese': 0.75, 'Katastrophe': 0, 'vor': 0}",negative,"[0.014284327, 0.90940565, 0.07631]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @jfsolothurn: Kommen wir auch gesellschaftspolitisch endlich im 21. Jahrhundert an und regeln den Umgang mit #Cannabis analog zum Alkoho…,kommen gesellschaftspolitisch endlich jahrhundert regeln umgang cannabis analog alkoho,,,,"{'Kommen': 0, 'wir': 0, 'auch': 0, 'gesellschaftspolitisch': 0, 'endlich': 0, 'im': 0, '21.': 0, 'Jahrhundert': 0.05, 'an': 0, 'und': 0.03, 'regeln': 0, 'den': 0.04, 'Umgang': 0, 'mit': 0, 'Cannabis': 1.0, 'analog': 0, 'zum': 0.04, 'Alkoho': 0.17, '…': 0}",neutral,"[0.8808273, 0.050086588, 0.06908614]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@LuisDeplazes Immerhin sehen einige Gremien selbst ein, dass gewisse Regulierungen für die Katz sind 🤷🏼‍♂️ machen wir weiter mit der Drogenpolitik? 🤔 #cannabislegalisierung #noLeroy",immerhin sehen gremien gewiß regulierungen katz weit drogenpolitik cannabislegalisierung noleroy,,,,"{'Immerhin': 0.05, 'sehen': 0.07, 'einige': 0.07, 'Gremien': 0, 'selbst': 0, 'ein': 0, 'dass': 0.07, 'gewisse': 0.06, 'Regulierungen': 0.08, 'für': 0.06, 'die': 0.05, 'Katz': 0, 'sind': 0.07, '🤷': 0, '\u200d️': 0, 'machen': 0, 'wir': 0, 'weiter': 0, 'mit': 0, 'der': 0, 'Drogenpolitik': 0, '🤔': 0, 'cannabislegalisierung': 0, 'noLeroy': 0}",neutral,"[0.96892214, 0.0168798, 0.014198069]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @rudolf_mohler: Von #Cannabis bis #Kokain und Heroin: @FDP_BS will #Drogen legalisieren https://t.co/CCg8VrXucs #LegalizeIt via @bzBasel,cannabis kokain heroin drogen legalisieren legalizeit via,,,,"{'Von': 0.43, 'Cannabis': 0.16, 'bis': 0, 'Kokain': 0.19, 'und': 0.27, 'Heroin': 0.36, 'will': 0, 'Drogen': 0.13, 'legalisieren': 0.94, 'LegalizeIt': 0.55, 'via': 0.39}",neutral,"[0.85072654, 0.035238706, 0.11403478]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @jfsolothurn: Ganz im Sinne von: weniger staatliche Bevormundung, mehr Eigenverantwortung! #cannabis #freiheit #keineBevormundung

https…",ganz sinne wenig staatliche bevormundung mehr eigenverantwortung cannabis freiheit keinebevormundung https,,,,"{'Ganz': 0, 'im': 0, 'Sinne': 0, 'von': 0, 'weniger': 0, 'staatliche': 0.03, 'Bevormundung': 0, 'mehr': 0.03, 'Eigenverantwortung': 0.03, 'cannabis': 0.05, 'freiheit': 0.05, 'keineBevormundung': 0.06, 'https': 1.0, '…': 0}",neutral,"[0.69316185, 0.0535737, 0.2532645]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"@Efe_Yildiz_ @spschweiz Wo ist die FDP gegen den Kündigungsschutz? Und wieso ist es verwerflich, mit einem höheren Rentenalter auch den nachfolgenden Generationen eine Rente sichern zu wollen?",fdp kündigungsschutz wieso verwerflich hoch rentenalter nachfolgend generationen rente sichern,,,,,,,"{'Wo': 0.05, 'ist': 0.03, 'die': 0.05, 'FDP': 0.07, 'gegen': 0.08, 'den': 0.05, 'Kündigungsschutz': 0.08, 'Und': 0.04, 'wieso': 0, 'es': 0.03, 'verwerflich': 0.2, 'mit': 0.33, 'einem': 0, 'höheren': 1.0, 'Rentenalter': 0.905, 'auch': 0, 'nachfolgenden': 0, 'Generationen': 0.27, 'eine': 0, 'Rente': 0, 'sichern': 0.06, 'zu': 0.06, 'wollen': 0.09}",neutral,"[0.5615435, 0.06895204, 0.36950436]",,,,,,,,,,,,,"{'Wo': 1.0, 'ist': 0.08, 'die': 0.26, 'FDP': 0.25, 'gegen': 0.64, 'den': 0.26, 'Kündigungsschutz': 0.7025, 'Und': 0.24, 'wieso': 0, 'es': 0.08, 'verwerflich': 0.2, 'mit': 0.02, 'einem': 0, 'höheren': 0.02, 'Rentenalter': 0.035, 'auch': 0, 'nachfolgenden': 0, 'Generationen': 0.03, 'eine': 0, 'Rente': 0, 'sichern': 0.03, 'zu': 0.03, 'wollen': 0.03}",negative,"[0.011919075, 0.96640587, 0.021675054]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.6999999999999998,neutral,"@LahorJakrlin @AlainS1991 @Jungfreisinnige @RentenVI Mit spezifischen GAV wird dem ja auch Rechnung getragen. Länger arbeiten aber auch die akademische ""Oberschicht"", welche mittels Umverteilung in der AHV dieselbe für die ""Unterschicht"" gewährleistet. Ein höheres Rentenalter ist das einzige, was die AHV langfristig sichern kann.",spezifisch gav ja rechnung tragen lang arbeiten akademische oberschicht welch mittels umverteilung ahv unterschicht gewährleisten hoch rentenalter einzig ahv langfristig sichern,,,,,,,"{'Mit': 0.02, 'spezifischen': 0.05, 'GAV': 0, 'wird': 0, 'dem': 0.04, 'ja': 0, 'auch': 0.09, 'Rechnung': 0, 'getragen': 0, 'Länger': 0.06, 'arbeiten': 0.09, 'aber': 0.06, 'die': 0.04, 'akademische': 0.04, 'Oberschicht': 0.035, 'welche': 0.06, 'mittels': 0, 'Umverteilung': 0.06, 'in': 0.04, 'der': 0.04, 'AHV': 0.05, 'dieselbe': 0.07, 'für': 0.03, 'Unterschicht': 0.05, 'gewährleistet': 0, 'Ein': 1.0, 'höheres': 0.84, 'Rentenalter': 0.6950000000000001, 'ist': 0.31, 'das': 0.1, 'einzige': 0.72, 'was': 0, 'langfristig': 0.045, 'sichern': 0, 'kann': 0.08}",positive,"[0.007417441, 0.0030451235, 0.9895375]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,negative,"@bettifahrni @JFZH @JfStadtZH Bist du auch gesellschaftsUNliberal, weil du für ein höheres Rentenalter bist, damit unsere Generation auch noch was davon hat? 😅 lächerlich",gesellschaftsunliberal hoch rentenalter generation davon lächerlich,,,,,,,"{'Bist': 0.07, 'du': 0.08, 'auch': 0.04, 'gesellschaftsUNliberal': 0.09, 'weil': 0.05, 'für': 0, 'ein': 0, 'höheres': 0.45, 'Rentenalter': 1.0, 'bist': 0.07, 'damit': 0.04, 'unsere': 0.07, 'Generation': 0.19, 'noch': 0.07, 'was': 0, 'davon': 0.165, 'hat': 0, 'lächerlich': 0.09}",positive,"[0.26466563, 0.11104676, 0.62428755]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @MattpaMueller: Rentenalter 66/66 inkl. Anbindung an Lebenserwartung ist bitter nötig. Wir @Jungfreisinnige sind zuversichtlich, dass🇨🇭-…",rentenalter inkl anbindung lebenserwartung bitter nötigen zuversichtlich,,,,,,,"{'Rentenalter': 1.0, 'inkl.': 0, 'Anbindung': 0.09, 'an': 0, 'Lebenserwartung': 0.08, 'ist': 0.15, 'bitter': 0, 'nötig': 0, 'Wir': 0.06, 'sind': 0.07, 'zuversichtlich': 0, 'dass': 0, '🇨': 0, '🇭': 0, '…': 0}",positive,"[0.072845556, 0.010675622, 0.9164789]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Mit #Rentenalter 66/66 und Bindung an Lebenserwartung nicht nur die Rente für heutige und künftige Generationen sichern, sondern im europäischen Vergleich sogar noch in einer privilegierten Position sein?

Mit der Initiative der @Jungfreisinnige wird dies möglich 💪🏼🇨🇭 https://t.co/rPjMc4GsQz",rentenalter bindung lebenserwartung rente heutige künftig generationen sichern europäisch vergleich sogar privilegierten position initiative möglich,,,,,,,"{'Mit': 0.25, 'Rentenalter': 0, 'und': 0.07, 'Bindung': 0, 'an': 0, 'Lebenserwartung': 0.08, 'nicht': 0.07, 'nur': 0.11, 'die': 0.17, 'Rente': 0, 'für': 0.08, 'heutige': 0, 'künftige': 0.06, 'Generationen': 0.12, 'sichern': 0.06, 'sondern': 0.08, 'im': 0, 'europäischen': 0.37, 'Vergleich': 0, 'sogar': 0, 'noch': 0.05, 'in': 0.04, 'einer': 0, 'privilegierten': 0.08, 'Position': 0.09, 'sein': 0, 'der': 0.17, 'Initiative': 0.65, 'wird': 0, 'dies': 0, 'möglich': 0.17, '🇨': 0, '🇭': 0}",neutral,"[0.67752486, 0.14984554, 0.17262961]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
