answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3416,absa_sentiment_3416,absa_scores_3416,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"Coworking Spaces verringern Pendlerverkehr und fördern Vereinbarkeit! Insbesondere mit Kinderbetreuung-Angebot, wie z.B. Tadah im Yond ab Oktober 2019 in Zürich-Albisrieden (grad neben Siemens): https://t.co/q0zuEOOxa8 @stadtzuerich @CH_Gemeinden https://t.co/MfrDjq8OAQ",coworking spaces verringern pendlerverkehr fördern vereinbarkeit insbesondere kinderbetreuung angebot z b tadah yond ab oktober zürich albisrieden grad neben siemens,"{'Coworking': 0.07, 'Spaces': 0.05, 'verringern': 0.03, 'Pendlerverkehr': 0.060000000000000005, 'und': 0.06, 'fördern': 0, 'Vereinbarkeit': 0.08, 'Insbesondere': 0.08, 'mit': 0.29, 'Kinderbetreuung-Angebot': 1.0, 'wie': 0, 'z.B.': 0, 'Tadah': 0.06, 'im': 0.02, 'Yond': 0.04, 'ab': 0, 'Oktober': 0.04, 'in': 0.08, 'Zürich-Albisrieden': 0, 'grad': 0, 'neben': 0.03, 'Siemens': 0.05, '):': 0}",positive,"[0.00438517, 0.002851829, 0.992763]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,positive,"Und warum vier Frauen etwas gegen die Rückständigkeit der Kinderbetreuung in der Schweiz unternehmen, sollte mir und allen Männern zu denken geben. Auf jeden Fall: ❤-lichen Dank für die Intiative und unterstützt bitte Diana, Julia, Klara und Sarah!",warum vier frauen rückständigkeit kinderbetreuung schweiz unternehmen sollen männern denken geben jed fall lichen danken intiative unterstützen bitte diana julia klara sarah,"{'Und': 0.02, 'warum': 0.1, 'vier': 0.07, 'Frauen': 0.09, 'etwas': 0.12, 'gegen': 0, 'die': 0.03, 'Rückständigkeit': 1.0, 'der': 0.03, 'Kinderbetreuung': 0.67, 'in': 0.03, 'Schweiz': 0.22, 'unternehmen': 0, 'sollte': 0.17, 'mir': 0.03, 'und': 0.02, 'allen': 0, 'Männern': 0.04, 'zu': 0.05, 'denken': 0.05, 'geben': 0.04, 'Auf': 0, 'jeden': 0, 'Fall': 0, '-lichen': 0, 'Dank': 0.05, 'für': 0.03, 'Intiative': 0, 'unterstützt': 0, 'bitte': 0, 'Diana': 0.04, 'Julia': 0.03, 'Klara': 0, 'Sarah': 0.03}",neutral,"[0.39002094, 0.3282626, 0.2817164]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Coworking mit Kinderbetreuung in Zürich - Unterstütze ich! 

Zum Crowdfunding 👇https://t.co/TLDA91526z",coworking kinderbetreuung zürich unterstützen crowdfunding,"{'Coworking': 0.9, 'mit': 1.0, 'Kinderbetreuung': 1.0, 'in': 0.32, 'Zürich': 0, 'Unterstütze': 0.52, 'ich': 0.09, 'Zum': 0.14, 'Crowdfunding': 0.17}",positive,"[0.12985454, 0.0061255447, 0.86401993]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @rudolf_mohler: REMINDER: Heute Abend #Ideenküche @glplab zur #Cannabislegalisierung unter der Leitung von @elkusarta https://t.co/CZ4TY…,reminder heute abend ideenküche cannabislegalisierung leitung,,,,"{'REMINDER': 0.7, 'Heute': 0, 'Abend': 0, 'Ideenküche': 0.27, 'zur': 0.08, 'Cannabislegalisierung': 0.315, 'unter': 0.11, 'der': 0.08, 'Leitung': 0, 'von': 0}",positive,"[0.4437286, 0.008197619, 0.54807377]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @doppel_m: Politisch mitreden zu Themen die interessieren, auch ohne Parteimitglied zu sein - im @glplab geht das. Diese Woche: Cannabis…",politisch mitreden themen interessieren parteimitglied gehen woche cannabis,,,,"{'Politisch': 0, 'mitreden': 0.04, 'zu': 0, 'Themen': 0, 'die': 0, 'interessieren': 0, 'auch': 0, 'ohne': 0.05, 'Parteimitglied': 0.04, 'sein': 0.03, 'im': 0, 'geht': 0, 'das': 0.06, 'Diese': 0.51, 'Woche': 0.25, 'Cannabis': 0.77, '…': 0}",positive,"[0.20494956, 0.0030463245, 0.7920041]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Neue Projekte: Cannabislegalisierung, Bildung und neuer Generationenvertrag. Schaut rein @glplab. Vielen Dank! https://t.co/5HtO3No17x",neue projekte cannabislegalisierung bildung neu generationenvertrag schauen rein danken,,,,"{'Neue': 0.16, 'Projekte': 0.47, 'Cannabislegalisierung': 0.99, 'Bildung': 0.48, 'und': 0.21, 'neuer': 0, 'Generationenvertrag': 0, 'Schaut': 0, 'rein': 0, 'Vielen': 0, 'Dank': 0.14}",positive,"[0.041680925, 0.0034883677, 0.9548307]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"@minlimarti @lukeskywolka @nicolaforster @tagi Wir müssen nach Lösungen suchen, wie die Erhöhung des Rentenalters mit sozialer Abfederung umgesetzt werden kann: Mir ist klar, dass nicht alle bis 67 oder 70 arbeiten können, aber die, die wollen, sollen können. Hier erwarte ich von der SP Gesprächsbereitschaft und Mitarbeit.",müssen lösungen suchen erhöhung rentenalters sozial abfederung umsetzen klaren all arbeiten sollen erwarten sp gesprächsbereitschaft mitarbeit,,,,,,,"{'Wir': 0.07, 'müssen': 0.045000000000000005, 'nach': 0, 'Lösungen': 0.39, 'suchen': 0, 'wie': 0.47, 'die': 0.06, 'Erhöhung': 1.0, 'des': 0, 'Rentenalters': 0.735, 'mit': 0.18, 'sozialer': 0.1, 'Abfederung': 0.16, 'umgesetzt': 0.46, 'werden': 0, 'kann': 0.04, 'Mir': 0, 'ist': 0, 'klar': 0, 'dass': 0.03, 'nicht': 0.05, 'alle': 0.06, 'bis': 0, 'oder': 0.03, 'arbeiten': 0.09, 'können': 0.04, 'aber': 0.03, 'wollen': 0.04, 'sollen': 0.04, 'Hier': 0.03, 'erwarte': 0.06, 'ich': 0.02, 'von': 0, 'der': 0.06, 'SP': 0.03, 'Gesprächsbereitschaft': 0.05, 'und': 0.03, 'Mitarbeit': 0}",positive,"[0.41105005, 0.120797075, 0.4681529]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @FWiedemeier: Das Rentenalter muss erhöht werden, um die AHV langfristig zu sichern! Gleichzeitig müssen wir aber unser Verständnis von…",rentenalter erhöhen ahv langfristig sichern gleichzeitig müssen verständnis,,,,,,,"{'Das': 0.02, 'Rentenalter': 0.815, 'muss': 0.06, 'erhöht': 0, 'werden': 0, 'um': 0, 'die': 0.02, 'AHV': 0.07, 'langfristig': 0.035, 'zu': 0.06, 'sichern': 0.06, 'Gleichzeitig': 0, 'müssen': 0.08499999999999999, 'wir': 0, 'aber': 0, 'unser': 0.05, 'Verständnis': 0.12, 'von': 0, '…': 0}",negative,"[0.03733502, 0.93190974, 0.03075519]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"#av2020 hin oder her: wir kommen nicht darum herum, uns mit dem Rentenalter 67 (oder höher) anzufreunden. #generationengerechtigkeit",av2020 her kommen darum herum rentenalter hoch anfreunden generationengerechtigkeit,,,,,,,"{'av2020': 0.1, 'hin': 0, 'oder': 0.26, 'her': 0, 'wir': 0, 'kommen': 0, 'nicht': 0.06, 'darum': 0, 'herum': 0, 'uns': 0, 'mit': 0.48, 'dem': 1.0, 'Rentenalter': 0.97, 'höher': 0.2, 'anzufreunden': 0, 'generationengerechtigkeit': 0.11}",positive,"[0.009799348, 0.0028813905, 0.98731923]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @mscnzz: Frauenrentenalter 65 ist laut .@IPZuser populär, auch bei links-grünen Wählerinnen. #Altersvorsorge http://t.co/F2GTbV7O9c",frauenrentenalter laut populär links grün wählerinnen altersvorsorge,,,,,,,"{'Frauenrentenalter': 0.3075, 'ist': 0.94, 'laut': 0, 'populär': 0.62, 'auch': 0, 'bei': 0, 'links-grünen': 0, 'Wählerinnen': 0.17, 'Altersvorsorge': 0.1}",positive,"[0.113989, 0.13628933, 0.74972165]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
