answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3448,absa_sentiment_3448,absa_scores_3448,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,0.85,negative,"@MFrauchigerSVP @o_kuehni Bist du sicher, dass ein Einkommen reicht? Ich meine jetzt aus Sicht des Arbeitsmarktes. Stell die mal vor, all die Elternteile, die dank Kinderbetreuung arbeiten können, würden künden. Kinderbetreuung ist eine effektive Zuwanderungsbremse, SVP sollte eigentlich dafür sein😉",sichern einkommen reichen sicht arbeitsmarktes stell mal all elternteile danken kinderbetreuung arbeiten künden kinderbetreuung effektive zuwanderungsbremse svp sollen eigentlich dafür,"{'Bist': 0.015, 'du': 0.03, 'sicher': 0, 'dass': 0, 'ein': 0, 'Einkommen': 0.04, 'reicht': 0, 'Ich': 0.01, 'meine': 0, 'jetzt': 0.02, 'aus': 0, 'Sicht': 0, 'des': 0.03, 'Arbeitsmarktes': 0.02, 'Stell': 0, 'die': 0.07, 'mal': 0, 'vor': 0, 'all': 0.1, 'Elternteile': 0.1, 'dank': 0.95, 'Kinderbetreuung': 0.12, 'arbeiten': 0.19, 'können': 0.02, 'würden': 0.17, 'künden': 0, 'ist': 0.07, 'eine': 0, 'effektive': 0.06, 'Zuwanderungsbremse': 0.045, 'SVP': 0, 'sollte': 0.03, 'eigentlich': 0.02, 'dafür': 0, 'sein': 0}",neutral,"[0.5863716, 0.12734558, 0.28628287]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,@andrisilbi_ Das ist ja eine völlig neue Erkenntnis und grosse Überraschung. Man diskutiert seit Jahren über nichts anderes in der AHV (ausser die Angleichung des Rentenalters Frau/Mann),ja völlig neue erkenntnis grosse überraschung diskutieren seit jahren ahv ausser angleichung rentenalters frau mann,,,,"{'Das': 0.16, 'ist': 0, 'ja': 0.03, 'eine': 0, 'völlig': 0, 'neue': 0.05, 'Erkenntnis': 0, 'und': 0.03, 'grosse': 0, 'Überraschung': 0.05, 'Man': 0, 'diskutiert': 0.21, 'seit': 0, 'Jahren': 0.09, 'über': 0, 'nichts': 0.06, 'anderes': 0, 'in': 0.06, 'der': 0.16, 'AHV': 0.12, 'ausser': 0.195, 'die': 0.16, 'Angleichung': 0, 'des': 0.23, 'Rentenalters': 0.265, 'Frau': 0, 'Mann': 0}",positive,"[0.40586847, 0.013288301, 0.58084327]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"RT @rocwint: Erste ländliche Gemeinde im Aargau hat die Ergebnisse: #vaterschaftsurlaub abgelehnt, #energiegesetz und Abschaffung #schulpfl…",erste ländlich gemeinden aargau ergebnisse vaterschaftsurlaub ablehnen energiegesetz abschaffung schulpfl,,,,,,,"{'Erste': 0.08, 'ländliche': 0.08, 'Gemeinde': 0, 'im': 0, 'Aargau': 0.11, 'hat': 0, 'die': 0.06, 'Ergebnisse': 0.23, 'vaterschaftsurlaub': 1.0, 'abgelehnt': 0, 'energiegesetz': 0.22999999999999998, 'und': 0.19, 'Abschaffung': 0.21, 'schulpfl': 0, '…': 0}",negative,"[0.030781383, 0.73525786, 0.23396072]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,negative,@rocwint @beatflach @AargauerZeitung Das mit dem Vaterschaftsurlaub schaffen wir noch zu kehren. Der Rest simmt zuversichtlich 👍,vaterschaftsurlaub schaffen kehren rest simmt zuversichtlich,,,,,,,"{'Das': 0.06, 'mit': 1.0, 'dem': 0.105, 'Vaterschaftsurlaub': 0.94, 'schaffen': 0, 'wir': 0, 'noch': 0.19, 'zu': 0.15, 'kehren': 0.39, 'Der': 0.06, 'Rest': 0.1, 'simmt': 0, 'zuversichtlich': 0}",neutral,"[0.65676385, 0.0072941887, 0.33594203]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"RT @beatflach: Die #FDP hat heut die Vorlage für einen #Vaterschaftsurlaub auch mit der Begründung abgelehnt, es brauche eine Elternzeit. A…",fdp heut vorlage vaterschaftsurlaub begründung ablehnen brauche elternzeit a,,,,,,,"{'Die': 0.05, 'FDP': 0.27, 'hat': 0, 'heut': 0.1, 'die': 0.05, 'Vorlage': 0, 'für': 0.32, 'einen': 0.06, 'Vaterschaftsurlaub': 0.09, 'auch': 0, 'mit': 0, 'der': 0.05, 'Begründung': 0, 'abgelehnt': 0, 'es': 0, 'brauche': 0, 'eine': 0, 'Elternzeit': 0.095, 'A': 0.06, '…': 0}",neutral,"[0.46110746, 0.45131367, 0.08757889]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,negative,"@SuzanneMarclay @SilvanHilfiker @fdp_ag @glp_ag @AargauerZeitung Es gibt kontroverse Untersuchungen dazu. Arbeitslosigkeit ausschliesslich auf Mindestlohn zurück zu führen ist billiger Populismus. Ich hätte dieses Papier gerne gelesen und gelernt. Aber wenn man immer alles im Voraus schon besser weiss, dann braucht man keinen Bericht #ignoranz",geben kontroverse untersuchungen arbeitslosigkeit ausschliesslich mindestlohn zurück fahren billig populismus papier gerne lesen lernen immer voraus schon gut weiss brauchen bericht ignoranz,,,,,,,,,,"{'Es': 0.67, 'gibt': 0, 'kontroverse': 0, 'Untersuchungen': 0, 'dazu': 0.03, 'Arbeitslosigkeit': 0.38, 'ausschliesslich': 0, 'auf': 0.03, 'Mindestlohn': 0.99, 'zurück': 0, 'zu': 0.03, 'führen': 0.03, 'ist': 0.67, 'billiger': 0, 'Populismus': 0.21, 'Ich': 0.04, 'hätte': 0, 'dieses': 0.07, 'Papier': 0.12, 'gerne': 0, 'gelesen': 0.04, 'und': 0.03, 'gelernt': 0, 'Aber': 0.05, 'wenn': 0.03, 'man': 0, 'immer': 0.02, 'alles': 0.04, 'im': 0, 'Voraus': 0.035, 'schon': 0, 'besser': 0.03, 'weiss': 0, 'dann': 0.02, 'braucht': 0, 'keinen': 0, 'Bericht': 0, 'ignoranz': 0.03}",positive,"[0.35584697, 0.010504457, 0.6336485]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Staatlicher Mindestlohn, staatlicher Höchstlohn und dazwischen wird alles besteuert, subventioniert und staatlich umverteilt. So stellt sich die ⁦@SP_Aargau⁩  die Wirtschaft vor 😩 ⁦⁦#Planwirtschaft ⁦@AargauerZeitung⁩  https://t.co/u4MfYwTItd",staatlich mindestlohn staatlich höchstlohn dazwischen besteuern subventioniert staatlich umverteilt stellen wirtschaft planwirtschaft,,,,,,,,,,"{'Staatlicher': 0.03, 'Mindestlohn': 0.485, 'staatlicher': 0.03, 'Höchstlohn': 0.6699999999999999, 'und': 0.11, 'dazwischen': 0.5, 'wird': 0, 'alles': 0.41, 'besteuert': 0.09, 'subventioniert': 0.15, 'staatlich': 0.03, 'umverteilt': 0.18, 'So': 0, 'stellt': 0, 'sich': 0, 'die': 0, '\u2066\u2069': 0, 'Wirtschaft': 0, 'vor': 0, '\u2066\u2066#Planwirtschaft': 0}",neutral,"[0.5858345, 0.00861765, 0.40554786]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"@Jeanine_Glarner @FDP_Liberalen Der liberalste Ansatz wäre wohl, fossile Energieträger per Datum x (zB 2050) komplett zu verbieten und dann die Wirtschaft die Alternativen entwickeln lassen. Aber auch dagegen sperrt sich die fdp...",liberalste ansatz wohl fossile energieträger per datum x zb komplett verbieten wirtschaft alternativ entwickeln lassen dagegen sperren fdp,,,,,,,,,,,,,"{'Der': 0.09, 'liberalste': 0.32, 'Ansatz': 0, 'wäre': 0.19, 'wohl': 0, 'fossile': 0.86, 'Energieträger': 0, 'per': 0, 'Datum': 0.16, 'x': 0.14, 'zB': 0, 'komplett': 1.0, 'zu': 0.04, 'verbieten': 0, 'und': 0.15, 'dann': 0.19, 'die': 0.09, 'Wirtschaft': 0, 'Alternativen': 0.16, 'entwickeln': 0.08, 'lassen': 0, 'Aber': 0.07, 'auch': 0.04, 'dagegen': 0.09, 'sperrt': 0, 'sich': 0, 'fdp': 0, '...': 0}",neutral,"[0.64027697, 0.16585338, 0.19386968]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,@sonntagszeitung Wir haben noch nicht mal richtig mit dem Ausbau der erneuerbaren Energien begonnen und sollen nun bereits die Flinte ins Korn werfen @economiesuisse ?,mal richtig ausbau erneuerbaren energien beginnen sollen bereits flinte korn werfen,,,,,,,,,,,,,,,,"{'Wir': 0.21, 'haben': 0, 'noch': 0, 'nicht': 0, 'mal': 0, 'richtig': 0, 'mit': 0, 'dem': 0.1, 'Ausbau': 0, 'der': 0.1, 'erneuerbaren': 0.13, 'Energien': 0.08, 'begonnen': 0.1, 'und': 0.2, 'sollen': 1.0, 'nun': 0, 'bereits': 0, 'die': 0.1, 'Flinte': 0, 'ins': 0, 'Korn': 0, 'werfen': 0.12}",neutral,"[0.65327406, 0.22952983, 0.11719612]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"@Nadja_Rohner @HansruediWidmer Ist doch eigentlich riesen Kompliment an @eniwa_energie, wenn Stromausfall als seltenes Ereignis gefeiert und in den Medien berichtet wird. In anderen Ländern hat man dafür nur ein müdes Schulterzucken übrig —&gt; sichere Stromversorgung mit erneuerbarem Strom als Standortfaktor.",eigentlich riesen kompliment stromausfall selten ereignis feiern medien berichten ländern dafür müde schulterzucken übrig gt sicher stromversorgung erneuerbarem strom standortfaktor,,,,,,,,,,,,,,,,"{'Ist': 0.17, 'doch': 0, 'eigentlich': 0.06, 'riesen': 0, 'Kompliment': 0.12, 'an': 0, 'wenn': 0, 'Stromausfall': 0.575, 'als': 0, 'seltenes': 0.08, 'Ereignis': 0, 'gefeiert': 0.1, 'und': 0.05, 'in': 0.1, 'den': 0.08, 'Medien': 0.22, 'berichtet': 0.14, 'wird': 0, 'In': 0.1, 'anderen': 0, 'Ländern': 0.16, 'hat': 0, 'man': 0, 'dafür': 0, 'nur': 0, 'ein': 0, 'müdes': 0, 'Schulterzucken': 0.28, 'übrig': 0, '—': 0, 'gt': 0, 'sichere': 0, 'Stromversorgung': 0, 'mit': 0, 'erneuerbarem': 0, 'Strom': 0, 'Standortfaktor': 0}",positive,"[0.004700143, 0.0022033993, 0.9930964]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
