answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3437,absa_sentiment_3437,absa_scores_3437,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @AGmur: Jetzt müssen Gymnasiasten und Studierende anstelle der Grosseltern bei der Kinderbetreuung einspringen! #EDK ⁦@silviasteiner⁩ ⁦@…,müssen gymnasiasten studierend anstellen grosseltern kinderbetreuung einspringen edk,"{'Jetzt': 0.08, 'müssen': 0.12, 'Gymnasiasten': 0, 'und': 0.04, 'Studierende': 0.05, 'anstelle': 0.145, 'der': 0, 'Grosseltern': 0.16, 'bei': 0, 'Kinderbetreuung': 1.0, 'einspringen': 0.20500000000000002, 'EDK': 0.03, '\u2066\u2069': 0, '\u2066': 0, '…': 0}",neutral,"[0.774961, 0.11020284, 0.1148361]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Ausländerstimmrecht kein Mittel zur Integration! Wer integriert ist, wird eingebürgert und nur wer eingebürgert ist, soll abstimmen dürfen.",ausländerstimmrecht mittel integration wer integrieren einbürgern wer einbürgern abstimmen dürfen,,,,"{'Ausländerstimmrecht': 0.16, 'kein': 0, 'Mittel': 0, 'zur': 0.06, 'Integration': 0.34, 'Wer': 0.06, 'integriert': 0.29, 'ist': 0.19, 'wird': 0, 'eingebürgert': 0.11, 'und': 0.14, 'nur': 0.12, 'wer': 0.06, 'soll': 0, 'abstimmen': 0.11, 'dürfen': 0}",negative,"[0.39733338, 0.49986055, 0.10280605]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.9,negative,"Vaterschaftsurlaub? Ich war immer kritisch; mir nicht sicher, ob es einen solchen braucht. Aber, der Kompromiss der #CVP überzeugt. Zwei Wochen sind mass- und sinnvoll, vor allem aber finanzierbar. Darum #Vaterschaftsurlaub ja! @CVP_PDC @cvpoberwallis",vaterschaftsurlaub immer kritisch sichern solch brauchen kompromiss cvp überzeugen zwei wochen mass sinnvoll finanzierbar darum vaterschaftsurlaub ja,,,,,,,"{'Vaterschaftsurlaub': 0.43500000000000005, 'Ich': 0.4, 'war': 0, 'immer': 0.19, 'kritisch': 0.24, 'mir': 0, 'nicht': 0.11, 'sicher': 0, 'ob': 0, 'es': 0.04, 'einen': 0, 'solchen': 0, 'braucht': 0, 'Aber': 0.02, 'der': 0.03, 'Kompromiss': 0.06, 'CVP': 0.03, 'überzeugt': 0, 'Zwei': 0.01, 'Wochen': 0.03, 'sind': 0.02, 'mass-': 0, 'und': 0.02, 'sinnvoll': 0.03, 'vor': 0, 'allem': 0, 'aber': 0.02, 'finanzierbar': 0.04, 'Darum': 0, 'ja': 0.02}",neutral,"[0.70572466, 0.026822757, 0.26745263]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Genau, die @NZZSchweiz trifft voll ins Schwarze. Ein guter Vater braucht hierfür nicht einen #Vaterschaftsurlaub! https://t.co/HkUKOfFghY",genau treffen voll schwarze gut vater brauchen hierfür vaterschaftsurlaub,,,,,,,"{'Genau': 0, 'die': 0.04, 'trifft': 0, 'voll': 0, 'ins': 0, 'Schwarze': 0, 'Ein': 0.38, 'guter': 0, 'Vater': 0.09, 'braucht': 0, 'hierfür': 0, 'nicht': 0.19, 'einen': 0.38, 'Vaterschaftsurlaub': 0.35}",positive,"[0.006775668, 0.017579816, 0.9756445]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,negative,"Kein #Vaterschaftsurlaub. Richtiger Entscheid des BR. Was bei den Müttern wichtig ist, braucht es bei den Männer nicht. Väter nehmt Ferien!",vaterschaftsurlaub richtig entscheid br müttern wichtig brauchen männer väter nehmen ferien,,,,,,,"{'Kein': 1.0, 'Vaterschaftsurlaub': 1.0, 'Richtiger': 0.66, 'Entscheid': 0.16, 'des': 0, 'BR': 0.04, 'Was': 0, 'bei': 0, 'den': 0.02, 'Müttern': 0.02, 'wichtig': 0.1, 'ist': 0.03, 'braucht': 0, 'es': 0.03, 'Männer': 0.03, 'nicht': 0.03, 'Väter': 0.03, 'nehmt': 0, 'Ferien': 0}",positive,"[0.113761686, 0.020826735, 0.86541164]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,71.0,0.15,positive,"Vier Wochen Vaterschaftsurlaub? Bitte nicht vergessen, es sind immer noch die Frauen die Kinder gebären! https://t.co/FUpw2ievwC via @NZZ",vier wochen vaterschaftsurlaub bitte vergessen immer frauen kinder gebären via,,,,,,,"{'Vier': 0.32, 'Wochen': 0.26, 'Vaterschaftsurlaub': 0.765, 'Bitte': 0, 'nicht': 0.2, 'vergessen': 0.36, 'es': 0.22, 'sind': 0, 'immer': 0, 'noch': 0.26, 'die': 0.09, 'Frauen': 0.11, 'Kinder': 0.08, 'gebären': 0.04, 'via': 0.15}",neutral,"[0.8874076, 0.091331035, 0.02126145]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Vernunft siegt beim #Vaterschaftsurlaub. So unverzichtbar der Mutterschaftsurlaub ist, so wenig ist er bei den Vätern finanzierbar.",vernunft siegen beim vaterschaftsurlaub unverzichtbar mutterschaftsurlaub wenig vätern finanzierbar,,,,,,,"{'Vernunft': 0.17, 'siegt': 0.4, 'beim': 0, 'Vaterschaftsurlaub': 0.06, 'So': 0, 'unverzichtbar': 0.3, 'der': 0, 'Mutterschaftsurlaub': 0.07, 'ist': 0.07, 'so': 0, 'wenig': 0, 'er': 0.07, 'bei': 0, 'den': 0, 'Vätern': 0.04, 'finanzierbar': 0}",positive,"[0.017029144, 0.0059785414, 0.97699225]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @Mitte_Centre: Wir sind auf gutem Weg. Und bei Verstössen gegen die Lohngleichheit soll es Sanktionen geben, wie die Motion von @LorenzH…",gut verstössen lohngleichheit sanktionen geben motion,,,,,,,,,,"{'Wir': 0.09, 'sind': 0.06, 'auf': 0.06, 'gutem': 0, 'Weg': 0, 'Und': 0.11, 'bei': 0, 'Verstössen': 1.0, 'gegen': 0, 'die': 0.08, 'Lohngleichheit': 0.85, 'soll': 0, 'es': 0, 'Sanktionen': 0.56, 'geben': 0, 'wie': 0, 'Motion': 0.18, 'von': 0, '…': 0}",negative,"[0.05218117, 0.86432415, 0.08349473]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,SVP Nidwalden und Schwyz sammeln Unterschriften gegen den Finanzausgleich (NFA) und damit gegen die Nehmerkantone wie das Wallis. #wahlen15,svp nidwalden schwyz sammeln unterschriften finanzausgleich nfa nehmerkantone wallis wahlen15,,,,,,,,,,,,,"{'SVP': 0, 'Nidwalden': 0.14, 'und': 0.14, 'Schwyz': 0.12, 'sammeln': 0.1, 'Unterschriften': 0.46, 'gegen': 0.3, 'den': 0.05, 'Finanzausgleich': 0.625, 'NFA': 0.24, 'damit': 0, 'die': 0.05, 'Nehmerkantone': 0.125, 'wie': 0, 'das': 0, 'Wallis': 0, 'wahlen15': 0.16}",positive,"[0.40744627, 0.017487934, 0.5750658]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Die Vernehmlassung zur zweiten Etappe des ""Neuen Finanzausgleichs"" (NFA II) wurde eingereicht. Es gibt noch viel zu tun, packen wir es an!",vernehmlassung zweit etappe neu finanzausgleichs nfa ii einreichen geben tun packen,,,,,,,,,,,,,"{'Die': 0.35, 'Vernehmlassung': 0.32, 'zur': 0.185, 'zweiten': 0.08, 'Etappe': 0.28, 'des': 0, 'Neuen': 1.0, 'Finanzausgleichs': 0.815, 'NFA': 0.17, 'II': 0.14, 'wurde': 0, 'eingereicht': 0.2, 'Es': 0.02, 'gibt': 0, 'noch': 0.04, 'viel': 0.025, 'zu': 0.02, 'tun': 0.025, 'packen': 0, 'wir': 0, 'es': 0.02, 'an': 0}",positive,"[0.3676692, 0.018706733, 0.6136241]",,,,,,,,,,,,,,,,,,,neutral
