answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @mindestlohnnein: 26 Unterstützer aus dem Kt Zug - zusammen erreichen wir noch viele mehr! https://t.co/Db3GxyOSXG @CVPStadtZug @GLP_Zug…,unterstützer kt zug zusammen erreichen mehr,"{'Unterstützer': 0, 'aus': 0, 'dem': 0.09, 'Kt': 0.1, 'Zug': 0.13, 'zusammen': 0.56, 'erreichen': 0, 'wir': 0, 'noch': 0, 'viele': 0, 'mehr': 0.57, '…': 0}",neutral,"[0.35737535, 0.2941334, 0.34849122]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"#lidl hätte den #mindestlohn sogar auf CHF 4'100 erhöhen können, wenn sie auf die begleitende Werbekampagne verzichtet hätten",lidl mindestlohn sogar chf erhöhen begleitend werbekampagne verzichten,"{'lidl': 0.22, 'hätte': 0.04, 'den': 0.04, 'mindestlohn': 0.625, 'sogar': 0.82, 'auf': 0, 'CHF': 0.1, ""4'100"": 0, 'erhöhen': 0, 'können': 0, 'wenn': 0.25, 'sie': 0, 'die': 0.04, 'begleitende': 0.07, 'Werbekampagne': 0.11, 'verzichtet': 0, 'hätten': 0.41}",negative,"[0.35274887, 0.49528, 0.15197106]",,,,,,,,,,,,,,,,positive
50.0,75.0,71.0,0.1333333333333333,neutral,"Filterblase und Echokammer?. Dagegen hilft bitterböse Kritik von #VolkerPispers an der freien Marktwirtschaft.
https://t.co/sNbrZwLvzz https://t.co/Ba5mXipByJ",filterblase echokammer dagegen helfen bitterböse kritik volkerpispers frei marktwirtschaft,,,,"{'Filterblase': 0, 'und': 0.04, 'Echokammer': 0.04, 'Dagegen': 0.44000000000000006, 'hilft': 1.0, 'bitterböse': 0.3, 'Kritik': 0.45, 'von': 0.19, 'VolkerPispers': 0.23, 'an': 0, 'der': 0.22, 'freien': 0.2, 'Marktwirtschaft': 0.59}",positive,"[0.0085676145, 0.003640861, 0.98779154]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,@verathom @DorisFiala @fdp @FDPFrauenCH @fdp_zh @mehblau @Jungfreisinnige @JFZH @NZZ @tagesanzeiger @SRF @TeleZueri @SVPch @Bundesrat_Bern Ich sage immer das Gleiche: Wir hatten auch nie einen Papier-Minister... Digitalisierung ist eine Frage des Mindsets und darf nicht an eine zentrale Stelle abdelegiert werden.,sage immer gleich nie papier minister digitalisierung fragen mindsets dürfen zentrale stelle abdelegiert,,,,,,,"{'Ich': 0.04, 'sage': 0, 'immer': 0.04, 'das': 0, 'Gleiche': 0.04, 'Wir': 0.05, 'hatten': 0.03, 'auch': 0, 'nie': 0, 'einen': 0.06, 'Papier-Minister': 0.175, '...': 0, 'Digitalisierung': 0, 'ist': 0.22, 'eine': 0, 'Frage': 0, 'des': 0, 'Mindsets': 0, 'und': 0.09, 'darf': 0, 'nicht': 0.08, 'an': 0, 'zentrale': 0.05, 'Stelle': 0, 'abdelegiert': 0, 'werden': 0}",negative,"[0.3131474, 0.65788954, 0.0289631]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Interessiert daran, wie Arbeiten künftig aussehen wird, was es mit New Work auf sich hat und welchen Einfluss Digitalisierung auf die Arbeitskultur hat? Dann komm an den Digital Leadership Day! #digitalisierung #newwork https://t.co/QKcUNioEvi https://t.co/ldV632zUwc",interessieren daran arbeiten künftig aussehen new work welch einfluss digitalisierung arbeitskultur komm digital leadership day digitalisierung newwork,,,,,,,"{'Interessiert': 0.06, 'daran': 0.08, 'wie': 0, 'Arbeiten': 0.04, 'künftig': 0.03, 'aussehen': 0.03, 'wird': 0.02, 'was': 0, 'es': 0.03, 'mit': 0, 'New': 0.05, 'Work': 0.04, 'auf': 0.03, 'sich': 0, 'hat': 0, 'und': 0.06, 'welchen': 0, 'Einfluss': 0, 'Digitalisierung': 1.0, 'die': 0.15, 'Arbeitskultur': 0.045, 'Dann': 0.09, 'komm': 0.13, 'an': 0, 'den': 0.15, 'Digital': 0.16, 'Leadership': 0.11, 'Day': 0.12, 'digitalisierung': 1.0, 'newwork': 0.33}",positive,"[0.29083294, 0.008269219, 0.7008979]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Normalerweise bin ich bei solchen Themen Referent, nicht Teilnehmer 🤣 #hr #digitalisierung #disruption @ZWKZug https://t.co/t7YkDNiBoy",normalerweise solch themen referent teilnehmer hr digitalisierung disruption,,,,,,,"{'Normalerweise': 0.17, 'bin': 0, 'ich': 0.07, 'bei': 0, 'solchen': 0.1, 'Themen': 0, 'Referent': 0, 'nicht': 0.28, 'Teilnehmer': 0, '🤣': 0, 'hr': 0, 'digitalisierung': 0, 'disruption': 0}",neutral,"[0.83941954, 0.027552761, 0.13302778]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @Fischer_Markus: Zuger #Blockchain-Wettbewerb vergibt #Rekordpreisgeld

@GreaterZurich @inacta #blockchain4insurance #Digitalisierung ht…",zuger blockchain wettbewerb vergeben rekordpreisgeld blockchain4insurance digitalisierung ht,,,,,,,"{'Zuger': 0, 'Blockchain-Wettbewerb': 0.05, 'vergibt': 0, 'Rekordpreisgeld': 0.042499999999999996, 'blockchain4insurance': 0.71, 'Digitalisierung': 1.0, 'ht': 0.29, '…': 0}",neutral,"[0.74882853, 0.005806847, 0.24536464]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,«Hierarchie würgt die Chancen der Digitalisierung ab» https://t.co/VqsXjs4wmy,hierarchie würgen chancen digitalisierung ab,,,,,,,"{'«': 0, 'Hierarchie': 0, 'würgt': 0, 'die': 0, 'Chancen': 0, 'der': 0, 'Digitalisierung': 0, 'ab': 0, '»': 0}",negative,"[0.27136207, 0.44486204, 0.2837758]",,,,,,,,,,neutral
75.0,75.0,71.0,0.35,neutral,"RT @dhuerlimann: Ein Staatssekretariat für Digitalisierung, damit sich alle anderen nicht mehr darum kümmern müssen? -- https://t.co/nb6wJ2…",staatssekretariat digitalisierung all mehr darum kümmern müssen,,,,,,,"{'Ein': 0.32, 'Staatssekretariat': 0.27, 'für': 1.0, 'Digitalisierung': 0, 'damit': 0.04, 'sich': 0, 'alle': 0.06, 'anderen': 0, 'nicht': 0, 'mehr': 0, 'darum': 0, 'kümmern': 0.04, 'müssen': 0.04, '--': 0}",neutral,"[0.9340232, 0.018908631, 0.047068167]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Digitalisierung bedeutet (auch), Geschäftsprozesse so zu reorganisieren, dass diese Daten generieren: https://t.co/UNE0EjcVvx",digitalisierung bedeuten geschäftsprozesse reorganisieren daten generieren,,,,,,,"{'Digitalisierung': 0, 'bedeutet': 1.0, 'auch': 0.3, 'Geschäftsprozesse': 0.22, 'so': 0, 'zu': 0, 'reorganisieren': 0, 'dass': 0.19, 'diese': 0, 'Daten': 0.14, 'generieren': 0.13}",positive,"[0.09121882, 0.010584603, 0.8981966]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Digitalisierung vs. Demokratie: Social Bots sollen Brexit verursacht haben https://t.co/VTtggDXOL9,digitalisierung vs demokratie social bots sollen brexit verursachen,,,,,,,"{'Digitalisierung': 0, 'vs.': 0, 'Demokratie': 0.85, 'Social': 0.07, 'Bots': 0.15, 'sollen': 0, 'Brexit': 0.14, 'verursacht': 0.16, 'haben': 0.05}",neutral,"[0.53140795, 0.39040327, 0.07818877]",,,,,,,,,,neutral
