answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,".@DianaGutjahr1, @susanne_brunner, @HUBigler (@gewerbeverband) und #danielborner (@GastroSuisse): Hier noch die Battle Card für heute Abend. Der Bleistift ist gespitzt... #srfarena #vaterschaftsurlaub #bullshitbingo https://t.co/i2wOtV1K0T",danielborner battle card heute abend bleistift spitzen srfarena vaterschaftsurlaub bullshitbingo,"{'und': 0.05, 'danielborner': 0.11, '):': 0, 'Hier': 0.05, 'noch': 0, 'die': 0.11, 'Battle': 0.1, 'Card': 0.09, 'für': 0.06, 'heute': 0, 'Abend': 0, 'Der': 0.11, 'Bleistift': 0.13, 'ist': 0.15, 'gespitzt': 0, '...': 0, 'srfarena': 0.31, 'vaterschaftsurlaub': 1.0, 'bullshitbingo': 0.89}",positive,"[0.15704587, 0.050610762, 0.79234344]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Yes - klares JA von den Delegierten der @CVPThurgau mit 71:5 für die @papizeit #vaterschaftsurlaub #familienpolitik #gleichberechtigung #vaterschaftsurlaubjetzt #waroftalents https://t.co/eGWsuYO8A0,yes klar ja delegieren vaterschaftsurlaub familienpolitik gleichberechtigung vaterschaftsurlaubjetzt waroftalents,"{'Yes': 0.1, 'klares': 0.09, 'JA': 0, 'von': 0.16, 'den': 0.08, 'Delegierten': 0.16, 'der': 0.08, 'mit': 0, '71:5': 0, 'für': 0.76, 'die': 0.08, 'vaterschaftsurlaub': 0.12, 'familienpolitik': 0.16999999999999998, 'gleichberechtigung': 0, 'vaterschaftsurlaubjetzt': 0.105, 'waroftalents': 0.27}",positive,"[0.033836074, 0.007783052, 0.9583809]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"Zwei Wochen #Vaterschaftsurlaub. Ein Luxus den wir uns nicht leisten können... @florianinhauser, was meinen Sie dazu? ;) via @papizeit https://t.co/t4U4yIbzCk",zwei wochen vaterschaftsurlaub luxus leisten via,"{'Zwei': 0.19, 'Wochen': 0.27, 'Vaterschaftsurlaub': 0.57, 'Ein': 0.11, 'Luxus': 0.32, 'den': 0, 'wir': 0, 'uns': 0, 'nicht': 0, 'leisten': 0.1, 'können': 0, '...': 0, 'was': 0, 'meinen': 0.05, 'Sie': 0, 'dazu': 0, 'via': 0.1}",positive,"[0.33160937, 0.10404396, 0.5643467]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.9,positive,"RT @AGmur: Die @FDP_Liberalen tun gut daran, den Vaterschaftsurlaub der @CVP_PDC zu unterstützen - eine echte Lösung, pragmatisch und umset…",tun gut daran vaterschaftsurlaub unterstützen echte lösung pragmatisch umset,"{'Die': 0, 'tun': 0.25, 'gut': 0, 'daran': 0.34, 'den': 0, 'Vaterschaftsurlaub': 0.935, 'der': 0, 'zu': 0.34, 'unterstützen': 1.0, 'eine': 0, 'echte': 0.24, 'Lösung': 0.34, 'pragmatisch': 0.26, 'und': 0.08, 'umset': 0, '…': 0}",positive,"[0.0037971493, 0.0014488134, 0.9947541]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @comboeuf: Kein Vaterschaftsurlaub (Kosten 200 Mio) dafür Grundstücksteuer-Geschenk an die Bauern (400 Mio).
Was haben die geraucht heut…",vaterschaftsurlaub kosten mio dafür grundstücksteuer geschenk bauern mio rauchen heut,"{'Kein': 1.0, 'Vaterschaftsurlaub': 0.85, 'Kosten': 0.35, 'Mio': 0, 'dafür': 0, 'Grundstücksteuer-Geschenk': 0.095, 'an': 0, 'die': 0.04, 'Bauern': 0.05, 'Was': 0, 'haben': 0.1, 'geraucht': 0, 'heut': 0.15, '…': 0}",negative,"[0.3827615, 0.59719115, 0.020047309]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @cmiag: ++Breakings News++ Einbürgerung über #CMIAXIOMA führt zu Verstärkung der CH-Fussballnationalmannschaft :) #insider #cmiwelt #eGo…,breakings news einbürgerung cmiaxioma führen verstärkung ch fussballnationalmannschaft insider cmiwelt ego,,,,"{'Breakings': 0.2, 'News++': 0, 'Einbürgerung': 1.0, 'über': 0, 'CMIAXIOMA': 0.43, 'führt': 1.0, 'zu': 0.86, 'Verstärkung': 0.59, 'der': 0.15, 'CH-Fussballnationalmannschaft': 0.135, 'insider': 0.13, 'cmiwelt': 0.19, 'eGo': 0.1, '…': 0}",positive,"[0.04603146, 0.0030766805, 0.95089185]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @cmiag: Das Online-Voting an der #cmifachtagung 2019 zeigte, dass bis ins Jahr 2022 rund 50% der Verwaltungen ihre Dienste aus der Cloud…",online voting cmifachtagung zeigen jahr rund verwaltungen dienste cloud,,,,,,,"{'Das': 0.04, 'Online-Voting': 0, 'an': 0, 'der': 0.04, 'cmifachtagung': 0, 'zeigte': 1.0, 'dass': 1.0, 'bis': 0, 'ins': 0, 'Jahr': 0, 'rund': 0.37, 'Verwaltungen': 0.11, 'ihre': 0.08, 'Dienste': 0.12, 'aus': 0, 'Cloud': 0.18, '…': 0}",neutral,"[0.6713212, 0.3139548, 0.014723874]",,,,,,,neutral
50.0,75.0,57.0,0.0,positive,Befragung zur Digitalisierung 2020 in der Ausbildung vom @SBFI_CH und der #EDK - durchgeführt von @gfsbern. @KlappInfo wird gleich nach @WhatsApp als Beispiel für Nachrichten-/Messenger-Apps in der Schule aufgeführt. Da bleibt mir nur noch eines zu sagen: Klapptastisch! https://t.co/WRJEK4QegZ,befragung digitalisierung ausbildung edk durchführen gleichen beispiel nachrichten messenger apps schule aufführen bleiben sagen klapptastisch,,,,,,,,,,"{'Befragung': 1.0, 'zur': 0.034999999999999996, 'Digitalisierung': 0, 'in': 0.02, 'der': 0.06, 'Ausbildung': 0.14, 'vom': 0.105, 'und': 0.14, 'EDK': 0.04, 'durchgeführt': 0, 'von': 0.15, 'wird': 0.11, 'gleich': 0, 'nach': 0.01, 'als': 0.03, 'Beispiel': 0.05, 'für': 0, 'Nachrichten-/Messenger-Apps': 0.04, 'Schule': 0.02, 'aufgeführt': 0.06, 'Da': 0, 'bleibt': 0, 'mir': 0, 'nur': 0.03, 'noch': 0, 'eines': 0.02, 'zu': 0.01, 'sagen': 0.025, 'Klapptastisch': 0}",neutral,"[0.5749828, 0.018753866, 0.40626332]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @cmiag: Die Gemeinde @PfaeffikonZH ist mit @cmiag auf Digitalisierungskurs. Auszug aus der Kundenpublikation: ""Auf anfangs 2020 ist die…",gemeinden digitalisierungskurs auszug kundenpublikation anfangs,,,,,,,,,,"{'Die': 0.08, 'Gemeinde': 0.33, 'ist': 0.17, 'mit': 0, 'auf': 0.39, 'Digitalisierungskurs': 1.0, 'Auszug': 0, 'aus': 0, 'der': 0.08, 'Kundenpublikation': 0.24, 'Auf': 0.39, 'anfangs': 0.04, 'die': 0.08, '…': 0}",positive,"[0.15109499, 0.012704288, 0.8362008]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"Vor dem Lunch noch ein Q&amp;A mit @NordmannRoger, #UrsRohner, @NGorrite und #BeatKappeler an der #SGVWHerbsttagung. Eisbrecherfrage von @laStaempfli zu Demokratie im Zeitalter der Digitalisierung. https://t.co/rTykodcY9a",lunch q amp a ursrohner beatkappeler sgvwherbsttagung eisbrecherfrage demokratie zeitalter digitalisierung,,,,,,,,,,"{'Vor': 0.19, 'dem': 0.23, 'Lunch': 0.04, 'noch': 0, 'ein': 0, 'Q&amp;A': 0, 'mit': 0.06, 'UrsRohner': 0.09, 'und': 0.06, 'BeatKappeler': 0.21, 'an': 0, 'der': 0.12, 'SGVWHerbsttagung': 0.11, 'Eisbrecherfrage': 0.9, 'von': 0.94, 'zu': 0.34, 'Demokratie': 0.47, 'im': 0, 'Zeitalter': 0.17, 'Digitalisierung': 0}",neutral,"[0.76495504, 0.021950632, 0.21309432]",,,,neutral
50.0,75.0,57.0,0.0,neutral,Ein qualitativ hochstehendes Bildungssystem ist das Fundament des Erfolgsmodells Schweiz. Die @CVP_PDC setzt sich für Bildungsthemen ein und ich persönlich lege einen besonderen Fokus auf Digitalisierung in der Bildung #fürfrischeperspektiven #teamorange #WahlenCH19 #Wahlen2019 https://t.co/6EgSCblIhO,qualitativ hochstehendes bildungssystem fundament erfolgsmodells schweiz setzen bildungsthemen persönlich legen besonder fokus digitalisierung bildung fürfrischeperspektiven teamorange wahlench19 wahlen2019,,,,,,,,,,"{'Ein': 0.06, 'qualitativ': 0, 'hochstehendes': 0.02, 'Bildungssystem': 0.095, 'ist': 0.01, 'das': 0, 'Fundament': 0.02, 'des': 0, 'Erfolgsmodells': 0.03, 'Schweiz': 0.03, 'Die': 0.03, 'setzt': 0, 'sich': 0, 'für': 0, 'Bildungsthemen': 0.07, 'ein': 0, 'und': 0.04, 'ich': 0.02, 'persönlich': 0.05, 'lege': 0, 'einen': 0.06, 'besonderen': 0.08, 'Fokus': 0.15, 'auf': 0.16, 'Digitalisierung': 0, 'in': 0.28, 'der': 0.03, 'Bildung': 0.16, 'fürfrischeperspektiven': 0, 'teamorange': 0, 'WahlenCH19': 0, 'Wahlen2019': 0}",positive,"[0.019424735, 0.004401588, 0.9761737]",,,,neutral
100.0,100.0,100.0,1.0,neutral,Eine eindrückliche Zahl: Bis 2022 werden über 70% der politischen Gremien ihre Sitzungen mobil und papierlos vorbereiten #digitalisierung #mobilesitzungsvorbereitung https://t.co/BTJKSspQe2,eindrücklich zahl politisch gremien sitzungen mobil papierlos vorbereiten digitalisierung mobilesitzungsvorbereitung,,,,,,,,,,"{'Eine': 0, 'eindrückliche': 0.06, 'Zahl': 0.03, 'Bis': 0, 'werden': 0.05, 'über': 0.04, 'der': 0, 'politischen': 0.04, 'Gremien': 0.05, 'ihre': 0.06, 'Sitzungen': 0.06, 'mobil': 0, 'und': 0.21, 'papierlos': 0.36, 'vorbereiten': 0.05, 'digitalisierung': 1.0, 'mobilesitzungsvorbereitung': 0}",neutral,"[0.6931302, 0.2823068, 0.024562983]",,,,positive
100.0,100.0,86.0,0.7,neutral,"Über Digitalisierung, Klimawandel und radikale Strömungen. Was ist wahlentscheidend? „Aus Sicht einer Volkspartei“ sagt @der_Seehofer mit einem halben Jahrhundert Politerfahrung „die Probleme und Sorgen der Bevölkerung aufnehmen und Lösungen erarbeiten“ #zksv19 https://t.co/sxHXHXVkIw",digitalisierung klimawandel radikale strömungen wahlentscheidend sicht volkspartei sagen halb jahrhundert politerfahrung probleme sorgen bevölkerung aufnehmen lösungen erarbeiten zksv19,,,,,,,,,,"{'Über': 0, 'Digitalisierung': 0, 'Klimawandel': 0.32, 'und': 0, 'radikale': 0.13, 'Strömungen': 0.12, 'Was': 0, 'ist': 0.03, 'wahlentscheidend': 0, '„': 0, 'Aus': 0, 'Sicht': 0, 'einer': 0, 'Volkspartei': 0, '“': 0, 'sagt': 0, 'mit': 0, 'einem': 0, 'halben': 0, 'Jahrhundert': 0, 'Politerfahrung': 0, 'die': 0, 'Probleme': 0, 'Sorgen': 0, 'der': 0, 'Bevölkerung': 0, 'aufnehmen': 0, 'Lösungen': 0, 'erarbeiten': 0, 'zksv19': 0}",positive,"[0.010400978, 0.0073730205, 0.982226]",,,,positive
100.0,100.0,100.0,1.0,neutral,Auch als Verfechter der Digitalisierung stelle ich mir die Frage: „Muss das wirklich sein“? Was ist eure Meinung? #onlinescheidung #onlinetrennung #digitalisierung https://t.co/jYecCIQJ4d,verfechter digitalisierung stelle fragen wirklich meinung onlinescheidung onlinetrennung digitalisierung,,,,,,,,,,"{'Auch': 0.03, 'als': 0.03, 'Verfechter': 0.04, 'der': 0.05, 'Digitalisierung': 0, 'stelle': 0, 'ich': 0.02, 'mir': 0, 'die': 0.05, 'Frage': 0.02, '„': 0, 'Muss': 0, 'das': 0, 'wirklich': 0, 'sein': 0, '“': 0, 'Was': 0, 'ist': 0, 'eure': 0, 'Meinung': 0, 'onlinescheidung': 0, 'onlinetrennung': 0, 'digitalisierung': 0}",neutral,"[0.949387, 0.017460162, 0.033152822]",,,,positive
