answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @ArnoKerstSyna: #Vaterschaftsurlaub : Wahrlich ein kleiner Schritt - aber wenigstens in die richtige Richtung.
@syna_ch bleibt dran, wir…",vaterschaftsurlaub wahrlich klein schritt wenigstens richtige richtung bleiben dran,"{'Vaterschaftsurlaub': 1.0, 'Wahrlich': 0, 'ein': 0, 'kleiner': 0, 'Schritt': 0.11, 'aber': 0.08, 'wenigstens': 0.045, 'in': 0.03, 'die': 0.03, 'richtige': 0.03, 'Richtung': 0.05, 'bleibt': 0, 'dran': 0, 'wir': 0, '…': 0}",neutral,"[0.44823262, 0.21375325, 0.33801416]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @jglp_sg: Die Welt entwickelt sich weiter, ob mit oder ohne uns. Innovation ist gefordert! 

Unser Vorstoss zu erneuerbaren Energiequell…",welt entwickeln weit innovation fordern vorstoss erneuerbaren energiequell,,,,"{'Die': 0.05, 'Welt': 0.06, 'entwickelt': 0, 'sich': 0, 'weiter': 0, 'ob': 0, 'mit': 0.05, 'oder': 0.07, 'ohne': 0.04, 'uns': 0.03, 'Innovation': 0.11, 'ist': 0.09, 'gefordert': 0.11, 'Unser': 1.0, 'Vorstoss': 0, 'zu': 0, 'erneuerbaren': 0.3, 'Energiequell': 0.11, '…': 0}",positive,"[0.025283875, 0.00560738, 0.9691087]",,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @Trinkwasser_ch: Spannende Infografik in der #srfarena: 2.8 Milliarden Franken betragen die jährlichen Direktzahlungen an die Landwirtsc…,spannend infografik srfarena milliarden franken betragen jährlich direktzahlungen landwirtsc,,,,,,,"{'Spannende': 0.1, 'Infografik': 0.2, 'in': 0.08, 'der': 0.54, 'srfarena': 0.25, '2.8': 0, 'Milliarden': 0, 'Franken': 0, 'betragen': 0, 'die': 0.54, 'jährlichen': 1.0, 'Direktzahlungen': 0.89, 'an': 0, 'Landwirtsc': 0, '…': 0}",neutral,"[0.7100666, 0.049059667, 0.24087365]",,,,positive
50.0,25.0,28.0,-0.15,neutral,RT @Hydrogeol1: Auf Druck der Landwirtschaftslobby und etlichen Briefen besorgter Bauern hat der Bundesrat das 1999 erlassene Pestizidverbo…,druck landwirtschaftslobby etlich briefen besorgt bauern bundesrat erlassen pestizidverbo,,,,,,,,,,"{'Auf': 0, 'Druck': 0.11, 'der': 1.0, 'Landwirtschaftslobby': 0.02, 'und': 0.02, 'etlichen': 0.03, 'Briefen': 0.06, 'besorgter': 0.05, 'Bauern': 0.05, 'hat': 0, 'Bundesrat': 0.11499999999999999, 'das': 0, 'erlassene': 0.67, 'Pestizidverbo': 0.4, '…': 0}",neutral,"[0.70235056, 0.032674063, 0.26497537]",neutral
100.0,100.0,86.0,0.7,neutral,"RT @Trinkwasser_ch: Martin Ott, Leiter einer Landwirtschaftsschule unterstützt die Trinkwasserinitiative! 🚰

💧 Unterstützen auch Sie die Tr…",martin ott leiter landwirtschaftsschule unterstützen trinkwasserinitiative unterstützen tr,,,,,,,,,,"{'Martin': 0.39, 'Ott': 0, 'Leiter': 0, 'einer': 0, 'Landwirtschaftsschule': 0.705, 'unterstützt': 1.0, 'die': 0.11, 'Trinkwasserinitiative': 0.5, 'Unterstützen': 0.53, 'auch': 0, 'Sie': 0, 'Tr': 0.07, '…': 0}",positive,"[0.009900823, 0.0017808273, 0.9883183]",positive
50.0,75.0,57.0,0.0,neutral,RT @agriecologist: Bei der Trinkwasserinitiative gibt es neben der Umwelt eine klare Gewinnerin: Die Berglandwirtschaft. Warum liessen sich…,trinkwasserinitiative geben neben umwelt klaren gewinnerin berglandwirtschaft warum liessen,,,,,,,,,,"{'Bei': 0, 'der': 0.02, 'Trinkwasserinitiative': 0.035, 'gibt': 0, 'es': 0.03, 'neben': 0, 'Umwelt': 0.02, 'eine': 0, 'klare': 0, 'Gewinnerin': 0.21, 'Die': 0.02, 'Berglandwirtschaft': 0.08, 'Warum': 1.0, 'liessen': 0, 'sich': 0, '…': 0}",positive,"[0.0025646163, 0.0039535295, 0.9934818]",neutral
100.0,100.0,86.0,0.7,neutral,"RT @Kilian_Baumann: Die Bäuerinnen- und Konsumenten-Organisation, engagiert für eine vielfältige, ökologische und soziale Landwirtschaft. J…",bäuerinnen konsumenten organisation engagieren vielfältig ökologisch soziale landwirtschaft j,,,,,,,,,,"{'Die': 0.38, 'Bäuerinnen-': 0, 'und': 0.17, 'Konsumenten-Organisation': 0.67, 'engagiert': 0, 'für': 0, 'eine': 0, 'vielfältige': 0.65, 'ökologische': 0.18, 'soziale': 0.18, 'Landwirtschaft': 0.7, 'J': 0.16, '…': 0}",positive,"[0.0013604235, 0.0012072953, 0.9974323]",positive
50.0,75.0,57.0,0.0,neutral,RT @UFrer: Fenaco setzt im Nationalrat (200 Mitglieder) mit 25 Bauern / landwirtschaftsnahen Vertretern (12.5%) und im Ständerat (46 Mitgli…,fenaco setzen nationalrat mitglieder bauern landwirtschaftsnahen vertretern ständerat mitgli,,,,,,,,,,"{'Fenaco': 0, 'setzt': 0, 'im': 0, 'Nationalrat': 0.045, 'Mitglieder': 0.02, 'mit': 0, 'Bauern': 0.88, 'landwirtschaftsnahen': 0, 'Vertretern': 0.36, '12.5': 0, 'und': 0.04, 'Ständerat': 0.052500000000000005, 'Mitgli': 0, '…': 0}",neutral,"[0.722127, 0.017308835, 0.2605641]",neutral
100.0,100.0,86.0,0.7,neutral,"RT @liberale_twi: «Staatliche Gelder sollen nur an Landwirtschaftsbetriebe ausbezahlt werden, welche die Gewässer schützen und sie nicht mi…",staatliche gelder sollen landwirtschaftsbetriebe ausbezahlen welch gewässer schützen mi,,,,,,,,,,"{'«': 0, 'Staatliche': 0, 'Gelder': 0, 'sollen': 0, 'nur': 0, 'an': 0, 'Landwirtschaftsbetriebe': 0, 'ausbezahlt': 0, 'werden': 0, 'welche': 0, 'die': 0, 'Gewässer': 0, 'schützen': 0, 'und': 0, 'sie': 0, 'nicht': 0, 'mi': 0, '…': 0}",neutral,"[0.57730925, 0.11160914, 0.31108162]",positive
50.0,75.0,57.0,0.0,neutral,"RT @Trinkwasser_ch: ""Wir halten pro Hektar Landwirtschaftsfläche fast doppelt so viele Tiere wie Frankreich, Italien und Österreich und die…",halten pro hektar landwirtschaftsfläche fast doppeln tiere frankreich italien österreich,,,,,,,,,,"{'Wir': 0.18, 'halten': 0.11, 'pro': 0, 'Hektar': 0, 'Landwirtschaftsfläche': 0.08, 'fast': 0, 'doppelt': 0, 'so': 0, 'viele': 0, 'Tiere': 0.06, 'wie': 0, 'Frankreich': 0.03, 'Italien': 0.02, 'und': 0.03, 'Österreich': 0.03, 'die': 0.03, '…': 0}",neutral,"[0.6624631, 0.04422479, 0.29331204]",neutral
