answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3452,absa_sentiment_3452,absa_scores_3452,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,negative,@JSpitieri @TobiasInfortuna Seit wann muss Kinderbetreuung effizient sein🤷‍♀️🤔,seit wann kinderbetreuung effizient,"{'Seit': 0.32, 'wann': 0.37, 'muss': 0.34, 'Kinderbetreuung': 0.78, 'effizient': 0, 'sein': 0, '🤷': 0, '\u200d️': 0, '🤔': 0}",neutral,"[0.55604917, 0.43465504, 0.009295806]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"@NielsGebraad @TobiasInfortuna Tragisch, dass Sie einen Vaterschaftsurlaub benötigen fürs Bonding. In dem Fall konnten alle, die bisher Väter wurden, leider keine Verbindung zu ihren Kindern aufbauen.....",tragisch vaterschaftsurlaub benötigen fürs bonding fall all bisher väter leider verbindung kindern aufbauen,,,,"{'Tragisch': 0.86, 'dass': 0.08, 'Sie': 0, 'einen': 0.05, 'Vaterschaftsurlaub': 0.915, 'benötigen': 0, 'fürs': 0.46, 'Bonding': 0.25, 'In': 0.07, 'dem': 0.04, 'Fall': 0, 'konnten': 0, 'alle': 0, 'die': 0, 'bisher': 0, 'Väter': 0.04, 'wurden': 0, 'leider': 0.16, 'keine': 0, 'Verbindung': 0.07, 'zu': 0.04, 'ihren': 0, 'Kindern': 0.05, 'aufbauen': 0, '.....': 0}",negative,"[0.24501477, 0.5142082, 0.24077702]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"RT @TobiasInfortuna: Auch für kleine Betriebe sei der #Vaterschaftsurlaub ein Vorteil, meint Berset, und beweist damit, dass er noch nie ei…",kleine betreiben vaterschaftsurlaub vorteil berset beweisen nie ei,,,,"{'Auch': 0.23, 'für': 0.06, 'kleine': 0.06, 'Betriebe': 0, 'sei': 0, 'der': 0.47, 'Vaterschaftsurlaub': 0.7, 'ein': 0, 'Vorteil': 0.28, 'meint': 0, 'Berset': 0.12, 'und': 0.05, 'beweist': 0.08, 'damit': 0, 'dass': 0.04, 'er': 0.22, 'noch': 0, 'nie': 0, 'ei': 0, '…': 0}",positive,"[0.007258191, 0.009970337, 0.98277146]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @lohnabzuegeNein: Danke für die starke Unterstützung gegen den staatlichen #Vaterschaftsurlaub, @zhk_ch: 💪
""Wollen Väter nach der Geburt…",danke starke unterstützung staatlich vaterschaftsurlaub väter geburt,,,,"{'Danke': 0, 'für': 0.1, 'die': 0.14, 'starke': 0, 'Unterstützung': 0.2, 'gegen': 0.23, 'den': 0.14, 'staatlichen': 0.41, 'Vaterschaftsurlaub': 0.61, 'Wollen': 0.04, 'Väter': 0.06, 'nach': 0, 'der': 0.14, 'Geburt': 0, '…': 0}",positive,"[0.18361983, 0.046053853, 0.7703263]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"RT @TobiasInfortuna: Wer einen zwangsfinanzierten #Vaterschaftsurlaub benötigt, um zu glauben, damit ein besserer Vater zu sein, sollte vie…",wer zwangsfinanzierten vaterschaftsurlaub benötigen glauben gut vater sollen vie,,,,"{'Wer': 0.07, 'einen': 0.03, 'zwangsfinanzierten': 0.4, 'Vaterschaftsurlaub': 0.43, 'benötigt': 0, 'um': 0.03, 'zu': 0.12, 'glauben': 0.12, 'damit': 0.12, 'ein': 0, 'besserer': 0.04, 'Vater': 0.06, 'sein': 0, 'sollte': 0.08, 'vie': 0, '…': 0}",positive,"[0.17716403, 0.030574758, 0.7922612]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,"RT @svpzh: So nicht! Nachdem die linke Justizdirektorin Jacqueline Fehr im vorletzten Jahr zur Masseneinbürgerung aufgerufen hatte, führte…",nachdem link justizdirektorin jacqueline fehr vorletzte jahr masseneinbürgerung aufrufen führen,,,,,,,"{'So': 0, 'nicht': 0.07, 'Nachdem': 0.45, 'die': 0.07, 'linke': 0.21, 'Justizdirektorin': 0.33499999999999996, 'Jacqueline': 0.21, 'Fehr': 0.37, 'im': 0, 'vorletzten': 0, 'Jahr': 0.15, 'zur': 0.07, 'Masseneinbürgerung': 0.67, 'aufgerufen': 1.0, 'hatte': 0, 'führte': 0, '…': 0}",neutral,"[0.98875195, 0.0053860527, 0.005862034]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,RT @jonasluethy: Ein Mindestlohn ist ein staatlicher Fehlanreiz sondergleichen. Wenn ein Ungelernter deutlich über 4000 Franken im Monat ve…,mindestlohn staatlich fehlanreiz sondergleichen ungelernt deutlich franken monat ve,,,,,,,,,,"{'Ein': 0.1, 'Mindestlohn': 0.735, 'ist': 0.41, 'ein': 0, 'staatlicher': 0, 'Fehlanreiz': 0.52, 'sondergleichen': 0.61, 'Wenn': 0, 'Ungelernter': 0.07, 'deutlich': 0, 'über': 0.03, 'Franken': 0, 'im': 0, 'Monat': 0.07, 've': 0, '…': 0}",neutral,"[0.49082986, 0.025714578, 0.48345557]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @TobiasInfortuna: Das war ja klar!
Nach Roadpricing und EU-Kniefall macht die FDP auch bei der Strafsteuer auf Flugtickets mit..

Darum…",ja klaren roadpricing eu kniefall fdp strafsteuer flugtickets darum,,,,,,,,,,,,,"{'Das': 0.05, 'war': 0, 'ja': 0.3, 'klar': 0.1, 'Nach': 0, 'Roadpricing': 0, 'und': 0.3, 'EU-Kniefall': 0.22, 'macht': 0, 'die': 0.05, 'FDP': 0.14, 'auch': 0.05, 'bei': 0, 'der': 0.05, 'Strafsteuer': 0.1, 'auf': 0.03, 'Flugtickets': 0.245, 'mit': 0, '..': 0, 'Darum': 0.04, '…': 0}",neutral,"[0.7382669, 0.20693207, 0.054801002]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @MBourgeoisFDP: 2017 alle inkl. SP so: Beim Kampfflugzeug soll auf militärische Bedürfnisse und Preis-Leistungsüberlegungen abgestellt w…,all inkl sp beim kampfflugzeug militärisch bedürfnisse preis leistungsüberlegungen abstellen w,,,,,,,,,,,,,,,,"{'alle': 0, 'inkl.': 0, 'SP': 0.08, 'so': 0, 'Beim': 1.0, 'Kampfflugzeug': 1.0, 'soll': 0, 'auf': 0.25, 'militärische': 0.18, 'Bedürfnisse': 0.12, 'und': 0.07, 'Preis-Leistungsüberlegungen': 0.11, 'abgestellt': 0, 'w': 0, '…': 0}",positive,"[0.4355927, 0.046670135, 0.51773715]",,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Ein kleiner Vorgeschmack auf das, was der vom Bundesrat erzwungene ""EU-Beitritt"" bzw. das Rahmenabkommen bringen wird. https://t.co/OrRvqBEMKE",klein vorgeschmack bundesrat erzwungen eu beitreten bzw rahmenabkommen bringen,,,,,,,,,,,,,,,,,,,"{'Ein': 1.0, 'kleiner': 0, 'Vorgeschmack': 1.0, 'auf': 0, 'das': 0, 'was': 0, 'der': 0.06, 'vom': 0.06, 'Bundesrat': 0.05, 'erzwungene': 0.14, 'EU-Beitritt': 0.055, 'bzw.': 0, 'Rahmenabkommen': 0.08, 'bringen': 0.3, 'wird': 0.38}",neutral,"[0.86909, 0.06856111, 0.06234891]",,,,,,,,,,,,,negative
