answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3449,absa_sentiment_3449,absa_scores_3449,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3476,absa_sentiment_3476,absa_scores_3476,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @CVP_PDC: Wer Kinder grosszieht, erbringt für die Gesellschaft eine besondere Leistung. Kinderbetreuung geht aber für die Familien ins G…",wer kinder grosszieht erbringen gesellschaft besonder leistung kinderbetreuung gehen familien g,"{'Wer': 0.08, 'Kinder': 0.21, 'grosszieht': 0, 'erbringt': 0, 'für': 0.58, 'die': 0, 'Gesellschaft': 0.2, 'eine': 0, 'besondere': 0.12, 'Leistung': 0, 'Kinderbetreuung': 1.0, 'geht': 0, 'aber': 0.83, 'Familien': 0, 'ins': 0, 'G': 0, '…': 0}",positive,"[0.010668117, 0.01377957, 0.97555226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Es wird Zeit, Cannabis zu entkriminalisieren und zu legalisieren. Der Jugendschutz muss dabei an oberster Stelle stehen. Die Drogenpolitik darf nicht weiter tabuisiert werden. 
https://t.co/yUUgHq6BPE",zeit cannabis entkriminalisiere legalisieren jugendschutz dabei ober stelle stehen drogenpolitik dürfen weit tabuisiert,,,,"{'Es': 0, 'wird': 0, 'Zeit': 0.21, 'Cannabis': 0.74, 'zu': 0.17, 'entkriminalisieren': 0.8, 'und': 0.25, 'legalisieren': 1.0, 'Der': 0.04, 'Jugendschutz': 0.125, 'muss': 0.17, 'dabei': 0, 'an': 0, 'oberster': 0, 'Stelle': 0, 'stehen': 0, 'Die': 0.04, 'Drogenpolitik': 0.135, 'darf': 0, 'nicht': 0, 'weiter': 0, 'tabuisiert': 0.08, 'werden': 0}",neutral,"[0.6578042, 0.01769193, 0.3245039]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Genau, da sind wir uns einig. Ich bin auch für die Entkriminalisierung und Legalisierung von Cannabis. https://t.co/5ALqt1wNRO",genau entkriminalisierung legalisierung cannabis,,,,"{'Genau': 0.46499999999999997, 'da': 0, 'sind': 0, 'wir': 0, 'uns': 0, 'einig': 0, 'Ich': 0.69, 'bin': 0, 'auch': 0.65, 'für': 1.0, 'die': 0.5, 'Entkriminalisierung': 1.0, 'und': 0.23, 'Legalisierung': 0.79, 'von': 0, 'Cannabis': 0.31}",positive,"[0.354445, 0.010273356, 0.6352816]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,positive,"Liebe SVP, wie wäre es mit der Legalisierung von Cannabis? Ich mache mich stark für die Legalisierung von Cannabis.
https://t.co/uRkc1pIXmX",lieb svp legalisierung cannabis stark legalisierung cannabis,,,,"{'Liebe': 0, 'SVP': 0, 'wie': 0.19, 'wäre': 0, 'es': 0, 'mit': 0, 'der': 0, 'Legalisierung': 0.6, 'von': 0, 'Cannabis': 0.19, 'Ich': 0.07, 'mache': 0, 'mich': 0, 'stark': 0, 'für': 0.13, 'die': 0}",neutral,"[0.897739, 0.009947547, 0.09231344]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Endlich - es braucht gemäss Nationalrat keine Ausnahmebewilligung mehr zum Zugang zu medizinischem Cannabis. Jetzt sollten solche Therapien nur noch den Weg in die Grundversicherung der Krankenkassen finden.
@hanfmagazin https://t.co/ucfDs6OBYD",endlich brauchen gemäss nationalrat ausnahmebewilligung mehr zugang medizinisch cannabis sollen therapien grundversicherung krankenkassen finden,,,,"{'Endlich': 0.03, 'es': 0.02, 'braucht': 0, 'gemäss': 0.15000000000000002, 'Nationalrat': 0.05, 'keine': 0, 'Ausnahmebewilligung': 0, 'mehr': 0, 'zum': 0.15000000000000002, 'Zugang': 1.0, 'zu': 0.27, 'medizinischem': 0.3, 'Cannabis': 1.0, 'Jetzt': 0.04, 'sollten': 0.02, 'solche': 0.03, 'Therapien': 0.15, 'nur': 0.03, 'noch': 0, 'den': 0.03, 'Weg': 0, 'in': 0, 'die': 0.03, 'Grundversicherung': 0.05, 'der': 0.03, 'Krankenkassen': 0.05, 'finden': 0.03}",neutral,"[0.61085397, 0.009689284, 0.3794567]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,28.0,-0.2333333333333333,negative,"@WohlgensingerN @Angelika_Ruider Unglaublich, du ziehst all die positiven Aspekte von Cannabis ins Lächerliche.",unglaublich ziehen all positiv aspekte cannabis lächerliche,,,,"{'Unglaublich': 0, 'du': 0, 'ziehst': 0, 'all': 0.17, 'die': 0.14, 'positiven': 0.48, 'Aspekte': 0.33, 'von': 0, 'Cannabis': 1.0, 'ins': 0, 'Lächerliche': 0}",positive,"[0.0006595325, 0.000953307, 0.9983872]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,@WohlgensingerN @Angelika_Ruider Das wäre mir der Neuste - von Cannabis einen Rausch zu bekommen.,neuste cannabis rausch bekommen,,,,"{'Das': 0.09, 'wäre': 0.16, 'mir': 0.22, 'der': 0.09, 'Neuste': 0, 'von': 0, 'Cannabis': 0.54, 'einen': 0.32, 'Rausch': 0, 'zu': 0, 'bekommen': 0}",positive,"[0.01136084, 0.0013832616, 0.98725593]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,28.0,-0.3333333333333333,neutral,"@WohlgensingerN @Angelika_Ruider Willst du mich auf den Arm nehmen? Nein, ich fragte dich nach einem vernünftigen Grund, Cannabis zu verbieten.",arm nehmen nein fragen vernünftig grund cannabis verbieten,,,,"{'Willst': 0, 'du': 0, 'mich': 0.03, 'auf': 0, 'den': 0, 'Arm': 0, 'nehmen': 0.38, 'Nein': 0.05, 'ich': 0.07, 'fragte': 0.25, 'dich': 0.12, 'nach': 0, 'einem': 0, 'vernünftigen': 0.25, 'Grund': 0, 'Cannabis': 1.0, 'zu': 0.38, 'verbieten': 0}",neutral,"[0.8751631, 0.011344163, 0.113492705]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,25.0,28.0,-0.1444444444444444,negative,"@Angelika_Ruider @WohlgensingerN So schaue ich also auch, wenn ich sehe: Alkohol erlaubt, Zigaretten Erlaubt, E-Zigaretten verboten, Shishas verboten, Snus verboten, Cannabis verboten. Entweder man verbietet alles oder man erlaubt all das. Ich plädiere für letzteres.",schauen sehen alkohol erlauben zigaretten erlauben e zigaretten verbieten shishas verbieten snus verbieten cannabis verbieten entweder verbieten erlauben all plädieren letzter,,,,"{'So': 0.03, 'schaue': 0.12, 'ich': 0.07, 'also': 0, 'auch': 0, 'wenn': 0, 'sehe': 0.06, 'Alkohol': 0.15, 'erlaubt': 0, 'Zigaretten': 0.23, 'Erlaubt': 0, 'E-Zigaretten': 0, 'verboten': 1.0, 'Shishas': 0.47, 'Snus': 0.26, 'Cannabis': 1.0, 'Entweder': 0.1, 'man': 0, 'verbietet': 0, 'alles': 0.13, 'oder': 0.1, 'all': 0.06, 'das': 0.08, 'Ich': 0.07, 'plädiere': 0, 'für': 0, 'letzteres': 0.1}",neutral,"[0.5167247, 0.07285662, 0.41041875]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"@WohlgensingerN Nenn mir einen vernünftigen Grund, warum Cannabis verboten sein soll?! Da bin ich ja gespannt.",nenn vernünftig grund warum cannabis verbieten ja spannen,,,,"{'Nenn': 0, 'mir': 0.06, 'einen': 0.08, 'vernünftigen': 0.26, 'Grund': 0, 'warum': 0.16, 'Cannabis': 1.0, 'verboten': 0, 'sein': 0, 'soll': 0, 'Da': 0, 'bin': 0, 'ich': 0.07, 'ja': 0, 'gespannt': 0}",positive,"[0.29215983, 0.05384326, 0.65399694]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
