answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,RT @KarinFehr1: Heute grosse Debatte im @kantonsrat_zh zur #Kinderbetreuung im @KantonZuerich . Fortschritt in Sicht?! @tagesanzeiger @zuer…,heute grosse debatte kinderbetreuung fortschritt sicht,"{'Heute': 0.59, 'grosse': 0, 'Debatte': 1.0, 'im': 0.2, 'zur': 0.37, 'Kinderbetreuung': 0.48, 'Fortschritt': 0.18, 'in': 0.1, 'Sicht': 0, '…': 0}",neutral,"[0.89947903, 0.048334006, 0.05218693]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,@HeerFlorian inakzeptabel bei der #Schule &amp; #kinderbetreuung zu sparen😡,inakzeptabel schule amp kinderbetreuung sparen,"{'inakzeptabel': 1.0, 'bei': 0.85, 'der': 0, 'Schule': 0.25, 'amp': 0.11, 'kinderbetreuung': 0.48, 'zu': 0.2, 'sparen': 0.32}",positive,"[0.29681113, 0.2851464, 0.4180425]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @RegulaRytz: Familien- und schulergänzende #Kinderbetreuung als Teil des Service public. Die Initiative der grünen Nationalrätin @KPreli…,familien schulergänzende kinderbetreuung teil service public initiative grün nationalrätin,"{'Familien-': 0, 'und': 0.14, 'schulergänzende': 0.565, 'Kinderbetreuung': 1.0, 'als': 0.13, 'Teil': 0.09, 'des': 0, 'Service': 0.11, 'public': 0.1, 'Die': 0.05, 'Initiative': 0.17, 'der': 0.05, 'grünen': 0.07, 'Nationalrätin': 0.07, '…': 0}",positive,"[0.00063621235, 0.00094791024, 0.9984158]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @VPODZH: Demo für KinderbetreuerInnen in Zürich. 26.9.2020 um 13:30 Uhr vorm Rathaus. Chömed alli!
#eslängt. #kinderbetreuungamlimit htt…",demo kinderbetreuerinnen zürich uhr vorm rathaus chömed alli eslängt kinderbetreuungamlimit htt,"{'Demo': 1.0, 'für': 1.0, 'KinderbetreuerInnen': 0, 'in': 0.03, 'Zürich': 0, '26.9.2020': 0, 'um': 0, '13:30': 0, 'Uhr': 0, 'vorm': 0, 'Rathaus': 0, 'Chömed': 0, 'alli': 0, 'eslängt': 0.05500000000000001, 'kinderbetreuungamlimit': 0.15, 'htt': 0.02, '…': 0}",neutral,"[0.8045318, 0.07014369, 0.12532443]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @VPOD_Schweiz: In der Corona-Pandemie wurde breiten Teilen der Gesellschaft plötzlich bewusst, dass die professionelle #Kinderbetreuung…",corona pandemie breit teilen gesellschaft plötzlich bewusst professionell kinderbetreuung,"{'In': 0.04, 'der': 0.04, 'Corona-Pandemie': 0, 'wurde': 0, 'breiten': 0.06, 'Teilen': 0, 'Gesellschaft': 0.1, 'plötzlich': 0.12, 'bewusst': 0, 'dass': 0.64, 'die': 0.04, 'professionelle': 1.0, 'Kinderbetreuung': 1.0, '…': 0}",positive,"[0.0004932748, 0.0011036469, 0.99840313]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @natalieimboden: Urgent! 🆘 Die Corona-Krise zeigt, dass die familienergänzende Kinderbetreuung systemrelevant ist. Das zeigt sich leider…",urgent corona krise zeigen familienergänzende kinderbetreuung systemrelevant zeigen leider,"{'Urgent': 0.17, '🆘': 0, 'Die': 0, 'Corona-Krise': 0, 'zeigt': 0, 'dass': 0, 'die': 0, 'familienergänzende': 0, 'Kinderbetreuung': 0, 'systemrelevant': 0, 'ist': 0, 'Das': 0, 'sich': 0, 'leider': 0, '…': 0}",positive,"[0.03141597, 0.2933286, 0.6752555]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.7999999999999999,neutral,"RT @HeerFlorian: Stadtrat Winterthur unterstützt Initiative für Ausländerstimmrecht

Tolle Sache und hilft der Integration von Migrantinnen…",stadtrat winterthur unterstützen initiative ausländerstimmrecht toll sache helfen integration migrantinnen,,,,"{'Stadtrat': 0.355, 'Winterthur': 0.49, 'unterstützt': 0.46, 'Initiative': 0.5, 'für': 0.8, 'Ausländerstimmrecht': 0.9, 'Tolle': 0.34, 'Sache': 0, 'und': 0.19, 'hilft': 0.16, 'der': 0.13, 'Integration': 0.38, 'von': 0, 'Migrantinnen': 0.54, '…': 0}",positive,"[0.04120151, 0.0073650377, 0.9514335]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @GrueneParlament: 📣 Medienmitteilung mit @ManuelaWeichelt 👉 Erfreulich: Zugang zu Cannabis soll für die medizinische Behandlungen und fü…,medienmitteilung erfreulich zugang cannabis medizinische behandlungen fü,,,,,,,"{'Medienmitteilung': 0.18, 'mit': 0.1, 'Erfreulich': 0.15, 'Zugang': 0.53, 'zu': 0.83, 'Cannabis': 1.0, 'soll': 0, 'für': 0.18, 'die': 0, 'medizinische': 0.55, 'Behandlungen': 0.37, 'und': 0.14, 'fü': 0.18, '…': 0}",neutral,"[0.5678767, 0.014656714, 0.4174666]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,RT @defactoexpert: Beim Rentenalter klafft eine Lücke zwischen Kandidierenden und Wählenden - https://t.co/7z9FMHPtE5 https://t.co/EuGLWX6S…,beim rentenalter klaffen lücke kandidierend wählend,,,,,,,,,,"{'Beim': 0, 'Rentenalter': 0.5, 'klafft': 0, 'eine': 0, 'Lücke': 0.17, 'zwischen': 0.07, 'Kandidierenden': 0.07, 'und': 0.05, 'Wählenden': 0}",neutral,"[0.8961851, 0.036745284, 0.06706959]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @defactoexpert: Wenn Parteien an ihrer Wählerschaft vorbei politisieren: Beim Rentenalter zeigt sich die Kluft zwischen Elite und Basis…,parteien wählerschaft vorbei politisieren beim rentenalter zeigen kluft elite basis,,,,,,,,,,"{'Wenn': 0.14, 'Parteien': 0.06, 'an': 0, 'ihrer': 0.04, 'Wählerschaft': 0.08, 'vorbei': 0.09, 'politisieren': 0.18, 'Beim': 0.04, 'Rentenalter': 0.32999999999999996, 'zeigt': 0, 'sich': 0, 'die': 0.04, 'Kluft': 1.0, 'zwischen': 0.14, 'Elite': 0.1, 'und': 0.1, 'Basis': 0, '…': 0}",negative,"[0.017712856, 0.95099276, 0.0312944]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
