answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,sentiment_tb
100.0,100.0,100.0,1.0,positive,"Keine Experimente bei Kinderbetreuung #srf Ich habe für eine bessere Lösung gekämpft - hat leider nicht gereicht. Bin gespannt wie's weitergeht, ich bleibe auf jeden Fall dran... https://t.co/dMbaqP81Fb",experimente kinderbetreuung srf gut lösung kämpfen leider reichen spannen s weitergehen bleiben jed fall dran,"{'Keine': 0, 'Experimente': 0.03, 'bei': 0, 'Kinderbetreuung': 0.65, 'srf': 0.17, 'Ich': 0.03, 'habe': 0, 'für': 0.08, 'eine': 0, 'bessere': 0.24, 'Lösung': 0.22, 'gekämpft': 0.26, 'hat': 0, 'leider': 0.15, 'nicht': 0.14, 'gereicht': 0.09, 'Bin': 0, 'gespannt': 0, ""wie's"": 0.03, 'weitergeht': 0.02, 'ich': 0.03, 'bleibe': 0.02, 'auf': 0.02, 'jeden': 0, 'Fall': 0, 'dran': 0, '...': 0}",positive,"[0.25928208, 0.32122344, 0.41949445]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @susannehochuli: Der Aargau weiss, wie man zu mehr inländischen Fachkräften kommt: Er sagt ja zum Kinderbetreuungsgesetz! #fb",aargau weiss mehr inländisch fachkräften kommen sagen ja kinderbetreuungsgesetz fb,"{'Der': 0.36, 'Aargau': 0.14, 'weiss': 0, 'wie': 0.04, 'man': 0, 'zu': 0.19, 'mehr': 0.05, 'inländischen': 0.14, 'Fachkräften': 0.095, 'kommt': 0, 'Er': 0, 'sagt': 0.15, 'ja': 0, 'zum': 0.275, 'Kinderbetreuungsgesetz': 1.0, 'fb': 0.09}",positive,"[0.0016280721, 0.0015716566, 0.9968003]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,#GRAG das Kinderbetreuungsgesetz ist knapp auf Kurs: bei 68 zu 68 mit stichentscheid :-0,grag kinderbetreuungsgesetz knapp kurs stichentscheid,"{'GRAG': 0.13, 'das': 0, 'Kinderbetreuungsgesetz': 0.22, 'ist': 0.1, 'knapp': 0, 'auf': 0.07, 'Kurs': 0.12, 'bei': 0.1, 'zu': 0.11, 'mit': 0.19, 'stichentscheid': 0.45, ':-0': 0}",positive,"[0.1353011, 0.07675047, 0.7879484]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Grossratsdebatte zum Kinderbetreuungsgesetz: neue Erkenntnis: Logik ist subjektiv! Knoten in der Logik....,grossratsdebatte kinderbetreuungsgesetz neue erkenntnis logik subjektiv knoten logik,"{'Grossratsdebatte': 0.16, 'zum': 0.12, 'Kinderbetreuungsgesetz': 0.25, 'neue': 0.18, 'Erkenntnis': 0, 'Logik': 0.39, 'ist': 0.9, 'subjektiv': 1.0, 'Knoten': 0.2, 'in': 0.21, 'der': 0.12, '....': 0}",positive,"[0.24246092, 0.15772612, 0.599813]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Wir beraten wieder mal über einen Gesetzesentwurf zur Familien ergänzenden Kinderbetreuung. Wir kämpfen dafür!,beraten mal gesetzesentwurf familien ergänzend kinderbetreuung kämpfen dafür,"{'Wir': 0.19, 'beraten': 0, 'wieder': 0.17, 'mal': 0, 'über': 0, 'einen': 0.12, 'Gesetzesentwurf': 0, 'zur': 0, 'Familien': 0, 'ergänzenden': 0, 'Kinderbetreuung': 0.53, 'kämpfen': 0, 'dafür': 0}",positive,"[0.2731668, 0.042217772, 0.68461543]",,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,Die Würfel sind gefallen. Kein Gesetz zur familienergänzenden Kinderbetreuung im Aargau - Grossräte verweigern Arbeit...,würfel fallen gesetz familienergänzenden kinderbetreuung aargau grossräte verweigern arbeit,"{'Die': 0.09, 'Würfel': 0, 'sind': 0, 'gefallen': 0, 'Kein': 0.09, 'Gesetz': 0.25, 'zur': 0.07, 'familienergänzenden': 0, 'Kinderbetreuung': 1.0, 'im': 0, 'Aargau': 0.24, 'Grossräte': 0.28, 'verweigern': 0.24, 'Arbeit': 0.15, '...': 0}",neutral,"[0.6301719, 0.18101124, 0.18881688]",,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"Das Grosse Raten wird verlängert... zu gespannt sind alle, ob es reicht die familienergänzende Kinderbetreuung erneut zu versenken...",grosse raten verlängern spannen all reichen familienergänzende kinderbetreuung erneut versenken,"{'Das': 0.07, 'Grosse': 0, 'Raten': 0, 'wird': 0.08, 'verlängert': 0.21, '...': 0, 'zu': 0.16, 'gespannt': 0.28, 'sind': 0, 'alle': 0.09, 'ob': 0, 'es': 0.13, 'reicht': 0, 'die': 0.07, 'familienergänzende': 0.18, 'Kinderbetreuung': 1.0, 'erneut': 0, 'versenken': 0}",positive,"[0.033482175, 0.07431001, 0.8922078]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Start der Beratung zur Neuregelung der familienergänzenden Kinderbetreuung.... bitte Daumen drücken! ;-),start beratung neuregelung familienergänzenden kinderbetreuung bitte daumen drücken,"{'Start': 0.09, 'der': 0.11, 'Beratung': 0, 'zur': 0.11, 'Neuregelung': 0.46499999999999997, 'familienergänzenden': 0.17, 'Kinderbetreuung': 1.0, '....': 0, 'bitte': 0, 'Daumen': 0, 'drücken': 0}",positive,"[0.015183123, 0.008136739, 0.97668016]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Heute wieder mal grosses Raten in Aarau #GrosserRat #KantonAargau #familienergänzendeKinderbetreuung,heute mal grosses raten aarau grosserrat kantonaargau familienergänzendekinderbetreuung,"{'Heute': 0.07, 'wieder': 0.04, 'mal': 0, 'grosses': 0, 'Raten': 0, 'in': 0.06, 'Aarau': 0.12, 'GrosserRat': 0.13, 'KantonAargau': 0, 'familienergänzendeKinderbetreuung': 0.63}",positive,"[0.079077214, 0.008351151, 0.91257167]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @TheDudeLebovski: Den Bauern schenkt der NR 400 Mio. CHF., aber ein zweiwöchiger #Vaterschaftsurlaub sei zu teuer. #Kopfschütteln https:…",bauern schenken nr mio chf zweiwöchiger vaterschaftsurlaub teuer kopfschütteln https,,,,"{'Den': 0.05, 'Bauern': 0.07, 'schenkt': 0.07, 'der': 0.05, 'NR': 0, 'Mio.': 0, 'CHF': 0.05, 'aber': 0.13, 'ein': 0, 'zweiwöchiger': 0.08, 'Vaterschaftsurlaub': 1.0, 'sei': 0, 'zu': 0, 'teuer': 1.0, 'Kopfschütteln': 0.155, 'https': 0.11, '…': 0}",negative,"[0.003655516, 0.9866751, 0.009669398]",,,,,,,,,,,,,neutral
