answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3437,absa_sentiment_3437,absa_scores_3437,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,negative,"RT @OliverHunziker: Die #FDP lehnt den #Vaterschaftsurlaub ab.
Wobei, so ganz eindeutig ist das dann doch nicht bei 134:133 bei 8 Enthaltun…",fdp lehnen vaterschaftsurlaub ab wobei ganz eindeutig enthaltun,"{'Die': 0.05, 'FDP': 0.62, 'lehnt': 1.0, 'den': 0.05, 'Vaterschaftsurlaub': 0.94, 'ab': 0, 'Wobei': 0.25, 'so': 0, 'ganz': 0, 'eindeutig': 0.13, 'ist': 0, 'das': 0.08, 'dann': 0, 'doch': 0, 'nicht': 0.13, 'bei': 0, '134:133': 0, 'Enthaltun': 0, '…': 0}",neutral,"[0.49750236, 0.07650342, 0.42599428]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @projuventute: Darum: JA zum Vaterschaftsurlaub 👨‍👧‍👦 Danke  fürs Teilen dieses Videos 🙌
#Vaterschaftsurlaub #Papizeit #ProJuventute htt…",darum ja vaterschaftsurlaub danke fürs teilen videos vaterschaftsurlaub papizeit projuventute htt,"{'Darum': 0, 'JA': 0, 'zum': 1.0, 'Vaterschaftsurlaub': 0, '\u200d\u200d': 0, 'Danke': 0, 'fürs': 0, 'Teilen': 0, 'dieses': 0, 'Videos': 0, 'Papizeit': 0, 'ProJuventute': 0, 'htt': 0, '…': 0}",positive,"[0.001736327, 0.0012029926, 0.9970607]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @DanielKaeppeli: Die @papizeit ist überfällig darum JA zum #Vaterschaftsurlaub.,überfällig darum ja vaterschaftsurlaub,"{'Die': 0, 'ist': 0.08, 'überfällig': 0.35, 'darum': 0, 'JA': 0, 'zum': 0.76, 'Vaterschaftsurlaub': 0.6}",positive,"[0.0033271064, 0.0012068634, 0.995466]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @seber1990: Ja zur Rentenreform 
nicht wieder verschieben in die Zukunft.

Ausgleich ist gerechtfertigt.

Beispiel Pensionskasse Kapital…",ja rentenreform verschieben zukunft ausgleich rechtfertigen beispiel pensionskasse kapital,,,,"{'Ja': 0, 'zur': 0.135, 'Rentenreform': 0.45, 'nicht': 0, 'wieder': 0.08, 'verschieben': 0, 'in': 0.08, 'die': 0.1, 'Zukunft': 0.19, 'Ausgleich': 0.38, 'ist': 0.4, 'gerechtfertigt': 0.49, 'Beispiel': 1.0, 'Pensionskasse': 0.6100000000000001, 'Kapital': 0.8, '…': 0}",positive,"[0.09247775, 0.08212784, 0.8253944]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.25,neutral,"@NZZ @Oli_Kes @libinst Dieser Kommentar ist derart realitätsfremd, weil er die Funktionsweise einer derartigen Krise wie der aktuellen einfach ausblendet. 
Steuersenkungen, damit der Staat weniger Geld ausgeben kann...

...die Betroffenen der Krise werden begeistert sein.",kommentar derart realitätsfremd funktionsweise derartig krise aktuell einfach ausblenden steuersenkungen staat wenig geld ausgeben betroffen krise begeistern,,,,,,,"{'Dieser': 0.03, 'Kommentar': 0.05, 'ist': 0.02, 'derart': 0.06, 'realitätsfremd': 0.07, 'weil': 0.04, 'er': 0.02, 'die': 0.03, 'Funktionsweise': 0, 'einer': 0.03, 'derartigen': 0, 'Krise': 0.06, 'wie': 0, 'der': 0.03, 'aktuellen': 0.03, 'einfach': 0, 'ausblendet': 0, 'Steuersenkungen': 0.675, 'damit': 0, 'Staat': 0.2, 'weniger': 0, 'Geld': 0.09, 'ausgeben': 0, 'kann': 0.67, '...': 0, 'Betroffenen': 0.03, 'werden': 0.17, 'begeistert': 0, 'sein': 0}",neutral,"[0.67070574, 0.17766432, 0.15162991]",,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.35,neutral,"@cwasi @fdp_bern @JungfreisinnBE Tolle Idee eines Kantons, der beim Finanzausgleich wie kein Zweiter Geld von den anderen Kantonen nimmt.
Ich hoffe einfach, dass die anderen Kantone sich dann dagegen wehren, wenn sie die neuen Berner Fiannzlöcher stopfen müssen.",toll idee kantons beim finanzausgleich zweit geld kantonen nehmen hoffen einfach kantone dagegen wehren neu berner fiannzlöcher stopfen müssen,,,,,,,,,,"{'Tolle': 0.06, 'Idee': 0, 'eines': 0, 'Kantons': 0.04, 'der': 0.03, 'beim': 0.03, 'Finanzausgleich': 0.52, 'wie': 0, 'kein': 0.06, 'Zweiter': 0, 'Geld': 0.08, 'von': 0.14, 'den': 0.03, 'anderen': 0, 'Kantonen': 0.04, 'nimmt': 0.08, 'Ich': 0.02, 'hoffe': 0.05, 'einfach': 0, 'dass': 0.03, 'die': 0.03, 'Kantone': 0.04, 'sich': 0, 'dann': 0, 'dagegen': 0.025, 'wehren': 0, 'wenn': 0.04, 'sie': 0, 'neuen': 0.05, 'Berner': 0, 'Fiannzlöcher': 0, 'stopfen': 0.07, 'müssen': 0.025}",positive,"[0.23295055, 0.009869137, 0.7571803]",,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,"RT @ThierryBurkart: ""Kauft Drohnen und -abwehrsysteme statt Kampfflugzeuge"" - sagt der Verkäufer von Drohnen und -abwehrsystemen, der auch…",kaufen drohnen abwehrsysteme statt kampfflugzeuge sagen verkäufer drohnen abwehrsystemen,,,,,,,,,,,,,"{'Kauft': 0, 'Drohnen': 0.12, 'und': 0.1, '-abwehrsysteme': 0.155, 'statt': 0.18, 'Kampfflugzeuge': 0, 'sagt': 0.26, 'der': 0.12, 'Verkäufer': 0.25, 'von': 0, '-abwehrsystemen': 0.155, 'auch': 1.0, '…': 0}",neutral,"[0.90710974, 0.07820543, 0.01468488]",,,,,,,,,,,,,,,,negative
25.0,25.0,28.0,-0.2333333333333333,negative,"@JakobKreu3fe1d Ich bin jetzt wirklich kein Militärexperte. Was ich bei Berichten von kriegerischen Auseinandersetzungen aber lese, sagt mir, dass die Luftwaffe eher ausgebaut anstatt eingestampft werden müsste.
Weil ein Panzer gegen ein Kampfflugzeug wohl eine eher einseitige Sache ist.",wirklich militärexperte berichten kriegerisch auseinandersetzungen lesen sagen luftwaffe eher ausbauen anstatt einstampfen müsste panzer kampfflugzeug wohl eher einseitig sache,,,,,,,,,,,,,"{'Ich': 0.01, 'bin': 0, 'jetzt': 0.02, 'wirklich': 0.01, 'kein': 0.01, 'Militärexperte': 0.04, 'Was': 0, 'ich': 0.01, 'bei': 0, 'Berichten': 0, 'von': 0, 'kriegerischen': 0, 'Auseinandersetzungen': 0, 'aber': 0.02, 'lese': 0.02, 'sagt': 0, 'mir': 0.01, 'dass': 0.03, 'die': 0.04, 'Luftwaffe': 0, 'eher': 0.1, 'ausgebaut': 0.1, 'anstatt': 0.02, 'eingestampft': 0, 'werden': 0, 'müsste': 0, 'Weil': 0.13, 'ein': 0.06, 'Panzer': 0, 'gegen': 1.0, 'Kampfflugzeug': 0.745, 'wohl': 0, 'eine': 0.06, 'einseitige': 0, 'Sache': 0, 'ist': 0.15}",neutral,"[0.9268011, 0.059618577, 0.013580397]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"@JakobKreu3fe1d Da gebe ich dir recht. Aber es geht um das Prinzip. 
Und ein Kampfflugzeug ist ja definitiv auch kein Auto, da sind die Sicherheitsanforderungen endlos höher...",geben recht gehen prinzip kampfflugzeug ja definitiv auto sicherheitsanforderungen endlos hoch,,,,,,,,,,,,,"{'Da': 0, 'gebe': 0, 'ich': 0.02, 'dir': 0.03, 'recht': 0, 'Aber': 0.05, 'es': 0.14, 'geht': 0, 'um': 0.07, 'das': 0, 'Prinzip': 0.1, 'Und': 0.17, 'ein': 0, 'Kampfflugzeug': 0.38, 'ist': 0.14, 'ja': 0.17, 'definitiv': 0, 'auch': 0, 'kein': 0, 'Auto': 0, 'da': 0, 'sind': 0.07, 'die': 0.05, 'Sicherheitsanforderungen': 0.05, 'endlos': 0, 'höher': 0.06, '...': 0}",negative,"[0.18216982, 0.76084775, 0.056982417]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @Haesler_Sansano: Die Gegner neuer Kampfflugzeuge spielen die gestiegene Bedeutung des Cyberspace gegen die Sicherheit des Luftraums aus…,gegner neu kampfflugzeuge spielen gestiegen bedeutung cyberspace sicherheit luftraums,,,,,,,,,,,,,"{'Die': 0.03, 'Gegner': 0, 'neuer': 0, 'Kampfflugzeuge': 0, 'spielen': 0, 'die': 0.03, 'gestiegene': 0.08, 'Bedeutung': 0.07, 'des': 0, 'Cyberspace': 0.14, 'gegen': 0.04, 'Sicherheit': 0, 'Luftraums': 0.05, 'aus': 0, '…': 0}",negative,"[0.43833005, 0.53960025, 0.022069627]",,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,negative,"@fgrueter @SilFoiera Schon ärgerlich, wenn andere das Geschäft machen. Die haben ihre Kontakte und Möglichkeiten genutzt. Ganz wie es sie SVP immer fordert. Nicht anderes als normale Marktwirtschaft. 
Und noch am Rande, nur 1% ihrer Masken wurden an die Schweiz verkauft.",schon ärgerlich geschäft kontakte möglichkeiten nutzen ganz svp immer fordern normale marktwirtschaft rande masken schweiz verkaufen,,,,,,,,,,,,,,,,"{'Schon': 0, 'ärgerlich': 0.04, 'wenn': 0, 'andere': 0.03, 'das': 0, 'Geschäft': 0, 'machen': 0.02, 'Die': 0.03, 'haben': 0.04, 'ihre': 0.07, 'Kontakte': 0.03, 'und': 0.08, 'Möglichkeiten': 0.05, 'genutzt': 0.03, 'Ganz': 0, 'wie': 0, 'es': 0, 'sie': 0, 'SVP': 0, 'immer': 0.07, 'fordert': 0, 'Nicht': 0, 'anderes': 0, 'als': 0.06, 'normale': 1.0, 'Marktwirtschaft': 0.925, 'Und': 0.08, 'noch': 0, 'am': 0, 'Rande': 0, 'nur': 0.05, 'ihrer': 0.05, 'Masken': 0.06, 'wurden': 0, 'an': 0, 'die': 0.03, 'Schweiz': 0.08, 'verkauft': 0.04}",neutral,"[0.8129795, 0.028972937, 0.15804753]",,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.3333333333333333,negative,"@AlainS1991 @MarcBruetsch Das ist korrekt. Nur kommt die marktbedingte Entlassung vor der Versicherung. Das heisst, die Marktwirtschaft reagiert 1:1 nach dem Markt. 
Meiner Meinung nach ein Bilderbuch-Bsp. für die negativen Seiten der MW.
Aber natürlich gibt's auch viele Positive! Nur nicht gerade jetzt!",korrekt kommen marktbedingte entlassung versicherung heisst marktwirtschaft reagieren markt meinung bilderbuch bsp negativ seiten mw natürlich geben s positiv gerade,,,,,,,,,,,,,,,,"{'Das': 0.05, 'ist': 0.02, 'korrekt': 0, 'Nur': 0.03, 'kommt': 0.05, 'die': 0.05, 'marktbedingte': 0, 'Entlassung': 0.06, 'vor': 0.04, 'der': 0.05, 'Versicherung': 0.04, 'heisst': 0.02, 'Marktwirtschaft': 0.5700000000000001, 'reagiert': 0, '1:1': 0, 'nach': 0, 'dem': 0.060000000000000005, 'Markt': 0.14, 'Meiner': 0, 'Meinung': 0.02, 'ein': 0, 'Bilderbuch-Bsp': 0.035, 'für': 0.05, 'negativen': 0.11, 'Seiten': 0, 'MW': 0.02, 'Aber': 0.05, 'natürlich': 0, ""gibt's"": 0.025, 'auch': 0.03, 'viele': 0, 'Positive': 0, 'nicht': 0.26, 'gerade': 0.03, 'jetzt': 0.03}",positive,"[0.0056584766, 0.0034275814, 0.990914]",,,,,,,,,,,,,positive
