answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Staatspersonal erhält keinen längeren Vaterschaftsurlaub https://t.co/OOHIQMYcvE,staatspersonal erhalten lang vaterschaftsurlaub,"{'Staatspersonal': 0.27, 'erhält': 0, 'keinen': 0, 'längeren': 0, 'Vaterschaftsurlaub': 0.38}",neutral,"[0.7739193, 0.023898518, 0.2021822]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @SonjaGehrig: Eine Mehrheit des Kantonsrats stemmt sich mit schwammigen Argumenten gegen eine 2. Woche Vaterschaftsurlaub für Kantonsang…,mehrheit kantonsrats stemmen schwammig argumenten woche vaterschaftsurlaub kantonsang,"{'Eine': 0, 'Mehrheit': 0.23, 'des': 0, 'Kantonsrats': 0, 'stemmt': 0, 'sich': 0, 'mit': 0.18, 'schwammigen': 0, 'Argumenten': 0.23, 'gegen': 0, 'eine': 0, '2.': 0, 'Woche': 0.58, 'Vaterschaftsurlaub': 0.54, 'für': 0.21, 'Kantonsang': 0, '…': 0}",neutral,"[0.5578369, 0.41919756, 0.022965452]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"Freude herrscht! Das neue Energiegesetz wurde heute vom Kantonsrat Zürich genehmigt. Ein guter Deal für Mensch, Gewerbe und Klima, denn es setzt auf erneuerbare Energien, schützt das Klima und schafft Arbeitsplätze. https://t.co/1PfNcXVZmG",freude herrschen neue energiegesetz heute kantonsrat zürich genehmigen gut deal mensch gewerbe klima setzen erneuerbare energien schützen klima schaffen arbeitsplätze,,,,"{'Freude': 0.07, 'herrscht': 0.08, 'Das': 0.09, 'neue': 0.06, 'Energiegesetz': 0.11, 'wurde': 0, 'heute': 0.07, 'vom': 0.09, 'Kantonsrat': 0.06, 'Zürich': 0, 'genehmigt': 0.07, 'Ein': 0.08, 'guter': 0, 'Deal': 0.43, 'für': 0.14, 'Mensch': 0, 'Gewerbe': 0.05, 'und': 0.14, 'Klima': 0.13, 'denn': 0, 'es': 0, 'setzt': 0, 'auf': 0.96, 'erneuerbare': 1.0, 'Energien': 0.47, 'schützt': 0.29, 'das': 0, 'schafft': 0.18, 'Arbeitsplätze': 0.14}",positive,"[0.006854621, 0.0019311893, 0.9912142]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @MartinNeukom: Es gibt sie noch, die #GoodNews: 2020 wurde in Europa erstmals mehr Strom produziert aus erneuerbaren Energien als aus Fo…",geben goodnews europa erstmals mehr strom produzieren erneuerbaren energien fo,,,,"{'Es': 0, 'gibt': 0, 'sie': 0, 'noch': 0.06, 'die': 0.03, 'GoodNews': 0.07, 'wurde': 0, 'in': 0.06, 'Europa': 0.08, 'erstmals': 0.075, 'mehr': 1.0, 'Strom': 0, 'produziert': 0.59, 'aus': 0, 'erneuerbaren': 0.47, 'Energien': 0.11, 'als': 0, 'Fo': 0.05, '…': 0}",neutral,"[0.70862925, 0.27601993, 0.015350722]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"""Wir brauchen mehr Säuliämtler in der Schweiz.""
""Das Knonaueramt liegt vorn.""
""Doppelt so viel erneuerbare Energien wie im Kanton Zürich.""
https://t.co/QGrkTPEBa3",brauchen mehr säuliämtler schweiz knonaueramt liegen vorn doppeln erneuerbare energien kanton zürich,,,,"{'Wir': 0.03, 'brauchen': 0.07, 'mehr': 0.04, 'Säuliämtler': 0, 'in': 0.08, 'der': 0.04, 'Schweiz': 0.03, 'Das': 0.04, 'Knonaueramt': 0.14, 'liegt': 0, 'vorn': 0, 'Doppelt': 0, 'so': 0, 'viel': 0, 'erneuerbare': 0.5, 'Energien': 0, 'wie': 0, 'im': 0, 'Kanton': 0.05, 'Zürich': 0}",negative,"[0.05653062, 0.7392673, 0.20420201]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"- Umwelt + Wirtschaft = Arbeitsplätze
Die Kombination von Umweltanliegen mit wirtschaftlichen Interessen schafft Arbeitsplätze. Statt mehrere Milliarden Franken an erdöl- und erdgas-exportierende Länder zu zahlen, investieren wir besser in erneuerbare lokale Energieträger. https://t.co/cByOltfr8i",umwelt wirtschaft arbeitsplätze kombination umweltanliegen wirtschaftlich interessen schaffen arbeitsplätze statt mehrer milliarden franken erdöl erdgas exportierend länder zahlen investieren gut erneuerbare lokale energieträger,,,,"{'Umwelt': 0.04, 'Wirtschaft': 0, 'Arbeitsplätze': 0.04, 'Die': 0.03, 'Kombination': 0.02, 'von': 0, 'Umweltanliegen': 0.05, 'mit': 0.02, 'wirtschaftlichen': 0.03, 'Interessen': 0.04, 'schafft': 0.03, 'Statt': 0.03, 'mehrere': 0, 'Milliarden': 0.05, 'Franken': 0, 'an': 0, 'erdöl-': 0, 'und': 0.04, 'erdgas-exportierende': 0.04, 'Länder': 0.09, 'zu': 0.05, 'zahlen': 0, 'investieren': 0, 'wir': 0, 'besser': 0.12, 'in': 0.26, 'erneuerbare': 1.0, 'lokale': 1.0, 'Energieträger': 0.24}",neutral,"[0.7174005, 0.1800753, 0.102524154]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@SVPch Im Bereich der erneuerbaren Energien wurden in den letzten Jahren ZEHNTAUSENDE von Arbeitsplätzen geschaffen. Dies ist die wirtschaftsfreundliche Ausrichtung. Die konservative, zukunftsfeindliche SVP macht die Wirtschaft kaputt.",bereich erneuerbaren energien letzt jahren zehntausende arbeitsplätzen schaffen wirtschaftsfreundliche ausrichtung konservative zukunftsfeindliche svp wirtschaft kaputt,,,,"{'Im': 0, 'Bereich': 0, 'der': 0.06, 'erneuerbaren': 1.0, 'Energien': 0.23, 'wurden': 0, 'in': 0.04, 'den': 0.06, 'letzten': 0, 'Jahren': 0.05, 'ZEHNTAUSENDE': 0.085, 'von': 0, 'Arbeitsplätzen': 0.09, 'geschaffen': 0.07, 'Dies': 0, 'ist': 0.33, 'die': 0.06, 'wirtschaftsfreundliche': 0, 'Ausrichtung': 0, 'Die': 0.06, 'konservative': 0.18, 'zukunftsfeindliche': 0.1125, 'SVP': 0, 'macht': 0, 'Wirtschaft': 0.35, 'kaputt': 0}",positive,"[0.013202056, 0.005673511, 0.98112446]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"57‘178 neue Arbeitsstellen dank erneuerbarer Energien!
Umwelt + Wirtschaft = Arbeitsplätze. 
Darum am 24.3.2019 Dr. Jörg Mäder in den Regierungsrat und Grünliberale in den Kantonsrat wählen!
Quelle: Anzeiger Bezirk Affoltern, 4.1.2019 https://t.co/r8Q36gbMdN",neue arbeitsstellen danken erneuerbarer energien umwelt wirtschaft arbeitsplätze darum dr jörg mäder regierungsrat grünliberale kantonsrat wählen quelle anzeiger bezirk affoltern,,,,"{'57‘178': 0, 'neue': 0.4, 'Arbeitsstellen': 0.13, 'dank': 0.515, 'erneuerbarer': 1.0, 'Energien': 0.2, 'Umwelt': 0.05, 'Wirtschaft': 0, 'Arbeitsplätze': 0.13, 'Darum': 0.27, 'am': 0, '24.3.2019': 0, 'Dr.': 0, 'Jörg': 0, 'Mäder': 0, 'in': 0, 'den': 0.01, 'Regierungsrat': 0.02, 'und': 0.02, 'Grünliberale': 0.02, 'Kantonsrat': 0.02, 'wählen': 0, 'Quelle': 0, 'Anzeiger': 0, 'Bezirk': 0.02, 'Affoltern': 0.03, '4.1.2019': 0}",positive,"[0.01184091, 0.0033217962, 0.98483735]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"E-tech Region Knonaueramt und
Erneuerbare Energien schaffen Arbeitsplätze
Quelle: Anzeiger Bezirk Affoltern, 26.10.2018 https://t.co/ojuxoGkP6n",e tech region knonaueramt erneuerbare energien schaffen arbeitsplätze quelle anzeiger bezirk affoltern,,,,"{'E-tech': 0, 'Region': 0.54, 'Knonaueramt': 0.73, 'und': 1.0, 'Erneuerbare': 1.0, 'Energien': 0.7, 'schaffen': 0.95, 'Arbeitsplätze': 0.28, 'Quelle': 0, 'Anzeiger': 0, 'Bezirk': 0.08, 'Affoltern': 0.08, '26.10.2018': 0}",positive,"[0.021193424, 0.002836092, 0.9759705]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Ronald Alder wieder in den Kantonsrat für:
- Umwelt + Wirtschaft = Arbeitsplätze (e-tech Region Knonaueramt)
- Eigenverantwortung und marktwirtschaftl. Anreize
- Ein Gesundheitszentrum mit starkem Ambulatorium mit Kooperationen und Spezialisierungen
- Starken Bezirk und Kanton https://t.co/xHAtxVLVxs",ronald alder kantonsrat umwelt wirtschaft arbeitsplätze e tech region knonaueramt eigenverantwortung marktwirtschaftl anreize gesundheitszentrum stark ambulatorium kooperationen spezialisierungen stark bezirk kanton,,,,,,,"{'Ronald': 0.02, 'Alder': 0.02, 'wieder': 0, 'in': 0.03, 'den': 0.02, 'Kantonsrat': 0.025, 'für': 0.06, 'Umwelt': 0.02, 'Wirtschaft': 0, 'Arbeitsplätze': 0.03, 'e-tech': 0, 'Region': 0.02, 'Knonaueramt': 0.09, 'Eigenverantwortung': 0.55, 'und': 0.05, 'marktwirtschaftl': 0.565, 'Anreize': 0.51, 'Ein': 0.03, 'Gesundheitszentrum': 0.025, 'mit': 0.04, 'starkem': 0.03, 'Ambulatorium': 0.02, 'Kooperationen': 0, 'Spezialisierungen': 0.03, 'Starken': 0, 'Bezirk': 0.03, 'Kanton': 0.01}",positive,"[0.008604222, 0.0059773996, 0.9854183]",,,,,,,positive
