answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3470,absa_sentiment_3470,absa_scores_3470,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"@Michael_Koepfli @renzfabian01 Völlig klar.
Weil unsere Gesellschaft - bald steht die Bevölkerungspyramide auf dem Kopf - Fachkräftemangel u.a. Probleme nicht nur mit Migration wird lösen können, müssen wir Kinderbetreuung unabhängig der Form unterstützen und sollten dies möglichst gerecht tun.",völlig klaren gesellschaft bald stehen bevölkerungspyramide kopf fachkräftemangel u a probleme migration lösen müssen kinderbetreuung unabhängig form unterstützen sollen möglichst gerecht tun,"{'Völlig': 0, 'klar': 0.02, 'Weil': 0.02, 'unsere': 0.02, 'Gesellschaft': 0.06, 'bald': 0, 'steht': 0, 'die': 0.06, 'Bevölkerungspyramide': 0.07, 'auf': 0, 'dem': 0.19, 'Kopf': 0, 'Fachkräftemangel': 0.08499999999999999, 'u.a.': 0, 'Probleme': 0.11, 'nicht': 0.02, 'nur': 0.01, 'mit': 0.06, 'Migration': 0.16, 'wird': 0.03, 'lösen': 0.07, 'können': 0.025, 'müssen': 0.29000000000000004, 'wir': 0, 'Kinderbetreuung': 1.0, 'unabhängig': 0, 'der': 0.06, 'Form': 0.15, 'unterstützen': 1.0, 'und': 0.09, 'sollten': 0.21, 'dies': 0, 'möglichst': 0.04, 'gerecht': 0, 'tun': 0.19}",positive,"[0.06867459, 0.031748064, 0.8995773]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,negative,@renzfabian01 Wieso sollte die Eigenbetreuung ggü der Fremdbetreuung von Kids benachteiligt werden? 🤔 #Wahlfreiheit #Kinderbetreuung,wieso sollen eigenbetreuung ggü fremdbetreuung kids benachteiligen wahlfreiheit kinderbetreuung,"{'Wieso': 0, 'sollte': 0.04, 'die': 0, 'Eigenbetreuung': 0, 'ggü': 0, 'der': 0, 'Fremdbetreuung': 0.08, 'von': 0, 'Kids': 0.06, 'benachteiligt': 0.05, 'werden': 0, '🤔': 0, 'Wahlfreiheit': 0, 'Kinderbetreuung': 0}",neutral,"[0.63196445, 0.09550497, 0.27253062]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"@nadinejurgensen @StGe_ch Da stehe ich voll und ganz hinter @BinderMarianne @Mitte_Centre und @SVPch, denn nur #Splitting lässt Paaren die ganze Freiheit, wie sie #Familie, #Kinderbetreuung und Hausarbeit gestalten und organisieren wollen. Aber klar, die #Heiratsstrafe muss endlich weg.",stehen voll ganz splitting lässt paaren ganze freiheit familie kinderbetreuung hausarbeit gestalten organisieren klaren heiratsstrafe endlich,"{'Da': 0.08, 'stehe': 0, 'ich': 0.04, 'voll': 0.05, 'und': 0.5, 'ganz': 0, 'hinter': 0, 'denn': 0, 'nur': 0.06, 'Splitting': 0.08, 'lässt': 0, 'Paaren': 0, 'die': 0.07, 'ganze': 0, 'Freiheit': 0.16, 'wie': 0, 'sie': 0, 'Familie': 0.15, 'Kinderbetreuung': 1.0, 'Hausarbeit': 0, 'gestalten': 0.23, 'organisieren': 0.205, 'wollen': 0, 'Aber': 0.21, 'klar': 0, 'Heiratsstrafe': 0.095, 'muss': 0.05, 'endlich': 0, 'weg': 0}",neutral,"[0.72746, 0.044030927, 0.22850896]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Hier ein paar interessante Zusatzinfos zum geplanten #Cannabis-Versuch in Zürich. #Experimentierartikel https://t.co/3ENFrqaqGd via @SZSolothurn,paar interessante zusatzinfos geplant cannabis versuch zürich experimentierartikel via,,,,"{'Hier': 0.41, 'ein': 0, 'paar': 0, 'interessante': 1.0, 'Zusatzinfos': 0.825, 'zum': 0.16, 'geplanten': 0.23, 'Cannabis-Versuch': 0.19, 'in': 0.09, 'Zürich': 0, 'Experimentierartikel': 0, 'via': 0.16}",positive,"[0.075389944, 0.0028029291, 0.9218071]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"Die Formel: «Mit der #Drogenlegalisierung verschwindet automatisch das organisierte Verbrechen» ist falsch. Illusionäre Erwartungen an die #Legalisierung zu knüpfen ist kontraproduktiv.
#Kiffen #Cannabis #Marihuana #Drogenmafia https://t.co/9k8AQeRzId @BeniniSandro @derbund",formel drogenlegalisierung verschwinden automatisch organisieren verbrechen falsch illusionäre erwartungen legalisierung knüpfen kontraproduktiv kiffen cannabis marihuana drogenmafia,,,,"{'Die': 0.04, 'Formel': 0.05, '«': 0, 'Mit': 0, 'der': 0, 'Drogenlegalisierung': 0, 'verschwindet': 0, 'automatisch': 0, 'das': 0, 'organisierte': 0, 'Verbrechen': 0, '»': 0, 'ist': 0, 'falsch': 0, 'Illusionäre': 0, 'Erwartungen': 0, 'an': 0, 'die': 0, 'Legalisierung': 0, 'zu': 0, 'knüpfen': 0, 'kontraproduktiv': 0, 'Kiffen': 0, 'Cannabis': 0, 'Marihuana': 0, 'Drogenmafia': 0}",neutral,"[0.9226857, 0.033600602, 0.04371371]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.85,neutral,"@JakobKreu3fe1d @cutthroat @BAG_OFSP_UFSP Es ist zwar bei @srf-Beiträgen möglich, genau in die gewünschte Sequenz zu verlinken (s. oben), aber als Bild wird offenbar einfach das allgemeine Bild der entsprechenden Sendung gezeigt.
Der Cannabis-Beitrag ist allerdings auch ganz interessant...",beiträgen möglich genau gewünscht sequenz verlinken s oben bild offenbaren einfach allgemein bild entsprechend sendung zeigen cannabis beitrag allerdings ganz interessant,,,,"{'Es': 0.21, 'ist': 0.21, 'zwar': 0.21, 'bei': 0, '-Beiträgen': 0, 'möglich': 0.08, 'genau': 0, 'in': 0.02, 'die': 0.18, 'gewünschte': 0.04, 'Sequenz': 0.07, 'zu': 0.02, 'verlinken': 0.04, 's.': 0, 'oben': 0.03, 'aber': 0.08, 'als': 0, 'Bild': 0, 'wird': 0, 'offenbar': 0.1, 'einfach': 0, 'das': 0, 'allgemeine': 0.06, 'der': 0.18, 'entsprechenden': 0, 'Sendung': 0, 'gezeigt': 0, 'Der': 0.18, 'Cannabis-Beitrag': 0.715, 'allerdings': 0, 'auch': 0.37, 'ganz': 0, 'interessant': 1.0, '...': 0}",positive,"[0.00499155, 0.0018627405, 0.9931457]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.7999999999999999,neutral,"Langfristiges Ziel der @StadtZuerich sei ein liberaler Umgang mit #Drogen.
Wenn bereits klar ist, worauf es hinauslaufen soll, habe ich grosse Zweifel, dass die #Cannabis-Studie unabhängig und unvoreingenommen durchgeführt und ausgewertet wird. @gd_zuerich https://t.co/l7Du1C8onp",langfristig ziel liberal umgang drogen bereits klaren worauf hinauslaufen grosse zweifel cannabis studie unabhängig unvoreingenommen durchführen auswerten,,,,"{'Langfristiges': 0.04, 'Ziel': 0, 'der': 0.28, 'sei': 0.11, 'ein': 0, 'liberaler': 0, 'Umgang': 0, 'mit': 0, 'Drogen': 0.08, 'Wenn': 0, 'bereits': 0.08, 'klar': 0.12, 'ist': 0.04, 'worauf': 0.09, 'es': 0.04, 'hinauslaufen': 0.05, 'soll': 0, 'habe': 0.72, 'ich': 0.45, 'grosse': 0, 'Zweifel': 0, 'dass': 0.7, 'die': 0.28, 'Cannabis-Studie': 0.25, 'unabhängig': 0, 'und': 0.08, 'unvoreingenommen': 0, 'durchgeführt': 0, 'ausgewertet': 0.12, 'wird': 0.36}",neutral,"[0.89567, 0.08089758, 0.023432449]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5,neutral,"@patrik_lori @ks_schregi @higgsmag @heidi_news Das kann ich gut verstehen. Allerdings bringt es in der Diskussion wenig, die einen #Drogenprobleme gegen die anderen auszuspielen... #Alkohol #Cannabis",gut verstehen allerdings bringen diskussion wenig drogenprobleme ausspielen alkohol cannabis,,,,"{'Das': 0.06, 'kann': 0.02, 'ich': 0.02, 'gut': 0, 'verstehen': 0.04, 'Allerdings': 0.05, 'bringt': 0, 'es': 0.04, 'in': 0.02, 'der': 0.06, 'Diskussion': 0.07, 'wenig': 0.04, 'die': 0.06, 'einen': 0, 'Drogenprobleme': 0.09, 'gegen': 0.09, 'anderen': 0, 'auszuspielen': 0.0625, '...': 0, 'Alkohol': 0.54, 'Cannabis': 1.0}",neutral,"[0.97505605, 0.010143968, 0.014799995]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.9,positive,"Sehr informativer, interessanter Beitrag. 
Aber der Titel ist m.E. reine Spekulation. 
Ich hoffe, dass die #Cannabis-Pilotprojekte mit dem #Experimentierartikel ein paar Fakten und Antworten liefern werden. 
#Jugendschutz #Schwarzmarkt 
@ks_schregi @higgsmag @heidi_news https://t.co/1JOxlVfqGz",informativ interessant beitrag titel m e reine spekulation hoffen cannabis pilotprojekte experimentierartikel paar fakten antworten liefern jugendschutz schwarzmarkt,,,,"{'Sehr': 0.1, 'informativer': 0.23, 'interessanter': 0.17, 'Beitrag': 0, 'Aber': 0.49, 'der': 0.08, 'Titel': 0.73, 'ist': 0.34, 'm.E.': 0, 'reine': 0, 'Spekulation': 1.0, 'Ich': 0.08, 'hoffe': 0.12, 'dass': 0, 'die': 0.08, 'Cannabis-Pilotprojekte': 0.42, 'mit': 0.06, 'dem': 0.08, 'Experimentierartikel': 0, 'ein': 0, 'paar': 0, 'Fakten': 0.1, 'und': 0.05, 'Antworten': 0, 'liefern': 0, 'werden': 0.05, 'Jugendschutz': 0.09, 'Schwarzmarkt': 0.07500000000000001}",positive,"[0.38945362, 0.14738382, 0.46316257]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,@Dede71Mueller @BilandEva @EAugstburger Und dazu noch dieser Hinweis: https://t.co/CZKdkT95BD #Cannabis,hinweis cannabis,,,,"{'Und': 0.16, 'dazu': 0, 'noch': 0, 'dieser': 0.18, 'Hinweis': 0, 'Cannabis': 1.0}",positive,"[0.0687999, 0.002801026, 0.928399]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
