answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,Der #GRAG überweist das Postulat für eine Revision des Kinderbetreuungsgesetz (KiBeG) stillschweigend. Die Zeit ist reif für eine Verbesserung der #Vereinbarkeit von Familie und Beruf und zur Förderung der #Chancengerechtigkeit!,grag überweisen postulat revision kinderbetreuungsgesetz kibeg stillschweigen zeit reif verbesserung vereinbarkeit familie beruf förderung chancengerechtigkeit,"{'Der': 0.17, 'GRAG': 0.08, 'überweist': 0.07, 'das': 0, 'Postulat': 0.08, 'für': 0.2, 'eine': 0, 'Revision': 0.09, 'des': 0, 'Kinderbetreuungsgesetz': 0.11, 'KiBeG': 0.2, 'stillschweigend': 0.16, 'Die': 0.17, 'Zeit': 0.05, 'ist': 0.07, 'reif': 0.09, 'Verbesserung': 0.08, 'der': 0.17, 'Vereinbarkeit': 0.09, 'von': 0, 'Familie': 0.12, 'und': 0.1, 'Beruf': 0, 'zur': 0.17, 'Förderung': 0, 'Chancengerechtigkeit': 0.255}",positive,"[0.18547946, 0.22918741, 0.5853331]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,positive,#VaterschaftsurlaubJetzt Danke für das deutliche Ja und das klare Zeichen für eine fortschrittliche Familienpolitik! https://t.co/6RLOdZ3aht,vaterschaftsurlaubjetzt danke deutlich ja klaren zeichen fortschrittliche familienpolitik,,,,"{'VaterschaftsurlaubJetzt': 0, 'Danke': 0.185, 'für': 0.04, 'das': 0, 'deutliche': 0, 'Ja': 0.09, 'und': 0.09, 'klare': 0, 'Zeichen': 0.13, 'eine': 0, 'fortschrittliche': 0.06, 'Familienpolitik': 0.07500000000000001}",positive,"[0.0076822396, 0.0046814727, 0.98763627]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,Am 27. September JA zum Vaterschaftsurlaub! Die ersten Tage mit Baby sind keine Ferien. Für einen guten Start in der Familie braucht es auch den Papi. #vaterschaftsurlaubjetzt #papizeit https://t.co/0vsxiW1DA7,september ja vaterschaftsurlaub erst tage baby ferien gut start familie brauchen papi vaterschaftsurlaubjetzt papizeit,,,,"{'Am': 0, '27.': 0, 'September': 0.27, 'JA': 0, 'zum': 0.51, 'Vaterschaftsurlaub': 0.195, 'Die': 0.02, 'ersten': 0.04, 'Tage': 0.06, 'mit': 0.03, 'Baby': 0.05, 'sind': 0.03, 'keine': 0, 'Ferien': 0, 'Für': 0.02, 'einen': 0.02, 'guten': 0.03, 'Start': 0.03, 'in': 0.02, 'der': 0.02, 'Familie': 0.04, 'braucht': 0, 'es': 0, 'auch': 0.04, 'den': 0.02, 'Papi': 0, 'vaterschaftsurlaubjetzt': 0.11750000000000001, 'papizeit': 0}",positive,"[0.0054656584, 0.0017018291, 0.99283254]",,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.2333333333333333,negative,Schwache Argumente der Aargauer Regierung: „Sogar ein zweiwöchiger Vaterschaftsurlaub würde KMU’s vor grosse organisatorische Herausforderungen stellen.“ So en Chabis! Vier Wochen #Vaterschaftsurlaub helfen beim Start enorm. Es braucht auch den Papi! https://t.co/iBJiZSh5Eg,schwache argumente aargauer regierung sogar zweiwöchiger vaterschaftsurlaub kmu s grosse organisatorische herausforderungen stellen en chabis vier wochen vaterschaftsurlaub helfen beim start enorm brauchen papi,,,,"{'Schwache': 0, 'Argumente': 0.04, 'der': 0.05, 'Aargauer': 0, 'Regierung': 0.04, '„': 0, 'Sogar': 0, 'ein': 0, 'zweiwöchiger': 0, 'Vaterschaftsurlaub': 0, 'würde': 0, 'KMU': 0, '’s': 0, 'vor': 0, 'grosse': 0, 'organisatorische': 0, 'Herausforderungen': 0, 'stellen': 0, '“': 0, 'So': 0, 'en': 0, 'Chabis': 0, 'Vier': 0, 'Wochen': 0, 'helfen': 0, 'beim': 0, 'Start': 0, 'enorm': 0, 'Es': 0, 'braucht': 0, 'auch': 0, 'den': 0, 'Papi': 0}",positive,"[0.07354137, 0.32753256, 0.59892607]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Armut darf kein Hinderungsgrund für eine Einbürgerung sein! Der #GRAG will, dass die Wartefrist nach Bezug von Sozialhilfe 10 Jahre beträgt. Der Kompromissvorschlag von 5 Jahren fand keine Mehrheit. Das Behördenreferendum ist zustande gekommen, jetzt das Volk hat das letzte Wort!",armut dürfen hinderungsgrund einbürgerung grag wartefrist bezug sozialhilfe jahre betragen kompromissvorschlag jahren finden mehrheit behördenreferendum zustande kommen volk letzte wort,,,,,,,"{'Armut': 0.21, 'darf': 0, 'kein': 0, 'Hinderungsgrund': 0, 'für': 0, 'eine': 0, 'Einbürgerung': 1.0, 'sein': 0, 'Der': 0.01, 'GRAG': 0.1, 'will': 0, 'dass': 0, 'die': 0.01, 'Wartefrist': 0.08, 'nach': 0.02, 'Bezug': 0, 'von': 0, 'Sozialhilfe': 0.1, 'Jahre': 0.03, 'beträgt': 0.02, 'Kompromissvorschlag': 0.05, 'Jahren': 0.03, 'fand': 0, 'keine': 0, 'Mehrheit': 0.04, 'Das': 0.01, 'Behördenreferendum': 0.065, 'ist': 0, 'zustande': 0, 'gekommen': 0, 'jetzt': 0.01, 'das': 0, 'Volk': 0.03, 'hat': 0, 'letzte': 0.01, 'Wort': 0}",positive,"[0.016787581, 0.0041756025, 0.97903687]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"«Bei der Lohngleichheit ist eine Stagnation oder sogar ein Rückschritt in der Entwicklung zur Geschlechtergleichstellung feststellbar», schreibt das BFS. Wir haben seit 22 Jahren ein Gleichstellungsgesetzes! Es braucht endlich griffige Massnahmen! #Frauenstreik2019 https://t.co/rzodptqzKP",lohngleichheit stagnation sogar rückschritt entwicklung geschlechtergleichstellung feststellbar schreiben bfs seit jahren gleichstellungsgesetzes brauchen endlich griffig massnahmen frauenstreik2019,,,,,,,,,,"{'«': 0, 'Bei': 0, 'der': 0, 'Lohngleichheit': 0, 'ist': 0, 'eine': 0, 'Stagnation': 0, 'oder': 0, 'sogar': 0, 'ein': 0, 'Rückschritt': 0, 'in': 0, 'Entwicklung': 0, 'zur': 0, 'Geschlechtergleichstellung': 0, 'feststellbar': 0, '»': 0, 'schreibt': 0, 'das': 0, 'BFS': 0, 'Wir': 0, 'haben': 0, 'seit': 0, 'Jahren': 0, 'Gleichstellungsgesetzes': 0, 'Es': 0, 'braucht': 0, 'endlich': 0, 'griffige': 0, 'Massnahmen': 0, 'Frauenstreik2019': 0}",positive,"[0.25483942, 0.039375465, 0.70578516]",,,,,,,,,,positive
50.0,75.0,71.0,0.2,neutral,"„Mehr zum Leben“ heisst für mich zum Beispiel mehr Gleichstellung, mehr soziale Sicherheit, mehr Lohngleichheit und mehr Wertschätzung! #Frauenstreik2019 https://t.co/drmkgakWCK",mehr leben heisst beispiel mehr gleichstellung mehr soziale sicherheit mehr lohngleichheit mehr wertschätzung frauenstreik2019,,,,,,,,,,"{'„': 0, 'Mehr': 0, 'zum': 0, 'Leben': 0, '“': 0, 'heisst': 0, 'für': 0, 'mich': 0, 'Beispiel': 0, 'mehr': 0, 'Gleichstellung': 0, 'soziale': 0, 'Sicherheit': 0, 'Lohngleichheit': 0, 'und': 0, 'Wertschätzung': 0, 'Frauenstreik2019': 0}",positive,"[0.004804889, 0.0015092058, 0.9936859]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @suter_gabriela: Das ist ein klares Bekenntnis zur #Lohngleichheit! Ich freue mich, dass unser Postulat Wirkung zeigt und der Regierungs…",klar bekenntnis lohngleichheit freuen postulat wirkung zeigen regierungs,,,,,,,,,,"{'Das': 0.38, 'ist': 0.11, 'ein': 0, 'klares': 0.07, 'Bekenntnis': 0, 'zur': 0.215, 'Lohngleichheit': 0, 'Ich': 0.05, 'freue': 0.05, 'mich': 0, 'dass': 0.55, 'unser': 0.05, 'Postulat': 0.14, 'Wirkung': 0.16, 'zeigt': 0, 'und': 0.2, 'der': 0.38, 'Regierungs': 0.82, '…': 0}",positive,"[0.38841385, 0.03285288, 0.57873327]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Vier der fünf wärmsten je gemessenen Sommer traten in den letzten fünf Jahren auf. Wir müssen dringend handeln und fossile Energien durch erneuerbare ersetzen! Lösungen sind da, wir müssen sie nur umsetzen wollen. #Klimakrise #Klimawahl2019 https://t.co/K2J2K3TEZd",vier fünf warm je gemessen sommer treten letzt fünf jahren müssen dringen handeln fossile energien erneuerbare ersetzen lösungen müssen umsetzen klimakrise klimawahl2019,,,,,,,,,,,,,"{'Vier': 0.01, 'der': 0.01, 'fünf': 0.01, 'wärmsten': 0.05, 'je': 0, 'gemessenen': 0, 'Sommer': 0, 'traten': 0, 'in': 0.01, 'den': 0.01, 'letzten': 0, 'Jahren': 0.02, 'auf': 0, 'Wir': 0.03, 'müssen': 0.035, 'dringend': 0.08, 'handeln': 0.09, 'und': 0.11, 'fossile': 0.11, 'Energien': 0, 'durch': 0, 'erneuerbare': 1.0, 'ersetzen': 0, 'Lösungen': 0.25, 'sind': 0.08, 'da': 0, 'wir': 0, 'sie': 0, 'nur': 0, 'umsetzen': 0.14, 'wollen': 0.05, 'Klimakrise': 0.035, 'Klimawahl2019': 0.03}",neutral,"[0.8283994, 0.07844768, 0.09315281]",,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Der Ausbau der erneuerbaren Energien ist primär eine Frage des politischen Willens. Es braucht Anstrengungen in verschiedenen Bereichen (Sonne, Wind, Wasser, Geothermie). Gaskraftwerke sind ein NoGo! #Klimakrise #Klimawahl2019

 https://t.co/nZTC9rYRn7",ausbau erneuerbaren energien primär fragen politisch willens brauchen anstrengungen verschieden bereichen sonne wind wasser geothermie gaskraftwerke nogo klimakrise klimawahl2019,,,,,,,,,,,,,"{'Der': 0.44, 'Ausbau': 1.0, 'der': 0.44, 'erneuerbaren': 0.85, 'Energien': 0.68, 'ist': 0.48, 'primär': 0, 'eine': 0, 'Frage': 0, 'des': 0, 'politischen': 0.25, 'Willens': 0, 'Es': 0.48, 'braucht': 0, 'Anstrengungen': 0.27, 'in': 0.07, 'verschiedenen': 0, 'Bereichen': 0.1, 'Sonne': 0.05, 'Wind': 0.06, 'Wasser': 0.07, 'Geothermie': 0.10500000000000001, 'Gaskraftwerke': 0.11249999999999999, 'sind': 0.13, 'ein': 0, 'NoGo': 0, 'Klimakrise': 0.05500000000000001, 'Klimawahl2019': 0.04}",positive,"[0.30303693, 0.09775563, 0.5992074]",,,,,,,negative
