answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @RegulaRytz: Familien- und schulergänzende #Kinderbetreuung als Teil des Service public. Die Initiative der grünen Nationalrätin @KPreli…,familien schulergänzende kinderbetreuung teil service public initiative grün nationalrätin,"{'Familien-': 0, 'und': 0.14, 'schulergänzende': 0.565, 'Kinderbetreuung': 1.0, 'als': 0.13, 'Teil': 0.09, 'des': 0, 'Service': 0.11, 'public': 0.1, 'Die': 0.05, 'Initiative': 0.17, 'der': 0.05, 'grünen': 0.07, 'Nationalrätin': 0.07, '…': 0}",positive,"[0.00063621235, 0.00094791024, 0.9984158]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @VPOD_Schweiz: In der Corona-Pandemie wurde breiten Teilen der Gesellschaft plötzlich bewusst, dass die professionelle #Kinderbetreuung…",corona pandemie breit teilen gesellschaft plötzlich bewusst professionell kinderbetreuung,"{'In': 0.04, 'der': 0.04, 'Corona-Pandemie': 0, 'wurde': 0, 'breiten': 0.06, 'Teilen': 0, 'Gesellschaft': 0.1, 'plötzlich': 0.12, 'bewusst': 0, 'dass': 0.64, 'die': 0.04, 'professionelle': 1.0, 'Kinderbetreuung': 1.0, '…': 0}",positive,"[0.0004932748, 0.0011036469, 0.99840313]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,neutral,"RT @VPOD_Schweiz: AM 11. MAI IST DER ERSTE NATIONALE TAG DER KINDERBETREUUNG!
Zeigt der Welt was Kinderbetreuung, bezahlt oder unbezahlt, w…",mai erste national tag kinderbetreuung zeigen welt kinderbetreuung bezahlen unbezahlt w,"{'AM': 0, '11.': 0, 'MAI': 0.07, 'IST': 0.05, 'DER': 0.1, 'ERSTE': 0.11, 'NATIONALE': 0.09, 'TAG': 0, 'KINDERBETREUUNG': 0, 'Zeigt': 0, 'der': 0.1, 'Welt': 0.6, 'was': 0, 'Kinderbetreuung': 0, 'bezahlt': 0.32, 'oder': 0.51, 'unbezahlt': 0.27, 'w': 0.41, '…': 0}",positive,"[0.4166889, 0.045645233, 0.5376659]",,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @JungeGrueneZH: Wenn du Zeit hast, hilf Menschen in deinem Umfeld. Ob Einkaufen, der Gang zur Apotheke, Kinderbetreuung oder mit dem Hun…",zeit helfen menschen umfeld einkaufen gang apotheke kinderbetreuung hun,"{'Wenn': 0, 'du': 0, 'Zeit': 0.01, 'hast': 0, 'hilf': 0.05, 'Menschen': 0.03, 'in': 0, 'deinem': 0, 'Umfeld': 0, 'Ob': 0, 'Einkaufen': 0.14, 'der': 0.06, 'Gang': 0, 'zur': 0.165, 'Apotheke': 0.48, 'Kinderbetreuung': 1.0, 'oder': 0.47, 'mit': 0.14, 'dem': 0.165, 'Hun': 0, '…': 0}",neutral,"[0.804731, 0.0026132916, 0.19265571]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @GrueneZuerich: Endlich wird bei der Kinderbetreuung genauer hingeschaut! 
Ziel zum Wohle der Kinder und der Arbeitnehmer*innen muss sei…",endlich kinderbetreuung genau hinschauen ziel wohl kinder arbeitnehmer innen,"{'Endlich': 0.27, 'wird': 0, 'bei': 1.0, 'der': 0.05, 'Kinderbetreuung': 1.0, 'genauer': 0, 'hingeschaut': 0, 'Ziel': 0, 'zum': 0.05, 'Wohle': 0, 'Kinder': 0.04, 'und': 0.05, 'Arbeitnehmer*innen': 0, 'muss': 0, 'sei': 0.09, '…': 0}",neutral,"[0.74337584, 0.011301957, 0.24532218]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @GrueneCH: Auf diesen Tag haben wir lange genug gewartet! 😍 Der Vaterschaftsurlaub tritt am 1. Januar 2021 in der 🇨🇭 in Kraft! 🥳

https:…",tag lang genug warten vaterschaftsurlaub tritt januar kraft https,,,,"{'Auf': 0.2, 'diesen': 0.03, 'Tag': 0, 'haben': 0.04, 'wir': 0, 'lange': 0.02, 'genug': 0.02, 'gewartet': 0.08, 'Der': 0.03, 'Vaterschaftsurlaub': 0.395, 'tritt': 0, 'am': 0, '1.': 0, 'Januar': 0.07, 'in': 0, 'der': 0.03, '🇨': 0, '🇭': 0, 'Kraft': 0, '🥳': 0, 'https': 0, '…': 0}",neutral,"[0.8681864, 0.064365596, 0.06744799]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @GrueneCH: Am 27. September: Ja zum #Vaterschaftsurlaub! Die Einführung des Vaterschaftsurlaubs ist ein wichtiger Schritt für die Gleich…,september ja vaterschaftsurlaub einführung vaterschaftsurlaubs wichtig schritt gleichen,,,,"{'Am': 0, '27.': 0, 'September': 0.12, 'Ja': 0, 'zum': 0.32499999999999996, 'Vaterschaftsurlaub': 0.18, 'Die': 0.07, 'Einführung': 0.16, 'des': 0, 'Vaterschaftsurlaubs': 0.18, 'ist': 0.07, 'ein': 0, 'wichtiger': 0.12, 'Schritt': 0.09, 'für': 0.04, 'die': 0.07, 'Gleich': 0, '…': 0}",positive,"[0.0025776583, 0.0012823856, 0.99613994]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"... ich auch! Heute ist Frauen*streik. ALLE auf die Strasse für Lohngleichheit, Anerkennung der Care-Arbeit und gegen Sexismus ✊🏼 #Frauenjahr2019 #Frauenstreik19 https://t.co/58Hw59xz5P",heute frauen streik all strasse lohngleichheit anerkennung care arbeit sexismus frauenjahr2019 frauenstreik19,,,,,,,"{'...': 0, 'ich': 0, 'auch': 0, 'Heute': 0.07, 'ist': 0.06, 'Frauen*streik': 0.0875, 'ALLE': 0.2, 'auf': 0.05, 'die': 0.06, 'Strasse': 0, 'für': 0.34, 'Lohngleichheit': 1.0, 'Anerkennung': 0.15, 'der': 0.06, 'Care-Arbeit': 0.105, 'und': 0.06, 'gegen': 0.11, 'Sexismus': 0.13, 'Frauenjahr2019': 0, 'Frauenstreik19': 0}",positive,"[0.0017731382, 0.0010572167, 0.9971697]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @nadhuberson: Genf führt einen Mindestlohn ein! Auch in #Zürich werden im Moment Unterschriften für eine #Mindestlohn-Initiative gesamme…,genf führen mindestlohn zürich moment unterschriften mindestlohn initiative gesamme,,,,,,,,,,"{'Genf': 0.28, 'führt': 0, 'einen': 0.21, 'Mindestlohn': 0.08, 'ein': 0, 'Auch': 0.1, 'in': 0.08, 'Zürich': 0, 'werden': 0, 'im': 0, 'Moment': 0.14, 'Unterschriften': 0.23, 'für': 0.11, 'eine': 0, 'Mindestlohn-Initiative': 0.10500000000000001, 'gesamme': 0, '…': 0}",positive,"[0.4321045, 0.009545337, 0.55835015]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @GrueneZuerich: Ein Mindestlohn für Zürich, Winterthur und Kloten:
Wer arbeitet, soll davon leben können. Und zwar ohne Unterstützung un…",mindestlohn zürich winterthur kloten wer arbeiten davon leben unterstützung un,,,,,,,,,,"{'Ein': 0.04, 'Mindestlohn': 0.875, 'für': 0.4, 'Zürich': 0, 'Winterthur': 0.08, 'und': 0.04, 'Kloten': 0.09, 'Wer': 0.05, 'arbeitet': 0, 'soll': 0, 'davon': 0.12, 'leben': 0, 'können': 0.07, 'Und': 0.04, 'zwar': 0.12, 'ohne': 0.09, 'Unterstützung': 0.06, 'un': 0.04, '…': 0}",neutral,"[0.71579176, 0.059335038, 0.22487316]",,,,,,,,,,,,,,,,neutral
