answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3438,absa_sentiment_3438,absa_scores_3438,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @alliance_F: Der Ständerat befindet jetzt über den #Vaterschaftsurlaub - die Einführung der @papizeit von 4 Wochen ist 1 gleichstellungs…,ständerat befinden vaterschaftsurlaub einführung wochen gleichstellungs,"{'Der': 0.12, 'Ständerat': 0.12000000000000001, 'befindet': 0.13, 'jetzt': 0.11, 'über': 0, 'den': 0.12, 'Vaterschaftsurlaub': 0.5, 'die': 0.12, 'Einführung': 0.15, 'der': 0.12, 'von': 0, 'Wochen': 0.16, 'ist': 0.13, 'gleichstellungs': 0, '…': 0}",neutral,"[0.6369222, 0.026890561, 0.33618724]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @4Senna: Ich bin ja schon lange für eine #Elternzeit statt #Vaterschaftsurlaub - dafür gibt es auch viele liberale Gründe! Wie lange wer…,ja schon lang elternzeit statt vaterschaftsurlaub dafür geben liberale gründe lang wer,"{'Ich': 0.04, 'bin': 0, 'ja': 0, 'schon': 0, 'lange': 0.12, 'für': 0.03, 'eine': 0, 'Elternzeit': 0.14, 'statt': 0.81, 'Vaterschaftsurlaub': 0.18, 'dafür': 0, 'gibt': 0.05, 'es': 0, 'auch': 0.13, 'viele': 0, 'liberale': 0.08, 'Gründe': 0.07, 'Wie': 0, 'wer': 0.08, '…': 0}",neutral,"[0.48864034, 0.19111994, 0.32023972]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @grunliberale: Unsere Delegierten sagen mit 130 zu 0 einstimmig Ja zur erleichterten Einbürgerung von Personen der dritten Ausländergene…,delegieren sagen einstimmig ja erleichtern einbürgerung personen dritt ausländergene,,,,"{'Unsere': 0.06, 'Delegierten': 0.13, 'sagen': 0.175, 'mit': 0.07, 'zu': 0.2, 'einstimmig': 0.17, 'Ja': 0, 'zur': 0.14, 'erleichterten': 0, 'Einbürgerung': 1.0, 'von': 0, 'Personen': 0, 'der': 0.08, 'dritten': 0.11, 'Ausländergene': 0, '…': 0}",positive,"[0.0015394705, 0.0012030866, 0.9972574]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Mit Schiff auf dem Weg zur #DVglpCH @grunliberale nach #Stäfa #EinbürgerungDritteGeneration https://t.co/SJ1Kx5vLVv,schiff dvglpch stäfa einbürgerungdrittegeneration,,,,"{'Mit': 0, 'Schiff': 0, 'auf': 0.04, 'dem': 0.07, 'Weg': 0, 'zur': 0.07, 'DVglpCH': 0.26, 'nach': 0.4, 'Stäfa': 0, 'EinbürgerungDritteGeneration': 0.49750000000000005}",positive,"[0.38684773, 0.013947203, 0.5992051]",,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"RT @Michael_Koepfli: @morvjn Die Ehepaar- statt #Individualbesteuerung, der #Koordinationsabzug bei der zweiten Säule, der einseitige Mutte…",ehepaar statt individualbesteuerung koordinationsabzug zweit säule einseitig mutte,,,,,,,"{'Die': 0.11, 'Ehepaar-': 0, 'statt': 0.715, 'Individualbesteuerung': 0.9299999999999999, 'der': 0.11, 'Koordinationsabzug': 0.22000000000000003, 'bei': 0, 'zweiten': 0.06, 'Säule': 0.19, 'einseitige': 0, 'Mutte': 0.12, '…': 0}",neutral,"[0.9236748, 0.036235075, 0.04009009]",,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,RT @matthias_egli: Die Regulierung verhindert #Innovation. Bern in der alten analogen Welt ohne Chance für #Digitalisierung @derbund https:…,regulierung verhindern innovation bern alt analog welt chance digitalisierung https,,,,,,,,,,"{'Die': 0.03, 'Regulierung': 0.06, 'verhindert': 0, 'Innovation': 0.08, 'Bern': 0.06, 'in': 0.03, 'der': 0.03, 'alten': 0.04, 'analogen': 0.07, 'Welt': 0.06, 'ohne': 0, 'Chance': 0.27, 'für': 0.36, 'Digitalisierung': 0, 'https': 0.35, '…': 0}",neutral,"[0.4209918, 0.33446518, 0.24454299]",,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @grunliberale: @kf_schweiz unterstützt @viESM_Ja: ""Wichtiger als tiefe Energiepreise ist für Konsumenten der Umweltschutz"". http://t.co/…",unterstützen wichtig tiefe energiepreise konsumenten umweltschutz,,,,,,,,,,,,,"{'unterstützt': 0.28, 'Wichtiger': 0.2, 'als': 0, 'tiefe': 0, 'Energiepreise': 0.060000000000000005, 'ist': 0.18, 'für': 0.64, 'Konsumenten': 0.16, 'der': 0, 'Umweltschutz': 0.25}",positive,"[0.033413175, 0.022092734, 0.94449407]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @kathrinbertschy: Buurezmorge im Nationalrat: Bildung, Forschung, Innovation eben mal 5 Mio weggenommen und der Landwirtschaft geschenkt…",buurezmorge nationalrat bildung forschung innovation eben mal mio wegnehmen landwirtschaft schenken,,,,,,,,,,,,,,,,"{'Buurezmorge': 0.42, 'im': 0, 'Nationalrat': 0.155, 'Bildung': 0.42, 'Forschung': 0.47, 'Innovation': 0.77, 'eben': 0, 'mal': 1.0, 'Mio': 0, 'weggenommen': 0.6, 'und': 0.43, 'der': 0.13, 'Landwirtschaft': 0.21, 'geschenkt': 0, '…': 0}",positive,"[0.27168098, 0.14794357, 0.5803755]","{'Buurezmorge': 0.13, 'im': 0, 'Nationalrat': 0.055, 'Bildung': 0.05, 'Forschung': 0.06, 'Innovation': 0.07, 'eben': 0, 'mal': 0.1, 'Mio': 0, 'weggenommen': 0.14, 'und': 0.23, 'der': 0.05, 'Landwirtschaft': 1.0, 'geschenkt': 0, '…': 0}",neutral,"[0.8383802, 0.011171278, 0.15044841]",neutral
100.0,100.0,86.0,0.7,neutral,"Genau deshalb benötigt es ein JA zur #trinkwasserinitiative! Die Zahlen nicht präsentieren, weil sie genau aussagen: die Landwirtschaft bewegt sich nicht, und wenn, dann nur gegen Bezahlung! https://t.co/4zahZ9pBxC
#trinkwasser @liberale_twi",genau deshalb benötigen ja trinkwasserinitiative zahlen präsentieren genau aussagen landwirtschaft bewegen bezahlung trinkwasser,,,,,,,,,,,,,,,,,,,"{'Genau': 0, 'deshalb': 0.10500000000000001, 'benötigt': 0, 'es': 0.09, 'ein': 0, 'JA': 0.26, 'zur': 0.16, 'trinkwasserinitiative': 0.36, 'Die': 0.24, 'Zahlen': 0, 'nicht': 0, 'präsentieren': 0.13, 'weil': 0.16, 'sie': 0, 'genau': 0, 'aussagen': 0, 'die': 0.24, 'Landwirtschaft': 1.0, 'bewegt': 0, 'sich': 0, 'und': 0.26, 'wenn': 0.09, 'dann': 0.09, 'nur': 0.1, 'gegen': 0, 'Bezahlung': 0, 'trinkwasser': 0.43}",negative,"[0.34138057, 0.6396284, 0.018990986]",positive
50.0,75.0,57.0,0.0,neutral,RT @liberale_twi: Ein Ja zur #Trinkwasserinitiative ist eine ökologische Notwendigkeit: Kein einziges der 13 Umweltziele der Landwirtschaft…,ja trinkwasserinitiative ökologisch notwendigkeit einzig umweltziele landwirtschaft,,,,,,,,,,,,,,,,,,,"{'Ein': 0.2, 'Ja': 0, 'zur': 0.08, 'Trinkwasserinitiative': 0.04, 'ist': 0.08, 'eine': 0.35, 'ökologische': 0.1, 'Notwendigkeit': 0, 'Kein': 0, 'einziges': 0.35, 'der': 0.12, 'Umweltziele': 0.305, 'Landwirtschaft': 0.74, '…': 0}",positive,"[0.09239493, 0.015369234, 0.89223576]",neutral
