answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3449,absa_sentiment_3449,absa_scores_3449,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3451,absa_sentiment_3451,absa_scores_3451,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"Ich unterstütze 2 Wochen #Vaterschaftsurlaub, ist längst überfällig. Und wenn der Roger dies als Raubzug sieht, dann sagt das viel über ihn aus. https://t.co/rLUtj5aOMK",unterstützen wochen vaterschaftsurlaub längst überfällig roger raubzug sehen sagen,"{'Ich': 0.09, 'unterstütze': 0.29, 'Wochen': 0.23, 'Vaterschaftsurlaub': 0.37, 'ist': 0.1, 'längst': 0.05, 'überfällig': 0.34, 'Und': 0.08, 'wenn': 0.06, 'der': 0, 'Roger': 0.19, 'dies': 0, 'als': 0.04, 'Raubzug': 0.12, 'sieht': 0.06, 'dann': 0, 'sagt': 0.07, 'das': 0, 'viel': 0.04, 'über': 0, 'ihn': 0.07, 'aus': 0}",neutral,"[0.7292584, 0.064963385, 0.2057782]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"Wenn wir den #vaterschaftsurlaub nicht finanzieren können, dann aber bitte sofort die sinnlosen WK's abschaffen. #verhältnisblödsinn",vaterschaftsurlaub finanzieren bitte sofort sinnlos wk s abschaffen verhältnisblödsinn,"{'Wenn': 0, 'wir': 0, 'den': 0.06, 'vaterschaftsurlaub': 0.8, 'nicht': 0, 'finanzieren': 0.29, 'können': 0, 'dann': 0.07, 'aber': 0, 'bitte': 0, 'sofort': 0.08, 'die': 0.06, 'sinnlosen': 0.13, ""WK's"": 0, 'abschaffen': 0.19, 'verhältnisblödsinn': 0.095}",positive,"[0.15817401, 0.06253911, 0.7792868]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @StrebelLuca: Eine Milliarde für #Olympia, aber nicht mal Gegenvorschlag zu #Vaterschaftsurlaub (zwei Wochen) hinkriegen. Bundesrat in H…",milliarde olympia mal gegenvorschlag vaterschaftsurlaub zwei wochen hinkriegen bundesrat h,"{'Eine': 0, 'Milliarde': 0.09, 'für': 0.06, 'Olympia': 0.08, 'aber': 0.07, 'nicht': 0.07, 'mal': 0, 'Gegenvorschlag': 0.18, 'zu': 0.25, 'Vaterschaftsurlaub': 1.0, 'zwei': 0.11, 'Wochen': 0.25, 'hinkriegen': 0, 'Bundesrat': 0.08499999999999999, 'in': 0.06, 'H': 0.11, '…': 0}",neutral,"[0.845515, 0.04508003, 0.10940498]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"@Erdoel_UP Hm, das überzeugt mich nicht. Wenn wir 2050 netto Null Co2-Ausstoss haben müssen, dann sollten wir nicht auf andere fossile Brennstoffe ausweichen und die noch steuerlich befreien. Eher umgekehrt, Lenkungsabgabe auf Fossile.
Übrigens, den Artikel gelesen?
https://t.co/oMsh6YEAAn",hm überzeugen netto nullen co2 ausstoss müssen sollen fossile brennstoffe ausweichen steuerlich befreien eher umkehren lenkungsabgabe fossile übrigens artikel lesen,,,,"{'Hm': 0.1, 'das': 0.15, 'überzeugt': 0, 'mich': 0.07, 'nicht': 0, 'Wenn': 0, 'wir': 0, 'netto': 0.04, 'Null': 0, 'Co2-Ausstoss': 0.045, 'haben': 0.04, 'müssen': 0.04, 'dann': 0.07, 'sollten': 0, 'auf': 0.05, 'andere': 0, 'fossile': 0.05, 'Brennstoffe': 0.05, 'ausweichen': 0, 'und': 0.07, 'die': 0.36, 'noch': 0, 'steuerlich': 0.07, 'befreien': 0.04, 'Eher': 0.14, 'umgekehrt': 0, 'Lenkungsabgabe': 0.08, 'Fossile': 0.05, 'Übrigens': 0.3225, 'den': 0.36, 'Artikel': 1.0, 'gelesen': 0.64}",neutral,"[0.61413366, 0.37323245, 0.012633841]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @Helion_ch: Der Umstieg auf erneuerbare Energie könnte in der Schweiz mehr als 87’000 neue Jobs schaffen. Alleine bei Helion haben wir w…,umsteigen erneuerbare energie schweiz mehr neue jobs schaffen alleine helion w,,,,,,,"{'Der': 0, 'Umstieg': 0, 'auf': 0, 'erneuerbare': 0.12, 'Energie': 0.09, 'könnte': 0.13, 'in': 0.05, 'der': 0, 'Schweiz': 0.04, 'mehr': 0.03, 'als': 0, '87’000': 0, 'neue': 0.03, 'Jobs': 0.07, 'schaffen': 0.08, 'Alleine': 0.33, 'bei': 0.22, 'Helion': 0.17, 'haben': 0.38, 'wir': 0, 'w': 1.0, '…': 0}",positive,"[0.035788257, 0.0118798325, 0.9523319]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"""Das Unternehmen zeigt, dass erneuerbare Energien längst ein wichtiger Schweizer Energiezweig sind.""

Die #Energiewende ist DIE Chance Wertschöpfung und Arbeitsplätze zurück in die Schweiz zu holen 💪🚀

@swissolar_d 
@AEE_SUISSE 
@swisscleantechD https://t.co/2MvxK8arf6",unternehmen zeigen erneuerbare energien längst wichtig schweizer energiezweig energiewende chance wertschöpfung arbeitsplätze zurück schweiz holen,,,,,,,"{'Das': 0.04, 'Unternehmen': 0.23, 'zeigt': 0, 'dass': 1.0, 'erneuerbare': 0.69, 'Energien': 0.36, 'längst': 0.49, 'ein': 0, 'wichtiger': 0.32, 'Schweizer': 0.08, 'Energiezweig': 0.03, 'sind': 0, 'Die': 0.04, 'Energiewende': 0.04, 'ist': 0.07, 'DIE': 0.04, 'Chance': 0.09, 'Wertschöpfung': 0.035, 'und': 0.02, 'Arbeitsplätze': 0.03, 'zurück': 0.03, 'in': 0, 'die': 0.04, 'Schweiz': 0.04, 'zu': 0.03, 'holen': 0}",positive,"[0.036908124, 0.007583222, 0.95550865]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @swissolar_d: 100% Strom aus erneuerbaren Energien bis 2030, so vom österreichischen Parlament beschlossen. Sensationell! In der Schweiz…",strom erneuerbaren energien österreichisch parlament beschließen sensationell schweiz,,,,,,,"{'Strom': 0, 'aus': 0, 'erneuerbaren': 0.16, 'Energien': 0.1, 'bis': 0, 'so': 0, 'vom': 0.055, 'österreichischen': 0.18, 'Parlament': 0.14, 'beschlossen': 0.08, 'Sensationell': 1.0, 'In': 0.16, 'der': 0.06, 'Schweiz': 0.28, '…': 0}",positive,"[0.008009142, 0.0017134274, 0.9902774]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.7999999999999999,neutral,"#Energiewende als Jobmotor.

Wir errichten unseren neuen @Helion_ch-Hauptsitz u. das nationale Kompetenzzentrum für #Erneuerbare Energien der #Bouygues in Zuchwil/@solothurn.

Damit fördern wir unser starkes Wachstum weiter u. schaffen attraktive Arbeitsplätze in der Region. ✌️😃 https://t.co/bSrSQjWhXz",energiewende jobmotor errichten neu hauptsitz u national kompetenzzentrum erneuerbare energien bouygues zuchwil fördern stark wachstum weit u schaffen attraktive arbeitsplätze region,,,,,,,"{'Energiewende': 0.07500000000000001, 'als': 0.04, 'Jobmotor': 0.035, 'Wir': 0.07, 'errichten': 0, 'unseren': 0.05, 'neuen': 0.03, '-Hauptsitz': 0, 'u.': 0, 'das': 0, 'nationale': 0.21, 'Kompetenzzentrum': 0.215, 'für': 0.68, 'Erneuerbare': 1.0, 'Energien': 0.77, 'der': 0.03, 'Bouygues': 0.18, 'in': 0.03, 'Zuchwil/.': 0, 'Damit': 0.03, 'fördern': 0, 'wir': 0, 'unser': 0.05, 'starkes': 0.03, 'Wachstum': 0.05, 'weiter': 0, 'schaffen': 0, 'attraktive': 0.11, 'Arbeitsplätze': 0.07, 'Region': 0.06, '️': 0}",positive,"[0.002158859, 0.0021314682, 0.99570966]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @Juerg_Grossen: Meine Vorstellungen, wie der Weg in die komplett erneuerbare, CO2-neutrale und eigenversorgte Energiezukunft der Schweiz…",vorstellungen komplett erneuerbare co2 neutral eigenversorgte energiezukunft schweiz,,,,,,,"{'Meine': 0.08, 'Vorstellungen': 0, 'wie': 0.28, 'der': 0.23, 'Weg': 0.13, 'in': 0.1, 'die': 0.23, 'komplett': 1.0, 'erneuerbare': 1.0, 'CO2-neutrale': 0, 'und': 0.14, 'eigenversorgte': 0, 'Energiezukunft': 0.285, 'Schweiz': 0.09, '…': 0}",positive,"[0.0009208278, 0.0011734929, 0.99790573]",,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.35,neutral,"RT @axpo: «Wir sollten überlegen, bei welchem System mehr #erneuerbare Energie pro Franken rausspringt.» - Christoph Sutter, Leiter Neue En…",sollen überlegen welch system mehr erneuerbare energie pro franken rausspringt christoph sutter leiter neue en,,,,,,,"{'«': 0, 'Wir': 0, 'sollten': 0, 'überlegen': 0, 'bei': 0, 'welchem': 0, 'System': 0, 'mehr': 0, 'erneuerbare': 0, 'Energie': 0, 'pro': 0, 'Franken': 0, 'rausspringt': 0, '»': 0, 'Christoph': 0, 'Sutter': 0, 'Leiter': 0, 'Neue': 0, 'En': 0, '…': 0}",neutral,"[0.81419563, 0.069369555, 0.11643487]",,,,,,,,,,,,,,,,,,,,,,positive
