answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"Neue Studie zeigt: Cannabis kann vermutlich noch viel mehr, als wir dachten https://t.co/dliA6E0Dt5",neue studie zeigen cannabis vermutlich mehr denken,"{'Neue': 0.28, 'Studie': 0.53, 'zeigt': 0, 'Cannabis': 1.0, 'kann': 0.46, 'vermutlich': 0, 'noch': 0, 'viel': 0.14, 'mehr': 0.27, 'als': 0, 'wir': 0, 'dachten': 0.12}",neutral,"[0.6990887, 0.061470598, 0.23944066]",,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Bei aller Begeisterung für die medizinische Anwendung von Cannabis, darf das Kiffen von THC keinesfalls verhermlost werden! https://t.co/9poPMOGhdF",all begeisterung medizinische anwendung cannabis dürfen kiffen thc keinesfalls verhermlost,"{'Bei': 0, 'aller': 0, 'Begeisterung': 0.27, 'für': 0.14, 'die': 0.32, 'medizinische': 0, 'Anwendung': 0, 'von': 0.07, 'Cannabis': 0.87, 'darf': 0, 'das': 0, 'Kiffen': 0.14500000000000002, 'THC': 0.21, 'keinesfalls': 0.057499999999999996, 'verhermlost': 0.11, 'werden': 0}",positive,"[0.0074012894, 0.0040725674, 0.9885261]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,RT @IKEA_CH: Wir haben gestern eine Kampagne in Aussicht gestellt. #Vaterschaftsurlaub https://t.co/GaUZ8vOcLZ,gestern kampagne aussicht stellen vaterschaftsurlaub,,,,"{'Wir': 0.08, 'haben': 0, 'gestern': 0.13, 'eine': 0, 'Kampagne': 0.14, 'in': 0, 'Aussicht': 0, 'gestellt': 0, 'Vaterschaftsurlaub': 0.51}",positive,"[0.20010115, 0.0060958136, 0.79380304]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @wahlforschung0: #Abst20 #CHvote
Erste Umfrage zu den Volksabstimmungen vom 27. September 2020

Ja Mehrheit zu Vaterschaftsurlaub
Nein z…",abst20 chvote erste umfrage volksabstimmungen september ja mehrheit vaterschaftsurlaub nein z,,,,"{'Abst20': 0.21, 'CHvote': 0.29, 'Erste': 0.09, 'Umfrage': 0.76, 'zu': 0, 'den': 0.11, 'Volksabstimmungen': 0.76, 'vom': 0.11, '27.': 0, 'September': 0.15, 'Ja': 0, 'Mehrheit': 1.0, 'Vaterschaftsurlaub': 0.7450000000000001, 'Nein': 0.3, 'z': 0, '…': 0}",neutral,"[0.68963176, 0.14949709, 0.1608712]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,Leider scheint vorbildliche Integration in unserem Asylrecht absolut nichts zu zählen... https://t.co/3cMFuoRe1Z,leider scheinen vorbildliche integration asylrecht absolut zählen,,,,,,,"{'Leider': 1.0, 'scheint': 0, 'vorbildliche': 0.72, 'Integration': 0.45, 'in': 0.38, 'unserem': 0.27, 'Asylrecht': 0.7949999999999999, 'absolut': 0, 'nichts': 0, 'zu': 0.14, 'zählen': 0, '...': 0}",positive,"[0.16376162, 0.14714268, 0.6890957]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Revolutionäre Methode zur Speicherung erneuerbarer Energie https://t.co/R4d3YBih90,revolutionäre methode speicherung erneuerbarer energie,,,,,,,,,,"{'Revolutionäre': 0, 'Methode': 0.94, 'zur': 0, 'Speicherung': 0, 'erneuerbarer': 0.42, 'Energie': 0.24}",positive,"[0.00077666197, 0.00090423354, 0.9983191]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"""Gewiss: Die Schweiz ist im internationalen Vergleich bei der Ausfuhr von Kriegsmaterial eher restriktiv. 
Und die Exporte nach Saudiarabien wurden in den letzten Jahren eingeschränkt. 
Doch sie sind noch nicht dort, wo sie sein sollten: 
bei exakt... https://t.co/SHxwlihJwn",gewiss schweiz international vergleich ausfahren kriegsmaterial eher restriktiv exporte saudiarabien letzt jahren einschränken sollen exakt,,,,,,,,,,,,,"{'Gewiss': 0.13, 'Die': 0.16, 'Schweiz': 0.67, 'ist': 0.5, 'im': 0, 'internationalen': 0.19, 'Vergleich': 0.23, 'bei': 0.04, 'der': 0.16, 'Ausfuhr': 0.38, 'von': 0, 'Kriegsmaterial': 0.675, 'eher': 1.0, 'restriktiv': 1.0, 'Und': 0.08, 'die': 0.16, 'Exporte': 0.16, 'nach': 0, 'Saudiarabien': 0.060000000000000005, 'wurden': 0, 'in': 0.04, 'den': 0.16, 'letzten': 0, 'Jahren': 0.05, 'eingeschränkt': 0.76, 'Doch': 0.07, 'sie': 0, 'sind': 0.04, 'noch': 0, 'nicht': 0.04, 'dort': 0, 'wo': 0.08, 'sein': 0, 'sollten': 0.04, 'exakt': 0.04, '...': 0}",negative,"[0.39814016, 0.46028587, 0.14157397]",,,,,,,,,,neutral
100.0,100.0,100.0,0.7999999999999999,neutral,"5. Dass es zur Förderung des Wirtschaftswachstums der Nation notwendig ist, den Umlauf einer digitalen Währung zuzulassen, deren Wert ausschließlich marktwirtschaftlichen Kriterien entspricht, um den nationalen Wohlstand zum Nutzen der größten Anzahl von Einwohnern zu erhöhen.",förderung wirtschaftswachstums nation notwendig umlauf digital währung zulassen wert ausschließlich marktwirtschaftlichen kriterien entsprechen national wohlstand nutzen groß anzahl einwohnern erhöhen,,,,,,,,,,,,,,,,"{'5.': 0, 'Dass': 0.04, 'es': 0.03, 'zur': 0.095, 'Förderung': 0, 'des': 0, 'Wirtschaftswachstums': 0.055, 'der': 0.06, 'Nation': 0.05, 'notwendig': 0.06, 'ist': 0.03, 'den': 0.06, 'Umlauf': 0.09, 'einer': 0, 'digitalen': 0.14, 'Währung': 0.11, 'zuzulassen': 0.16, 'deren': 0, 'Wert': 0, 'ausschließlich': 0.33, 'marktwirtschaftlichen': 0.815, 'Kriterien': 1.0, 'entspricht': 0.08, 'um': 0.08, 'nationalen': 0.1, 'Wohlstand': 0.14, 'zum': 0.095, 'Nutzen': 0.13, 'größten': 0, 'Anzahl': 0, 'von': 0, 'Einwohnern': 0, 'zu': 0.13, 'erhöhen': 0}",neutral,"[0.5519744, 0.06778451, 0.3802411]",,,,,,,positive
75.0,100.0,86.0,0.54,neutral,"@SilFoiera Sozial: wertkonservativ
Wirtschaft: freier Markt mit klaren Regeln, #TaxBadsNotGoods
Zuwanderung: Strenge &amp; Barmherzigkeit
Umweltpolitik: intelligente Lenkungsabgaben statt Verbote
Innen: Förderalismus mit gleich langen Spiessen
EU: Für ein Schweiz-Beitritt der EU",sozial wertkonservativ wirtschaft freier markt klar regeln taxbadsnotgoods zuwanderung streng amp barmherzigkeit umweltpolitik intelligent lenkungsabgaben statt verbote innen förderalismus gleichen lang spiessen eu schweiz beitreten eu,,,,,,,,,,,,,,,,,,,"{'Sozial': 0.03, 'wertkonservativ': 0.065, 'Wirtschaft': 0, 'freier': 0, 'Markt': 0.02, 'mit': 0.14, 'klaren': 0.02, 'Regeln': 0.02, 'TaxBadsNotGoods': 0.19, 'Zuwanderung': 0.05, 'Strenge': 0, 'amp': 0.02, 'Barmherzigkeit': 0.04, 'Umweltpolitik': 0.04, 'intelligente': 0.04, 'Lenkungsabgaben': 0.04, 'statt': 0.060000000000000005, 'Verbote': 0, 'Innen': 0.06, 'Förderalismus': 0.14, 'gleich': 0, 'langen': 0, 'Spiessen': 0, 'EU': 0, 'Für': 0.86, 'ein': 0, 'Schweiz-Beitritt': 0.20500000000000002, 'der': 0.04}",neutral,"[0.44475874, 0.44068137, 0.114559904]",,,,positive
50.0,75.0,57.0,0.0,neutral,"Ach, das war doch das Land, das mal den Vorsitz in einer Expertengruppe im UNO-Menschenrechtsrat hatte... https://t.co/bl4zKyzqU6",ach land mal vorsitz expertengruppe uno menschenrechtsrat,,,,,,,,,,,,,,,,,,,,,,"{'Ach': 0, 'das': 0.26, 'war': 0, 'doch': 0, 'Land': 0, 'mal': 0, 'den': 0.11, 'Vorsitz': 0, 'in': 0.13, 'einer': 0, 'Expertengruppe': 0.22, 'im': 0, 'UNO-Menschenrechtsrat': 0.22625, 'hatte': 0, '...': 0}",neutral,"[0.8977153, 0.09754786, 0.0047368202]",neutral
