answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,negative,"RT @sandro_w_hess: Ui, das kommt jetzt etwas gar rassig…!😳 #NEAT 🏔🚂 Immerhin: Ich werde das im Rentenalter vielleicht sogar noch erleben.",ui kommen gar rassig neat immerhin rentenalter vielleicht sogar erleben,"{'Ui': 0.07, 'das': 0, 'kommt': 0, 'jetzt': 0.06, 'etwas': 0, 'gar': 0.05, 'rassig': 0, '…': 0, 'NEAT': 0, 'Immerhin': 0, 'Ich': 0, 'werde': 0, 'im': 0, 'Rentenalter': 0, 'vielleicht': 0, 'sogar': 0, 'noch': 0, 'erleben': 0}",positive,"[0.13351968, 0.008774463, 0.8577058]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"Ui, das kommt jetzt etwas gar rassig…!😳 #NEAT 🏔🚂 Immerhin: Ich werde das im Rentenalter vielleicht sogar noch erleben. https://t.co/6Umpz7crp5",ui kommen gar rassig neat immerhin rentenalter vielleicht sogar erleben,"{'Ui': 0.06, 'das': 0, 'kommt': 0, 'jetzt': 0.05, 'etwas': 0, 'gar': 0.05, 'rassig': 0, '…': 0, 'NEAT': 0, 'Immerhin': 0, 'Ich': 0, 'werde': 0, 'im': 0, 'Rentenalter': 0, 'vielleicht': 0, 'sogar': 0, 'noch': 0, 'erleben': 0}",positive,"[0.15153769, 0.009830338, 0.8386319]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @sandro_w_hess: Man kann noch lange so tun, als sei man gegen #Sexismus. In der Frage des #AHV-#Rentenalter-s erfolgt der Tatbeweis.",lang tun sexismus fragen ahv rentenalter s erfolgen tatbeweis,"{'Man': 0, 'kann': 0.03, 'noch': 0.03, 'lange': 0.03, 'so': 0, 'tun': 0.02, 'als': 0, 'sei': 0.03, 'man': 0, 'gegen': 0.07, 'Sexismus': 0.17, 'In': 0.06, 'der': 0.21, 'Frage': 0, 'des': 0, 'AHV-#Rentenalter-s': 0.63, 'erfolgt': 0, 'Tatbeweis': 0.1}",neutral,"[0.96533227, 0.009890163, 0.024777612]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @Blickch: Kampf gegen höheres Rentenalter: Mitte verliert Geduld mit Gewerkschaften https://t.co/eOEyV4ZKv8,kampf hoch rentenalter mitte verlieren geduld gewerkschaften,"{'Kampf': 0, 'gegen': 1.0, 'höheres': 1.0, 'Rentenalter': 0.8200000000000001, 'Mitte': 0, 'verliert': 0, 'Geduld': 0.17, 'mit': 0.07, 'Gewerkschaften': 0.12}",positive,"[0.29028925, 0.17388885, 0.5358219]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Man kann noch lange so tun, als sei man gegen #Sexismus. In der Frage des #AHV-#Rentenalter-s erfolgt der Tatbeweis.",lang tun sexismus fragen ahv rentenalter s erfolgen tatbeweis,"{'Man': 0, 'kann': 0.04, 'noch': 0, 'lange': 0.03, 'so': 0, 'tun': 0.02, 'als': 0, 'sei': 0.03, 'man': 0, 'gegen': 0.08, 'Sexismus': 0.2, 'In': 0.06, 'der': 0.2, 'Frage': 0, 'des': 0, 'AHV-#Rentenalter-s': 0.66, 'erfolgt': 0, 'Tatbeweis': 0.11}",neutral,"[0.95713407, 0.008535248, 0.03433072]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"@EggenbergerMis1 Gleiche Löhne. Gleiches Rentenalter. Dienstpflicht. usw.
Das wäre zB eine faire Lösung. Manche wollen aber genau das verhindern. Schade.",gleich löhnen gleich rentenalter dienstpflicht usw zb faire lösung manch genau verhindern schaden,"{'Gleiche': 1.0, 'Löhne': 0.5, 'Gleiches': 1.0, 'Rentenalter': 0.9450000000000001, 'Dienstpflicht': 0.125, 'usw.': 0, 'Das': 0, 'wäre': 0.07, 'zB': 0, 'eine': 0, 'faire': 0.04, 'Lösung': 0.17, 'Manche': 0.06, 'wollen': 0.05, 'aber': 0.1, 'genau': 0, 'das': 0.07, 'verhindern': 0, 'Schade': 0}",neutral,"[0.9013041, 0.009366611, 0.08932919]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,negative,"RT @gporlezza: Ich finde es diskriminierend, dass Frauen nicht gleich lange arbeiten sollen wie Männer. Deshalb: gleiches Rentenalter für a…",finden diskriminieren frauen gleichen lang arbeiten sollen männer deshalb gleich rentenalter a,"{'Ich': 0.05, 'finde': 0.09, 'es': 0, 'diskriminierend': 0.41, 'dass': 0.12, 'Frauen': 0.09, 'nicht': 0, 'gleich': 1.0, 'lange': 0.05, 'arbeiten': 0.04, 'sollen': 0, 'wie': 0, 'Männer': 0.06, 'Deshalb': 0.53, 'gleiches': 1.0, 'Rentenalter': 0.855, 'für': 0.49, 'a': 0.13, '…': 0}",positive,"[0.2609858, 0.02312323, 0.715891]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @SarahBuenter: Endlich! Rentenalter 65 auch für Frauen. 💪,endlich rentenalter frauen,"{'Endlich': 0.97, 'Rentenalter': 0.685, 'auch': 0, 'für': 1.0, 'Frauen': 0.65}",positive,"[0.1098296, 0.005655678, 0.88451475]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @wanner_fabio: Gleiche Rechte bedeuten gleiche Pflichten. Dass das Frauenrentenalter 65 so vehement bekämpft wird, zeigt eines: Vielen (…",gleich rechte bedeuten gleich pflichten frauenrentenalter vehement bekämpfen zeigen,"{'Gleiche': 0, 'Rechte': 0, 'bedeuten': 0.08, 'gleiche': 0, 'Pflichten': 0, 'Dass': 0.09, 'das': 0.09, 'Frauenrentenalter': 0.0675, 'so': 0.06, 'vehement': 0, 'bekämpft': 0, 'wird': 0, 'zeigt': 0, 'eines': 0.1, 'Vielen': 1.0, '…': 0}",negative,"[0.37380898, 0.4248421, 0.20134895]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,RT @sandro_w_hess: #Gleichberechtigung schreien &amp; gegen gleiches #Rentenalter sein? 🤔 #gimmeabreak #AHV21 ⚧,gleichberechtigung schreien amp gleich rentenalter gimmeabreak ahv21,"{'Gleichberechtigung': 0.1, 'schreien': 0.08, 'amp': 0.11, 'gegen': 0.57, 'gleiches': 0.79, 'Rentenalter': 0.9199999999999999, 'sein': 0, '🤔': 0, 'gimmeabreak': 0, 'AHV21': 0}",neutral,"[0.8724385, 0.06218851, 0.06537307]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
