answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
100.0,100.0,86.0,0.7,neutral,RT @sp_bl: 3285 Unterschriften an einem Tag: Die SP Initiative «Gebührenfreie Kinderbetreuung für alle Familien» findet grossen Anklang bei…,unterschriften tag sp initiative gebührenfrei kinderbetreuung all familien finden grossen anklingen,"{'Unterschriften': 0.07, 'an': 0, 'einem': 0.02, 'Tag': 0, 'Die': 0.1, 'SP': 0.05, 'Initiative': 0.14, '«': 0, 'Gebührenfreie': 0, 'Kinderbetreuung': 0, 'für': 0, 'alle': 0, 'Familien': 0, '»': 0, 'findet': 0, 'grossen': 0, 'Anklang': 0, 'bei': 0, '…': 0}",positive,"[0.0013603858, 0.0010866357, 0.99755305]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @RonjaJansen: 15 000 Menschen demonstrieren heute in Bern gegen Rentenabbau!
Wichtig: Die Rentenaltererhöhung auf dem Buckel der Frauen…",menschen demonstrieren heute bern rentenabbau wichtig rentenaltererhöhung buckel frauen,,,,"{'Menschen': 0.14, 'demonstrieren': 0, 'heute': 0.11, 'in': 0.57, 'Bern': 0.09, 'gegen': 0.18, 'Rentenabbau': 0.155, 'Wichtig': 0.96, 'Die': 0.12, 'Rentenaltererhöhung': 0.8875, 'auf': 0, 'dem': 0.12, 'Buckel': 0, 'der': 0.12, 'Frauen': 0.21, '…': 0}",positive,"[0.05915784, 0.05750644, 0.8833357]",,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"RT @RonjaJansen: Eueren faulen Deal könnt ihr behalten @AllianceF und @MayaGraf!
Wir sind nicht bereit das Rentenalter 64 zu verjubeln für…",eueren faul deal behalten bereiten rentenalter verjubeln,,,,"{'Eueren': 0, 'faulen': 0.25, 'Deal': 0.15, 'könnt': 0.06, 'ihr': 0, 'behalten': 0.31, 'und': 0.07, 'Wir': 0.17, 'sind': 0.16, 'nicht': 0.9, 'bereit': 0.67, 'das': 0, 'Rentenalter': 0.775, 'zu': 0.5, 'verjubeln': 0, 'für': 0.29, '…': 0}",neutral,"[0.44150248, 0.29738957, 0.261108]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @jusobl: Während viele Leute in den Weihnachtsvorbereitungen steckten, hat die Bürgergemeinde Bubendorfs gegen die Einbürgerung von H. H…",leute weihnachtsvorbereitungen stecken bürgergemeinde bubendorfs einbürgerung h h,,,,,,,"{'Während': 0.29, 'viele': 0, 'Leute': 0.14, 'in': 0, 'den': 0.74, 'Weihnachtsvorbereitungen': 0.12, 'steckten': 0, 'hat': 0, 'die': 0.74, 'Bürgergemeinde': 0, 'Bubendorfs': 0.66, 'gegen': 0, 'Einbürgerung': 0.97, 'von': 0, 'H.': 0, 'H': 0.09, '…': 0}",positive,"[0.007942382, 0.0039693415, 0.9880883]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,negative,RT @jusobl: Die Weltbank hält ideologisch am fehlgeschlagenen Experiment von endlosen Privatisierungen und Steuersenkungen fest. So zeigt s…,weltbank halten ideologisch fehlgeschlagen experiment endlos privatisierungen steuersenkungen fest zeigen s,,,,,,,,,,"{'Die': 0.36, 'Weltbank': 0.09, 'hält': 0, 'ideologisch': 0, 'am': 0, 'fehlgeschlagenen': 1.0, 'Experiment': 1.0, 'von': 0, 'endlosen': 0.31, 'Privatisierungen': 0.62, 'und': 0.26, 'Steuersenkungen': 0.735, 'fest': 0, 'So': 0.12, 'zeigt': 0, 's': 0, '…': 0}",negative,"[0.100851916, 0.6933188, 0.20582938]",,,,,,,,,,,,,,,,negative
50.0,25.0,28.0,-0.175,neutral,"@thluethi @jusobl @Kanton_BL Diese neoliberale Logik geht nicht auf. Wer nur ein bisschen Realitätsbezug hat, erkennt, dass Steuersenkungen = weniger Geld ist. Am Beispiel @KantonLuzern sieht man, dass weniger Steuern nur in Abbau auf dem Rücken der Bevölkerung resultieren.",neoliberale logik gehen wer bisschen realitätsbezug erkennen steuersenkungen wenig geld beispiel sehen wenig steuern abbau rücken bevölkerung resultieren,,,,,,,,,,"{'Diese': 0.09, 'neoliberale': 0, 'Logik': 0.16, 'geht': 0, 'nicht': 0.09, 'auf': 0.02, 'Wer': 0.04, 'nur': 0.08, 'ein': 0, 'bisschen': 0.09, 'Realitätsbezug': 0, 'hat': 0, 'erkennt': 0, 'dass': 0.14, 'Steuersenkungen': 0.53, 'weniger': 0.06, 'Geld': 0.09, 'ist': 0, 'Am': 0, 'Beispiel': 0.48, 'sieht': 0, 'man': 0, 'Steuern': 0, 'in': 0.02, 'Abbau': 0.05, 'dem': 0.03, 'Rücken': 0, 'der': 0.03, 'Bevölkerung': 0.03, 'resultieren': 0.07}",negative,"[0.09516094, 0.8673181, 0.03752099]",,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,"@Ratoffline @BeriniFelix @AtticusJazz @fab4president @JusoSchweiz @Tamarafuniciell Und seinen Angestellte unter dem Mindestlohn anstellt und ihre Rechte einschränken will, die Arbeit/Erfindungen anderer für sich claimt, durch Geld aus Smaragdminen in Apartheit-Südafrika reich wurde und Todessquads in Südamerika bezahlt um günstiger an Rohstoffe zu kommen. Sympa",angestellt mindestlohn anstellen rechte einschränken arbeit erfindungen claimt geld smaragdminen apartheit südafrika reichen todessquads südamerika bezahlen günstig rohstoffe kommen sympa,,,,,,,,,,,,,"{'Und': 0.03, 'seinen': 0.26, 'Angestellte': 0, 'unter': 0, 'dem': 0.04, 'Mindestlohn': 0.645, 'anstellt': 1.0, 'und': 0.03, 'ihre': 0.06, 'Rechte': 0, 'einschränken': 0.22, 'will': 0, 'die': 0.06, 'Arbeit': 0.04, 'Erfindungen': 0.04, 'anderer': 0, 'für': 0.04, 'sich': 0.03, 'claimt': 0.09, 'durch': 0, 'Geld': 0.06, 'aus': 0, 'Smaragdminen': 0.05, 'in': 0.03, 'Apartheit-Südafrika': 0.035, 'reich': 0, 'wurde': 0, 'Todessquads': 0.035, 'Südamerika': 0.035, 'bezahlt': 0, 'um': 0, 'günstiger': 0.05, 'an': 0, 'Rohstoffe': 0.04, 'zu': 0.02, 'kommen': 0, 'Sympa': 0}",negative,"[0.13374136, 0.8392233, 0.027035303]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@phil_liberal @FDP_Liberalen Schön, wenn Sie unterdessen dahinter stehen. In der Vergangenheit haben Sie sich aber immer gegen Verstärkungen des Arbeitsrecht gestellt. Gegen Mindestlohn und Kündigungsschutz. Hätte die FDP (immernoch) alleine das Sagen, wären AHV und 48-Stundenwoche nie eingeführt worden.",schön unterdessen dahinter stehen vergangenheit immer verstärkungen arbeitsrecht stellen mindestlohn kündigungsschutz fdp immernoch alleine sagen ahv stundenwoche nie einführen,,,,,,,,,,,,,"{'Schön': 0.06, 'wenn': 0.03, 'Sie': 0, 'unterdessen': 0, 'dahinter': 0.03, 'stehen': 0.03, 'In': 0.02, 'der': 0.05, 'Vergangenheit': 0.03, 'haben': 0.02, 'sich': 0, 'aber': 0, 'immer': 0.12, 'gegen': 0.25, 'Verstärkungen': 0, 'des': 0, 'Arbeitsrecht': 0.69, 'gestellt': 0, 'Gegen': 0.25, 'Mindestlohn': 0.745, 'und': 0.05, 'Kündigungsschutz': 0.35500000000000004, 'Hätte': 0.12, 'die': 0.05, 'FDP': 0.05, 'immernoch': 0.04, 'alleine': 0.05, 'das': 0, 'Sagen': 0, 'wären': 0.04, 'AHV': 0.03, '48-Stundenwoche': 0.0325, 'nie': 0, 'eingeführt': 0.04, 'worden': 0}",neutral,"[0.6212833, 0.17421995, 0.20449676]","{'Schön': 0.03, 'wenn': 0.01, 'Sie': 0, 'unterdessen': 0, 'dahinter': 0.01, 'stehen': 0.01, 'In': 0.01, 'der': 0.02, 'Vergangenheit': 0.02, 'haben': 0.01, 'sich': 0, 'aber': 0, 'immer': 0.03, 'gegen': 0.39, 'Verstärkungen': 0, 'des': 0, 'Arbeitsrecht': 0.07, 'gestellt': 0, 'Gegen': 0.39, 'Mindestlohn': 0.14, 'und': 0.02, 'Kündigungsschutz': 0.38250000000000006, 'Hätte': 0.05, 'die': 0.02, 'FDP': 0.01, 'immernoch': 0.02, 'alleine': 0.02, 'das': 0, 'Sagen': 0, 'wären': 0.02, 'AHV': 0.01, '48-Stundenwoche': 0.01, 'nie': 0, 'eingeführt': 0.01, 'worden': 0}",positive,"[0.1170655, 0.023930186, 0.85900426]",,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"@phil_liberal @FDP_Liberalen Schön, wenn Sie unterdessen dahinter stehen. In der Vergangenheit haben Sie sich aber immer gegen Verstärkungen des Arbeitsrecht gestellt. Gegen Mindestlohn und Kündigungsschutz. Hätte die FDP (immernoch) alleine das Sagen, wären AHV und 48-Stundenwoche nie eingeführt worden.",schön unterdessen dahinter stehen vergangenheit immer verstärkungen arbeitsrecht stellen mindestlohn kündigungsschutz fdp immernoch alleine sagen ahv stundenwoche nie einführen,,,,,,,,,,,,,"{'Schön': 0.06, 'wenn': 0.03, 'Sie': 0, 'unterdessen': 0, 'dahinter': 0.03, 'stehen': 0.03, 'In': 0.02, 'der': 0.05, 'Vergangenheit': 0.03, 'haben': 0.02, 'sich': 0, 'aber': 0, 'immer': 0.12, 'gegen': 0.25, 'Verstärkungen': 0, 'des': 0, 'Arbeitsrecht': 0.69, 'gestellt': 0, 'Gegen': 0.25, 'Mindestlohn': 0.745, 'und': 0.05, 'Kündigungsschutz': 0.35500000000000004, 'Hätte': 0.12, 'die': 0.05, 'FDP': 0.05, 'immernoch': 0.04, 'alleine': 0.05, 'das': 0, 'Sagen': 0, 'wären': 0.04, 'AHV': 0.03, '48-Stundenwoche': 0.0325, 'nie': 0, 'eingeführt': 0.04, 'worden': 0}",neutral,"[0.6212833, 0.17421995, 0.20449676]","{'Schön': 0.03, 'wenn': 0.01, 'Sie': 0, 'unterdessen': 0, 'dahinter': 0.01, 'stehen': 0.01, 'In': 0.01, 'der': 0.02, 'Vergangenheit': 0.02, 'haben': 0.01, 'sich': 0, 'aber': 0, 'immer': 0.03, 'gegen': 0.39, 'Verstärkungen': 0, 'des': 0, 'Arbeitsrecht': 0.07, 'gestellt': 0, 'Gegen': 0.39, 'Mindestlohn': 0.14, 'und': 0.02, 'Kündigungsschutz': 0.38250000000000006, 'Hätte': 0.05, 'die': 0.02, 'FDP': 0.01, 'immernoch': 0.02, 'alleine': 0.02, 'das': 0, 'Sagen': 0, 'wären': 0.02, 'AHV': 0.01, '48-Stundenwoche': 0.01, 'nie': 0, 'eingeführt': 0.01, 'worden': 0}",positive,"[0.1170655, 0.023930186, 0.85900426]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"@jungesvp @FDP_Liberalen Keine Angst, das Klima ist der @FDP_Liberalen immer noch egal. Gerade gestern hat die Vertretung der @FDP_BL im Einwohnerrat von Binningen BL das wieder klar gemacht. Nichtmal über Erneuerbare Energien reden wollten sie. Genau wie ihr...",angst klima immer egal gerade gestern vertretung einwohnerrat binningen bl klaren nichtmal erneuerbare energien reden genau,,,,,,,,,,,,,,,,,,,"{'Keine': 0, 'Angst': 0, 'das': 0.04, 'Klima': 0.04, 'ist': 0, 'der': 0.02, 'immer': 0, 'noch': 0.01, 'egal': 0.02, 'Gerade': 0.05, 'gestern': 0.02, 'hat': 0, 'die': 0.02, 'Vertretung': 0, 'im': 0, 'Einwohnerrat': 0.05, 'von': 0, 'Binningen': 0.03, 'BL': 0.02, 'wieder': 0.03, 'klar': 0.06, 'gemacht': 0, 'Nichtmal': 0.18, 'über': 0, 'Erneuerbare': 0.76, 'Energien': 0.36, 'reden': 0, 'wollten': 0.16, 'sie': 0, 'Genau': 0, 'wie': 0, 'ihr': 0, '...': 0}",neutral,"[0.74408156, 0.078824095, 0.17709434]",,,,,,,neutral
