answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3476,absa_sentiment_3476,absa_scores_3476,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @susanne_brunner: Kinderbetreuungszeit von Vätern zu finanzieren, ist keine Staatsaufgabe. Das zeigt sich darin, dass dem staatl. #Vater…",kinderbetreuungszeit vätern finanzieren staatsaufgabe zeigen darin staatl vater,"{'Kinderbetreuungszeit': 1.0, 'von': 0, 'Vätern': 0.21, 'zu': 0, 'finanzieren': 0, 'ist': 0.28, 'keine': 0, 'Staatsaufgabe': 0.12, 'Das': 0.04, 'zeigt': 0, 'sich': 0, 'darin': 0.065, 'dass': 0.03, 'dem': 0.04, 'staatl': 0.12, 'Vater': 0.05, '…': 0}",neutral,"[0.8538801, 0.10286574, 0.043254156]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @laStaempfli: Es ist kein Kulturkampf. Cannabis zerstört Familien, die Jugendlichen sowieso. Schon mal mit einem 25jährigen leben müssen…",kulturkampf cannabis zerstören familien jugendlich sowieso schon mal 25jährigen leben müssen,,,,"{'Es': 0.09, 'ist': 0.09, 'kein': 0, 'Kulturkampf': 0, 'Cannabis': 1.0, 'zerstört': 0, 'Familien': 0, 'die': 0.12, 'Jugendlichen': 0, 'sowieso': 0.42, 'Schon': 0, 'mal': 0, 'mit': 0.03, 'einem': 0, '25jährigen': 0.025, 'leben': 0, 'müssen': 0.04, '…': 0}",positive,"[0.27098984, 0.015264787, 0.71374536]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@spschweiz @BaGysi Was hat das Rentenalter mit der Coronakrise zu tun?,rentenalter coronakrise tun,,,,,,,"{'Was': 0, 'hat': 0, 'das': 0, 'Rentenalter': 0.185, 'mit': 0.18, 'der': 0.07, 'Coronakrise': 0, 'zu': 0.07, 'tun': 0.535}",neutral,"[0.5797195, 0.4080742, 0.012206233]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,RT @AlainS1991: Der unverantwortliche Ausbau der AHV frisst die Einsparungen durch die Erhöhung des Frauenrentenalters gleich wieder weg. #…,unverantwortlich ausbau ahv frisst einsparungen erhöhung frauenrentenalters gleichen,,,,,,,"{'Der': 0.34, 'unverantwortliche': 0.36, 'Ausbau': 0.21, 'der': 0.34, 'AHV': 0.08, 'frisst': 0, 'die': 0.34, 'Einsparungen': 0.35, 'durch': 0, 'Erhöhung': 0, 'des': 0, 'Frauenrentenalters': 0.79, 'gleich': 0, 'wieder': 0, 'weg': 0, '…': 0}",positive,"[0.10551649, 0.01758565, 0.8768978]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @lohnabzuegeNein: Sozialpartner regeln die Arbeitsbedingungen, so auch den #Vaterschaftsurlaub. Hier brauchen wir den Staat nicht. NEIN…",sozialpartner regeln arbeitsbedingungen vaterschaftsurlaub brauchen staat nein,,,,,,,,,,"{'Sozialpartner': 0.125, 'regeln': 0, 'die': 0.07, 'Arbeitsbedingungen': 0.12000000000000001, 'so': 0, 'auch': 0, 'den': 0.07, 'Vaterschaftsurlaub': 0.68, 'Hier': 0.06, 'brauchen': 0.05, 'wir': 0, 'Staat': 0.13, 'nicht': 0, 'NEIN': 0.05, '…': 0}",neutral,"[0.57822436, 0.026144877, 0.3956308]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @susanne_brunner: Die @FDP_Liberalen beschliessen die NEIN-Parole zum staatlichen #Vaterschaftsurlaub. Ich danke den Delegierten für die…,beschliessen nein parole staatlich vaterschaftsurlaub danke delegieren,,,,,,,,,,"{'Die': 0.08, 'beschliessen': 0.17, 'die': 0.08, 'NEIN-Parole': 0.63, 'zum': 0.08, 'staatlichen': 0.36, 'Vaterschaftsurlaub': 1.0, 'Ich': 0.07, 'danke': 0.11, 'den': 0.08, 'Delegierten': 0.17, 'für': 0.05, '…': 0}",neutral,"[0.669524, 0.07655364, 0.25392225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @lohnabzuegeNein: Die @FDP_Liberalen lehnen den staatlichen #Vaterschaftsurlaub ab! 🥳 Herzlichen Dank @themattmueller_ für deinen engagi…,lehnen staatlich vaterschaftsurlaub ab herzlich danken engagi,,,,,,,,,,"{'Die': 0.54, 'lehnen': 0, 'den': 0.54, 'staatlichen': 0.55, 'Vaterschaftsurlaub': 1.0, 'ab': 0, '🥳': 0, 'Herzlichen': 0, 'Dank': 0, 'für': 0, 'deinen': 0, 'engagi': 0, '…': 0}",negative,"[0.37611, 0.4650235, 0.15886654]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @lohnabzuegeNein: Als erste Kantonalpartei der FDP fassen die Delegierten der FDP Kanton Zug die NEIN-Parole zum #Vaterschaftsurlaub.

F…",erste kantonalpartei fdp fassen delegieren fdp kanton zug nein parole vaterschaftsurlaub f,,,,,,,,,,"{'Als': 0, 'erste': 0.03, 'Kantonalpartei': 0.14, 'der': 0.17, 'FDP': 0.13, 'fassen': 0, 'die': 0.17, 'Delegierten': 0.17, 'Kanton': 0.1, 'Zug': 0.11, 'NEIN-Parole': 0.565, 'zum': 0.17, 'Vaterschaftsurlaub': 0.93, 'F': 0.29, '…': 0}",neutral,"[0.76204914, 0.10696342, 0.13098747]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @DianaGutjahr1: Gewerbeverband setzt sich gegen den staatlich verordneten Vaterschaftsurlaub ein. Klar: Keine weiteren Eingriffe in den…,gewerbeverband setzen staatlich verordnen vaterschaftsurlaub klaren weit eingriffe,,,,,,,,,,"{'Gewerbeverband': 0.17, 'setzt': 0, 'sich': 0, 'gegen': 1.0, 'den': 0.04, 'staatlich': 0.13, 'verordneten': 0.29, 'Vaterschaftsurlaub': 0.315, 'ein': 0, 'Klar': 0, 'Keine': 0, 'weiteren': 0.06, 'Eingriffe': 0.14, 'in': 0.03, '…': 0}",positive,"[0.2306102, 0.04751193, 0.7218778]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @NZZzuerich: Die Stadt Zürich verdoppelt ihren Angestellten den Vaterschaftsurlaub - als ob sie nicht gerade andere Probleme hätte. http…,stadt zürich verdoppeln angestellt vaterschaftsurlaub gerade probleme http,,,,,,,,,,"{'Die': 1.0, 'Stadt': 0.66, 'Zürich': 0, 'verdoppelt': 0, 'ihren': 0, 'Angestellten': 0.22, 'den': 1.0, 'Vaterschaftsurlaub': 0.5549999999999999, 'als': 0.34, 'ob': 0, 'sie': 0, 'nicht': 0, 'gerade': 0, 'andere': 0, 'Probleme': 0.14, 'hätte': 0, 'http': 0.26, '…': 0}",neutral,"[0.40615436, 0.21727479, 0.37657085]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
