answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,negative,"RT @JayBadran: Nominiert als Quote des Tages: Rentenaltererhöhung ist vom Tisch, ""alles andere wäre respektlos gegenüber den Gewinnern"" @Gr…",nominieren quote tages rentenaltererhöhung tisch respektlos gegenüber gewinnern,"{'Nominiert': 0.09, 'als': 0.13, 'Quote': 0, 'des': 0, 'Tages': 0.09, 'Rentenaltererhöhung': 0.9299999999999999, 'ist': 0.78, 'vom': 0.07, 'Tisch': 0.15, 'alles': 0, 'andere': 0, 'wäre': 0.06, 'respektlos': 0.25, 'gegenüber': 0.04, 'den': 0.07, 'Gewinnern': 0.14, '…': 0}",negative,"[0.08060048, 0.8757447, 0.04365483]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @TheDudeLebovski: Den Bauern schenkt der NR 400 Mio. CHF., aber ein zweiwöchiger #Vaterschaftsurlaub sei zu teuer. #Kopfschütteln https:…",bauern schenken nr mio chf zweiwöchiger vaterschaftsurlaub teuer kopfschütteln https,,,,"{'Den': 0.05, 'Bauern': 0.07, 'schenkt': 0.07, 'der': 0.05, 'NR': 0, 'Mio.': 0, 'CHF': 0.05, 'aber': 0.13, 'ein': 0, 'zweiwöchiger': 0.08, 'Vaterschaftsurlaub': 1.0, 'sei': 0, 'zu': 0, 'teuer': 1.0, 'Kopfschütteln': 0.155, 'https': 0.11, '…': 0}",negative,"[0.003655516, 0.9866751, 0.009669398]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,"RT @CVP_PDC: Linke und Rechte scheinen in Kauf zu nehmen, dass entlassene ältere Menschen weiterhin keine Rente aus der Pensionskasse bezie…",link rechte scheinen kauf nehmen entlassen alt menschen weiterhin rente pensionskasse bezie,,,,,,,"{'Linke': 0.06, 'und': 0.04, 'Rechte': 0.06, 'scheinen': 0.10500000000000001, 'in': 0, 'Kauf': 0, 'zu': 0.13, 'nehmen': 0.13, 'dass': 0.22, 'entlassene': 0.17, 'ältere': 0.12, 'Menschen': 0.18, 'weiterhin': 0, 'keine': 0, 'Rente': 0, 'aus': 0, 'der': 0.16, 'Pensionskasse': 0.23500000000000001, 'bezie': 0, '…': 0}",negative,"[0.20236628, 0.7395168, 0.05811698]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"#AV2020 sichert Stabilität des Gesamtsystems von AHV und Pensionskassen. @alain_berset hat recht &amp; @RentenreformJa!
https://t.co/9CqjxEBCAK",av2020 sichern stabilität gesamtsystems ahv pensionskassen recht amp,,,,,,,"{'AV2020': 0.2, 'sichert': 0, 'Stabilität': 0.2, 'des': 0, 'Gesamtsystems': 0.185, 'von': 0, 'AHV': 0.13, 'und': 0.1, 'Pensionskassen': 0.24000000000000002, 'hat': 0, 'recht': 0, 'amp': 0.57}",positive,"[0.003049416, 0.006657806, 0.9902928]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @CVP_PDC: Die @JCVPSchweiz unterstützt die #erleichterteEinbürgerung für die 3. Generation, schreibt @schneidertino: https://t.co/7q9SyN…",unterstützen erleichterteeinbürgerung generation schreiben,,,,,,,,,,"{'Die': 0.12, 'unterstützt': 0.33, 'die': 0.12, 'erleichterteEinbürgerung': 1.0, 'für': 0.11, '3.': 0, 'Generation': 0.1, 'schreibt': 0.12}",positive,"[0.0032537852, 0.0016276126, 0.9951186]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @JCVPSchweiz: Unser Präsident @schneidertino plädiert für ein JA zur erleichterten Einbürgerung der dritten #Generation!#abst17 https://…,präsident plädieren ja erleichtern einbürgerung dritt generation abst17,,,,,,,,,,"{'Unser': 0.11, 'Präsident': 0.25, 'plädiert': 0, 'für': 0.21, 'ein': 0, 'JA': 0, 'zur': 0.255, 'erleichterten': 0, 'Einbürgerung': 1.0, 'der': 0.13, 'dritten': 0.11, 'Generation!#abst17': 0}",positive,"[0.00409049, 0.0012218984, 0.99468756]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @PID_Ja: Prof. De Geyter erklärt, weshalb die Schweiz eine moderne #Fortpflanzungsmedizin braucht.#PIDja #abst16 https://t.co/UPsA0z6WjH",prof de geyter erklären weshalb schweiz modern fortpflanzungsmedizin brauchen pidja abst16,,,,,,,,,,,,,"{'Prof.': 0, 'De': 0, 'Geyter': 0.21, 'erklärt': 0, 'weshalb': 0, 'die': 0, 'Schweiz': 0.34, 'eine': 0, 'moderne': 1.0, 'Fortpflanzungsmedizin': 0.69, 'braucht.#PIDja': 0.15, 'abst16': 0.15}",positive,"[0.0060972422, 0.0020049566, 0.9918978]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @PID_Ja: Am 5. Juni nochmals JA zur Fortpflanzungsmedizin. Werden Sie jetzt Unterstützer der Kampagne. #PIDja https://t.co/cBGoLGjin0,juni nochmals ja fortpflanzungsmedizin unterstützer kampagne pidja,,,,,,,,,,,,,"{'Am': 0, '5.': 0, 'Juni': 0.18, 'nochmals': 1.0, 'JA': 0, 'zur': 0.34500000000000003, 'Fortpflanzungsmedizin': 0.34, 'Werden': 0, 'Sie': 0, 'jetzt': 0.07, 'Unterstützer': 0.14, 'der': 0.05, 'Kampagne': 0.11, 'PIDja': 0}",positive,"[0.0044201314, 0.0011871875, 0.99439263]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @PID_Ja: Das Volk hat der Verfassungsänderung zur Fortpflanzungsmedizin klar zugestimmt. Am 5. Juni heisst es nun nochmals JA zur #PID!…,volk verfassungsänderung fortpflanzungsmedizin klaren zustimmen juni heisst nochmals ja pid,,,,,,,,,,,,,"{'Das': 0.2, 'Volk': 0.06, 'hat': 0, 'der': 0.2, 'Verfassungsänderung': 0.595, 'zur': 0.12000000000000001, 'Fortpflanzungsmedizin': 0.5549999999999999, 'klar': 0, 'zugestimmt': 0, 'Am': 0, '5.': 0, 'Juni': 0.03, 'heisst': 0, 'es': 0, 'nun': 0, 'nochmals': 0.04, 'JA': 0, 'PID': 0.05, '…': 0}",positive,"[0.3763799, 0.010324326, 0.6132958]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,In Sachen #Fortpflanzungsmedizin ist die Schweiz nun auch im 21. Jahrhundert angekommen. Gut so! #PIDJa #Abst15 #PID,sachen fortpflanzungsmedizin schweiz jahrhundert ankommen gut pidja abst15 pid,,,,,,,,,,,,,"{'In': 0.13, 'Sachen': 0, 'Fortpflanzungsmedizin': 0.91, 'ist': 0, 'die': 0.12, 'Schweiz': 0.24, 'nun': 0, 'auch': 0.19, 'im': 0, '21.': 0, 'Jahrhundert': 0.18, 'angekommen': 0.18, 'Gut': 0, 'so': 0, 'PIDJa': 0, 'Abst15': 0.36, 'PID': 0.23}",positive,"[0.011434493, 0.0018230119, 0.9867425]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
