answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"@Heierle @LisaWitzig55 @ipinky77 @hans_denkt @Blickch Das kann ich nur bestätigen. Daher gegen jede Rentenalter Erhöhung, solange Jobs über 50 abgebaut werden.",bestätigen daher jed rentenalter erhöhung solange jobs abbauen,"{'Das': 0, 'kann': 0.08, 'ich': 0.05, 'nur': 0, 'bestätigen': 0, 'Daher': 0, 'gegen': 1.0, 'jede': 0.38, 'Rentenalter': 0.55, 'Erhöhung': 1.0, 'solange': 0, 'Jobs': 0.15, 'über': 0.09, 'abgebaut': 0, 'werden': 0}",neutral,"[0.6652603, 0.2636404, 0.0710993]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,Ohne Jobs für 55+ keine höheres Rentenalter. https://t.co/Z9FlIilWLt,jobs hoch rentenalter,"{'Ohne': 0.26, 'Jobs': 0.08, 'für': 0.07, 'keine': 0, 'höheres': 1.0, 'Rentenalter': 0.25}",positive,"[0.019246882, 0.0045989724, 0.97615415]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"Das ist wie bei Uns Rentenalter rauf. Für alles ist Geld vorhanden aber für die Rente nicht. 

Arbeiten auch für die keine Arbeiten bekommen. Auf dem Papier solls möglich sein. 

Staat soll sicherstellen das Arbeiten vorhanden sind ab 55 oder ab 55 ein Grundeinkommen geben. https://t.co/jOzaPfK8Cb",rentenalter rauf geld vorhanden rente arbeiten arbeiten bekommen papier solls möglich staat sicherstellen arbeiten vorhanden ab ab grundeinkommen geben,"{'Das': 0.03, 'ist': 0.01, 'wie': 0, 'bei': 0, 'Uns': 0, 'Rentenalter': 1.0, 'rauf': 0, 'Für': 0.02, 'alles': 0.09, 'Geld': 0.17, 'vorhanden': 0, 'aber': 0.03, 'für': 0.02, 'die': 0.03, 'Rente': 0, 'nicht': 0.01, 'Arbeiten': 0.07, 'auch': 0, 'keine': 0, 'bekommen': 0.02, 'Auf': 0.02, 'dem': 0.025, 'Papier': 0.06, 'solls': 0.02, 'möglich': 0.02, 'sein': 0, 'Staat': 0.06, 'soll': 0, 'sicherstellen': 0.025, 'das': 0.01, 'sind': 0.08, 'ab': 0, 'oder': 0.03, 'ein': 0, 'Grundeinkommen': 0.065, 'geben': 0}",positive,"[0.14225435, 0.0323442, 0.8254015]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@ZStadtfux Die Pensionskassenbeiträge senken und die AHV Beiträge leicht erhöhen. 
Wie AHV Renten erhöhen.",pensionskassenbeiträge senken ahv beiträge leicht erhöhen ahv renten erhöhen,,,,"{'Die': 0.11, 'Pensionskassenbeiträge': 0.09, 'senken': 0, 'und': 0.27, 'die': 0.11, 'AHV': 0.17, 'Beiträge': 0.11, 'leicht': 0, 'erhöhen': 0, 'Wie': 0, 'Renten': 0.27}",negative,"[0.11483933, 0.64639205, 0.23876867]",,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"Ja zur Rentenreform 
nicht wieder verschieben in die Zukunft.

Ausgleich ist gerechtfertigt.

Beispiel Pensionskasse Kapital 200,000 ergibt 13600 Rente im Jahr.
Neu wären dann 12000 Rente im Jahr.
das wäre ein Ausgleich im Übergang mit 100X12 =1200 nicht anmassend. https://t.co/smUlxVg3tV",ja rentenreform verschieben zukunft ausgleich rechtfertigen beispiel pensionskasse kapital ergeben rente jahr neu rente jahr ausgleich übergang 100x12 anmassend,,,,"{'Ja': 0, 'zur': 0.16, 'Rentenreform': 0.32, 'nicht': 0.63, 'wieder': 0.03, 'verschieben': 0, 'in': 0.99, 'die': 0.26, 'Zukunft': 0.06, 'Ausgleich': 1.0, 'ist': 0.07, 'gerechtfertigt': 0.09, 'Beispiel': 0.22, 'Pensionskasse': 0.33499999999999996, 'Kapital': 0.18, '200,000': 0, 'ergibt': 0.29, 'Rente': 0, 'im': 0, 'Jahr': 0.19, 'Neu': 0.27, 'wären': 0.525, 'dann': 0.07, 'das': 0.61, 'wäre': 0.29, 'ein': 0, 'Übergang': 0, 'mit': 0.64, '100X12': 0.44, 'anmassend': 0}",negative,"[0.33815068, 0.5370595, 0.124789834]",,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"10.00 Uhr - Bundesfinanzminister Olaf Scholz hält nichts von Steuersenkungen für Spitzenverdiener. Das sei angesichts von Milliarden-Hilfen für die Wirtschaft in der Corona-Krise nicht das Gebot der Stunde. ""Das ist auch ein bisschen unverfroren, wenn man solche Forderungen hört.",uhr bundesfinanzminister olaf scholz halten steuersenkungen spitzenverdiener angesichts milliarden hilfen wirtschaft corona krise gebieten stunden bisschen unverfroren forderungen hören,,,,,,,"{'10.00': 0, 'Uhr': 0, 'Bundesfinanzminister': 0.09125, 'Olaf': 0.15, 'Scholz': 0.14, 'hält': 0, 'nichts': 0, 'von': 0, 'Steuersenkungen': 0.5, 'für': 0.02, 'Spitzenverdiener': 0.07500000000000001, 'Das': 0.01, 'sei': 0, 'angesichts': 0, 'Milliarden-Hilfen': 0.025, 'die': 0.01, 'Wirtschaft': 0, 'in': 0.02, 'der': 0.01, 'Corona-Krise': 0, 'nicht': 0.09, 'das': 0.03, 'Gebot': 0, 'Stunde': 0, 'ist': 0.02, 'auch': 0, 'ein': 0, 'bisschen': 0, 'unverfroren': 0, 'wenn': 0, 'man': 0, 'solche': 0.03, 'Forderungen': 0, 'hört': 0}",negative,"[0.1971673, 0.77247876, 0.030354014]",,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"@retolipp Mehr arbeiten, wenn Arbeitsplätze vorhanden. 
Aber die werden immer weniger. 
Mit der Digitalisierung werden noch viel mehr Plätze wegfallen vor allem für ältere.",mehr arbeiten arbeitsplätze vorhanden immer wenig digitalisierung mehr plätze wegfallen alt,,,,,,,,,,"{'Mehr': 0.23, 'arbeiten': 0.05, 'wenn': 0, 'Arbeitsplätze': 0.04, 'vorhanden': 0, 'Aber': 0.09, 'die': 0, 'werden': 0.44, 'immer': 0, 'weniger': 0, 'Mit': 1.0, 'der': 0, 'Digitalisierung': 0, 'noch': 0, 'viel': 0, 'mehr': 0.23, 'Plätze': 0.11, 'wegfallen': 0, 'vor': 0, 'allem': 0, 'für': 0.06, 'ältere': 0.06}",negative,"[0.015098775, 0.9627172, 0.022184074]",,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,"Was für ein Elch. 
Bundesratsverordnung im Laden.

Schreibblöcke kann ich kaufen aber Speicherchip nicht ????

Das im Zeitalter der Digitalisierung.

1 Schritt zurück.",elch bundesratsverordnung laden schreibblöcke kaufen speicherchip zeitalter digitalisierung schritt zurück,,,,,,,,,,"{'Was': 0, 'für': 0, 'ein': 0, 'Elch': 0, 'Bundesratsverordnung': 0.045, 'im': 0, 'Laden': 0, 'Schreibblöcke': 0, 'kann': 0.04, 'ich': 0.02, 'kaufen': 0.05, 'aber': 0.03, 'Speicherchip': 0.065, 'nicht': 0.07, 'Das': 0.29, 'Zeitalter': 1.0, 'der': 0.29, 'Digitalisierung': 0, 'Schritt': 0.07, 'zurück': 0.07}",neutral,"[0.8079318, 0.07963477, 0.11243346]",,,,,,,negative
50.0,75.0,57.0,0.0,negative,"@Martin_Mader_63 @CadonauManuel Ich bin in der Mitte habe einen hang zu glp. Bin für Umweltschutz. Was jetzt abgeht, auf der linken seite bis Grün / glp macht mich stutzig muss mir meine  Unterstützung auf diese seite in Zukunft gut überlegen.",mitte hang glp umweltschutz abgehen link seite grün glp stutzig unterstützung seite zukunft gut überlegen,,,,,,,,,,,,,"{'Ich': 0.01, 'bin': 0, 'in': 0.01, 'der': 0.01, 'Mitte': 0, 'habe': 0.01, 'einen': 0.08, 'hang': 0.32, 'zu': 0.01, 'glp': 0.05, 'Bin': 0, 'für': 1.0, 'Umweltschutz': 0.66, 'Was': 0, 'jetzt': 0.04, 'abgeht': 0.03, 'auf': 0.01, 'linken': 0.04, 'seite': 0, 'bis': 0, 'Grün': 0.04, 'macht': 0, 'mich': 0.01, 'stutzig': 0.05, 'muss': 0.01, 'mir': 0.01, 'meine': 0.02, 'Unterstützung': 0.05, 'diese': 0.01, 'Zukunft': 0.02, 'gut': 0, 'überlegen': 0.05}",positive,"[0.024729718, 0.014468366, 0.96080196]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"Vielleicht bald auf dem öffentlichen Verkehrsmittel.

Das Zertifikat machts möglich.

WOLLEN SIE DAS? https://t.co/Js9OfpdEVb",vielleicht bald öffentlich verkehrsmittel zertifikat machts möglich,,,,,,,,,,,,,,,,"{'Vielleicht': 0, 'bald': 0, 'auf': 0.06, 'dem': 0.07, 'öffentlichen': 0.04, 'Verkehrsmittel': 0.09, 'Das': 0.07, 'Zertifikat': 0.14, 'machts': 0.525, 'möglich': 0.1, 'WOLLEN': 0.4, 'SIE': 0, 'DAS': 0.58}",neutral,"[0.8443315, 0.108688205, 0.04698031]",neutral
