answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"RT @spschweiz: Es ist erfreulich, dass die WBK-N vorschlägt, die Anstossfinanzierung des Bundes zur familienergänzenden Kinderbetreuung in…",erfreulich wbk n vorschlagen anstossfinanzierung bundes familienergänzenden kinderbetreuung,"{'Es': 0.03, 'ist': 0.03, 'erfreulich': 0, 'dass': 0.24, 'die': 0.09, 'WBK-N': 0, 'vorschlägt': 0, 'Anstossfinanzierung': 0, 'des': 0, 'Bundes': 0.12, 'zur': 0.09, 'familienergänzenden': 0.68, 'Kinderbetreuung': 1.0, 'in': 0.3, '…': 0}",neutral,"[0.9120102, 0.020489909, 0.067499794]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @sichere_renten: Rudolf Strahm zur #AV2020: Die Gegner der Rentenreform haben eine versteckte Agenda. Sie wollen Rentenalter 67. #srfare…,rudolf strahm av2020 gegner rentenreform verstecken agenda rentenalter srfare,,,,"{'Rudolf': 0.04, 'Strahm': 0.06, 'zur': 0.04, 'AV2020': 0.05, 'Die': 0.04, 'Gegner': 0, 'der': 0.04, 'Rentenreform': 0.075, 'haben': 0.2, 'eine': 0, 'versteckte': 0, 'Agenda': 0.37, 'Sie': 0, 'wollen': 1.0, 'Rentenalter': 0.7250000000000001, '67.': 0, 'srfare': 0.22, '…': 0}",positive,"[0.43659702, 0.013664618, 0.54973835]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Es braucht jetzt dringend einen Vaterschaftsurlaub auch für Rekruten und Soldaten!Die Schweizer Armee muss sich den Bedürfnissen unserer Zeit anpassen.
#vbs_ddps #Violapamherd
 https://t.co/XiJ3VbYDYr via @20min",brauchen dringen vaterschaftsurlaub rekruten soldaten schweizer armee bedürfnissen zeit anpassen vbs_ddps violapamherd via,,,,,,,"{'Es': 0.76, 'braucht': 0.05, 'jetzt': 1.0, 'dringend': 0.7, 'einen': 0, 'Vaterschaftsurlaub': 0.5650000000000001, 'auch': 0, 'für': 0.35, 'Rekruten': 0.17, 'und': 0.08, 'Soldaten': 0.13, 'Die': 0.04, 'Schweizer': 0.04, 'Armee': 0.04, 'muss': 0.06, 'sich': 0, 'den': 0.04, 'Bedürfnissen': 0.05, 'unserer': 0.05, 'Zeit': 0.06, 'anpassen': 0, 'vbs_ddps': 0, 'Violapamherd': 0, 'via': 0.06}",negative,"[0.08207346, 0.81763816, 0.10028833]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Endlich ein kleiner familienpolitischer Erfolg: Der Nationalrat stimmt einem zweiwöchigen Vaterschaftsurlaub zu! Es braucht aber nach wie vor eine Elternzeit! https://t.co/IUWR54O6EB,endlich klein familienpolitischer erfolg nationalrat stimmen zweiwöchigen vaterschaftsurlaub brauchen elternzeit,,,,,,,"{'Endlich': 0.05, 'ein': 0, 'kleiner': 0, 'familienpolitischer': 0.03, 'Erfolg': 0.08, 'Der': 0.04, 'Nationalrat': 0.04, 'stimmt': 0, 'einem': 0, 'zweiwöchigen': 0, 'Vaterschaftsurlaub': 0.565, 'zu': 0, 'Es': 0, 'braucht': 1.0, 'aber': 0.24, 'nach': 0, 'wie': 0, 'vor': 0, 'eine': 0, 'Elternzeit': 0.635}",negative,"[0.18237036, 0.6291834, 0.18844618]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @spschweiz: Einführung des Vaterschaftsurlaubs ist dringend! https://t.co/AHBUpGuPse,einführung vaterschaftsurlaubs dringen,,,,,,,"{'Einführung': 0.58, 'des': 0, 'Vaterschaftsurlaubs': 0.72, 'ist': 1.0, 'dringend': 0}",negative,"[0.10040631, 0.84136707, 0.058226597]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @wecollectCH: 👏🏻👏🏻👏🏻 Vaterschaftsurlaub jetzt! Heute reichen wir Unterschriften für Volksinitiative ein. Treffpunkt: 15:00 Heiliggeistki…,vaterschaftsurlaub heute reich unterschriften volksinitiative treffpunkt heiliggeistki,,,,,,,"{'Vaterschaftsurlaub': 0.95, 'jetzt': 0.61, 'Heute': 0.19, 'reichen': 0, 'wir': 0, 'Unterschriften': 0.09, 'für': 0.05, 'Volksinitiative': 0.08, 'ein': 0, 'Treffpunkt': 0.08, '15:00': 0, 'Heiliggeistki': 0.28, '…': 0}",positive,"[0.36488312, 0.010904014, 0.62421286]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,positive,#Vaterschaftsurlaub jetzt! https://t.co/TvLgvurFu2,vaterschaftsurlaub,,,,,,,"{'Vaterschaftsurlaub': 0.73, 'jetzt': 0.41}",positive,"[0.033006407, 0.005887812, 0.96110576]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"RT @MigrantinnenZh: Regierungsrat @kantonzuerich ist überzeugt, dass #Einbürgerungen die Demokratie stärken und die Integration fördern htt…",regierungsrat überzeugen einbürgerungen demokratie stärken integration fördern htt,,,,,,,,,,"{'Regierungsrat': 0.125, 'ist': 0.1, 'überzeugt': 0.27, 'dass': 0.44, 'Einbürgerungen': 1.0, 'die': 0.09, 'Demokratie': 0.19, 'stärken': 0.4, 'und': 0.13, 'Integration': 0.12, 'fördern': 0, 'htt': 0, '…': 0}",positive,"[0.03304902, 0.0061819656, 0.96076906]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,Endlich wird die erleichterte Einbürgerung der 3. Generation Tatsache! https://t.co/8EA2hQBvdx,endlich erleichtern einbürgerung generation tatsache,,,,,,,,,,"{'Endlich': 0.35, 'wird': 0, 'die': 0.12, 'erleichterte': 0, 'Einbürgerung': 1.0, 'der': 0.12, '3.': 0, 'Generation': 0.13, 'Tatsache': 0.46}",positive,"[0.0027037512, 0.0013046958, 0.9959915]",,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5,negative,"RT @spschweiz: Vor einem Jahr haben 500'000 Frauen und solidarische Männer demonstriert: für #Lohngleichheit, mehr Lohn, bessere Arbeitsbed…",jahr frauen solidarische männer demonstrieren lohngleichheit mehr lohn gut arbeitsbed,,,,,,,,,,,,,"{'Vor': 0, 'einem': 0, 'Jahr': 0.09, 'haben': 0, ""500'000"": 0, 'Frauen': 0.07, 'und': 0.1, 'solidarische': 0, 'Männer': 0.11, 'demonstriert': 0.83, 'für': 1.0, 'Lohngleichheit': 0, 'mehr': 0.47, 'Lohn': 0, 'bessere': 0.19, 'Arbeitsbed': 0.16999999999999998, '…': 0}",positive,"[0.048955858, 0.019214366, 0.93182975]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Am heutigen Tag der Frau kommt keine Freude auf: Wir wollen endlich Lohngleichheit! #wearBlack https://t.co/z1noVQPzNQ,heutig tag frau kommen freude endlich lohngleichheit wearblack,,,,,,,,,,,,,"{'Am': 0, 'heutigen': 0.09, 'Tag': 0, 'der': 0, 'Frau': 0, 'kommt': 0, 'keine': 0, 'Freude': 0.25, 'auf': 0.1, 'Wir': 0.62, 'wollen': 1.0, 'endlich': 0, 'Lohngleichheit': 0.915, 'wearBlack': 0.17}",positive,"[0.005598654, 0.001763986, 0.9926374]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Lohngleichheit muss jetzt aber subito hergestellt werden!! https://t.co/IrjCdzFKxJ,lohngleichheit subito herstellen,,,,,,,,,,,,,"{'Lohngleichheit': 0.47, 'muss': 0, 'jetzt': 0.41, 'aber': 0, 'subito': 0, 'hergestellt': 0, 'werden': 0}",neutral,"[0.6430452, 0.2466092, 0.11034565]",,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.15,neutral,RT @Wochenzeitung: Das Parlament hat kürzlich ein verschärftes Kriegsmaterialgesetz verabschiedet – trotz des Widerstands der gut vernetzte…,parlament kürzlich verschärft kriegsmaterialgesetz verabschieden trotzen widerstands gut vernetzen,,,,,,,,,,,,,,,,"{'Das': 0.13, 'Parlament': 0.52, 'hat': 0, 'kürzlich': 0.22, 'ein': 0, 'verschärftes': 0.57, 'Kriegsmaterialgesetz': 0.78, 'verabschiedet': 0, '–': 0, 'trotz': 0, 'des': 0, 'Widerstands': 0, 'der': 0, 'gut': 0, 'vernetzte': 0, '…': 0}",positive,"[0.24269515, 0.012814491, 0.7444904]",,,,,,,,,,neutral
