answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"@alex_baur @kinettehuber Mit welchem Recht sollte jemand den Konsum anderer Leute von überhaupt irgendwas (Cannabis, Alkohol, Zigarren) bekämpfen wollen? 

Das Einzige was wir bekämpfen müssen, ist unser Bedürfnis, anderen Vorschriften zu machen 😏",welch recht sollen jemand konsum leute überhaupt irgendwas cannabis alkohol zigarren bekämpfen einzig bekämpfen müssen bedürfnis vorschriften,"{'Mit': 0, 'welchem': 0, 'Recht': 0, 'sollte': 0.07, 'jemand': 0.12, 'den': 0.1, 'Konsum': 0.32, 'anderer': 0, 'Leute': 0.17, 'von': 0, 'überhaupt': 0, 'irgendwas': 0.31, 'Cannabis': 1.0, 'Alkohol': 0.81, 'Zigarren': 0.78, 'bekämpfen': 0.22, 'wollen': 0.05, 'Das': 0.1, 'Einzige': 0.06, 'was': 0, 'wir': 0, 'müssen': 0.05500000000000001, 'ist': 0.04, 'unser': 0.07, 'Bedürfnis': 0, 'anderen': 0.13, 'Vorschriften': 0, 'zu': 0.07, 'machen': 0}",neutral,"[0.9429783, 0.008249949, 0.04877178]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@MLPwien Auch wenn Cannabis legal ist, kann man es immer noch auf dem Schwarzmarkt handeln, wo die Einnahmen nicht versteuert werden 😍",cannabis legal immer schwarzmarkt handeln einnahmen versteuern,"{'Auch': 0, 'wenn': 0.4, 'Cannabis': 1.0, 'legal': 1.0, 'ist': 0.4, 'kann': 0.06, 'man': 0, 'es': 0.4, 'immer': 0, 'noch': 0.13, 'auf': 0.06, 'dem': 0.07, 'Schwarzmarkt': 0.09, 'handeln': 0, 'wo': 0.06, 'die': 0.07, 'Einnahmen': 0, 'nicht': 0.04, 'versteuert': 0.17, 'werden': 0}",neutral,"[0.71402174, 0.018501658, 0.26747656]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Menschen fordern Konsumverzicht, tieferes Rentenalter und 4-Tage Woche. Es kommt ihnen aber nicht in dem Sinn, selber auf etwas Konsum zu verzichten und dafür weniger zu arbeiten und früher in Pension zu gehen 🙄",menschen fordern konsumverzicht tief rentenalter tage woche kommen sinn selber konsum verzichten dafür wenig arbeiten früh pension gehen,,,,"{'Menschen': 0.85, 'fordern': 0, 'Konsumverzicht': 0.14, 'tieferes': 0, 'Rentenalter': 0.42, 'und': 0.08, '4-Tage': 0.07, 'Woche': 0.13, 'Es': 0, 'kommt': 0, 'ihnen': 0, 'aber': 0.28, 'nicht': 0.09, 'in': 0, 'dem': 0.11, 'Sinn': 0, 'selber': 0, 'auf': 0, 'etwas': 0, 'Konsum': 0.14, 'zu': 0.11, 'verzichten': 0, 'dafür': 0, 'weniger': 0, 'arbeiten': 0.08, 'früher': 0.09, 'Pension': 0, 'gehen': 0}",neutral,"[0.47383276, 0.36970636, 0.15646096]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0799999999999999,neutral,"Die @Jungfreisinnige reichen die @RentenVI ein. Bereits vor 15 Jahren hatten wir uns für Reformen wie ein höheres Rentenalter eingesetzt, während die Linken (zb @PascaleBruderer) das Problem verharmlosten (“schwarze Zahlen”). Ein kleiner Rückblick 😊👇🏼 https://t.co/5nQRHJ8jBh",reich bereits jahren reformen hoch rentenalter einsetzen link zb problem verharmlosen schwarze zahlen klein rückblick,,,,"{'Die': 0.07, 'reichen': 0, 'die': 0.07, 'ein': 0, 'Bereits': 0, 'vor': 0, 'Jahren': 0.07, 'hatten': 0, 'wir': 0, 'uns': 0, 'für': 0.03, 'Reformen': 0.28, 'wie': 0, 'höheres': 1.0, 'Rentenalter': 0.835, 'eingesetzt': 0, 'während': 0.13, 'Linken': 0.13, 'zb': 0, 'das': 0, 'Problem': 0.09, 'verharmlosten': 0, '“': 0, 'schwarze': 0, 'Zahlen': 0, '”': 0, 'Ein': 0, 'kleiner': 0, 'Rückblick': 0}",positive,"[0.3039376, 0.03244406, 0.6636184]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"@zac1967 Ich habe schon seit 10 Jahren einen Organspender-Ausweis und daran ändert auch der Nationalrat nichts. Ev sollte ich ergänzen, dass meine Organe nicht an einen Politiker vergeben werden dürfen 😏",schon seit jahren organspender ausweis daran ändern nationalrat ev sollen ergänzen organe politiker vergeben dürfen,,,,,,,"{'Ich': 0.18, 'habe': 0.03, 'schon': 0, 'seit': 0, 'Jahren': 0.02, 'einen': 0.06, 'Organspender-Ausweis': 0.052500000000000005, 'und': 0.05, 'daran': 0.08, 'ändert': 0, 'auch': 0, 'der': 0.03, 'Nationalrat': 0.04, 'nichts': 0, 'Ev': 0.24, 'sollte': 0.43, 'ich': 0.18, 'ergänzen': 0.46499999999999997, 'dass': 1.0, 'meine': 0.28, 'Organe': 0.05, 'nicht': 1.0, 'an': 0.03, 'Politiker': 0.24, 'vergeben': 0, 'werden': 0, 'dürfen': 0.53}",negative,"[0.401789, 0.58010733, 0.018103708]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@hardmanpolitics Das darf man schon so sehen. Mich überrascht nur, dass du bei der Organspende für die Widerspruchslösung bist 😏",dürfen schon sehen überraschen organspende widerspruchslösung,,,,,,,"{'Das': 0.2, 'darf': 0, 'man': 0, 'schon': 0, 'so': 0, 'sehen': 0.05, 'Mich': 0, 'überrascht': 0.06, 'nur': 0, 'dass': 0.06, 'du': 0, 'bei': 0, 'der': 0.2, 'Organspende': 0.6, 'für': 0, 'die': 0.2, 'Widerspruchslösung': 0.25, 'bist': 0.05}",positive,"[0.4211715, 0.003990658, 0.57483786]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@Gandoelf Die gleichen Spasten kämpfen dann aber gegen die Fortpflanzungsmedizin bei gleichgeschlechtlichen Paaren 🙄,gleich spasten kämpfen fortpflanzungsmedizin gleichgeschlechtlich paaren,,,,,,,,,,"{'Die': 0.07, 'gleichen': 0.08, 'Spasten': 0, 'kämpfen': 0, 'dann': 0.15, 'aber': 0, 'gegen': 1.0, 'die': 0.07, 'Fortpflanzungsmedizin': 0.28500000000000003, 'bei': 0, 'gleichgeschlechtlichen': 0.1, 'Paaren': 0}",neutral,"[0.9760138, 0.0147909345, 0.009195285]",,,,,,,,,,,,,neutral
25.0,25.0,28.0,-0.3333333333333333,neutral,"Das Dümmste, was unseren Berufseinsteigern im immer härter werdenden internationalen Wettbewerb passieren kann, ist dass ihnen ein paar weltfremde Trullas den Einstiegslohn vorschreiben 🙄 #praktikum #mindestlohn  https://t.co/vk678tgTuh",dumm berufseinsteigern immer hart werdenden international wettbewerb passieren paar weltfremde trullas einstiegslohn vorschreiben praktikum mindestlohn,,,,,,,,,,,,,"{'Das': 0.45, 'Dümmste': 0, 'was': 0, 'unseren': 0.02, 'Berufseinsteigern': 0.03, 'im': 0, 'immer': 0, 'härter': 0, 'werdenden': 0, 'internationalen': 0.04, 'Wettbewerb': 0, 'passieren': 0.02, 'kann': 0.03, 'ist': 0.12, 'dass': 0.29, 'ihnen': 0, 'ein': 0, 'paar': 0, 'weltfremde': 0.34, 'Trullas': 0, 'den': 0.45, 'Einstiegslohn': 0.155, 'vorschreiben': 1.0, 'praktikum': 0, 'mindestlohn': 0.19999999999999998}",neutral,"[0.5979795, 0.37725043, 0.024770046]",,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,RT @anna_p_neumann: Seit Einführung von marktwirtschaftlichen Systemen hat sich weltweit extreme Armut um über 80 % reduziert. Gleichzeitig…,seit einführung marktwirtschaftlichen systemen weltweit extreme armut reduzieren gleichzeitig,,,,,,,,,,,,,,,,"{'Seit': 0.57, 'Einführung': 0.13, 'von': 0, 'marktwirtschaftlichen': 0.11, 'Systemen': 0.1, 'hat': 0, 'sich': 0, 'weltweit': 0.08, 'extreme': 0.07, 'Armut': 0.1, 'um': 0, 'über': 0.04, 'reduziert': 0.06, 'Gleichzeitig': 0.14, '…': 0}",positive,"[0.16498601, 0.1084948, 0.7265192]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@J_Liberalismus Weiss der Schlaumeier dass Katastrophenhilfe in den meisten Orten staatlich organisiert wird und nicht marktwirtschaftlich? 🤔,weiss schlaumeier katastrophenhilfe meist orten staatlich organisieren marktwirtschaftlich,,,,,,,,,,,,,,,,"{'Weiss': 0, 'der': 0.04, 'Schlaumeier': 0.16, 'dass': 0.12, 'Katastrophenhilfe': 0.11, 'in': 0.05, 'den': 0.04, 'meisten': 0.07, 'Orten': 0.07, 'staatlich': 0.1, 'organisiert': 0.11, 'wird': 0, 'und': 0.14, 'nicht': 0.32, 'marktwirtschaftlich': 0.13, '🤔': 0}",neutral,"[0.8845121, 0.09647932, 0.01900861]",,,,,,,neutral
0.0,0.0,14.0,-0.7,positive,"Soeben ein Studio in Panama gekauft, während ich in Mexico im Gym war. Dank WhatsApp und Online-Banking 😅 #digitalisierung #globalisierung",soeben studio panama kaufen mexico gym danken whatsapp online banking digitalisierung globalisierung,,,,,,,,,,,,,,,,,,,"{'Soeben': 0.04, 'ein': 0, 'Studio': 0.07, 'in': 0.03, 'Panama': 0.04, 'gekauft': 0.08, 'während': 0.03, 'ich': 0.02, 'Mexico': 0.04, 'im': 0, 'Gym': 0.06, 'war': 0, 'Dank': 0.28500000000000003, 'WhatsApp': 0.24, 'und': 0.39, 'Online-Banking': 0, 'digitalisierung': 1.0, 'globalisierung': 0.28}",positive,"[0.08108455, 0.0038091755, 0.91510624]",,,,negative
100.0,100.0,86.0,0.7,neutral,RT @BaschiDuerr: Endlich wird @SVPch liberal; fangen wir bei den Landwirtschafts- und den Finanzausgleich-Milliarden an! #etatisteninallenp…,endlich liberal fangen landwirtschafts finanzausgleich milliarden etatisteninallenp,,,,,,,,,,,,,,,,,,,,,,"{'Endlich': 0.05, 'wird': 0, 'liberal': 0.04, 'fangen': 0, 'wir': 0, 'bei': 0, 'den': 0.03, 'Landwirtschafts-': 0.03, 'und': 0.02, 'Finanzausgleich-Milliarden': 0.045, 'an': 0, 'etatisteninallenp': 1.0, '…': 0}",positive,"[0.04414726, 0.011296526, 0.9445562]",positive
