answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,negative,"Herbe Enttäuschung für alle, die Rentenalter 67 statt #AV2020 wollen: Nur ein Drittel ist dafür.

https://t.co/35YzzsXRZb via @tagesanzeiger",herb enttäuschung all rentenalter statt av2020 drittel dafür via,"{'Herbe': 0, 'Enttäuschung': 0.21, 'für': 0.05, 'alle': 0.19, 'die': 0.35, 'Rentenalter': 0.845, 'statt': 0.24, 'AV2020': 0.34, 'wollen': 0, 'Nur': 0, 'ein': 0, 'Drittel': 0, 'ist': 0.04, 'dafür': 0, 'via': 0.04}",positive,"[0.097424395, 0.1941029, 0.7084728]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"@MathysRoland @andrisilbi_ Im Schnitt 7 Jahre. Ausser das gleiche Rentenalter, das dürfte rasch zu realisieren sein. Ein @JAzurAV2020  ist trotzdem besser.",schneiden jahre ausser gleich rentenalter dürfen rasch realisieren trotzdem gut,"{'Im': 0, 'Schnitt': 0, 'Jahre': 0.12, 'Ausser': 0, 'das': 0.51, 'gleiche': 1.0, 'Rentenalter': 0.95, 'dürfte': 0.51, 'rasch': 0, 'zu': 0, 'realisieren': 0, 'sein': 0, 'Ein': 0, 'ist': 0.21, 'trotzdem': 0, 'besser': 0.16}",neutral,"[0.567813, 0.1032866, 0.3289004]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@basilanderau @p_wolfgan9 @NeinzurAV2020 @JAzurAV2020 Die #AV2020 eröffnet uns weitere Schritte: 
Gleiches Rentenalter -&gt; Rentenalter 67?
UWS 6% -&gt; UWS 5%?
=&gt; In einem Schritt nicht zu machen.",av2020 eröffnen weit schritte gleich rentenalter gt rentenalter uws gt uws gt schritt,"{'Die': 0.16, 'AV2020': 0.15, 'eröffnet': 0, 'uns': 0.17, 'weitere': 0.25, 'Schritte': 0.2, 'Gleiches': 1.0, 'Rentenalter': 0.12, '-&gt': 0, 'UWS': 0.08, 'gt': 0.06, 'In': 0.06, 'einem': 0.06, 'Schritt': 0.07, 'nicht': 0.23, 'zu': 0.1, 'machen': 0}",neutral,"[0.85612875, 0.0121104065, 0.13176091]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@gregorischmid @basilanderau @NeinzurAV2020 @Walter_Stuedeli @JAzurAV2020 @p_wolfgan9 Doch, Spielraum. Wir können einen Schritt weiter statt bei Rentenalter 64/65 und UWS von 6.8% zu verharren. Das Bewusstsein ist nun da.",spielraum schritt weit statt rentenalter uws verharren bewusstsein,"{'Doch': 0, 'Spielraum': 0.19, 'Wir': 0.29, 'können': 0, 'einen': 0, 'Schritt': 0.26, 'weiter': 0.36, 'statt': 0.46499999999999997, 'bei': 0, 'Rentenalter': 0.735, 'und': 0.22, 'UWS': 0.22, 'von': 0, '6.8': 0, 'zu': 1.0, 'verharren': 0, 'Das': 0.12, 'Bewusstsein': 0.12, 'ist': 0.09, 'nun': 0, 'da': 0}",neutral,"[0.47829714, 0.044492457, 0.4772104]",,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,negative,"@gregorischmid @basilanderau Muss dich enttäuschen. UWS + Koordinationsabzug sind dann schon gesenkt, Rentenalter gleich + flexibilisiert. Fortschritte! @JAzurAV2020",enttäuschen uws koordinationsabzug schon senken rentenalter gleichen flexibilisiert fortschritte,"{'Muss': 0.08, 'dich': 0.04, 'enttäuschen': 0.2, 'UWS': 0.12, 'Koordinationsabzug': 0.13, 'sind': 0.14, 'dann': 0.1, 'schon': 0, 'gesenkt': 0, 'Rentenalter': 0.705, 'gleich': 0, 'flexibilisiert': 0.3225, 'Fortschritte': 0.25}",positive,"[0.0071311607, 0.004853892, 0.988015]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@basilanderau @p_wolfgan9 @NeinzurAV2020 @JAzurAV2020 Er hat recht, dass UWS und Rentenalter langfristig runter bzw rauf müssen. #AV2020 ist der Kompromiss, der uns einen Schritt weiter bringt.",recht uws rentenalter langfristig runter bzw rauf müssen av2020 kompromiss schritt weit bringen,"{'Er': 0.06, 'hat': 0, 'recht': 0, 'dass': 0.02, 'UWS': 0.74, 'und': 1.0, 'Rentenalter': 0.85, 'langfristig': 0.05500000000000001, 'runter': 0.06, 'bzw': 0.09, 'rauf': 0, 'müssen': 0.455, 'AV2020': 0.07, 'ist': 0.06, 'der': 0.05, 'Kompromiss': 0.28, 'uns': 0.03, 'einen': 0, 'Schritt': 0.06, 'weiter': 0.05, 'bringt': 0}",neutral,"[0.5397248, 0.11885207, 0.34142306]",,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.75,neutral,"@Der_Allusionist @gregorischmid @rudolf_mohler @manuelmauch @JAzurAV2020 @JillNussbaumer @NeinzurAV2020 Nein, lieber heute ein kleiner Schritt und morgen auch einer. Rasch kommt höchstens das gleiche Rentenalter. Alles andere dauert. #AV2020",nein lieb heute klein schritt morgen rasch kommen höchstens gleich rentenalter dauern av2020,"{'Nein': 0.08, 'lieber': 0, 'heute': 0.1, 'ein': 0.04, 'kleiner': 0, 'Schritt': 0.13, 'und': 0.05, 'morgen': 0.1, 'auch': 0, 'einer': 0.04, 'Rasch': 0, 'kommt': 0, 'höchstens': 0.1, 'das': 0, 'gleiche': 0.26, 'Rentenalter': 0.8, 'Alles': 0.16, 'andere': 0, 'dauert': 0.05, 'AV2020': 0.22}",positive,"[0.002758518, 0.0011078585, 0.9961337]",,,,,,,,,,,,,,,,negative
0.0,0.0,14.0,-0.7,neutral,@Der_Allusionist @rudolf_mohler @manuelmauch @gregorischmid @JAzurAV2020 @JillNussbaumer @NeinzurAV2020 #UWS ist ähnlich unpopulär wie Rentenalter 67. Ohne Ausgleichsmassnahmen sogar noch unpopulärer. Quelle: Uni Zürich. #AVfacts #AV2020,uws ähnlich unpopulär rentenalter ausgleichsmassnahmen sogar unpopulär quelle uni zürich avfacts av2020,"{'UWS': 0.18, 'ist': 0.1, 'ähnlich': 0, 'unpopulär': 0.32, 'wie': 0, 'Rentenalter': 0.96, '67.': 0, 'Ohne': 0.11, 'Ausgleichsmassnahmen': 0.10500000000000001, 'sogar': 0.08, 'noch': 0, 'unpopulärer': 0, 'Quelle': 0, 'Uni': 0, 'Zürich': 0, 'AVfacts': 0.06, 'AV2020': 0.15}",positive,"[0.013169315, 0.007084215, 0.97974646]",,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"@Der_Allusionist @rudolf_mohler @manuelmauch @gregorischmid @JAzurAV2020 @JillNussbaumer @NeinzurAV2020 Welche weiteren Strukturprobleme hältst du in einer Vorlage für lösbar? Gleiches Rentenalter, Referenzalter &amp; UWS 6% sind schon ein paar.",welch weit strukturprobleme halten vorlage lösbar gleich rentenalter referenzalter amp uws schon paar,"{'Welche': 0, 'weiteren': 0, 'Strukturprobleme': 0, 'hältst': 0, 'du': 0, 'in': 0.09, 'einer': 0, 'Vorlage': 0.13, 'für': 0, 'lösbar': 0.13, 'Gleiches': 1.0, 'Rentenalter': 0.575, 'Referenzalter': 0, 'amp': 0.14, 'UWS': 0.11, 'sind': 0.19, 'schon': 0, 'ein': 0, 'paar': 0}",neutral,"[0.5203898, 0.014884719, 0.46472546]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"@Patrick_Eugster @pensionskassen @arbeitgeber_ch @IHK_TG Unglücklicherweise nicht #mehrheitsfähig. Siehe Abstimmung zum #UWS 2010, und die war Peanuts im Vergleich zur #AV2020 bez. Rentenalter+UWS.",unglücklicherweise mehrheitsfähig siehe abstimmung uws peanuts vergleich av2020 bez rentenalter uws,"{'Unglücklicherweise': 0.04, 'nicht': 0.06, 'mehrheitsfähig': 0.05, 'Siehe': 0, 'Abstimmung': 0, 'zum': 0.13, 'UWS': 0.98, 'und': 0.06, 'die': 0, 'war': 0, 'Peanuts': 0.05, 'im': 0, 'Vergleich': 0, 'zur': 0.13, 'AV2020': 0.25, 'bez': 0, 'Rentenalter+UWS': 0}",positive,"[0.3695932, 0.01814742, 0.6122594]",,,,"{'Unglücklicherweise': 1.0, 'nicht': 1.0, 'mehrheitsfähig': 0.39, 'Siehe': 0, 'Abstimmung': 0, 'zum': 0.06, 'UWS': 0.04, 'und': 0.06, 'die': 0, 'war': 0, 'Peanuts': 0.06, 'im': 0, 'Vergleich': 0, 'zur': 0.06, 'AV2020': 0.08, 'bez': 0, 'Rentenalter+UWS': 0}",negative,"[0.14065258, 0.77802587, 0.08132153]",,,,,,,,,,positive
