answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3421,absa_sentiment_3421,absa_scores_3421,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
100.0,100.0,86.0,0.7,neutral,RT @evppev: Der Bund soll #Kinderbetreuungsplätze weiterhin fördern. Der #Nationalrat hat heute mit den Stimmen der @evppev der Verlängerun…,bund kinderbetreuungsplätze weiterhin fördern nationalrat heute stimmen verlängerun,"{'Der': 0.03, 'Bund': 0, 'soll': 0, 'Kinderbetreuungsplätze': 1.0, 'weiterhin': 0, 'fördern': 0, 'Nationalrat': 0, 'hat': 0, 'heute': 0.04, 'mit': 0.02, 'den': 0.03, 'Stimmen': 0, 'der': 0.03, 'Verlängerun': 0.05, '…': 0}",positive,"[0.3086605, 0.03807174, 0.65326774]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,RT @maemst: Klares Votum für Integration von AusländerInnen: @evppev Delegierte stimmen 81:0 für erleichterte Einbürgerung der 3. Ausländer…,klar votum integration ausländerinnen delegieren stimmen erleichtern einbürgerung ausländer,,,,"{'Klares': 0.21, 'Votum': 0.18, 'für': 0.09, 'Integration': 1.0, 'von': 0, 'AusländerInnen': 0.21, 'Delegierte': 0.43, 'stimmen': 0, '81:0': 0, 'erleichterte': 0, 'Einbürgerung': 0.27, 'der': 0.07, '3.': 0, 'Ausländer': 0.21, '…': 0}",neutral,"[0.72642595, 0.0211681, 0.25240585]",,,,,,,,,,"{'Klares': 0.07, 'Votum': 0.3, 'für': 0.82, 'Integration': 0.14, 'von': 0, 'AusländerInnen': 0.15, 'Delegierte': 0.2, 'stimmen': 0, '81:0': 0, 'erleichterte': 0, 'Einbürgerung': 1.0, 'der': 0.15, '3.': 0, 'Ausländer': 0.15, '…': 0}",positive,"[0.018649926, 0.00915761, 0.9721924]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.9,neutral,"RT @ruediloeffel: Der #Nationalrat will #Cannabis-Pilotversuche in den Städten zulassen. 
Gut so! Entscheidend wichtig sind nun messbare #W…",nationalrat cannabis pilotversuche städten zulassen gut entscheiden wichtig messbare w,,,,,,,"{'Der': 0.18, 'Nationalrat': 0.175, 'will': 0, 'Cannabis-Pilotversuche': 0.845, 'in': 0.23, 'den': 0.18, 'Städten': 0.29, 'zulassen': 0.39, 'Gut': 0, 'so': 0, 'Entscheidend': 0, 'wichtig': 0, 'sind': 0.04, 'nun': 0, 'messbare': 0.22, 'W': 0.08, '…': 0}",positive,"[0.31083158, 0.01650472, 0.67266375]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-0.85,neutral,"„Eine Legalisierung würde die ­ohnehin Benachteiligten noch mehr benachteiligen.“ 

⁦@BlauesKreuz⁩ ⁦@JugendschutzCH⁩ ⁦#Cannabis #Psychose

Mehr psychische Erkrankungen wegen Cannabis – Suchtexperte: «Konsum ist alles andere als Kinderspiel» https://t.co/W63QQTVE4g",legalisierung ohnehin benachteiligen mehr benachteiligen cannabis psychose mehr psychisch erkrankungen wegen cannabis suchtexperte konsum kinderspiel,,,,,,,"{'„': 0, 'Eine': 0, 'Legalisierung': 0, 'würde': 0, 'die': 0, '\xadohnehin': 0, 'Benachteiligten': 0, 'noch': 0, 'mehr': 0, 'benachteiligen': 0, '“': 0, '\u2066\u2069': 0, '\u2066#Cannabis': 0, 'Psychose': 0, 'Mehr': 0, 'psychische': 0, 'Erkrankungen': 0, 'wegen': 0, 'Cannabis': 0, '–': 0, 'Suchtexperte': 0, '«': 0, 'Konsum': 0, 'ist': 0, 'alles': 0, 'andere': 0, 'als': 0, 'Kinderspiel': 0, '»': 0}",neutral,"[0.6837403, 0.19728997, 0.118969806]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"RT @ruediloeffel: Konsum von #Alkohol, #Zigaretten +#Cannabis ist bei 15-Jährigen stabil. Besorgniserregend ist die Zunahme bei den #EZigar…",konsum alkohol zigaretten cannabis jährig stabil besorgniserregend zunahme ezigar,,,,,,,"{'Konsum': 0.04, 'von': 0, 'Alkohol': 0.04, 'Zigaretten': 0.05, 'Cannabis': 0.07, 'ist': 0.16, 'bei': 0, '15-Jährigen': 0.037500000000000006, 'stabil': 0.14, 'Besorgniserregend': 0, 'die': 1.0, 'Zunahme': 1.0, 'den': 1.0, 'EZigar': 0.08, '…': 0}",positive,"[0.19948648, 0.027136402, 0.7733771]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,positive,"Genau diese Erfahrung habe ich leider bereits vor 20 Jahren im direkten Umfeld gemacht und seither oft beobachtet. Schaut euch die Zahlen an - #Selbstzerstörung 
@muellerkaderli es müssen nicht Masern sein #Cannabis reicht auch… https://t.co/5N6FNoicoH",genau erfahrung leider bereits jahren direkt umfeld seither oft beobachten schauen zahlen selbstzerstörung müssen masern cannabis reichen,,,,,,,"{'Genau': 0.03, 'diese': 0.05, 'Erfahrung': 0.14, 'habe': 0.06, 'ich': 0.03, 'leider': 0.08, 'bereits': 0, 'vor': 0, 'Jahren': 0.05, 'im': 0, 'direkten': 0.14, 'Umfeld': 0.24, 'gemacht': 0, 'und': 0.11, 'seither': 0.06, 'oft': 0, 'beobachtet': 0.18, 'Schaut': 0, 'euch': 0, 'die': 0.17, 'Zahlen': 0.35, 'an': 0, 'Selbstzerstörung': 0, 'es': 0.69, 'müssen': 0.065, 'nicht': 0, 'Masern': 0.74, 'sein': 0, 'Cannabis': 1.0, 'reicht': 0, 'auch': 0, '…': 0}",positive,"[0.09971272, 0.010082964, 0.8902043]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,negative,"RT @ruediloeffel: @SandroBrotz Die Gefahren von #Cannabis werden generell schöngeredet oder verschwiegen. Ganz wichtig scheint mir, die Dis…",gefahren cannabis generell schöngeredet verschweigen ganz wichtig scheinen dis,,,,,,,"{'Die': 0.29, 'Gefahren': 0, 'von': 0, 'Cannabis': 0.12, 'werden': 0, 'generell': 0, 'schöngeredet': 0, 'oder': 0.05, 'verschwiegen': 0.11, 'Ganz': 0, 'wichtig': 0.18, 'scheint': 0.06, 'mir': 0.07, 'die': 0.29, 'Dis': 1.0, '…': 0}",neutral,"[0.8215498, 0.025008965, 0.15344132]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @ruediloeffel: «Für die Risikogruppe alles Andere als harmlos.»
Die Anzeichen verdichten sich, dass die #Cannabis-Legalisierung vielleic…",risikogruppe harmlos anzeichen verdichten cannabis legalisierung vielleic,,,,,,,"{'«': 0, 'Für': 0, 'die': 0, 'Risikogruppe': 0, 'alles': 0, 'Andere': 0, 'als': 0, 'harmlos': 0, '»': 0, 'Die': 0, 'Anzeichen': 0, 'verdichten': 0, 'sich': 0, 'dass': 0, 'Cannabis-Legalisierung': 0, 'vielleic': 0, '…': 0}",negative,"[0.42083296, 0.5404527, 0.038714368]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @ruediloeffel: Dumm nur, dass #Cannabis meistens geraucht wird. Und abgesehen davon sind die Herzarterien beim #Kiffen längst nicht das…",dumm cannabis meistens rauchen absehen davon herzarterien beim kiffen längst,,,,,,,"{'Dumm': 0, 'nur': 0, 'dass': 0.03, 'Cannabis': 1.0, 'meistens': 0.57, 'geraucht': 0.6, 'wird': 0, 'Und': 0.07, 'abgesehen': 0.24, 'davon': 0.03, 'sind': 0.13, 'die': 0.03, 'Herzarterien': 0.07, 'beim': 0.03, 'Kiffen': 0, 'längst': 0, 'nicht': 0, 'das': 0.03, '…': 0}",negative,"[0.009701599, 0.9853688, 0.004929652]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,RT @BlauesKreuzBern: Empfehlung Nr. 1 beim Konsum von #Cannabis: Abstinenz ist am sichersten! @Suchtpolitik @JugendschutzCH https://t.co/31…,empfehlung nr beim konsum cannabis abstinenz sicher,,,,,,,"{'Empfehlung': 0.08, 'Nr.': 0, 'beim': 0.27, 'Konsum': 0, 'von': 0, 'Cannabis': 0.29, 'Abstinenz': 0.43, 'ist': 0.26, 'am': 0, 'sichersten': 1.0}",positive,"[0.0028179085, 0.0009995047, 0.9961826]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
