answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,0.9,neutral,"@sakneu @morand_as @LuzernerZeitung @FranzGrueter Bei den letzten Wahlen, vor ein paar Monaten, war er noch dagegen. Genauso, wie gegen die Individualbesteuerung und die Legalisierung von Cannabis. Jemanden sympathisch finden ist absolut ok, aber ob er deine liberalen Werte damit so gut vertritt?",letzt wahlen paar monaten dagegen genauso individualbesteuerung legalisierung cannabis jemand sympathisch finden absolut ok liberal werte gut vertreten,"{'Bei': 0, 'den': 0.04, 'letzten': 0.02, 'Wahlen': 0, 'vor': 0, 'ein': 0, 'paar': 0, 'Monaten': 0.03, 'war': 0, 'er': 0.12, 'noch': 0.05, 'dagegen': 0.04, 'Genauso': 0.08, 'wie': 0, 'gegen': 0.08, 'die': 0.04, 'Individualbesteuerung': 0.04, 'und': 0.05, 'Legalisierung': 0.08, 'von': 0, 'Cannabis': 0.1, 'Jemanden': 0.08, 'sympathisch': 0, 'finden': 0, 'ist': 0.12, 'absolut': 0.1, 'ok': 0, 'aber': 0.54, 'ob': 0, 'deine': 0.31, 'liberalen': 0.21, 'Werte': 0.26, 'damit': 0.03, 'so': 0.42, 'gut': 0, 'vertritt': 0}",neutral,"[0.7983578, 0.031701095, 0.1699411]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @David_Stampfli: Jene, die GEGEN Frauenrentenalter 65 sind, und jene, die FÜR Rentenalter 67 sind, machen dann zusammen eine neue #Rente…",jen frauenrentenalter jen rentenalter zusammen neue rente,,,,"{'Jene': 0.19, 'die': 0, 'GEGEN': 1.0, 'Frauenrentenalter': 0.33499999999999996, 'sind': 0.13, 'und': 0.38, 'jene': 0.19, 'FÜR': 0.24, 'Rentenalter': 0.195, 'machen': 0, 'dann': 0.15, 'zusammen': 0.18, 'eine': 0, 'neue': 0.19, 'Rente': 0, '…': 0}",neutral,"[0.677644, 0.13369963, 0.1886564]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @SandroBrotz: Interessant: Wer gegen den #Vaterschaftsurlaub ist, hat am Abend der #srfarena vom 11.9. plötzlich eine randvolle Agenda.…",interessant wer vaterschaftsurlaub abend srfarena plötzlich randvolle agenda,,,,,,,"{'Interessant': 0.24, 'Wer': 0.43, 'gegen': 1.0, 'den': 0.04, 'Vaterschaftsurlaub': 0.73, 'ist': 0.45, 'hat': 0, 'am': 0, 'Abend': 0, 'der': 0.04, 'srfarena': 0.15, 'vom': 0.07, '11.9.': 0, 'plötzlich': 0.12, 'eine': 0, 'randvolle': 0, 'Agenda': 0.16, '…': 0}",positive,"[0.28002524, 0.13702774, 0.582947]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @ConnyBruegger: Wisst ihr noch, damals, als wir darüber diskutierten, ob die Schweizer Wirtschaft einen zweiwöchigen Vaterschaftsurlaub…",wisst damals darüber diskutieren schweizer wirtschaft zweiwöchigen vaterschaftsurlaub,,,,,,,"{'Wisst': 0, 'ihr': 0, 'noch': 0, 'damals': 0, 'als': 0, 'wir': 0, 'darüber': 0, 'diskutierten': 0, 'ob': 0, 'die': 0.39, 'Schweizer': 0.18, 'Wirtschaft': 0, 'einen': 0.13, 'zweiwöchigen': 0, 'Vaterschaftsurlaub': 0.32999999999999996, '…': 0}",neutral,"[0.9563736, 0.037944525, 0.005681888]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @meierelias: Scheitern incoming in T-8 Tagen. #Vaterschaftsurlaub 
@papizeit ☺️",scheitern incoming t tagen vaterschaftsurlaub,,,,,,,"{'Scheitern': 0, 'incoming': 0.1, 'in': 0.08, 'T-8': 0, 'Tagen': 0.13, 'Vaterschaftsurlaub': 0.71, '️': 0}",positive,"[0.05353901, 0.01997255, 0.92648846]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Fehlender Mut beim Bundesrat: Er lehnt den Vorschlag der #CVP für einen zweiwöchigen Vaterschaftsurlaub ab. Die Familien sind…,fehlend mut beim bundesrat lehnen vorschlag cvp zweiwöchigen vaterschaftsurlaub ab familien,,,,,,,"{'Fehlender': 0, 'Mut': 0, 'beim': 0.06, 'Bundesrat': 0.060000000000000005, 'Er': 0, 'lehnt': 0.11, 'den': 0.06, 'Vorschlag': 0.2, 'der': 0.06, 'CVP': 0.12, 'für': 0.13, 'einen': 0.14, 'zweiwöchigen': 0, 'Vaterschaftsurlaub': 0.7, 'ab': 0, 'Die': 0.06, 'Familien': 0, 'sind': 0.07, '…': 0}",neutral,"[0.94931126, 0.016359868, 0.034328897]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.575,neutral,"Es ist wichtig und richtig, dass die #Widerspruchslösung aus ethischer Sicht diskutiert wird. Dabei darf man aber auch nicht vergessen, dass die Organspende eine Form der Solidarität darstellt. Ist es also ethisch, es nicht tun zu wollen?",wichtig richtig widerspruchslösung ethisch sicht diskutieren dabei dürfen vergessen organspende form solidarität darstellen ethisch tun,,,,,,,,,,"{'Es': 0.79, 'ist': 0.79, 'wichtig': 0.07, 'und': 0.04, 'richtig': 0, 'dass': 0.18, 'die': 0.04, 'Widerspruchslösung': 0.07, 'aus': 0, 'ethischer': 0.45, 'Sicht': 0.1, 'diskutiert': 0.08, 'wird': 0, 'Dabei': 0, 'darf': 0, 'man': 0, 'aber': 0.23, 'auch': 0, 'nicht': 0.5, 'vergessen': 0.19, 'Organspende': 0.185, 'eine': 0.14, 'Form': 0.07, 'der': 0.04, 'Solidarität': 0.25, 'darstellt': 0, 'Ist': 0.79, 'es': 0.79, 'also': 0, 'ethisch': 0.45, 'tun': 0.16, 'zu': 0.16, 'wollen': 0.26}",neutral,"[0.7349186, 0.045896, 0.21918546]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @MarcRudisuli: JA zur erweiterten Widerspruchslösung - Eine einfache und gute Möglichkeit Leben zu retten - nutzen wir sie! #organspende…,ja erweitern widerspruchslösung einfach gut möglichkeit leben retten nutzen organspende,,,,,,,,,,"{'JA': 0.03, 'zur': 0.05500000000000001, 'erweiterten': 0.03, 'Widerspruchslösung': 0.05, 'Eine': 0, 'einfache': 0.06, 'und': 0.03, 'gute': 0, 'Möglichkeit': 0, 'Leben': 0, 'zu': 0.04, 'retten': 0.07, 'nutzen': 0.085, 'wir': 0, 'sie': 0, 'organspende': 0.565, '…': 0}",positive,"[0.17337647, 0.004627519, 0.821996]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"@AdrianMoser Da hast du recht, aber ich verstehe auch die Frauen, die sich ärgern, weil noch keine komplette Lohngleichheit erreicht worden ist und jetzt schon über eine Pflicht zu einem Bürgerdienst derer gesprochen wird",recht verstehen frauen ärgern komplette lohngleichheit erreichen schon pflicht bürgerdienst sprechen,,,,,,,,,,,,,"{'Da': 0, 'hast': 0, 'du': 0, 'recht': 0, 'aber': 0.05, 'ich': 0.02, 'verstehe': 0.08, 'auch': 0.06, 'die': 0.08, 'Frauen': 0.13, 'sich': 0, 'ärgern': 0, 'weil': 0.43, 'noch': 0, 'keine': 0, 'komplette': 0, 'Lohngleichheit': 0.87, 'erreicht': 0.46, 'worden': 0, 'ist': 0, 'und': 0.13, 'jetzt': 0, 'schon': 0, 'über': 0, 'eine': 0, 'Pflicht': 0.08, 'zu': 0.04, 'einem': 0, 'Bürgerdienst': 0.15, 'derer': 0, 'gesprochen': 0, 'wird': 0}",negative,"[0.27268165, 0.6515497, 0.0757686]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @Karin_andreaS: #Gleichberechtigung  #Lohngleichheit  und keine #Diskriminierung mehr! Dafür müssen wir Frauen uns gemeinsam einsetzen 💜…,gleichberechtigung lohngleichheit diskriminierung mehr dafür müssen frauen gemeinsam einsetzen,,,,,,,,,,,,,"{'Gleichberechtigung': 0, 'Lohngleichheit': 0, 'und': 0.08, 'keine': 0, 'Diskriminierung': 0.23, 'mehr': 0.08, 'Dafür': 0, 'müssen': 0.265, 'wir': 0, 'Frauen': 0.35, 'uns': 0, 'gemeinsam': 1.0, 'einsetzen': 0, '…': 0}",positive,"[0.23644055, 0.019154087, 0.74440527]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
