answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,negative,"RT @Geli_Marti: Ja zur #Papizeit! Weil #Vaterschaftsurlaub gerade keine Ferien ist, sondern Entlastung der Mütter und wichtige Bindungs- un…",ja papizeit vaterschaftsurlaub gerade ferien entlastung mütter wichtig bindungs un,"{'Ja': 0.06, 'zur': 0.060000000000000005, 'Papizeit': 0.06, 'Weil': 0.52, 'Vaterschaftsurlaub': 0.83, 'gerade': 0, 'keine': 0, 'Ferien': 0, 'ist': 0.35, 'sondern': 0.11, 'Entlastung': 0, 'der': 0.07, 'Mütter': 0.06, 'und': 0.06, 'wichtige': 0.04, 'Bindungs-': 0, 'un': 0.14, '…': 0}",neutral,"[0.42023733, 0.36131355, 0.21844906]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @PhilippKutter: Sogar die @BaumeisterCH sind für zwei Wochen Vaterschaftsurlaub. Bravo! 
https://t.co/MkR8KCodK7",sogar zwei wochen vaterschaftsurlaub bravo,"{'Sogar': 0.29, 'die': 0, 'sind': 0.67, 'für': 0, 'zwei': 0.22, 'Wochen': 0, 'Vaterschaftsurlaub': 0.755, 'Bravo': 0.62}",positive,"[0.3897396, 0.023156501, 0.58710396]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,negative,"Richtiger erster Schritt, aber damit sind noch nicht alle Fehler korrigiert. Es braucht für alle, die nach altem Asylrecht Jahre auf den Asylentscheid warten mussten eine faire Lösung. 
https://t.co/DC8YC79OlM",richtig erst schritt all fehler korrigieren brauchen all alt asylrecht jahre asylentscheid warten mussten faire lösung,,,,"{'Richtiger': 0.04, 'erster': 0.04, 'Schritt': 0.04, 'aber': 0.02, 'damit': 0.03, 'sind': 0, 'noch': 0, 'nicht': 0.02, 'alle': 0.1, 'Fehler': 0, 'korrigiert': 0.06, 'Es': 0.07, 'braucht': 0, 'für': 0.06, 'die': 0.5, 'nach': 0, 'altem': 1.0, 'Asylrecht': 0.79, 'Jahre': 0.1, 'auf': 0, 'den': 0.5, 'Asylentscheid': 0.39999999999999997, 'warten': 0.09, 'mussten': 0.04, 'eine': 0, 'faire': 0.03, 'Lösung': 0.19}",positive,"[0.27756667, 0.03751633, 0.68491703]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,@andreas_leupi Das heutige Ja war ein Ja gegen den modernen Menschenhandel und ein Nein gegen die #Fortpflanzungsmedizin,heutige ja ja modern menschenhandel nein fortpflanzungsmedizin,,,,,,,"{'Das': 0, 'heutige': 0, 'Ja': 0.16, 'war': 0, 'ein': 0, 'gegen': 0, 'den': 0, 'modernen': 0.18, 'Menschenhandel': 0.165, 'und': 0.16, 'Nein': 0.36, 'die': 0, 'Fortpflanzungsmedizin': 0.73}",positive,"[0.023836525, 0.007797626, 0.9683659]",,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"#fortpflanzungsmedizin enttäuscht, ja zu genmanipulierten Menschen",fortpflanzungsmedizin enttäuschen ja genmanipulierten menschen,,,,,,,"{'fortpflanzungsmedizin': 0.515, 'enttäuscht': 1.0, 'ja': 0, 'zu': 0.27, 'genmanipulierten': 0.07, 'Menschen': 0.1}",negative,"[0.015455514, 0.92909026, 0.055454284]",,,,,,,,,,,,,,,,negative
25.0,0.0,14.0,-0.5,negative,"@SVPch Nein liebe @svp Sterbehilfe @exitsterbehilfe ist das letzte, was wir jetzt brauchen🤔",nein lieb sterbehilfe letzte brauchen,,,,,,,,,,"{'Nein': 0.66, 'liebe': 0, 'Sterbehilfe': 1.0, 'ist': 0.19, 'das': 0, 'letzte': 0.12, 'was': 0, 'wir': 0, 'jetzt': 0, 'brauchen': 0.16, '🤔': 0}",positive,"[0.08832157, 0.08708567, 0.82459277]",,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,@baldeagle_66 Wo habe ich je ein Technologieverbot für erneuerbare Energie verlangt?,je technologieverbot erneuerbare energie verlangen,,,,,,,,,,,,,"{'Wo': 1.0, 'habe': 0, 'ich': 0.09, 'je': 0, 'ein': 0, 'Technologieverbot': 0, 'für': 0.2, 'erneuerbare': 0.5, 'Energie': 0.12, 'verlangt': 0}",neutral,"[0.8451059, 0.04065528, 0.114238895]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@FDP_Liberalen @Damian_Mueller_ Im Kanton Bern bekommt man 10‘000 Franken wenn man die Oelheizung dirch eine neue erneuerbare Heizung ersetzt. Gibt Arbeit fürs heimische Gewerbe inkl der Energie. Trotzdem verlangen viele in der @FDP_Liberalen immer noch neue Oelheizungen. 🤔,kanton bern bekommen franken oelheizung dirch neue erneuerbare heizung ersetzen geben arbeit fürs heimisch gewerbe inkl energie trotzdem verlangen immer neue oelheizungen,,,,,,,,,,,,,"{'Im': 0, 'Kanton': 0.02, 'Bern': 0.03, 'bekommt': 0, 'man': 0, '10‘000': 0, 'Franken': 0, 'wenn': 0.03, 'die': 0.02, 'Oelheizung': 0.015, 'dirch': 0, 'eine': 0, 'neue': 0.04, 'erneuerbare': 1.0, 'Heizung': 0, 'ersetzt': 0, 'Gibt': 0, 'Arbeit': 0.03, 'fürs': 0.03, 'heimische': 0.04, 'Gewerbe': 0, 'inkl': 0, 'der': 0.02, 'Energie': 0.03, 'Trotzdem': 0.07, 'verlangen': 0.02, 'viele': 0, 'in': 0.03, 'immer': 0, 'noch': 0.02, 'Oelheizungen': 0.02, '🤔': 0}",positive,"[0.0019800784, 0.0018676838, 0.9961522]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@LuFiLaCH Die Stromnetze machen schon lange keinen Halt vor der Grenze. Wichtig sind zu verlässige Partner in der EU aber noch wichtiger, ein hoher Anteil selbst hergestellte erneuerbare Energie.  https://t.co/tgQUslr5ee",stromnetze schon lang halt grenze wichtig verlässige partner eu wichtig hoch anteil hergestellt erneuerbare energie,,,,,,,,,,,,,"{'Die': 0.13, 'Stromnetze': 0.175, 'machen': 0, 'schon': 0, 'lange': 0.05, 'keinen': 0, 'Halt': 0, 'vor': 0, 'der': 0.13, 'Grenze': 0.14, 'Wichtig': 0.12, 'sind': 0.05, 'zu': 0, 'verlässige': 0.11, 'Partner': 0, 'in': 0.08, 'EU': 0, 'aber': 0.12, 'noch': 0, 'wichtiger': 0.09, 'ein': 0, 'hoher': 0, 'Anteil': 0, 'selbst': 0.34, 'hergestellte': 0, 'erneuerbare': 1.0, 'Energie': 1.0}",positive,"[0.0012881109, 0.0010593696, 0.9976526]",,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"@LuFiLaCH Lieber Lutz Gott sei Dank müssen wir uns diese Frage in der Schweiz nicht stellen. Wir haben heute schon 60 Prozent Wasserkraft und alle Optionen für den Rest auf erneuerbare Energie zu setzen. 50 Jahre wurden nicht genutzt um die Problematik der Abfälle zu lösen, das reicht.",lieb lutz gott danken müssen fragen schweiz stellen heute schon prozent wasserkraft all optionen rest erneuerbare energie setzen jahre nutzen problematik abfälle lösen reichen,,,,,,,,,,,,,"{'Lieber': 0.04, 'Lutz': 0.05, 'Gott': 0, 'sei': 0, 'Dank': 0.05, 'müssen': 0.095, 'wir': 0, 'uns': 0, 'diese': 0.04, 'Frage': 0.04, 'in': 0.03, 'der': 0.04, 'Schweiz': 0.05, 'nicht': 0.12, 'stellen': 0, 'Wir': 0.06, 'haben': 0.095, 'heute': 0.06, 'schon': 0, 'Prozent': 0.1, 'Wasserkraft': 0.26, 'und': 0.11, 'alle': 0, 'Optionen': 0.23, 'für': 0.15, 'den': 0.04, 'Rest': 0.18, 'auf': 0.44, 'erneuerbare': 1.0, 'Energie': 0.29, 'zu': 0.05, 'setzen': 0, 'Jahre': 0.1, 'wurden': 0, 'genutzt': 0.06, 'um': 0, 'die': 0.04, 'Problematik': 0.06, 'Abfälle': 0.06, 'lösen': 0.08, 'das': 0.03, 'reicht': 0}",neutral,"[0.5149508, 0.04956825, 0.43548104]",,,,,,,,,,positive
