answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @AngeleFlorine: Loooos 💪🏼 #Individualbesteuerung, bezahlbare #Kinderbetreuung &amp; #Elternzeit bzw. #Vaterschaftsurlaub  JETZT https://t.co…",loooos individualbesteuerung bezahlbare kinderbetreuung amp elternzeit bzw vaterschaftsurlaub,"{'Loooos': 0.23, 'Individualbesteuerung': 0.11, 'bezahlbare': 0, 'Kinderbetreuung': 1.0, 'amp': 0.09, 'Elternzeit': 0.05, 'bzw.': 0, 'Vaterschaftsurlaub': 0.06, 'JETZT': 0.07}",positive,"[0.0006137306, 0.001088456, 0.99829787]",,,,,,,"{'Loooos': 0.14, 'Individualbesteuerung': 0.04, 'bezahlbare': 0, 'Kinderbetreuung': 0.07, 'amp': 0.03, 'Elternzeit': 0.53, 'bzw.': 0, 'Vaterschaftsurlaub': 1.0, 'JETZT': 1.0}",neutral,"[0.49650946, 0.15347686, 0.35001367]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @beatflach: Gemeinsam mit den @jglpCH habe ich den Vorstoss ""#Cannabis legalisieren und Steuersubstrat zugunsten der AHV/IV generieren""…",gemeinsam vorstoss cannabis legalisieren steuersubstrat zugunsten ahv iv generieren,,,,"{'Gemeinsam': 0.06, 'mit': 0.03, 'den': 0.07, 'habe': 0, 'ich': 0.06, 'Vorstoss': 0, 'Cannabis': 1.0, 'legalisieren': 0.59, 'und': 0.39, 'Steuersubstrat': 0, 'zugunsten': 0.045, 'der': 0.07, 'AHV': 0.08, 'IV': 0.07, 'generieren': 0.27, '…': 0}",neutral,"[0.9720282, 0.010522331, 0.017449498]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,RT @doppel_m: Saalabstimmung am @spiritofbern zum Thema Demografie und Arbeitsmarkt: die Mehrheit bevorzugt höheres Rentenalter statt Erhöh…,saalabstimmung thema demografie arbeitsmarkt mehrheit bevorzugen hoch rentenalter statt erhöh,,,,,,,"{'Saalabstimmung': 0, 'am': 0, 'zum': 0.05, 'Thema': 0, 'Demografie': 0, 'und': 0.03, 'Arbeitsmarkt': 0.07, 'die': 0.05, 'Mehrheit': 0.18, 'bevorzugt': 0, 'höheres': 0.35, 'Rentenalter': 1.0, 'statt': 0.215, 'Erhöh': 0.42, '…': 0}",positive,"[0.12355065, 0.029686688, 0.8467627]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Schon 5 Jahre. MannoMann! damals war ich noch Single. Heute bin ich verlobt und es wäre schön, wenn ich vor dem Rentenalter heiraten dürfte. Heiraten. Nicht verpartnern. Ich will den selben rechtlichen Schutz, den ich auch als Ehefrau eines Mannes geniessen würde. #Liebeistliebe https://t.co/EdGYEOKk8G",schon jahre mannomann damals single heute verloben schön rentenalter heiraten dürfen heiraten verpartnern selben rechtlich schutz ehefrau mannes geniessen liebeistliebe,,,,,,,"{'Schon': 0.18, 'Jahre': 0.07, 'MannoMann': 0, 'damals': 0.03, 'war': 0, 'ich': 0.01, 'noch': 0, 'Single': 0.02, 'Heute': 0.04, 'bin': 0, 'verlobt': 0.04, 'und': 0.03, 'es': 0.03, 'wäre': 0.01, 'schön': 0.18, 'wenn': 0.2, 'vor': 1.0, 'dem': 0.02, 'Rentenalter': 0.975, 'heiraten': 0.11, 'dürfte': 0, 'Heiraten': 0.11, 'Nicht': 0.04, 'verpartnern': 0.04, 'Ich': 0.01, 'will': 0, 'den': 0.02, 'selben': 0.05, 'rechtlichen': 0.08, 'Schutz': 0.09, 'auch': 0, 'als': 0.04, 'Ehefrau': 0.02, 'eines': 0, 'Mannes': 0.02, 'geniessen': 0.04, 'würde': 0.01, 'Liebeistliebe': 0.045}",neutral,"[0.9721531, 0.008333763, 0.019513119]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @grunliberale: Das Ja zum #Vaterschaftsurlaub ist ein wichtiger Schritt in die richtige Richtung. Wir verlangen eine #Elternzeit von 14…,ja vaterschaftsurlaub wichtig schritt richtige richtung verlangen elternzeit,,,,,,,,,,"{'Das': 0.04, 'Ja': 0, 'zum': 0.05, 'Vaterschaftsurlaub': 1.0, 'ist': 0.1, 'ein': 0, 'wichtiger': 0.11, 'Schritt': 0.1, 'in': 0.05, 'die': 0.04, 'richtige': 0.09, 'Richtung': 0.08, 'Wir': 0.73, 'verlangen': 0.06, 'eine': 0, 'Elternzeit': 0.61, 'von': 0, '…': 0}",neutral,"[0.6096362, 0.04763521, 0.34272856]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @AngeleFlorine: Loooos 💪🏼 #Individualbesteuerung, bezahlbare #Kinderbetreuung &amp; #Elternzeit bzw. #Vaterschaftsurlaub  JETZT https://t.co…",loooos individualbesteuerung bezahlbare kinderbetreuung amp elternzeit bzw vaterschaftsurlaub,"{'Loooos': 0.23, 'Individualbesteuerung': 0.11, 'bezahlbare': 0, 'Kinderbetreuung': 1.0, 'amp': 0.09, 'Elternzeit': 0.05, 'bzw.': 0, 'Vaterschaftsurlaub': 0.06, 'JETZT': 0.07}",positive,"[0.0006137306, 0.001088456, 0.99829787]",,,,,,,"{'Loooos': 0.14, 'Individualbesteuerung': 0.04, 'bezahlbare': 0, 'Kinderbetreuung': 0.07, 'amp': 0.03, 'Elternzeit': 0.53, 'bzw.': 0, 'Vaterschaftsurlaub': 1.0, 'JETZT': 1.0}",neutral,"[0.49650946, 0.15347686, 0.35001367]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @cybersandwich: Indem Ihr den Zugang zur Fortpflanzungsmedizin ausschliesst, zementiert Ihr weiterhin in diskriminierender Weise eine Zw…",zugang fortpflanzungsmedizin ausschliesst zementieren weiterhin diskriminierend weisen zw,,,,,,,,,,,,,"{'Indem': 0.55, 'Ihr': 0, 'den': 0, 'Zugang': 0.22, 'zur': 0.05, 'Fortpflanzungsmedizin': 0.19, 'ausschliesst': 0, 'zementiert': 0, 'weiterhin': 0, 'in': 0.04, 'diskriminierender': 0.31, 'Weise': 0, 'eine': 0, 'Zw': 0, '…': 0}",neutral,"[0.55795306, 0.055068463, 0.38697845]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@_maltbunt_ Z. Bsp das Recht auf gemeinsame Adoption, Fortpflanzungsmedizin oder Wittwenrende ....",z bsp recht gemeinsam adoption fortpflanzungsmedizin wittwenrende,,,,,,,,,,,,,"{'Z.': 0, 'Bsp': 0, 'das': 0, 'Recht': 0, 'auf': 0, 'gemeinsame': 0, 'Adoption': 0.8, 'Fortpflanzungsmedizin': 0.15000000000000002, 'oder': 0.37, 'Wittwenrende': 0, '....': 0}",positive,"[0.012514284, 0.0015187407, 0.985967]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @Tamarafuniciell: @JupiterKallisto @Blickch Die Themen, die Frauen betreffen wurden ausgelassen: der Zugang zur Fortpflanzungsmedizin, d…",themen frauen betreffen auslassen zugang fortpflanzungsmedizin d,,,,,,,,,,,,,"{'Die': 0.25, 'Themen': 0, 'die': 0.25, 'Frauen': 0.16, 'betreffen': 0, 'wurden': 0, 'ausgelassen': 0.225, 'der': 0.25, 'Zugang': 0.56, 'zur': 0.225, 'Fortpflanzungsmedizin': 0.18, 'd': 0.24, '…': 0}",positive,"[0.24854867, 0.04478485, 0.7066665]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @BPWSwitzerland: Die BPW Frauen engagieren sich an vorderster Front für die Lohngleichheit! Der Nationalrat trägt nächste Woche die Vera…,bpw frauen engagieren vorder front lohngleichheit nationalrat tragen nächst woche vera,,,,,,,,,,,,,,,,"{'Die': 0.09, 'BPW': 0.22, 'Frauen': 0.27, 'engagieren': 0, 'sich': 0, 'an': 0, 'vorderster': 0, 'Front': 0, 'für': 0, 'die': 0.09, 'Lohngleichheit': 0.96, 'Der': 0.09, 'Nationalrat': 0.265, 'trägt': 0, 'nächste': 0.07, 'Woche': 0.12, 'Vera': 0.08, '…': 0}",positive,"[0.0048615946, 0.0016389451, 0.9934995]",,,,,,,,,,neutral
