answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"@billy79 Der Grund ist: Sicherheit ist eine Staatsaufgabe, Kinderbetreuung nicht.
Darum staatlicher #Vaterschaftsurlaub NEIN.",grund sicherheit staatsaufgabe kinderbetreuung darum staatlich vaterschaftsurlaub nein,"{'Der': 0.09, 'Grund': 0, 'ist': 0.54, 'Sicherheit': 0, 'eine': 0, 'Staatsaufgabe': 0.11, 'Kinderbetreuung': 0, 'nicht': 1.0, 'Darum': 0.35, 'staatlicher': 0.11, 'Vaterschaftsurlaub': 0.12, 'NEIN': 0.12}",negative,"[0.24750982, 0.6840938, 0.06839639]",,,,"{'Der': 0.05, 'Grund': 0, 'ist': 0.03, 'Sicherheit': 0, 'eine': 0, 'Staatsaufgabe': 0.18, 'Kinderbetreuung': 0, 'nicht': 0.09, 'Darum': 0.22, 'staatlicher': 0.18, 'Vaterschaftsurlaub': 1.0, 'NEIN': 1.0}",positive,"[0.40397266, 0.16836025, 0.42766714]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@nohillside Der Grund ist: Sicherheit ist eine Staatsaufgabe, Kinderbetreuung nicht.",grund sicherheit staatsaufgabe kinderbetreuung,"{'Der': 0.08, 'Grund': 0, 'ist': 0.55, 'Sicherheit': 0, 'eine': 0, 'Staatsaufgabe': 0.18, 'Kinderbetreuung': 0, 'nicht': 1.0}",neutral,"[0.47241303, 0.4557947, 0.07179227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"@pirminmeyer Beim Gebären gibt es keine Gleichberechtigung. Kinderbetreuung ist keine Staatsaufgabe - wir müssen unsere best. Sozialwerke AHV, IV, ALV schützen und langfristig solid finanzieren. Dieser Kraftakt wird uns u kommend. Generationen Opfer abverlangen! 
➡️ #Vaterschaftsurlaub NEIN",beim gebären geben gleichberechtigung kinderbetreuung staatsaufgabe müssen best sozialwerke ahv iv alv schützen langfristig solid finanzieren kraftakt u kommen generationen opfer abverlangen vaterschaftsurlaub nein,"{'Beim': 0, 'Gebären': 0.04, 'gibt': 0, 'es': 0.31, 'keine': 0, 'Gleichberechtigung': 0, 'Kinderbetreuung': 0.96, 'ist': 0.31, 'Staatsaufgabe': 0, 'wir': 0, 'müssen': 0.085, 'unsere': 0.02, 'best': 0.07, 'Sozialwerke': 0.01, 'AHV': 0.01, 'IV': 0.01, 'ALV': 0, 'schützen': 0, 'und': 0.02, 'langfristig': 0.015, 'solid': 0, 'finanzieren': 0.01, 'Dieser': 0.02, 'Kraftakt': 0.03, 'wird': 0.02, 'uns': 0.01, 'u': 0.01, 'kommend': 0.01, 'Generationen': 0.01, 'Opfer': 0, 'abverlangen': 0.015, '️': 0, 'Vaterschaftsurlaub': 0, 'NEIN': 0}",neutral,"[0.5629302, 0.3724446, 0.06462515]",,,,"{'Beim': 0, 'Gebären': 0.025, 'gibt': 0, 'es': 0.02, 'keine': 0, 'Gleichberechtigung': 0, 'Kinderbetreuung': 0.04, 'ist': 0.02, 'Staatsaufgabe': 0, 'wir': 0, 'müssen': 0.015, 'unsere': 0.01, 'best': 0.02, 'Sozialwerke': 0.02, 'AHV': 0.02, 'IV': 0.01, 'ALV': 0, 'schützen': 0, 'und': 0.02, 'langfristig': 0.015, 'solid': 0, 'finanzieren': 0.02, 'Dieser': 0.03, 'Kraftakt': 0.0325, 'wird': 0.03, 'uns': 0.01, 'u': 0.06, 'kommend': 0.01, 'Generationen': 0.04, 'Opfer': 0, 'abverlangen': 0.035, '️': 0, 'Vaterschaftsurlaub': 0, 'NEIN': 0}",positive,"[0.26479694, 0.052450173, 0.6827529]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"Kinderbetreuungszeit von Vätern zu finanzieren, ist keine Staatsaufgabe. Das zeigt sich darin, dass dem staatl. #Vaterschaftsurlaub die #Verfassungsgrundlage fehlt. Alleine schon deswegen ist er abzulehnen. Wir würden eine neue Sozialversicherung bauen, ohne Verfassungsgrundlage. https://t.co/Rt78cdL1dl",kinderbetreuungszeit vätern finanzieren staatsaufgabe zeigen darin staatl vaterschaftsurlaub verfassungsgrundlage fehlen alleine schon deswegen ablehnen neue sozialversicherung bauen verfassungsgrundlage,"{'Kinderbetreuungszeit': 0.77, 'von': 0, 'Vätern': 0.12, 'zu': 0.02, 'finanzieren': 0, 'ist': 0.02, 'keine': 0, 'Staatsaufgabe': 0.05, 'Das': 0.05, 'zeigt': 0, 'sich': 0, 'darin': 0.065, 'dass': 0.02, 'dem': 0.035, 'staatl': 0.05, 'Vaterschaftsurlaub': 0.05, 'die': 0.05, 'Verfassungsgrundlage': 0.035, 'fehlt': 0.02, 'Alleine': 0.02, 'schon': 0, 'deswegen': 0.1, 'er': 0.02, 'abzulehnen': 0.02, 'Wir': 0.02, 'würden': 0.02, 'eine': 0, 'neue': 0.04, 'Sozialversicherung': 0.06, 'bauen': 0.04, 'ohne': 0.01}",negative,"[0.47159764, 0.4819915, 0.046410877]",,,,"{'Kinderbetreuungszeit': 0.08, 'von': 0, 'Vätern': 0.04, 'zu': 0.08, 'finanzieren': 0, 'ist': 0.16, 'keine': 0, 'Staatsaufgabe': 0.29, 'Das': 0.48, 'zeigt': 0, 'sich': 0, 'darin': 0.09, 'dass': 0.07, 'dem': 0.27999999999999997, 'staatl': 0.29, 'Vaterschaftsurlaub': 0.88, 'die': 0.48, 'Verfassungsgrundlage': 0.13, 'fehlt': 0.16, 'Alleine': 0.1, 'schon': 0, 'deswegen': 0.1, 'er': 0.16, 'abzulehnen': 0.08, 'Wir': 0.07, 'würden': 0.13, 'eine': 0, 'neue': 0.08, 'Sozialversicherung': 0.06, 'bauen': 0.09, 'ohne': 0.1}",negative,"[0.009564883, 0.97856736, 0.011867769]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"@SchweizerMonat @lukasleuzinger Siehe staatlicher #Vaterschaftsurlaub. Die bürgerlichen Kräfte haben es noch nicht geschafft, die wichtige Altersvorsorge für die kommenden Generationen zu sichern. Stattdessen installieren Teile der Bürgerlichen mit Links ein neues Sozialwerk für männliche Kinderbetreuungszeit.",siehe staatlich vaterschaftsurlaub bürgerlich kräfte schaffen wichtig altersvorsorge kommend generationen sichern stattdessen installieren teile bürgerlich links neu sozialwerk männliche kinderbetreuungszeit,"{'Siehe': 0, 'staatlicher': 0.02, 'Vaterschaftsurlaub': 0.01, 'Die': 0.04, 'bürgerlichen': 0, 'Kräfte': 0, 'haben': 0.01, 'es': 0, 'noch': 0, 'nicht': 0.01, 'geschafft': 0, 'die': 0.04, 'wichtige': 0.02, 'Altersvorsorge': 0.02, 'für': 0.28, 'kommenden': 0, 'Generationen': 0.08, 'zu': 0.01, 'sichern': 0.01, 'Stattdessen': 0.02, 'installieren': 0.01, 'Teile': 0.03, 'der': 0.04, 'Bürgerlichen': 0, 'mit': 0.1, 'Links': 0.13, 'ein': 0, 'neues': 0.1, 'Sozialwerk': 0.08, 'männliche': 1.0, 'Kinderbetreuungszeit': 0.63}",neutral,"[0.886825, 0.08836804, 0.024807028]",,,,"{'Siehe': 0, 'staatlicher': 0.64, 'Vaterschaftsurlaub': 0.83, 'Die': 0.03, 'bürgerlichen': 0, 'Kräfte': 0, 'haben': 0.05, 'es': 0, 'noch': 0, 'nicht': 0.07, 'geschafft': 0, 'die': 0.03, 'wichtige': 0.04, 'Altersvorsorge': 0.03, 'für': 0.02, 'kommenden': 0, 'Generationen': 0.03, 'zu': 0.03, 'sichern': 0.03, 'Stattdessen': 0.035, 'installieren': 0.03, 'Teile': 0.05, 'der': 0.03, 'Bürgerlichen': 0, 'mit': 0.02, 'Links': 0.05, 'ein': 0, 'neues': 0.03, 'Sozialwerk': 0.04, 'männliche': 0.03, 'Kinderbetreuungszeit': 0.04}",neutral,"[0.70962936, 0.08906814, 0.2013026]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,negative,"Heute im Talk Täglich: Toll, wenn Väter sich um ihre Kinder kümmern. Dafür dürfen wir jedoch keine neue Sozialversicherung einführen.
Denn Kinderbetreuung ist keine Staatsaufgabe. 
@lohnabzuegeNein
#vaterschaftsurlaub

https://t.co/kYwy2B0hxQ",heute talk täglich tollen väter kinder kümmern dafür dürfen jedoch neue sozialversicherung einfahren kinderbetreuung staatsaufgabe vaterschaftsurlaub,"{'Heute': 0.01, 'im': 0, 'Talk': 0.01, 'Täglich': 0.01, 'Toll': 0, 'wenn': 0, 'Väter': 0.01, 'sich': 0, 'um': 0.34, 'ihre': 0.01, 'Kinder': 0.01, 'kümmern': 0.015, 'Dafür': 0, 'dürfen': 0, 'wir': 0, 'jedoch': 0.04, 'keine': 0, 'neue': 0.06, 'Sozialversicherung': 0.01, 'einführen': 0.05, 'Denn': 0, 'Kinderbetreuung': 1.0, 'ist': 0.3, 'Staatsaufgabe': 0, 'vaterschaftsurlaub': 0.06}",neutral,"[0.5464553, 0.3712921, 0.08225259]",,,,"{'Heute': 0.04, 'im': 0, 'Talk': 0.03, 'Täglich': 0.02, 'Toll': 0, 'wenn': 0, 'Väter': 0.02, 'sich': 0, 'um': 0.06, 'ihre': 0.02, 'Kinder': 0.03, 'kümmern': 0.01625, 'Dafür': 0, 'dürfen': 0, 'wir': 0, 'jedoch': 0.05, 'keine': 0, 'neue': 0.02, 'Sozialversicherung': 0.03, 'einführen': 0.03, 'Denn': 0, 'Kinderbetreuung': 0.07, 'ist': 0.04, 'Staatsaufgabe': 0, 'vaterschaftsurlaub': 0.8}",positive,"[0.054149978, 0.015817674, 0.9300323]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@alescha02 @kgv_zuerich Sicherheit ist die erste und wichtigste Aufgabe eines Staates.   Vater-Sein und Kinderbetreuung sind keine Staatsaufgaben, die von der Allgemeinheit finanziert werden müssen.",sicherheit erste wichtigste aufgabe staates vater kinderbetreuung staatsaufgaben allgemeinheit finanzieren müssen,"{'Sicherheit': 0, 'ist': 0.06, 'die': 0.06, 'erste': 0.06, 'und': 0.29, 'wichtigste': 0.07500000000000001, 'Aufgabe': 0.08, 'eines': 0, 'Staates': 0.48, 'Vater-Sein': 0.1675, 'Kinderbetreuung': 0, 'sind': 0.68, 'keine': 0, 'Staatsaufgaben': 0.48, 'von': 0, 'der': 0.06, 'Allgemeinheit': 0, 'finanziert': 0.12, 'werden': 0, 'müssen': 0.16999999999999998}",positive,"[0.23737486, 0.046836432, 0.71578866]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"So ist es:  ...""das Normrentenalter hat grossen Einfluss auf die Definition dessen, was als ""alt"" gilt; läge das reguläre Rentenalter bei 40, gälten schon 35-Jährige als ""alt"", und beim Rentenalter 80 gälten 60-Jährige noch als ""jung"". ""

https://t.co/1oCqKght8r",normrentenalter grossen einfluss definition alt gelten liegen regulär rentenalter gelten schon jährige alt beim rentenalter gelten jährige jung,,,,"{'So': 0.02, 'ist': 0.04, 'es': 0.04, '...': 0, 'das': 0, 'Normrentenalter': 0.075, 'hat': 0, 'grossen': 0, 'Einfluss': 0, 'auf': 0.03, 'die': 0.11, 'Definition': 0.08, 'dessen': 0, 'was': 0, 'als': 0.06, 'alt': 0, 'gilt': 0, 'läge': 0, 'reguläre': 1.0, 'Rentenalter': 0.065, 'bei': 0, 'gälten': 0, 'schon': 0, '35-Jährige': 0.0575, 'und': 0.06, 'beim': 0.11, '60-Jährige': 0.0475, 'noch': 0.07, 'jung': 0}",neutral,"[0.51248837, 0.03984101, 0.4476707]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"Nota bene: Immer öfter soll's die heilige Kuh AHV richten: Jetzt bei der SV17, so auch bei @geldspiel_ja (hier besonders zwielichtig) - das kann ja heiter werden. Dann müssen wir jetzt aber schleunigst das Rentenalter erhöhen, sonst geht der Spass niemals auf. https://t.co/xc7N7GniCY",nota bene immer öfter s heilig kuh ahv richten sv17 besonders zwielichtig ja heitern müssen schleunigst rentenalter erhöhen gehen spass niemals,,,,"{'Nota': 0, 'bene': 0, 'Immer': 0, 'öfter': 0.03, ""soll's"": 0.03, 'die': 0.07, 'heilige': 0, 'Kuh': 0.03, 'AHV': 0.06, 'richten': 0.06, 'Jetzt': 0.04, 'bei': 0, 'der': 0.07, 'SV17': 0.08, 'so': 0, 'auch': 0.03, 'hier': 0.03, 'besonders': 0, 'zwielichtig': 0, 'das': 0.05, 'kann': 0.06, 'ja': 0.02, 'heiter': 0, 'werden': 0.03, 'Dann': 0.18, 'müssen': 0.32, 'wir': 0, 'jetzt': 0.04, 'aber': 0, 'schleunigst': 0.2325, 'Rentenalter': 0.675, 'erhöhen': 0, 'sonst': 0.11, 'geht': 0, 'Spass': 0.15, 'niemals': 0, 'auf': 0}",positive,"[0.0368238, 0.027988916, 0.93518734]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @MaurusZeier: Wer gegen gleiches Rentenalter Mann/Frau ist, sollte Wort Gleichberechtigung aus seinem Vokabular streichen. http://t.co/H…",wer gleich rentenalter mann frau sollen wort gleichberechtigung vokabular streichen,,,,"{'Wer': 0.37, 'gegen': 1.0, 'gleiches': 1.0, 'Rentenalter': 0.485, 'Mann': 0, 'Frau': 0, 'ist': 0.37, 'sollte': 0.22, 'Wort': 0, 'Gleichberechtigung': 0, 'aus': 0, 'seinem': 0, 'Vokabular': 0.1, 'streichen': 0}",neutral,"[0.619621, 0.017367816, 0.36301115]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @lohnabzuegeNein: Die Befürworter behaupteten im Abstimmungskampf, es brauche den staatlichen #Vaterschaftsurlaub, damit alle KMU gleich…",befürworter behaupten abstimmungskampf brauche staatlich vaterschaftsurlaub all kmu gleichen,,,,,,,"{'Die': 0.04, 'Befürworter': 0, 'behaupteten': 0.12, 'im': 0, 'Abstimmungskampf': 0.11, 'es': 0.33, 'brauche': 0, 'den': 0.04, 'staatlichen': 0.62, 'Vaterschaftsurlaub': 1.0, 'damit': 0.07, 'alle': 0, 'KMU': 0, 'gleich': 0.09, '…': 0}",neutral,"[0.81678617, 0.12081012, 0.062403683]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
