answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3421,absa_sentiment_3421,absa_scores_3421,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3439,absa_sentiment_3439,absa_scores_3439,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,negative,"RT @VPOD_Schweiz: 📢Kinderbetreuung am Limit‼️
Jetzt demonstrieren wir gemeinsam mit unserem Personal aus der Kinderbetreuung für bessere Ar…",kinderbetreuung limit demonstrieren gemeinsam personal kinderbetreuung gut ar,"{'Kinderbetreuung': 0.09, 'am': 0, 'Limit‼️': 0, 'Jetzt': 0.27, 'demonstrieren': 0, 'wir': 0, 'gemeinsam': 0.09, 'mit': 0.07, 'unserem': 0.13, 'Personal': 0, 'aus': 0, 'der': 0.12, 'für': 0.06, 'bessere': 0.08, 'Ar': 0.07, '…': 0}",neutral,"[0.5092371, 0.20862506, 0.28213787]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Die Vereinbarkeit von Familie und Beruf ist immer noch ungenügend. Es braucht bezahlbare #Kinderbetreuung, flexiblere Arbeitgebende, mehr Teilzeitstellen und paritätische Aufteilung der Familien- u Hausarbeit. #Gleichstellung https://t.co/Oy9z0Go87L",vereinbarkeit familie beruf immer ungenügend brauchen bezahlbare kinderbetreuung flexibel arbeitgebende mehr teilzeitstellen paritätische aufteilung familien u hausarbeit gleichstellung,"{'Die': 0.04, 'Vereinbarkeit': 0.03, 'von': 0, 'Familie': 0.02, 'und': 0.03, 'Beruf': 0, 'ist': 0.02, 'immer': 0, 'noch': 0.03, 'ungenügend': 0.13, 'Es': 0.02, 'braucht': 0, 'bezahlbare': 0, 'Kinderbetreuung': 1.0, 'flexiblere': 0.05500000000000001, 'Arbeitgebende': 0.07, 'mehr': 0.04, 'Teilzeitstellen': 0, 'paritätische': 0, 'Aufteilung': 0.05, 'der': 0.04, 'Familien-': 0, 'u': 0, 'Hausarbeit': 0.02, 'Gleichstellung': 0.06}",positive,"[0.0010713186, 0.001965965, 0.9969627]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @SPBaselStadt: Heute ist #TagderKinderbetreuung. Wir kämpfen dafür, dass familienergänzende Kinderbetreuung als ein Teil des Bildungssys…",heute tagderkinderbetreuung kämpfen dafür familienergänzende kinderbetreuung teil bildungssys,"{'Heute': 0.29, 'ist': 0.23, 'TagderKinderbetreuung': 0.32, 'Wir': 0.03, 'kämpfen': 0, 'dafür': 0, 'dass': 0, 'familienergänzende': 0, 'Kinderbetreuung': 0.13, 'als': 0, 'ein': 0, 'Teil': 0.02, 'des': 0, 'Bildungssys': 0.05, '…': 0}",neutral,"[0.9801584, 0.010422046, 0.00941958]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"Das freut mich sehr! Der Nationalrat will #Kitas mit 100 Mio unterstützen. Es darf nicht sein, dass die #Coronakrise den Aufbau der familienergänzenden Kinderbetreuung wieder zunichte macht. Nächste Hürde: Ständerat... https://t.co/N9tuFMplSn",freuen nationalrat kitas mio unterstützen dürfen coronakrise aufbau familienergänzenden kinderbetreuung zunichte nächst hürde ständerat,"{'Das': 0.03, 'freut': 0.05, 'mich': 0.03, 'sehr': 0.07, 'Der': 0.03, 'Nationalrat': 0.49, 'will': 0, 'Kitas': 0.46, 'mit': 0.04, 'Mio': 0, 'unterstützen': 0.06, 'Es': 0, 'darf': 0, 'nicht': 0.07, 'sein': 0, 'dass': 0.2, 'die': 0.03, 'Coronakrise': 0, 'den': 0.03, 'Aufbau': 0, 'der': 0.03, 'familienergänzenden': 0.03, 'Kinderbetreuung': 0.24, 'wieder': 0, 'zunichte': 0, 'macht': 0, 'Nächste': 0.46, 'Hürde': 0.71, 'Ständerat': 0.49, '...': 0}",positive,"[0.06791298, 0.3660189, 0.5660681]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @RegulaBuehlmann: Eine breite Koalition mit fast 40 Mitgliedern fordert, dass die Kinderbetreuung durch Corona nicht geschwächt wird, so…",breit koalition fast mitgliedern fordern kinderbetreuung corona schwächen,"{'Eine': 0, 'breite': 0.02, 'Koalition': 0.09, 'mit': 0.04, 'fast': 0, 'Mitgliedern': 0.04, 'fordert': 0, 'dass': 0.5, 'die': 0, 'Kinderbetreuung': 1.0, 'durch': 0, 'Corona': 0.05, 'nicht': 0.46, 'geschwächt': 0.44, 'wird': 0, 'so': 0.22, '…': 0}",positive,"[0.4023982, 0.020895956, 0.5767058]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"RT @phwampfler: Wer Home Office vorschlägt, damit Eltern Kinder betreuen können, hat wohl weder Home Office noch Kinderbetreuung wirklich v…",wer home office vorschlagen eltern kinder betreuen wohl weder home office kinderbetreuung wirklich v,"{'Wer': 0.05, 'Home': 0.29, 'Office': 0.13, 'vorschlägt': 0.11, 'damit': 0, 'Eltern': 0.08, 'Kinder': 0.17, 'betreuen': 0, 'können': 0, 'hat': 0, 'wohl': 0, 'weder': 1.0, 'noch': 0, 'Kinderbetreuung': 1.0, 'wirklich': 0.52, 'v': 0.17, '…': 0}",negative,"[0.14571893, 0.8449289, 0.009352171]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"Mehr Ignoranz geht nicht. #Verdingkinder wurden ihren Familien entrissen und als billige Arbeitskräfte missbraucht. Von Freiwilligkeit, professioneller #Kinderbetreuung und früher Förderung keine Spur! https://t.co/9u9DXmezWx",mehr ignoranz gehen verdingkinder familien entreißen billig arbeitskräfte missbraucht freiwilligkeit professionell kinderbetreuung früh förderung spur,"{'Mehr': 0.03, 'Ignoranz': 0, 'geht': 0, 'nicht': 0, 'Verdingkinder': 0, 'wurden': 0, 'ihren': 0, 'Familien': 0, 'entrissen': 0, 'und': 0.22, 'als': 0.02, 'billige': 0.05, 'Arbeitskräfte': 0, 'missbraucht': 0.09, 'Von': 0.02, 'Freiwilligkeit': 0.19, 'professioneller': 0.515, 'Kinderbetreuung': 1.0, 'früher': 0, 'Förderung': 0.21, 'keine': 0, 'Spur': 0}",positive,"[0.0005089712, 0.0011710357, 0.9983199]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.9,neutral,"#Elternzeit, flexible Arbeitszeitmodelle, die Aufwertung der Teilzeitarbeit, qualitativ gute und bezahlbare Angebote zur familienexternen #Kinderbetreuung fördern die eine ausgewogene Aufteilung von Familien- und Erwerbsarbeit zwischen Männern und Frauen. https://t.co/tq4ycB4xQI",elternzeit flexible arbeitszeitmodelle aufwertung teilzeitarbeit qualitativ gut bezahlbare angebote familienexternen kinderbetreuung fördern ausgewogen aufteilung familien erwerbsarbeit männern frauen,"{'Elternzeit': 0.03, 'flexible': 0.04, 'Arbeitszeitmodelle': 0.0225, 'die': 0.06, 'Aufwertung': 0, 'der': 0.06, 'Teilzeitarbeit': 0.015, 'qualitativ': 0, 'gute': 0.1, 'und': 0.02, 'bezahlbare': 0, 'Angebote': 0.44, 'zur': 0.06, 'familienexternen': 0.08, 'Kinderbetreuung': 1.0, 'fördern': 0, 'eine': 0, 'ausgewogene': 0.06, 'Aufteilung': 0.05, 'von': 0, 'Familien-': 0, 'Erwerbsarbeit': 0.055, 'zwischen': 0.06, 'Männern': 0.02, 'Frauen': 0.01}",positive,"[0.0012368044, 0.0014826523, 0.9972805]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Wir wollen endlich Klarheit darüber, wie das Kinderbetreuungsgesetz in #Aarau ab 1.8.18 umgesetzt wird! Deshalb stellen wir dem Stadtrat kritische Fragen. https://t.co/o89C5Q5XO3",endlich klarheit darüber kinderbetreuungsgesetz aarau ab umsetzen deshalb stellen stadtrat kritisch fragen,"{'Wir': 0.02, 'wollen': 0.06, 'endlich': 0, 'Klarheit': 0.07, 'darüber': 0.09, 'wie': 0.14, 'das': 0.02, 'Kinderbetreuungsgesetz': 1.0, 'in': 0.1, 'Aarau': 0.12, 'ab': 0, '1.8.18': 0, 'umgesetzt': 0.39, 'wird': 0.14, 'Deshalb': 0, 'stellen': 0.01, 'wir': 0, 'dem': 0.03, 'Stadtrat': 0.075, 'kritische': 0.04, 'Fragen': 0.04}",neutral,"[0.66739905, 0.09681429, 0.23578666]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,In #Aarau hat es zu wenig #Kitaplätze. Bringt die Umsetzung des Kinderbetreuungsgesetzes #KiBeG eine Verbesserung? https://t.co/269TTb6ru3,aarau wenig kitaplätze bringen umsetzung kinderbetreuungsgesetzes kibeg verbesserung,"{'In': 0.03, 'Aarau': 0.06, 'hat': 0, 'es': 0, 'zu': 0, 'wenig': 0, 'Kitaplätze': 0, 'Bringt': 0, 'die': 0.1, 'Umsetzung': 0.3, 'des': 0, 'Kinderbetreuungsgesetzes': 0.175, 'KiBeG': 0.23, 'eine': 0, 'Verbesserung': 0.86}",neutral,"[0.6945616, 0.22883943, 0.07659889]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
