answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,@walterangst @marco_denoth @DavyGraf An der Kanonengasse hat die Stadt Velostreifen demarkiert weil in ein paar Jahren die Langstrasse dann für Velos durchgehend befahrbar ist. Kannst du mir ein vergleichbares Beispiel aus dem Wohnungsbau bringen?,kanonengasse stadt velostreifen demarkiert paar jahren langstrasse velos durchgehen befahrbar vergleichbar beispiel wohnungsbau bringen,"{'An': 0, 'der': 0.07, 'Kanonengasse': 0.13, 'hat': 0, 'die': 0.07, 'Stadt': 0.05, 'Velostreifen': 0, 'demarkiert': 0, 'weil': 0.11, 'in': 0.03, 'ein': 0, 'paar': 0, 'Jahren': 0.07, 'Langstrasse': 0.11, 'dann': 0, 'für': 0.04, 'Velos': 0, 'durchgehend': 0, 'befahrbar': 0.07, 'ist': 0, 'Kannst': 1.0, 'du': 0.53, 'mir': 0.3, 'vergleichbares': 0.32, 'Beispiel': 0.63, 'aus': 0, 'dem': 0.07, 'Wohnungsbau': 0.48, 'bringen': 0.25}",neutral,"[0.814514, 0.05470234, 0.13078365]",,,,,,,,,,,,,,,,,,,,,,neutral
25.0,0.0,14.0,-0.5,neutral,RT @towi71: Möglichst wenig Stimmbürger:innen war heute das Ziel von #FDP und #SVP im #krzh. #Einbürgerungen möglichst verhindern und weite…,möglichst wenig stimmbürger innen heute ziel fdp svp krzh einbürgerungen möglichst verhindern weit,,,,"{'Möglichst': 0.09, 'wenig': 0, 'Stimmbürger': 0.11, 'innen': 0, 'war': 0, 'heute': 0.07, 'das': 0, 'Ziel': 0, 'von': 0, 'FDP': 0.06, 'und': 0.14, 'SVP': 0, 'im': 0, 'krzh': 0.06, 'Einbürgerungen': 1.0, 'möglichst': 0.1, 'verhindern': 0, 'weite': 0, '…': 0}",neutral,"[0.5191598, 0.025240147, 0.45560002]",,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,RT @SecondosPlusZH: 🗞️ Bis zum 25. Lebensjahr sollen Ausländerinnen und Ausländer keine kommunalen #Einbürgerungsgebühren mehr bezahlen müs…,lebensjahr sollen ausländerinnen ausländer kommunal einbürgerungsgebühren mehr bezahlen müs,,,,"{'️': 0, 'Bis': 0, 'zum': 0, '25.': 0, 'Lebensjahr': 0, 'sollen': 0, 'Ausländerinnen': 0, 'und': 0, 'Ausländer': 0, 'keine': 0, 'kommunalen': 0, 'Einbürgerungsgebühren': 0, 'mehr': 0, 'bezahlen': 0, 'müs': 0, '…': 0}",neutral,"[0.6071312, 0.036015287, 0.35685346]",,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,RT @tagi: Die (finanziellen) Hürden für die Einbürgerung in der Stadt sollen sinken. (Abo) https://t.co/25vxcHl3XK,finanziell hürden einbürgerung stadt sollen sinken abo,,,,"{'Die': 0.08, 'finanziellen': 0.17, 'Hürden': 0, 'für': 1.0, 'die': 0.08, 'Einbürgerung': 1.0, 'in': 0.2, 'der': 0.08, 'Stadt': 0.08, 'sollen': 0.25, 'sinken': 0, 'Abo': 0.25}",positive,"[0.39020503, 0.15592651, 0.4538684]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@morvjn Zwei Drittel der Abgabeerträge werden zurückverteilt, z.B. via Krankenkasse. Ein Drittel der Erträge – maximal 450 Mio. Franken – fliesst in das Gebäudeprogramm zur Förderung energetischer Sanierungen und erneuerbarer Energien.  25 Mio. Franken gehen in einen Technologiefonds.",zwei drittel abgabeerträge zurückverteilt z b via krankenkasse drittel erträge maximal mio franken fliesst gebäudeprogramm förderung energetischer sanierungen erneuerbarer energien mio franken gehen technologiefonds,,,,,,,"{'Zwei': 0.01, 'Drittel': 0, 'der': 0.11, 'Abgabeerträge': 0.11, 'werden': 0, 'zurückverteilt': 0.12, 'z.B.': 0, 'via': 0.05, 'Krankenkasse': 0.05, 'Ein': 0.06, 'Erträge': 0.11, '–': 0, 'maximal': 0, 'Mio.': 0, 'Franken': 0, 'fliesst': 0, 'in': 0, 'das': 0, 'Gebäudeprogramm': 0, 'zur': 0, 'Förderung': 0, 'energetischer': 0, 'Sanierungen': 0, 'und': 0, 'erneuerbarer': 0, 'Energien': 0, 'gehen': 0, 'einen': 0, 'Technologiefonds': 0}",positive,"[0.055122633, 0.009704956, 0.93517244]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Digitalisierung Schweiz (Symbolbild) https://t.co/qz7mGX9lZo,digitalisierung schweiz symbolbild,,,,,,,,,,"{'Digitalisierung': 0, 'Schweiz': 0.26, 'Symbolbild': 0.41}",neutral,"[0.7065943, 0.039813172, 0.2535925]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Und es ist mir immer noch nicht klar warum eine Einwendung zum §13 per Post erfolgen muss, wenn ein Legislaturziel des Stadtrats doch Digitalisierung ist... #grzh https://t.co/T7P0NA05cr",immer klaren warum einwendung per post erfolgen legislaturziel stadtrats digitalisierung grzh,,,,,,,,,,"{'Und': 0.02, 'es': 1.0, 'ist': 0, 'mir': 0.04, 'immer': 0, 'noch': 0.03, 'nicht': 0.04, 'klar': 0.02, 'warum': 0.04, 'eine': 0.18, 'Einwendung': 0.06, 'zum': 0.04, '§': 0, 'per': 0, 'Post': 0, 'erfolgen': 0, 'muss': 0, 'wenn': 0, 'ein': 0, 'Legislaturziel': 0, 'des': 0, 'Stadtrats': 0, 'doch': 0, 'Digitalisierung': 0, '...': 0, 'grzh': 0}",neutral,"[0.75685316, 0.035276774, 0.20787007]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,#Digitalisierung Heute mit @diemobiliar https://t.co/9AHrAXwsYx,digitalisierung heute,,,,,,,,,,"{'Digitalisierung': 0, 'Heute': 0.5, 'mit': 0.32}",neutral,"[0.8164661, 0.007823895, 0.17570996]",,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,Der Stadtrat verliert seine endlose Finanzkompetenz im IT Bereich. Endlich kann das Parlament auch bei der Digitalisierung dem Stadtrat auf die Finger schauen #grzh https://t.co/raPeSK8Pl4,stadtrat verlieren endlos finanzkompetenz it bereich endlich parlament digitalisierung stadtrat finger schauen grzh,,,,,,,,,,"{'Der': 0.05, 'Stadtrat': 0.08, 'verliert': 0, 'seine': 0, 'endlose': 0.02, 'Finanzkompetenz': 0.03, 'im': 0, 'IT': 0.16, 'Bereich': 0, 'Endlich': 0.08, 'kann': 0.05, 'das': 0, 'Parlament': 0.07, 'auch': 0, 'bei': 0, 'der': 0.05, 'Digitalisierung': 0, 'dem': 0.525, 'auf': 0.1, 'die': 0.05, 'Finger': 0, 'schauen': 0, 'grzh': 0.1}",neutral,"[0.9186228, 0.008159826, 0.07321738]",,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @lukasmaeder: 1) @dani_graf und @digiges_ch haben es geschafft, eine Digitalisierungsprojekt zu einem Thema zu machen. Eine technische F…",schaffen digitalisierungsprojekt thema technische f,,,,,,,,,,"{'und': 0.1, 'haben': 0.08, 'es': 0, 'geschafft': 0, 'eine': 0, 'Digitalisierungsprojekt': 0.235, 'zu': 0.06, 'einem': 0, 'Thema': 0, 'machen': 0, 'Eine': 0, 'technische': 1.0, 'F': 1.0, '…': 0}",positive,"[0.016165683, 0.0031929137, 0.9806414]",,,,,,,,,,,,,neutral
