answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3452,absa_sentiment_3452,absa_scores_3452,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @kantonaargau: Schlussergebnis #Aargau:
#Kinderbetreuung: 
Intiative: 24,8
Gegenvorschlag: 53,0
#Grundbuchabgabe: 43,3
#abst16",schlussergebnis aargau kinderbetreuung intiative gegenvorschlag grundbuchabgabe abst16,"{'Schlussergebnis': 0.05, 'Aargau': 0.18, 'Kinderbetreuung': 1.0, 'Intiative': 0, '24,8': 0, 'Gegenvorschlag': 0.05, '53,0': 0, 'Grundbuchabgabe': 0.02, '43,3': 0, 'abst16': 0.08}",neutral,"[0.8685792, 0.051628243, 0.07979246]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @stwaho: Pflichtlektüre für alle, die nicht sehen wollen, wie weit rechts GLP finanz- und sozialpolitisch steht: Rentenaltererhöhung und…",pflichtlektüre all sehen weit rechts glp finanz sozialpolitisch stehen rentenaltererhöhung,,,,"{'Pflichtlektüre': 0.15, 'für': 0.11, 'alle': 0.1, 'die': 0.59, 'nicht': 0.07, 'sehen': 0.07, 'wollen': 0.06, 'wie': 0.07, 'weit': 0.05, 'rechts': 0.08, 'GLP': 0.18, 'finanz-': 0, 'und': 0.21, 'sozialpolitisch': 0, 'steht': 0, 'Rentenaltererhöhung': 0.645, '…': 0}",positive,"[0.026035441, 0.060207594, 0.91375697]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,Weiter gedacht: Rentenalter 90 – aber nur für die Allerreichsten https://t.co/SO7VO53SxG via @infosperber,weit gedenken rentenalter allerreichsten via,,,,"{'Weiter': 0, 'gedacht': 0, 'Rentenalter': 0.98, '–': 0, 'aber': 0, 'nur': 0, 'für': 0, 'die': 0, 'Allerreichsten': 0, 'via': 0}",positive,"[0.17973454, 0.0135723585, 0.8066931]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,RT @SchmidFederer: „Stimme der Vernunft“: «Vaterschaftsurlaub ist doppelt falsch gesagt. Es geht nicht um die Väter und es geht nicht um Ur…,stimme vernunft vaterschaftsurlaub doppeln falsch sagen gehen väter gehen ur,,,,,,,"{'„': 0, 'Stimme': 0, 'der': 0, 'Vernunft': 0, '“': 0, '«': 0, 'Vaterschaftsurlaub': 0, 'ist': 0, 'doppelt': 0, 'falsch': 0, 'gesagt': 0, 'Es': 0, 'geht': 0, 'nicht': 0, 'um': 0, 'die': 0, 'Väter': 0, 'und': 0, 'es': 0, 'Ur': 0, '…': 0}",negative,"[0.0020560464, 0.9921738, 0.005770255]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"RT @philipp_kaestli: Also, liebe Gegner des #Vaterschaftsurlaub, vergesst nicht, am 2. Weihnachtstag den Josef aus der Krippe zu holen. Der…",lieb gegner vaterschaftsurlaub vergesst weihnachtstag josef krippe holen,,,,,,,"{'Also': 0, 'liebe': 0, 'Gegner': 0, 'des': 0, 'Vaterschaftsurlaub': 0.56, 'vergesst': 0.08, 'nicht': 0, 'am': 0, '2.': 0, 'Weihnachtstag': 0.060000000000000005, 'den': 0.09, 'Josef': 0.06, 'aus': 0.03, 'der': 0.09, 'Krippe': 0.12, 'zu': 0.03, 'holen': 0, 'Der': 0.09, '…': 0}",positive,"[0.046690904, 0.022529494, 0.9307796]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @KarinRykart: Die bürgerlichen Männer im Bundesrat wollen 1 Milliarde für Olympia, aber keinen Vaterschaftsurlaub aus Kostengründen?! #P…",bürgerlich männer bundesrat milliarde olympia vaterschaftsurlaub kostengründen p,,,,,,,"{'Die': 0.04, 'bürgerlichen': 0, 'Männer': 0.1, 'im': 0, 'Bundesrat': 0.045, 'wollen': 0.18, 'Milliarde': 0.18, 'für': 0.28, 'Olympia': 0, 'aber': 0.72, 'keinen': 0, 'Vaterschaftsurlaub': 0.9450000000000001, 'aus': 0, 'Kostengründen': 0.27, 'P': 0.06, '…': 0}",neutral,"[0.67024165, 0.29207632, 0.03768199]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @kathch: #Fortpflanzungsmedizingesetz: #Referendum dürfte zustande kommen @evppev @MarianneStreiff #PID https://t.co/vk5rv4MT5u,fortpflanzungsmedizingesetz referendum dürfen zustande kommen pid,,,,,,,,,,"{'Fortpflanzungsmedizingesetz': 0, 'Referendum': 0.22, 'dürfte': 0.3, 'zustande': 0, 'kommen': 0.29, 'PID': 0.99}",neutral,"[0.596384, 0.25464705, 0.14896901]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @USR3Bschiss: Fazit der #srfarena: Steuersenkungen für Unternehmen zahlen sich nicht aus! #USR3 https://t.co/jhkC0UF2xH,fazit srfarena steuersenkungen unternehmen zahlen usr3,,,,,,,,,,,,,"{'Fazit': 0.28, 'der': 0.12, 'srfarena': 0.32, 'Steuersenkungen': 0.515, 'für': 0.23, 'Unternehmen': 0, 'zahlen': 0, 'sich': 0, 'nicht': 0.77, 'aus': 0, 'USR3': 0.75}",neutral,"[0.49841964, 0.37928078, 0.12229961]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @enussbi: Mehr für die Armee, mehr Steuersenkungen für Firmen, Lanwirte - und dann bei der #Bildung sparen. Das ist die neue Mehrheit im…",mehr armee mehr steuersenkungen firmen lanwirte bildung sparen neue mehrheit,,,,,,,,,,,,,"{'Mehr': 1.0, 'für': 0.55, 'die': 0.07, 'Armee': 0.23, 'mehr': 1.0, 'Steuersenkungen': 0.8049999999999999, 'Firmen': 0.19, 'Lanwirte': 0, 'und': 0.21, 'dann': 0.99, 'bei': 0, 'der': 0.07, 'Bildung': 0.11, 'sparen': 0.31, 'Das': 0.07, 'ist': 0.09, 'neue': 0.11, 'Mehrheit': 0.13, 'im': 0, '…': 0}",positive,"[0.08164612, 0.014226644, 0.90412724]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @infosperber: Mindestlohn für humanoide Roboter : Von Christian Müller https://t.co/ANlHcl3Aq0,mindestlohn humanoide roboter christian müller,,,,,,,,,,,,,,,,"{'Mindestlohn': 0.7949999999999999, 'für': 0.29, 'humanoide': 0.26, 'Roboter': 0, 'Von': 0, 'Christian': 0.15, 'Müller': 0}",neutral,"[0.920711, 0.02048143, 0.058807537]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
