answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,positive,@knallfrog Bis auf die Empfehlung zur Kinderbetreuungskostenvorlage gefallen mir die Empfehlungen sehr.,empfehlung kinderbetreuungskostenvorlage fallen empfehlungen,"{'Bis': 0, 'auf': 0.23, 'die': 0.13, 'Empfehlung': 0.96, 'zur': 0.13, 'Kinderbetreuungskostenvorlage': 0.56, 'gefallen': 0, 'mir': 0, 'Empfehlungen': 0.22, 'sehr': 0.33}",positive,"[0.40220386, 0.14839248, 0.44940364]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Der einzige mit einer innovativen Idee, wie das Rentenalter sozialverträglich angepasst werden kann ist @urielseibert. Durch Freiwilligenarbeit sollte man keine Einbussen haben, wenn man früher in die Rente geht.
@jevp_ch
#srfarena",einzig innovativ idee rentenalter sozialverträglich angepasst freiwilligenarbeit sollen einbussen früh rente gehen srfarena,,,,"{'Der': 0.11, 'einzige': 0.06, 'mit': 0.05, 'einer': 0.02, 'innovativen': 0.15, 'Idee': 0, 'wie': 0.17, 'das': 0, 'Rentenalter': 0.66, 'sozialverträglich': 0.18, 'angepasst': 0, 'werden': 0, 'kann': 0.21, 'ist': 0, 'Durch': 0, 'Freiwilligenarbeit': 0, 'sollte': 0, 'man': 0, 'keine': 0, 'Einbussen': 0, 'haben': 0, 'wenn': 0.03, 'früher': 0.02, 'in': 0.37, 'die': 0.11, 'Rente': 0, 'geht': 0, 'srfarena': 0.1}",positive,"[0.011038616, 0.0040970845, 0.9848643]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @jevp_ch: Anpassung des Rentenalters an Lebenserwartung ist notwendig, aber auch eine Flexibilisierung muss her. Dafür braucht es eine b…",anpassung rentenalters lebenserwartung notwendig flexibilisierung her dafür brauchen b,,,,"{'Anpassung': 1.0, 'des': 0, 'Rentenalters': 0.8, 'an': 0, 'Lebenserwartung': 0.375, 'ist': 0.11, 'notwendig': 0.67, 'aber': 0.15, 'auch': 0.1, 'eine': 0, 'Flexibilisierung': 0.52, 'muss': 0.75, 'her': 0, 'Dafür': 0, 'braucht': 0, 'es': 0.11, 'b': 0.08, '…': 0}",neutral,"[0.4901376, 0.066528454, 0.44333395]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @DominicTaeubert: .@srfnews weshalb fehlt die JA-Parole der @evppev zum #Vaterschaftsurlaub? Nach welchen Kriterien werden Parteien hier…,weshalb fehlen ja parole vaterschaftsurlaub welch kriterien parteien,,,,,,,"{'weshalb': 0.315, 'fehlt': 0.185, 'die': 0.11, 'JA-Parole': 0, 'der': 0.11, 'zum': 0.08, 'Vaterschaftsurlaub': 0.67, 'Nach': 0.05, 'welchen': 0, 'Kriterien': 0.13, 'werden': 0, 'Parteien': 0.14, 'hier': 0.06, '…': 0}",neutral,"[0.6735591, 0.12100957, 0.20543121]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @guelshaaa: Es geht um zwei Wochen! ES GEHT UM ZWEI WOCHEN VATERSCHAFTSURLAUB! Wie kann nur ein einziger Mensch dagegen sein? 
Drei Woch…",gehen zwei wochen gehen zwei wochen vaterschaftsurlaub einzig mensch dagegen drei woch,,,,,,,"{'Es': 0, 'geht': 0, 'um': 1.0, 'zwei': 0.45, 'Wochen': 0.1, 'ES': 0, 'GEHT': 0, 'UM': 1.0, 'ZWEI': 0.45, 'WOCHEN': 0.1, 'VATERSCHAFTSURLAUB': 0.7, 'Wie': 0, 'kann': 0.36, 'nur': 0, 'ein': 0.11, 'einziger': 0.11, 'Mensch': 0, 'dagegen': 0, 'sein': 0, 'Drei': 0.06, 'Woch': 0, '…': 0}",neutral,"[0.7877242, 0.1001259, 0.11214986]",,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.15,negative,"RT @Thurnheer_Th: Einige Aspekte der Fortpflanzungsmedizin und v.a. auch der Leihmutterschaft sind moralisch höchst fragwürdig, egal, ob in…",aspekte fortpflanzungsmedizin v a leihmutterschaft moralisch höchst fragwürdig egal,,,,,,,,,,"{'Einige': 0.13, 'Aspekte': 0.18, 'der': 0, 'Fortpflanzungsmedizin': 0.29000000000000004, 'und': 0.15, 'v.a.': 0, 'auch': 0, 'Leihmutterschaft': 0.56, 'sind': 0.42, 'moralisch': 1.0, 'höchst': 0, 'fragwürdig': 1.0, 'egal': 0, 'ob': 0, 'in': 0.13, '…': 0}",negative,"[0.088389665, 0.46937743, 0.44223294]",,,,,,,,,,neutral
75.0,75.0,71.0,0.2333333333333333,neutral,"Mir sind auch neu die schwierigen ethischen Fragen der #Fortpflanzungsmedizin klar geworden. Von denen aber auch nur der Zugang von lesbischen Paaren zur Samenspende direkt mit der Vorlage #Ehefüralle zusammenhängt und für mich kein Grund sind, diese abzulehnen. 2/2",neu schwierig ethisch fragen fortpflanzungsmedizin klaren zugang lesbisch paaren samenspende direkt vorlage ehefüralle zusammenhängen grund ablehnen,,,,,,,,,,"{'Mir': 0.04, 'sind': 0, 'auch': 0.14, 'neu': 0, 'die': 0.06, 'schwierigen': 0.38, 'ethischen': 0.26, 'Fragen': 0.6, 'der': 0.06, 'Fortpflanzungsmedizin': 0.81, 'klar': 0.14, 'geworden': 0.12, 'Von': 0, 'denen': 0, 'aber': 0, 'nur': 0.04, 'Zugang': 0.06, 'von': 0, 'lesbischen': 0.06, 'Paaren': 0, 'zur': 0.04, 'Samenspende': 0, 'direkt': 0, 'mit': 0, 'Vorlage': 0.09, 'Ehefüralle': 0.01, 'zusammenhängt': 0.05, 'und': 0.07, 'für': 0.01, 'mich': 0.04, 'kein': 0.03, 'Grund': 0, 'diese': 0, 'abzulehnen': 0.02}",positive,"[0.367326, 0.079380594, 0.55329335]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @sibylleforrer: Der Zürcher Kirchenrat sagt Ja zur #Ehefüralle und zum Zugang zur Adoption und Fortpflanzungsmedizin für gleichg. Paare.…,zürcher kirchenrat sagen ja ehefüralle zugang adoption fortpflanzungsmedizin gleichg paare,,,,,,,,,,"{'Der': 0.06, 'Zürcher': 0, 'Kirchenrat': 0.04, 'sagt': 0.11, 'Ja': 1.0, 'zur': 0.165, 'Ehefüralle': 0.38, 'und': 1.0, 'zum': 0.165, 'Zugang': 0.33, 'Adoption': 0.7, 'Fortpflanzungsmedizin': 0.5549999999999999, 'für': 0.38, 'gleichg': 0.53, 'Paare': 0.24, '…': 0}",positive,"[0.03239075, 0.002842715, 0.9647665]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @AnaelJAmbers: Merci @LilianStuder für deinen Einsatz gegen die Finanzierung von #kriegsmaterial-Produzenten !  https://t.co/PCDp2Lc3ZR,merci einsatz finanzierung kriegsmaterial produzenten,,,,,,,,,,,,,"{'Merci': 0, 'für': 0.3, 'deinen': 0, 'Einsatz': 0, 'gegen': 1.0, 'die': 0.25, 'Finanzierung': 0.46, 'von': 0, 'kriegsmaterial-Produzenten': 0.185}",positive,"[0.30632696, 0.105998814, 0.5876742]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @SWISSAID: Kriegsmaterialexporte in CHF – finde den Unterschied.  

Jetzt Korrektur-Initiative unterschreiben: 
https://t.co/KjFx8AlpIZ…",kriegsmaterialexporte chf finden unterscheiden korrektur initiative unterschreiben,,,,,,,,,,,,,"{'Kriegsmaterialexporte': 0.885, 'in': 0.68, 'CHF': 0.35, '–': 0, 'finde': 0, 'den': 0, 'Unterschied': 0, 'Jetzt': 0, 'Korrektur-Initiative': 0, 'unterschreiben': 0}",neutral,"[0.86095965, 0.028553255, 0.11048706]",,,,,,,neutral
