answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,0.85,neutral,Steuerliche Berücksichtigung der Kinderbetreuungskosten - Dank der CVP werden alle Familie steuerlich entlastet - Bravo @PhilippKutter - als Präsident der AG Familienpolitik der CVP freut mich dies sehr https://t.co/48dRwZQkEK,steuerlich berücksichtigung kinderbetreuungskosten danken cvp all familie steuerlich entlasten bravo präsident ag familienpolitik cvp freuen,"{'Steuerliche': 0.12, 'Berücksichtigung': 0.36, 'der': 0.04, 'Kinderbetreuungskosten': 1.0, 'Dank': 0.15, 'CVP': 0.05, 'werden': 0, 'alle': 0, 'Familie': 0.03, 'steuerlich': 0.12, 'entlastet': 0.11, 'Bravo': 0.09, 'als': 0.03, 'Präsident': 0.04, 'AG': 0, 'Familienpolitik': 0.035, 'freut': 0, 'mich': 0, 'dies': 0, 'sehr': 0.03}",positive,"[0.14888455, 0.06020158, 0.7909139]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,Es ist jetzt Zeit für den Vaterschaftsurlaub und eine Frage der Dauer gewesen. Ich habe dem Vorschlag von 2 Wochen zugestimmt und dafür votiert. Ja für die Väter. Ja für die Familie. Ja auch für die KMU. https://t.co/665Nlhzxu9,zeit vaterschaftsurlaub fragen dauer vorschlag wochen zustimmen dafür votiert ja väter ja familie ja kmu,,,,"{'Es': 0.43, 'ist': 0.43, 'jetzt': 0.23, 'Zeit': 0.47, 'für': 0.04, 'den': 0.02, 'Vaterschaftsurlaub': 0.755, 'und': 0.07, 'eine': 0, 'Frage': 0, 'der': 0.02, 'Dauer': 0.25, 'gewesen': 0, 'Ich': 0.05, 'habe': 0.1, 'dem': 0.02, 'Vorschlag': 0.05, 'von': 0, 'Wochen': 0.03, 'zugestimmt': 0.09, 'dafür': 0, 'votiert': 0.07, 'Ja': 0.07, 'die': 0.02, 'Väter': 0.03, 'Familie': 0.04, 'auch': 0.1, 'KMU': 0}",neutral,"[0.92101175, 0.0047054426, 0.07428287]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"CVP steht für eine moderne Familienpolitik

Vaterschaftsurlaub dank CVP endlich auf Kurs: https://t.co/BMlkqjAXkJ",cvp stehen modern familienpolitik vaterschaftsurlaub danken cvp endlich kurs,,,,"{'CVP': 0.11, 'steht': 0.2, 'für': 0.15, 'eine': 0, 'moderne': 0.27, 'Familienpolitik': 0.765, 'Vaterschaftsurlaub': 0.75, 'dank': 0.11, 'endlich': 0, 'auf': 0.08, 'Kurs': 0}",positive,"[0.0020282278, 0.0013524226, 0.99661934]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Es ist Zeit für die Einführung eines zweiwöchigen Vaterschaftsurlaubs! @martin_candinas forderte dies schon 2014. #CVP https:/…,zeit einführung zweiwöchigen vaterschaftsurlaubs fordern schon cvp https,,,,"{'Es': 0, 'ist': 0, 'Zeit': 0.59, 'für': 0, 'die': 0, 'Einführung': 0, 'eines': 0, 'zweiwöchigen': 0, 'Vaterschaftsurlaubs': 0.81, 'forderte': 0.64, 'dies': 0, 'schon': 0, '2014.': 0, 'CVP': 0.16, 'https': 0.18, ':/': 0, '…': 0}",neutral,"[0.6395051, 0.017428085, 0.34306684]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CVP_PDC: Die #CVP steht entschieden für einen 2⃣-wöchigen Vaterschaftsurlaub ein.
https://t.co/RRgcR60B00 https://t.co/hMMdl9yO2K",cvp stehen entscheiden wöchigen vaterschaftsurlaub,,,,"{'Die': 0.13, 'CVP': 0.14, 'steht': 0, 'entschieden': 0, 'für': 0, 'einen': 1.0, '2⃣-wöchigen': 0, 'Vaterschaftsurlaub': 0.66, 'ein': 0}",positive,"[0.37910664, 0.009191062, 0.6117023]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,"RT @CVP_PDC: Linke und Rechte scheinen in Kauf zu nehmen, dass entlassene ältere Menschen weiterhin keine Rente aus der Pensionskasse bezie…",link rechte scheinen kauf nehmen entlassen alt menschen weiterhin rente pensionskasse bezie,,,,,,,"{'Linke': 0.06, 'und': 0.04, 'Rechte': 0.06, 'scheinen': 0.10500000000000001, 'in': 0, 'Kauf': 0, 'zu': 0.13, 'nehmen': 0.13, 'dass': 0.22, 'entlassene': 0.17, 'ältere': 0.12, 'Menschen': 0.18, 'weiterhin': 0, 'keine': 0, 'Rente': 0, 'aus': 0, 'der': 0.16, 'Pensionskasse': 0.23500000000000001, 'bezie': 0, '…': 0}",negative,"[0.20236628, 0.7395168, 0.05811698]",,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @pensionskassen: @PhTschopp @SchmidFederer #AV2020 sorgt dafür, dass die laufenden Renten gesichert sind. Falls die Reform scheitert, ka…",av2020 sorgen dafür laufend renten sichern falls reform scheitern ka,,,,,,,"{'AV2020': 0.15, 'sorgt': 0, 'dafür': 0, 'dass': 0.07, 'die': 0.06, 'laufenden': 0, 'Renten': 0.06, 'gesichert': 0.06, 'sind': 0.05, 'Falls': 0, 'Reform': 0.2, 'scheitert': 0.17, 'ka': 0, '…': 0}",positive,"[0.20030186, 0.103665076, 0.69603306]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Gleichstellungsgesetz: Lohngleichheit ist ein gesellschaftspolitisches Muss und sollte selbsttändlich sein. Jetzt kann die Wirtschaft Verantwortung zeigen.,gleichstellungsgesetz lohngleichheit gesellschaftspolitisches sollen selbsttändlich wirtschaft verantwortung zeigen,,,,,,,,,,"{'Gleichstellungsgesetz': 0.36750000000000005, 'Lohngleichheit': 1.0, 'ist': 0.44, 'ein': 0, 'gesellschaftspolitisches': 0, 'Muss': 0.16, 'und': 0.06, 'sollte': 0.11, 'selbsttändlich': 0.055, 'sein': 0, 'Jetzt': 0.05, 'kann': 0.05, 'die': 0.04, 'Wirtschaft': 0, 'Verantwortung': 0.09, 'zeigen': 0.05}",positive,"[0.24028747, 0.064302266, 0.69541025]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @originalmitte: CVP kämpft für Steuersenkung beim Mittelstand

Beim Aufgaben- und Finanzplan 2019-2021 setzte sich die CVP-GLP... https:…",cvp kämpfen steuersenkung beim mittelstand beim aufgaben finanzplan setzen cvp glp https,,,,,,,,,,,,,"{'CVP': 0.05, 'kämpft': 0.84, 'für': 0.14, 'Steuersenkung': 0.36, 'beim': 0.15, 'Mittelstand': 0.08499999999999999, 'Beim': 0.15, 'Aufgaben-': 0, 'und': 0.09, 'Finanzplan': 0.07, 'setzte': 0.07, 'sich': 0, 'die': 0.15, 'CVP-GLP': 0, '...': 0, 'https': 0.2, '…': 0}",positive,"[0.2710293, 0.020298924, 0.70867175]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,E-Voting. Alles geht heute online - nur die Stimmabgabe soll es nicht? Warum behindert die SVP dies? Heute im NR so abgestimmt.,e voting gehen heute online stimmabgabe warum behindern svp heute nr abstimmen,,,,,,,,,,,,,,,,"{'E-Voting': 0, 'Alles': 0.07, 'geht': 0.08, 'heute': 0.32, 'online': 0.17, 'nur': 0, 'die': 0.1, 'Stimmabgabe': 0.29, 'soll': 0, 'es': 0.07, 'nicht': 0.05, 'Warum': 0.1, 'behindert': 0, 'SVP': 0, 'dies': 0, 'Heute': 0.32, 'im': 0, 'NR': 0, 'so': 1.0, 'abgestimmt': 1.0}",neutral,"[0.96250284, 0.008068338, 0.029428838]",,,,,,,,,,,,,neutral
